"SBP female (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Kazakhstan,134.3076,134.1471,133.9875,133.8315,133.6648,133.4806,133.3061,133.1099,132.896,132.6604,132.3902,132.0612,131.7154,131.3574,130.9747,130.6278,130.3111,129.9854,129.7259,129.5276,129.403,129.3351,129.2861,129.2494,129.2043,129.1458,129.0692,128.9662,128.8517
Kenya,123.6912,123.7851,123.8431,123.9045,123.9468,124.005,124.1411,124.2667,124.4337,124.6575,124.8645,125.0775,125.2856,125.5074,125.7388,125.9797,126.2196,126.4576,126.7474,127.0137,127.2884,127.5519,127.8673,128.1438,128.4747,128.8214,129.1883,129.5575,129.9341
Kiribati,120.3608,120.0381,119.7763,119.5514,119.3747,119.2198,119.131,119.0662,119.1018,119.1186,119.2198,119.3165,119.4226,119.5455,119.7065,119.8438,120.0257,120.207,120.3871,120.589,120.7861,120.9521,121.1155,121.2704,121.4193,121.5638,121.6944,121.8235,121.951
"Korea, Dem. Rep.",126.0951,125.777,125.4543,125.1303,124.8207,124.5229,124.2423,123.9932,123.756,123.5412,123.3503,123.1649,122.9629,122.7433,122.4943,122.228,121.9607,121.7599,121.6234,121.5464,121.5395,121.5655,121.6197,121.6937,121.787,121.882,121.9621,122.0456,122.1215
"Korea, Rep.",120.5959,120.6389,120.7533,120.8573,120.9522,121.0649,121.1604,121.3816,121.6134,121.8535,122.1108,122.3492,122.4535,122.445,122.3599,122.2442,122.1064,121.8468,121.59,121.2844,121.007,120.6695,120.2306,119.7823,119.2734,118.6962,118.0986,117.4984,116.8847
Kuwait,136.1181,135.3558,134.6134,133.9529,133.3354,132.7613,132.2203,131.7463,131.3181,130.9727,130.5172,130.1042,129.7967,129.5372,129.2183,128.882,128.5197,128.1177,127.691,127.2656,126.8586,126.4339,125.9623,125.5423,125.1005,124.6361,124.2585,123.8339,123.4156
Kyrgyzstan,130.4777,130.4314,130.3796,130.3345,130.2806,130.2056,130.1435,130.0734,130.0107,129.9531,129.872,129.7587,129.5967,129.3385,129.0762,128.8232,128.6169,128.4969,128.4356,128.4172,128.4697,128.5627,128.6661,128.8085,128.9756,129.1516,129.3286,129.4627,129.5943
Laos,116.8158,117.0718,117.3223,117.5586,117.783,118.0044,118.2217,118.4444,118.6722,118.9164,119.1775,119.4156,119.6595,119.9202,120.1892,120.4453,120.6941,120.9467,121.1969,121.4398,121.6912,121.9259,122.1411,122.3425,122.5262,122.6978,122.8453,122.9572,123.0442
Latvia,136.5139,136.3502,136.1711,135.983,135.7786,135.5452,135.2996,135.0053,134.673,134.3028,133.876,133.3511,132.6825,132.098,131.5861,131.1424,130.8615,130.6833,130.5343,130.4316,130.344,130.2724,130.2153,130.1554,130.0833,129.9906,129.8689,129.7238,129.5746
Lebanon,131.788,131.6462,131.4297,131.2858,131.2407,131.2622,131.2784,131.2818,131.1652,130.9362,130.7984,130.813,130.7481,130.6435,130.5101,130.423,130.3266,130.2064,130.0511,129.8622,129.6142,129.3749,129.0933,128.8689,128.6118,128.3095,128.012,127.7571,127.5037
Lesotho,124.8581,125.1881,125.4808,125.7114,125.9435,126.148,126.336,126.5295,126.786,127.0577,127.319,127.5118,127.6784,127.8272,127.9774,128.1337,128.3001,128.4684,128.6441,128.8303,129.0396,129.269,129.5081,129.7628,130.0336,130.3088,130.5963,130.8698,131.1361
Liberia,129.2683,129.3041,129.3506,129.3543,129.3434,129.3787,129.4024,129.4346,129.4899,129.4504,129.3622,129.3611,129.3564,129.3458,129.3728,129.3989,129.4644,129.5674,129.6651,129.786,129.9439,130.0915,130.2577,130.3857,130.5326,130.6995,130.8651,131.057,131.2555
Libya,138.3627,138.0003,137.6157,137.2044,136.7642,136.3297,135.8941,135.4953,135.1303,134.7879,134.4275,134.119,133.8291,133.5588,133.3278,133.0978,132.9197,132.7664,132.63,132.5404,132.5145,132.5343,132.6075,132.7187,132.8699,133.0286,133.2049,133.4084,133.6159
Lithuania,137.7555,137.6017,137.4284,137.2382,137.0204,136.7747,136.5219,136.2132,135.8817,135.5101,135.0823,134.5881,134.0135,133.5237,133.0005,132.5618,132.2813,132.1003,131.97,131.8318,131.7347,131.6515,131.5597,131.453,131.2957,131.1582,131.0579,130.9421,130.8226
Luxembourg,133.7191,133.202,132.6917,132.1647,131.6685,131.1668,130.751,130.3863,130.1204,129.8752,129.6469,129.4257,129.2299,128.9569,128.6648,128.3029,127.9259,127.5098,127.0138,126.5314,126.0592,125.56,125.0767,124.6195,124.1537,123.6927,123.2549,122.812,122.3705
"Macao, China",133.2525,132.784,132.2834,131.7792,131.2743,130.734,130.2006,129.7196,129.2594,128.81,128.3652,127.9198,127.4872,127.0711,126.6569,126.2187,125.802,125.3796,124.951,124.5562,124.1963,123.8675,123.5358,123.2351,122.9576,122.6664,122.3867,122.098,121.7798
"Macedonia, FYR",134.933,134.7655,134.5778,134.3657,134.16,133.9337,133.7107,133.5128,133.322,133.1348,132.9446,132.7421,132.5236,132.2173,131.9317,131.6576,131.4315,131.2161,131.022,130.9303,130.8507,130.7118,130.517,130.4274,130.37,130.2575,130.1737,130.0417,129.9092
Madagascar,126.7476,126.811,126.8762,126.9646,127.0734,127.1942,127.3584,127.547,127.7619,127.9877,128.2223,128.4558,128.6675,128.875,129.0566,129.2305,129.3987,129.5763,129.777,129.9963,130.2475,130.5307,130.8052,131.0912,131.4023,131.7456,132.1026,132.4699,132.8371
Malawi,124.9166,125.1524,125.3748,125.5554,125.7482,125.9539,126.1511,126.3424,126.5572,126.7641,126.999,127.2507,127.4613,127.7169,127.9663,128.2626,128.5789,128.9123,129.2628,129.673,130.0933,130.5144,130.9474,131.4037,131.8796,132.3766,132.8899,133.4161,133.939
Malaysia,124.613,124.703,124.7587,124.7951,124.8272,124.8225,124.7952,124.7638,124.7535,124.7407,124.7382,124.7229,124.7177,124.7155,124.7199,124.7346,124.7619,124.7667,124.7345,124.7279,124.7352,124.7147,124.6766,124.5983,124.4982,124.3735,124.226,124.0581,123.8593
Maldives,119.5845,119.9264,120.1972,120.4394,120.7022,120.947,121.1828,121.4042,121.595,121.8539,122.0669,122.2543,122.3803,122.516,122.6228,122.7316,122.841,122.941,123.0397,123.1113,123.1859,123.2019,123.2035,123.2184,123.2587,123.2415,123.3047,123.3267,123.3223
Mali,122.6852,122.9056,123.0944,123.2829,123.5056,123.7106,123.9661,124.2012,124.448,124.6927,124.9308,125.191,125.4706,125.6936,125.9118,126.0726,126.2223,126.3889,126.5688,126.7591,126.904,127.0712,127.2195,127.3928,127.5453,127.6959,127.8232,127.927,128.0308
Malta,134.9835,134.6395,134.2587,133.8314,133.4083,132.9584,132.553,132.1793,131.8611,131.5265,131.2653,130.9743,130.6712,130.387,130.078,129.7395,129.3442,128.9002,128.4378,127.9735,127.5624,127.1156,126.6886,126.2443,125.8079,125.4232,124.997,124.5656,124.1571
Marshall Islands,122.4148,122.2643,122.1113,122.0052,121.8984,121.7843,121.7648,121.7736,121.7953,121.818,121.853,121.874,121.8692,121.8458,121.8078,121.7567,121.6896,121.5985,121.5318,121.4707,121.4349,121.4111,121.4017,121.4148,121.4511,121.4625,121.4665,121.4734,121.4708
Mauritania,126.0247,126.2703,126.4572,126.6326,126.7079,126.7914,126.9244,127.095,127.2616,127.4386,127.5881,127.7166,127.8518,128.026,128.1954,128.382,128.5368,128.6767,128.7798,128.8814,128.9619,129.0568,129.162,129.2491,129.3818,129.5255,129.6881,129.8404,129.9875
Mauritius,130.6442,130.6392,130.6297,130.603,130.5581,130.5598,130.6024,130.7009,130.7744,130.8399,130.9034,130.9409,130.9765,130.9935,131.0035,130.9941,130.9613,130.9064,130.8567,130.7955,130.7398,130.7047,130.6751,130.6675,130.6767,130.7147,130.7648,130.8292,130.8786
Mexico,128.1507,128.1022,127.9628,127.7516,127.4542,127.1826,126.8821,126.5546,126.1938,125.8182,125.4962,125.2098,124.9152,124.6298,124.3575,124.0902,123.8605,123.6558,123.4335,123.2214,123.0307,122.8557,122.6993,122.569,122.4546,122.355,122.2699,122.1928,122.1216
"Micronesia, Fed. Sts.",121.4937,121.5437,121.5839,121.6358,121.6834,121.7708,121.8853,122.0043,122.1504,122.2856,122.4381,122.6166,122.7894,122.96,123.1342,123.3027,123.4504,123.6028,123.7554,123.8944,124.0668,124.2532,124.4352,124.6344,124.8145,124.9707,125.1472,125.2964,125.4472
Moldova,132.3487,132.36,132.3529,132.3315,132.2981,132.2365,132.1622,132.0929,132.0284,131.9596,131.8562,131.6792,131.3853,131.1766,130.8456,130.5046,130.1952,129.9497,129.7116,129.5578,129.5724,129.5277,129.5345,129.5941,129.6436,129.7287,129.8223,129.8823,129.9424
Mongolia,129.1893,129.292,129.4021,129.4902,129.572,129.6513,129.724,129.7852,129.8334,129.8481,129.7926,129.644,129.478,129.2387,129.0212,128.8421,128.7613,128.7059,128.6589,128.6219,128.6376,128.7108,128.8302,128.9902,129.1396,129.3075,129.4893,129.6373,129.7504
Montenegro,134.7172,134.5894,134.4528,134.29,134.1232,133.9429,133.7571,133.5897,133.4189,133.2327,133.0308,132.7825,132.4495,132.0224,131.6146,131.2354,131.0029,130.7818,130.5815,130.3636,130.1301,129.9889,129.8484,129.8082,129.784,129.6839,129.5889,129.5018,129.4202
Morocco,126.4714,126.5815,126.7004,126.7984,126.8616,126.9399,127.0499,127.0945,127.1777,127.2631,127.2981,127.3477,127.3033,127.2312,127.1843,127.0517,126.9857,126.9147,126.8654,126.7914,126.7201,126.6752,126.6631,126.6476,126.6279,126.5832,126.5998,126.5633,126.5284
Mozambique,127.8409,128.0141,128.1746,128.3301,128.4658,128.5663,128.7303,128.9991,129.3203,129.6681,130.042,130.3522,130.6055,130.863,131.1064,131.3091,131.5219,131.768,132.0363,132.3019,132.5707,132.8768,133.2081,133.5733,133.9371,134.315,134.6984,135.0528,135.3949
Myanmar,116.2727,116.5234,116.8043,117.0795,117.3663,117.6238,117.8827,118.1085,118.2753,118.4032,118.5568,118.711,118.9153,119.171,119.437,119.7266,120.0247,120.336,120.6511,120.9671,121.2784,121.5806,121.8968,122.1736,122.4459,122.6886,122.8937,123.0381,123.1421
Namibia,132.3818,132.4548,132.5258,132.567,132.5792,132.5638,132.5579,132.5756,132.5701,132.541,132.4773,132.4178,132.358,132.29,132.2327,132.1829,132.144,132.0845,132.0648,132.0623,132.0757,132.1485,132.2566,132.4053,132.5906,132.7895,132.9882,133.176,133.3518
Nauru,133.3679,133.1018,132.8392,132.5615,132.2705,131.9969,131.7312,131.4668,131.1863,130.909,130.6319,130.3522,130.0559,129.7462,129.4418,129.1523,128.8727,128.6165,128.4089,128.2341,128.1019,127.9864,127.9003,127.8208,127.7415,127.6965,127.615,127.5322,127.4443
Nepal,119.5416,119.777,120.0323,120.2679,120.5221,120.7846,121.0472,121.3284,121.6247,121.9211,122.2099,122.5122,122.7884,123.0473,123.3184,123.5629,123.7655,123.9565,124.1257,124.2996,124.4792,124.6531,124.8058,124.9621,125.106,125.2358,125.3445,125.455,125.5561
Netherlands,131.916,131.3816,130.8565,130.3442,129.8359,129.351,128.9461,128.6211,128.332,128.0933,127.8846,127.661,127.506,127.2581,126.9995,126.6581,126.292,125.881,125.4455,125.0393,124.6254,124.2099,123.8227,123.4664,123.0947,122.7235,122.3825,122.0498,121.695
Netherlands Antilles,132.5227,132.3221,132.0883,131.8395,131.5451,131.2518,130.9264,130.5517,130.1568,129.8214,129.5287,129.2225,128.8708,128.5211,128.1665,127.7883,127.414,127.0537,126.6667,126.2596,125.8569,125.4987,125.1249,124.7816,124.5031,124.1556,123.8782,123.595,123.3406
New Zealand,128.1169,127.7551,127.4045,127.0724,126.7242,126.4146,126.1129,125.8598,125.606,125.3372,125.034,124.7006,124.3991,124.0885,123.8141,123.4992,123.195,122.8474,122.5076,122.176,121.8719,121.5181,121.1642,120.7513,120.3514,119.967,119.5661,119.1506,118.7421
Nicaragua,126.4446,126.2876,126.02,125.7855,125.572,125.2879,125.0411,124.7466,124.5403,124.2868,124.0701,123.8637,123.6969,123.5395,123.3639,123.2178,123.076,122.9752,122.9209,122.9243,122.9179,122.9445,122.9739,123.0121,123.0731,123.1661,123.2736,123.3798,123.4792
Niger,128.0459,128.3101,128.5673,128.7407,128.8126,128.8414,128.9575,129.0851,129.2127,129.3589,129.5006,129.6158,129.7221,129.8418,129.9933,130.1742,130.3496,130.518,130.8402,131.2025,131.532,131.8507,132.2249,132.6163,132.9368,133.4083,133.9211,134.5287,135.1021
Nigeria,130.9934,131.01,131.0303,131.0117,130.9745,131.0042,131.0777,131.1497,131.3043,131.5292,131.7834,132.0773,132.365,132.6527,132.8816,133.0701,133.2469,133.409,133.5653,133.739,133.91,134.0812,134.2376,134.4252,134.6285,134.8491,135.0776,135.291,135.492
Norway,136.9746,136.4127,135.8272,135.2418,134.6517,134.0909,133.6183,133.2094,132.8196,132.4456,132.1194,131.7428,131.4145,131.084,130.7506,130.4129,130.0451,129.6707,129.291,128.9386,128.5833,128.2238,127.886,127.5749,127.2539,126.9436,126.6151,126.3296,126.0266
Oman,130.3149,130.4039,130.4886,130.5893,130.6857,130.7713,130.8074,130.7964,130.7695,130.7257,130.6419,130.5285,130.3891,130.2371,130.0577,129.867,129.6466,129.4198,129.1958,128.9538,128.7318,128.5169,128.2915,128.0651,127.831,127.6007,127.3586,127.1255,126.887
Pakistan,123.2591,123.4259,123.6059,123.7818,123.9394,124.0881,124.2424,124.402,124.5506,124.7044,124.8427,124.9621,125.0976,125.2364,125.3622,125.5049,125.6349,125.7268,125.8424,125.9466,126.0471,126.1331,126.2059,126.2772,126.326,126.3907,126.4253,126.4809,126.5196
Palau,129.5003,128.9335,128.4375,127.9726,127.5661,127.1955,126.887,126.6102,126.4777,126.3675,126.3095,126.2549,126.1712,126.0732,125.9963,125.9282,125.8504,125.7718,125.6818,125.5773,125.4731,125.3818,125.2672,125.1607,125.0546,124.9431,124.8005,124.6605,124.4971
Panama,126.8397,126.6971,126.5576,126.3662,126.1749,125.9845,125.7816,125.6031,125.3685,125.1303,124.9228,124.7034,124.4971,124.299,124.0916,123.9417,123.821,123.6774,123.5382,123.4273,123.3192,123.1907,123.0864,122.9921,122.9201,122.8406,122.785,122.7312,122.6829
Papua New Guinea,110.3353,110.6734,110.9824,111.2941,111.6051,111.934,112.2978,112.6767,113.0483,113.4378,113.8387,114.2392,114.647,115.0957,115.5443,115.9366,116.3068,116.648,117.003,117.3479,117.6681,118.0086,118.3149,118.6215,118.9056,119.2011,119.4845,119.7737,120.0524
Paraguay,128.0746,128.0548,127.9862,127.8405,127.6813,127.5495,127.3529,127.1606,126.955,126.7454,126.5043,126.2213,125.9015,125.6316,125.3639,125.0958,124.8609,124.626,124.3726,124.1772,124.0099,123.8837,123.7607,123.6962,123.6625,123.6456,123.6236,123.6237,123.615
Peru,126.4587,126.2191,125.9492,125.5709,125.2291,124.8937,124.6122,124.3909,124.1443,123.8195,123.4516,123.1252,122.7726,122.4766,122.2255,122.0116,121.8169,121.6482,121.4988,121.3317,121.1644,120.9688,120.7746,120.5797,120.3812,120.1958,120.0156,119.8336,119.6368
Philippines,122.2215,122.3296,122.4135,122.4576,122.4372,122.3777,122.3468,122.3416,122.3491,122.3602,122.3896,122.3919,122.3964,122.3923,122.4121,122.4238,122.4589,122.4802,122.4748,122.4951,122.5043,122.4889,122.4797,122.4663,122.4564,122.4393,122.4072,122.3867,122.3459
Poland,137.4738,137.0508,136.6351,136.1852,135.7523,135.2826,134.8228,134.3447,133.9099,133.4725,133.0158,132.5664,132.1517,131.7875,131.4504,131.1761,130.9428,130.7365,130.5561,130.4075,130.2769,130.1675,130.0524,129.954,129.8866,129.8305,129.7838,129.7244,129.6765
Portugal,135.2923,134.9053,134.5504,134.1904,133.8097,133.4642,133.2058,133.0348,132.8675,132.7368,132.6267,132.4894,132.3239,132.1084,131.839,131.567,131.2513,130.9138,130.5631,130.2044,129.8553,129.4978,129.172,128.8457,128.5481,128.22,127.8999,127.5741,127.2631
Puerto Rico,127.7666,127.5911,127.385,127.1898,127.0006,126.8034,126.611,126.4215,126.259,126.0998,125.9165,125.7253,125.5309,125.3299,125.1131,124.8799,124.6147,124.3427,124.0685,123.7759,123.4783,123.1734,122.8673,122.5476,122.2564,121.9539,121.6788,121.4016,121.1263
Qatar,139.4559,138.842,138.1724,137.4515,136.7561,136.0652,135.3846,134.7585,134.1935,133.6633,133.1561,132.6835,132.249,131.8313,131.4205,131.0072,130.6099,130.2419,129.8924,129.5482,129.2072,128.8582,128.5114,128.1676,127.8099,127.4401,127.0595,126.6956,126.3153
Romania,133.7437,133.7081,133.7239,133.7213,133.6948,133.5871,133.4437,133.2534,133.0612,132.8465,132.5274,132.1075,131.6923,131.3498,131.0059,130.7064,130.4752,130.2242,129.9698,129.7713,129.6162,129.4901,129.3499,129.2573,129.1783,129.0987,129.0137,128.878,128.7553
Russia,133.7711,133.7902,133.7995,133.7848,133.7253,133.6177,133.458,133.2591,133.0069,132.7075,132.346,131.9109,131.4131,130.8834,130.3632,129.8954,129.5003,129.1733,128.8899,128.6456,128.5208,128.4472,128.4137,128.4032,128.4165,128.4384,128.4646,128.4828,128.4903
Rwanda,129.157,129.4196,129.7012,129.9766,130.1385,130.3568,130.4995,130.6415,130.7138,130.878,130.871,130.877,130.9583,131.0507,130.9456,131.0943,131.2203,131.4002,131.6381,131.9074,132.2041,132.4917,132.8907,133.2654,133.5989,133.9343,134.3224,134.7198,135.1005
Saint Kitts and Nevis,128.1546,128.165,128.1552,128.1177,128.1452,128.1345,128.179,128.2307,128.2748,128.3212,128.3156,128.3201,128.3142,128.3017,128.2923,128.2799,128.2764,128.2771,128.3004,128.3313,128.3409,128.3638,128.3708,128.4346,128.54,128.6838,128.875,129.1048,129.3228
Saint Lucia,125.4212,125.4038,125.3517,125.3178,125.3131,125.2874,125.2686,125.2458,125.2654,125.2901,125.3183,125.2978,125.2676,125.1812,125.1213,125.0291,124.9971,124.9814,124.9348,124.8659,124.846,124.7898,124.7931,124.7497,124.7929,124.8697,124.9927,125.1063,125.2261
Saint Vincent and the Grenadines,124.427,124.5164,124.5981,124.6764,124.7463,124.7959,124.862,124.9139,124.9825,125.0179,125.0711,125.0622,125.0418,125.0183,124.9347,124.8671,124.7832,124.7283,124.6664,124.6414,124.6533,124.6941,124.7588,124.8445,124.9556,125.0757,125.1756,125.2955,125.3884
Samoa,122.9231,122.9548,122.9694,123.0026,123.0502,123.0526,123.1318,123.1847,123.2781,123.2887,123.2685,123.2244,123.0435,122.9781,122.9505,123.0251,123.1819,123.4397,123.7434,124.0637,124.3687,124.6652,124.9739,125.2352,125.5034,125.7061,125.9399,126.158,126.366
Sao Tome and Principe,131.5433,131.5888,131.6773,131.7075,131.7328,131.7854,131.8082,131.8519,131.8789,131.9601,132.0434,132.1354,132.2505,132.3692,132.5103,132.621,132.7393,132.9801,133.2197,133.4546,133.7227,134.0263,134.3387,134.6579,134.9565,135.2851,135.6384,135.9739,136.2989
Saudi Arabia,135.1572,134.9311,134.5954,134.1443,133.6426,133.0537,132.4797,131.9251,131.4537,131.0081,130.6391,130.269,129.9635,129.6778,129.3783,129.0338,128.675,128.362,128.0912,127.8363,127.6416,127.4965,127.3608,127.2559,127.1553,127.0724,127.0045,126.9023,126.8053
Senegal,127.6697,127.7556,127.8677,127.9267,127.9996,128.1444,128.2555,128.3179,128.3868,128.4321,128.4552,128.5056,128.5523,128.6291,128.6772,128.7322,128.7615,128.8319,128.9142,129.0385,129.149,129.2513,129.346,129.463,129.6045,129.7682,129.9399,130.1167,130.2795
Serbia,136.6482,136.4869,136.3174,136.1212,135.9219,135.7156,135.5036,135.3134,135.1195,134.906,134.6779,134.4137,134.0441,133.6039,133.1799,132.7594,132.4444,132.1555,131.894,131.5962,131.298,131.1109,130.9351,130.8657,130.8193,130.7015,130.5874,130.4804,130.3755
Seychelles,130.384,130.4484,130.5078,130.5271,130.5242,130.5544,130.5731,130.6084,130.6623,130.7539,130.81,130.8826,130.8847,130.8708,130.8405,130.7216,130.5753,130.4403,130.2843,130.101,129.9425,129.703,129.5054,129.2921,129.1475,129.0452,128.9572,128.9021,128.8337
Sierra Leone,130.0772,130.3421,130.6231,130.8617,131.089,131.3078,131.5094,131.7297,131.9202,132.0953,132.2575,132.391,132.4847,132.5778,132.7079,132.8102,132.9162,132.993,133.0497,133.0821,133.145,133.2634,133.424,133.6254,133.8361,134.0639,134.2858,134.499,134.716
Singapore,129.7363,129.4135,129.0996,128.7727,128.4586,128.0894,127.7614,127.4865,127.2426,127.035,126.8275,126.6243,126.4175,126.2151,126.0028,125.7698,125.4621,125.1254,124.7576,124.3834,124.0286,123.6488,123.2673,122.8893,122.5171,122.1966,121.8727,121.526,121.1736
Slovak Republic,135.7915,135.677,135.5321,135.3635,135.1698,134.9719,134.7554,134.5391,134.2948,134.0407,133.756,133.3875,132.9838,132.5714,132.2343,131.9139,131.654,131.38,131.1776,130.9619,130.7825,130.6013,130.4114,130.2554,130.1198,129.9818,129.8332,129.6767,129.528
Slovenia,136.4919,136.3469,136.1747,135.9713,135.754,135.5214,135.2778,135.0211,134.7532,134.4782,134.1875,133.8461,133.4675,133.0584,132.699,132.377,132.1202,131.8393,131.6402,131.4314,131.3042,131.0834,130.9412,130.7772,130.6621,130.5152,130.3498,130.1333,129.9231
Solomon Islands,118.2653,118.4875,118.6641,118.7961,118.9046,119.0342,119.148,119.2975,119.4557,119.6576,119.887,120.122,120.4044,120.6652,120.9343,121.2105,121.4568,121.6817,121.9049,122.118,122.3077,122.5078,122.7114,122.9335,123.1615,123.3976,123.6136,123.8262,124.0278
Somalia,126.8622,126.9425,127.0125,127.091,127.1679,127.2619,127.3808,127.5227,127.6714,127.8934,128.0757,128.2455,128.4175,128.5531,128.7227,128.8215,128.9209,129.0464,129.1767,129.2963,129.4658,129.632,129.8451,130.0791,130.2991,130.6133,130.8849,131.2116,131.5318
South Africa,133.2438,133.2205,133.1737,133.1181,133.054,132.9732,132.8862,132.791,132.6738,132.5267,132.335,132.1058,131.8266,131.5185,131.2061,130.8993,130.6152,130.3679,130.1685,130.057,129.999,130.0111,130.0713,130.175,130.3036,130.4554,130.6266,130.8109,130.9949
Spain,133.4567,132.8107,132.1459,131.4583,130.7836,130.1649,129.5869,129.0884,128.6289,128.239,127.8606,127.5016,127.1742,126.7971,126.3998,125.9696,125.5815,125.2052,124.8067,124.4543,124.1245,123.8075,123.514,123.2351,122.9795,122.7442,122.53,122.2758,122.0453
Sri Lanka,121.6269,121.8078,121.934,122.0518,122.1475,122.1898,122.2727,122.3264,122.3841,122.4306,122.5153,122.6213,122.7353,122.8867,123.0571,123.2274,123.3953,123.5737,123.7569,123.9396,124.1065,124.2646,124.3827,124.494,124.5895,124.6916,124.7566,124.8183,124.8615
Sudan,124.5247,124.6275,124.7429,124.8384,124.9317,124.996,125.1191,125.3018,125.4991,125.7118,125.8967,126.1052,126.3082,126.4971,126.6804,126.8557,127.0091,127.1724,127.3432,127.5233,127.7308,127.9429,128.1803,128.4073,128.6564,128.9104,129.1854,129.4601,129.7199
Suriname,127.1012,127.0373,126.9347,126.79,126.6316,126.4552,126.2799,126.0993,125.9449,125.8033,125.6591,125.5647,125.4726,125.3898,125.2799,125.1548,125.0304,124.9214,124.8354,124.7812,124.6997,124.6478,124.5842,124.5475,124.5598,124.5779,124.5797,124.6142,124.6358
Swaziland,128.8262,129.0251,129.1855,129.2875,129.4314,129.5826,129.7692,129.9639,130.1731,130.3738,130.5359,130.6213,130.6465,130.637,130.607,130.5483,130.5228,130.4558,130.4331,130.4339,130.4615,130.5677,130.7529,130.9262,131.0985,131.2975,131.5137,131.7148,131.8793
Sweden,132.924,132.4416,131.9565,131.4763,131.0251,130.599,130.2423,129.9532,129.6995,129.4648,129.2622,129.0277,128.7708,128.4712,128.153,127.8053,127.4216,127.0186,126.5904,126.196,125.8109,125.4386,125.0731,124.6972,124.3357,123.9606,123.6241,123.2888,122.9473
Switzerland,131.3064,130.738,130.215,129.6586,129.1561,128.6705,128.2639,127.8601,127.5056,127.1458,126.8063,126.4127,126.0246,125.6113,125.191,124.7346,124.2824,123.8098,123.3503,122.8896,122.4611,122.0455,121.6552,121.2695,120.9129,120.5706,120.2466,119.9433,119.6465
Syria,128.9787,129.0536,129.0784,129.0476,128.9453,128.8513,128.7353,128.6068,128.5483,128.3894,128.258,128.151,128.0829,128.0232,127.9735,127.9128,127.8908,127.8261,127.7898,127.7442,127.7126,127.6641,127.6258,127.575,127.4846,127.3824,127.2797,127.1199,126.9699
Taiwan,124.1092,123.8285,123.5285,123.2303,122.949,122.6555,122.3836,122.1451,121.916,121.6809,121.4502,121.2305,120.9972,120.774,120.5333,120.2878,120.0186,119.7505,119.5079,119.2667,119.0468,118.8305,118.6244,118.444,118.2897,118.1477,117.9895,117.8253,117.6414
Tajikistan,130.4651,130.4166,130.3686,130.3193,130.2617,130.1873,130.1223,130.0617,130.027,129.9913,129.9448,129.8717,129.6877,129.4862,129.229,128.9869,128.7918,128.6528,128.5328,128.4802,128.5277,128.6127,128.7498,128.9317,129.1384,129.3558,129.5563,129.7642,129.9657
Tanzania,122.5951,122.8886,123.1668,123.487,123.8037,124.085,124.3351,124.6333,124.9381,125.2644,125.5752,125.8878,126.1428,126.3665,126.5699,126.7335,126.9037,127.117,127.3435,127.6025,127.8852,128.1783,128.5271,128.9,129.2639,129.6436,130.0738,130.4586,130.8328
Thailand,118.3269,118.4596,118.5445,118.6097,118.6796,118.7405,118.8006,118.8728,118.9873,119.1503,119.2995,119.4564,119.6174,119.7898,119.9501,120.1133,120.2479,120.3428,120.3835,120.4373,120.4799,120.5044,120.5435,120.5795,120.6019,120.6046,120.5915,120.5532,120.4969
Timor-Leste,116.6069,116.8422,117.0432,117.217,117.3855,117.5396,117.7023,117.8797,118.0853,118.2839,118.4914,118.77,119.0595,119.3874,119.7409,120.1029,120.4504,120.7541,120.9947,121.1935,121.3663,121.5373,121.7147,121.8679,122.0454,122.2034,122.3717,122.5537,122.7331
Togo,127.459,127.5443,127.6036,127.5958,127.6572,127.7068,127.7509,127.8228,127.8994,128.0089,128.156,128.2656,128.3586,128.4629,128.5938,128.7291,128.9147,129.0765,129.2066,129.3694,129.5078,129.6609,129.8265,130.0031,130.1979,130.415,130.61,130.8211,131.0248
Tonga,119.5204,119.7909,120.109,120.4035,120.7322,121.0413,121.3282,121.6062,121.8586,122.0816,122.3193,122.5466,122.7637,122.9561,123.1433,123.3428,123.5452,123.7356,123.8929,124.0741,124.2858,124.4963,124.693,124.8917,125.0855,125.2538,125.4256,125.5914,125.7522
Trinidad and Tobago,126.0523,126.0647,126.0128,125.8665,125.685,125.497,125.2697,125.07,124.881,124.688,124.5406,124.4182,124.3203,124.2239,124.1687,124.1524,124.1463,124.1316,124.1409,124.167,124.2173,124.288,124.3713,124.4885,124.5751,124.6884,124.8038,124.9029,124.9939
Tunisia,129.9665,130.0726,130.1503,130.2109,130.2615,130.3186,130.352,130.383,130.3544,130.3399,130.3535,130.3535,130.3602,130.3698,130.3158,130.2194,130.1502,130.0782,130.0064,129.9621,129.8638,129.7277,129.5677,129.4397,129.322,129.1407,128.995,128.818,128.6291
Turkey,127.1133,127.1383,127.1869,127.2546,127.3207,127.3984,127.487,127.6148,127.7559,127.8844,127.9924,128.0817,128.0976,128.0738,127.9493,127.8063,127.6471,127.4569,127.2247,126.9308,126.6782,126.3575,126.0769,125.7433,125.3976,125.1012,124.7618,124.4208,124.0675
