"SBP female (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Chile,130.0642,129.947,129.7422,129.4997,129.3038,129.1039,128.8811,128.6616,128.4758,128.3259,128.1615,128.0284,127.934,127.8364,127.7303,127.5792,127.4468,127.2849,127.1097,126.9356,126.7715,126.6099,126.4672,126.3303,126.204,126.0669,125.9197,125.7291,125.5417
China,125.7083,125.3245,124.9655,124.6237,124.3166,124.024,123.7744,123.5962,123.442,123.3008,123.1926,123.0791,122.9621,122.8818,122.8275,122.8098,122.7874,122.8077,122.8502,122.9424,123.0561,123.2028,123.3793,123.5496,123.7103,123.8767,124.0353,124.1809,124.2903
Colombia,127.6211,127.4491,127.202,126.962,126.6896,126.4069,126.1357,125.9056,125.6615,125.4155,125.1574,124.8983,124.6946,124.4903,124.2784,124.0942,123.9037,123.7423,123.5757,123.4594,123.3908,123.3629,123.3725,123.4194,123.4922,123.5918,123.7262,123.8796,124.0235
Comoros,126.6428,126.7679,126.9354,127.1034,127.2501,127.4063,127.6092,127.8655,128.1224,128.3484,128.5602,128.758,128.9419,129.0898,129.2061,129.3234,129.4209,129.5036,129.6062,129.7385,129.9075,130.1089,130.3333,130.5855,130.8584,131.157,131.4868,131.8163,132.1354
"Congo, Dem. Rep.",129.7032,129.5953,129.4868,129.4081,129.3519,129.2988,129.2797,129.273,129.2834,129.2886,129.3054,129.2934,129.2302,129.1025,128.9809,128.7655,128.575,128.4023,128.2762,128.181,128.1193,128.1042,128.1466,128.265,128.4194,128.6162,128.8512,129.1045,129.3571
"Congo, Rep.",132.7139,132.8838,133.0764,133.2087,133.2983,133.3317,133.3038,133.2732,133.2081,133.12,133.0163,132.8571,132.7,132.5223,132.366,132.2375,132.1411,132.0561,131.9672,131.9054,131.8581,131.8403,131.8192,131.7881,131.7457,131.7435,131.7511,131.7231,131.6935
Cook Islands,124.6739,125.0561,125.4989,125.8505,126.1866,126.4769,126.6957,126.8622,126.9762,127.0699,127.1359,127.1891,127.2098,127.2517,127.2681,127.278,127.2686,127.2317,127.2015,127.1764,127.1669,127.161,127.1267,127.0762,127.0191,126.9255,126.807,126.6603,126.4865
Costa Rica,125.2984,125.0854,124.8362,124.572,124.3403,124.1165,123.9235,123.7693,123.5914,123.5199,123.4495,123.368,123.3074,123.1536,122.9734,122.7509,122.5197,122.2974,122.0964,121.9762,121.8574,121.7656,121.6703,121.5652,121.4702,121.4544,121.4373,121.3973,121.35
Cote d'Ivoire,130.272,130.358,130.4044,130.4274,130.4018,130.3776,130.4024,130.4073,130.4228,130.4788,130.4839,130.489,130.4901,130.5038,130.4668,130.4654,130.5055,130.5347,130.5781,130.6135,130.6667,130.7259,130.8075,130.91,131.0199,131.1362,131.278,131.4029,131.5237
Croatia,136.2299,136.073,135.9027,135.7037,135.4916,135.2693,135.0222,134.7946,134.5782,134.3509,134.1195,133.8074,133.4546,133.1127,132.8215,132.5878,132.404,132.2098,132.0565,131.9161,131.7474,131.5993,131.4386,131.2982,131.0964,130.9106,130.7402,130.5685,130.3921
