"Foreign direct investment, net inflows (% of GDP)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,0.01315122436,0.02457527143,0.009401114675,0.01557692369,,,0.001565217384,-0.0081264106,,0.03245049644,0.2471357348,0.005174215982,,,,,,,,,,,,,,,,,,,,0.02762356522,1.152363794,1.212724644,3.276531558,3.976666167,3.082130355,2.503251724,2.5125005,1.301563873,0.4387258944,
Albania,,,,,,,,,,,,,,,,,,,,,,,2.819074984,4.722853828,2.669120208,2.887194483,2.99015884,2.162803347,1.650080654,1.199626443,3.878860857,5.067195647,3.034135061,3.149790539,4.572141979,3.133522618,3.561523097,6.18683777,7.390890059,8.008637632,9.414123387,
Algeria,1.647377505,0.01181748525,0.61359524,0.5851908083,2.710126852,0.7648830261,1.054807791,0.8509130682,0.5126295397,0.07728592606,0.8233953553,0.02978050784,-0.1184973239,0.0008557979904,0.001494775753,0.0006865773849,0.008346683213,0.005561000473,0.0220315974,0.02173525672,0.0005397921399,0.02545902379,0.062495707,,,,0.5751840509,0.5396669545,1.258825367,0.5994990172,0.5112241259,2.007756642,1.86668409,0.9316568464,1.037359227,1.056292266,1.532824456,1.223826566,1.517639093,1.998263105,1.414500815,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,4.085664893,3.681648091,1.611784359,1.642585019,2.154463257,-3.263096398,5.449514579,4.982459847,5.71552893,4.195018198,9.374416905,2.398993967,5.363359887,17.28373592,40.15708695,9.624303227,24.00922591,14.62676047,25.1120264,7.328524772,-4.256403095,-0.08350787087,-1.47778096,1.994536325,2.921207192,-3.799534626,
Antigua and Barbuda,,,,,,,,3.326054149,-9.217752872,9.215017228,17.80738978,17.997323,16.67248327,3.262209051,2.535860701,7.728014881,9.190866532,13.47287607,9.729026504,11.54445097,15.47803743,13.35138272,4.63658937,3.338336207,4.956896639,6.37113089,3.576562339,3.956949563,3.673018473,7.945445595,5.372522296,12.3998815,8.001069008,19.1920715,8.699670827,21.59497791,30.86414942,25.66261899,12.64012951,6.435272719,7.981279809,
Argentina,0.2842242974,0.3774644775,0.2064895025,0.1907924783,0.02473881453,0.1060095983,0.4781754766,0.2536059593,0.4304195012,0.2974629202,0.8809551101,1.06384544,0.269252481,0.1779203589,0.3388458924,1.039396769,0.5174227099,-0.01710075718,0.9088257081,1.341390409,1.298881665,1.285578818,1.936790575,1.179743768,1.411953265,2.17392651,2.553203331,3.127879133,2.438768046,8.46058149,3.665790656,0.806164239,2.105941749,1.274727568,2.693609323,2.874148164,2.586741481,2.48233393,2.977121049,1.308169461,1.913311415,
Armenia,,,,,,,,,,,,,,,,,,,,,,,0.1885936188,0.06659379106,0.6082916214,1.724422857,1.100209269,3.168053675,11.66113519,6.612905897,5.450511635,3.298067417,4.660062565,4.306005449,6.929888594,4.884966889,7.098054941,7.590690174,8.021205012,8.990485453,6.08311401,
Aruba,,,,,,,,,,,,,,,,,,,,,,21.18513815,-3.857808776,-1.655492432,-5.874439,-0.418781717,6.121457042,12.78993349,5.018450185,26.87418879,-6.88608328,-14.1100318,13.67144106,,,,,,,,,
