Male 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bulgaria,8.581677704,9.601497727,8.940397351,8.146341463,7.634307257,7.420169998,7.676630435,7.593799146,6.92431562,6.52173913,5.380476556,4.449773515,4.693539481,5.195546674,5.298993487,5.050816138,4.726688103,4.508748318,4.641350211,4.952311079,5.147906262
Burkina Faso,12.80373832,12.48339973,12.40694789,13.4541249,14.1740675,14.75942783,15.20329994,15.68679146,15.82220175,15.69686063,15.59903047,15.10507881,14.79478987,16.15174443,15.1783271,14.11028172,13.15695643,12.45046657,11.85382213,11.1880717,10.43427287
Burundi,13.33899745,13.44211344,15.31914894,15.08090615,14.96156121,15.4849688,14.83157366,14.28571429,15.13181654,16.25582945,15.82298631,13.85341477,12.39530988,12.40008641,12.37945286,11.74759047,10.71246387,9.769378603,9.18722567,8.943439564,8.69803814
Cambodia,13.71375978,13.76601902,13.79183523,13.99739583,14.16234888,14.47887324,14.848,12.05450734,17.61646804,16.09720446,15.4368932,12.82203139,10.67263358,10.40735221,10.41023883,10.12442837,9.303955934,8.382492864,7.76222505,7.476227864,7.269354023
Cameroon,12.83691183,12.84289277,13.36093338,13.39825386,13.86666667,14.25988117,14.66666667,14.91278513,15.23026316,14.90701001,14.46103239,13.46824058,13.54709419,13.5098622,12.81757089,11.88969259,11.0746914,10.48669695,10.03828158,9.567459181,9.040961758
Canada,9.629735936,11.10693243,11.37064786,11.67138238,10.99706745,8.549961137,7.624897625,7.263092269,7.187591028,7.033997655,6.895644164,5.91875,5.468843084,5.403568394,5.44158929,5.538350366,5.533773388,5.403458213,5.266844096,5.237271154,5.265498532
Cape Verde,10.44776119,14.1025641,16.30434783,16.66666667,17.32283465,16.40625,15.03759398,15.54054054,16.96969697,16.93121693,15.4589372,13.91304348,12.60162602,10.98484848,10.67615658,10.16949153,9.294871795,8.695652174,7.854984894,7.418397626,7.058823529
Central African Rep.,11.62079511,11.62790698,12.17861976,12.82367448,13.25167038,13.63636364,13.88888889,13.83061383,14.31549687,14.16361416,13.71055495,13.95233366,13.56238698,12.83532811,12.26737562,11.65903487,11.08552632,10.57513915,9.994155465,9.472222222,8.972657287
Chad,12.41666667,12.29135053,13.30589849,13.46863469,13.59116022,13.78973105,14.27312775,14.87378641,15.1193634,15.1403459,15.05040807,15.06133119,15.1048951,14.74506201,14.39159143,13.97224529,13.43661081,12.75770758,11.99657241,11.25205544,10.59764977
Channel Islands,6.25,6,7.407407407,7.272727273,8.474576271,6.451612903,6.557377049,6.153846154,5.970149254,5.797101449,5.797101449,5.714285714,5.479452055,5.405405405,4.109589041,4.109589041,4.166666667,4.166666667,4.109589041,4.225352113,4.225352113
