"GNI per capita, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,590,650,750,890,970,860,1000,1060,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,2550,2610,2750,2730,2720,3040,2820,2020,1880,2200,2500,2980,3360,3090,3550,3950,4380,4820,4980,5350,5770,6220,7000,7390,8280,8560,8570,8900
Algeria,,,,,,,,,,,,,,,,,,,,2950,3220,3510,3740,3960,4100,4110,4080,4020,4250,4330,4250,4330,4280,4210,4340,4510,4610,4870,4990,5130,5410,5620,6040,6420,6810,7150,7660,7940,8240,8060,8370
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1710,1750,1920,1820,1860,1790,1790,1240,930,740,1240,1460,1670,1710,1650,1790,1850,2160,2250,2480,2880,3450,4340,4690,5130,5170,5290
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,3460,3950,4210,4740,5510,6170,6250,7130,8360,8960,9540,10400,10630,11430,12060,11510,11860,12900,13380,13770,13680,14390,14450,15370,16610,17790,20570,18910,19310,17370,16080,15670
Argentina,,,,,,,,,,,,,,,,,,,,4770,4770,4560,4870,5110,4790,5250,5470,5450,4940,5150,6000,6850,7360,7840,7660,8110,8830,9150,8860,8880,8570,7340,8180,9120,10470,11730,13060,14100,14110,15500,17250
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,1950,990,1040,1240,1390,1560,1720,1830,1930,2090,2360,2740,3170,3590,4210,4940,5760,6340,5380,5640,6140
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,9000,10000,10750,10980,11880,12580,13140,13610,14520,15530,16580,17030,17570,18500,19390,20140,21160,22170,23550,24620,25700,26740,28150,29170,30620,31540,33030,34760,35920,37970,36410,
Austria,,,,,,,,,,,,,,,,,,,,10440,11340,12280,13190,13680,14440,15050,15700,16720,17940,19290,20320,21050,21440,22270,23180,24240,24760,25880,26700,28420,28410,30090,31000,32600,33300,36190,37610,39700,38570,39820,42080
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,1690,1500,1510,1640,1810,1940,2090,2320,2580,2910,3200,3940,5390,6650,7770,8680,9240,9020
Bahamas,,,,,,,,,,,,,,,,,,,,11380,10900,12390,13080,15140,16080,16500,17300,18010,20080,19990,19470,19230,19060,19690,24310,27520,22290,24130,25650,26880,27780,28600,28590,29310,30670,32030,32700,32670,30990,29850,
Bahrain,,,,,,,,,,,,,,,,,,,,9690,9940,9300,9850,10490,9580,9350,10260,10480,10640,10830,15070,15470,16660,16450,17660,18300,18030,18800,19110,20460,21460,22460,24680,25800,27210,26940,26550,24700,21180,21240,
Bangladesh,,,,,,,,,,,,,,,,,,,,310,360,380,410,430,440,460,480,500,520,550,580,600,630,660,700,730,770,800,840,890,940,990,1060,1140,1220,1350,1470,1600,1700,1810,1940
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,8550,9270,9630,10550,11560,11550,11240,11020,11250,11960,12340,12760,13860,14560,15020,15610,15050,14640,15240,16220,17080,17180,17710,17950,18850,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640,4740,4370,4120,3710,3400,3580,4060,4490,4740,5140,5520,5930,6540,7520,8540,9710,10820,12280,12430,13590,14560
Belgium,,,,,,,,,,,,,,,,,,,,10200,11130,11830,12330,13130,13790,14370,15160,16370,17470,18680,19700,20380,20750,21970,22860,23270,24340,24820,25850,28290,28970,30450,30740,31520,32400,34530,36010,37560,36490,38350,39270
Belize,,,,,,,,,,,,,,,,,,,,1580,1700,1730,1720,1730,1760,1880,2080,2290,2620,2970,3280,3630,3810,3780,3800,3820,3890,3920,4180,4650,4750,4950,5320,5420,5610,5870,5780,5930,6070,5890,6070
Benin,,,,,,,,,,,,,,,,,,,,540,630,670,640,690,740,760,750,780,760,790,830,840,870,890,920,960,1020,1060,1100,1150,1200,1230,1260,1300,1340,1370,1440,1530,1570,1580,1630
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,420,460,490,550,570,660,830,940,1200,1280,1360,1410,1570,1780,1820,2020,2210,2140,2120,2350,2550,2720,2840,3100,3030,3810,4080,4000,4490,4970,5480
Bolivia,,,,,,,,,,,,,,,,,,,,1810,2070,1800,1830,1780,1750,1700,1790,1870,1980,2110,2250,2310,2400,2520,2640,2770,2890,3030,3010,3080,3140,3210,3260,3400,3620,3870,4090,4380,4480,4620,4920
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,1180,2420,3310,4790,4970,5010,5200,5440,5700,6140,6610,7400,8150,9000,8900,8870,9200
Botswana,,,,,,,,,,,,,,,,,,,,1570,1950,2230,2380,2440,2620,2820,3010,3830,4260,4880,5500,5680,6000,5470,5970,5970,6730,7780,7600,7930,8620,8540,9420,10070,10600,11510,12360,13000,12900,13640,14560
Brazil,,,,,,,,,,,,,,,,,,,,3330,3490,3690,3570,3810,4160,4540,4780,4840,5590,5040,5230,5250,5500,5870,6190,6330,6550,6520,6470,6820,6920,7120,7280,7830,8270,8810,9570,10160,10180,11000,11500
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35680,36400,37730,39240,39110,40050,41690,42530,41660,41000,41880,43010,44200,45670,47000,47580,48380,51120,51940,51020,49790,,
Bulgaria,,,,,,,,,,,,,,,,,,,,2730,3140,3410,3660,3930,4150,4410,4790,5450,5480,4990,4650,4880,4940,5140,5360,4440,4690,5350,5590,6070,6770,7740,8350,8980,9840,10800,11420,13230,13250,13510,13980
Burkina Faso,,,,,,,,,,,,,,,,,,,,290,320,370,370,370,410,440,440,460,480,480,530,530,540,540,570,630,670,710,750,760,800,830,890,930,1010,1080,1120,1180,1190,1260,1310
Burundi,,,,,,,,,,,,,,,,,,,,290,340,350,360,360,400,410,430,450,470,490,520,530,500,480,450,410,410,440,430,450,460,480,470,490,490,520,540,560,570,580,610
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,670,720,740,820,890,960,1020,1120,1250,1440,1630,1830,1960,1970,2070,2260
Cameroon,,,,,,,,,,,,,,,,,,,,800,1070,1240,1340,1490,1620,1750,1710,1600,1560,1440,1360,1320,1270,1230,1260,1320,1380,1450,1510,1540,1640,1670,1770,1870,1930,2040,2150,2190,2220,2260,2360
Canada,,,,,,,,,,,,,,,,,,,,10730,11920,12120,12880,13980,14960,15460,16430,17590,18370,18800,18850,19170,19870,21020,21900,22470,23640,24630,26140,27670,28440,29150,30500,32110,34380,36500,37860,38490,37260,38370,39730
Cape Verde,,,,,,,,,,,,,,,,,,,,460,560,580,630,680,750,790,850,930,1010,1040,1060,1090,1160,1230,1310,1390,1490,1600,1780,1890,2050,2120,2250,2370,2540,2830,3190,3410,3560,3690,4000
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,460,480,520,480,530,560,580,550,560,580,580,590,550,550,560,610,580,610,630,660,670,680,670,630,640,670,710,740,750,760,780,810
Chad,,,,,,,,,,,,,,,,,,,,310,340,370,440,440,540,520,500,580,610,590,640,690,570,610,630,630,660,700,680,660,720,760,730,990,1110,1110,1150,1100,1260,1360,1370
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,2250,2510,2260,2210,2390,2540,2750,3090,3410,3930,4270,4740,5470,5970,6330,7160,7770,8320,8640,8520,8910,9320,9510,9820,10350,11600,12080,13010,14200,14200,15040,16330
China,,,,,,,,,,,,,,,,,,,,250,280,320,370,440,500,550,620,700,750,800,890,1020,1170,1340,1480,1640,1820,1960,2120,2340,2560,2840,3180,3590,4090,4750,5580,6230,6820,7530,8450
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,2510,2730,2810,2890,3010,3110,3320,3510,3720,3870,4180,4360,4600,4770,5140,5440,5520,5720,5750,5500,5740,5850,5980,6200,6600,7030,7640,8260,8580,8710,9020,9640
Comoros,,,,,,,,,,,,,,,,,,,,580,630,690,720,760,770,780,800,830,820,870,830,910,930,880,910,890,920,910,920,930,960,980,1000,1000,1050,1070,1080,1080,1080,1090,1120
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,210,390,400,490,450,450,430,460,420,380,330,290,260,250,270,250,250,230,210,210,220,230,240,260,280,290,290,310,330,350
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,1280,1660,2100,2200,2430,2390,2400,2410,2090,2140,2130,2210,2350,2290,2140,1500,1530,1880,2040,1810,1960,2010,2170,2210,2110,2240,2380,2440,2760,2870,3180,3280
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,2910,2820,2560,2890,3150,3220,3420,3660,3810,4030,4350,4540,4940,5300,5590,5770,5800,6060,6400,6280,6650,7000,7220,7660,8060,8690,9660,10600,11000,10780,11290,11950
