"GNI per capita, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,1190,1270,1280,1190,1190,1190,1250,1210,1220,1190,1180,1200,1200,1180,1210,1300,1410,1500,1560,1560,1500,1520,1490,1490,1540,1590,1630,1670,1720,1770,1800,1730
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,8230,7400,6720,7260,7990,8990,9630,10030,9760,10720,11450,12370,12970,14200,14930,16330,18250,19650,19040,18680,19330
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,5160,5670,6300,6770,7560,8080,8460,9330,10370,11480,12540,12730,13790,13880,14650,15090,15470,15820,18240,17360,18170,19790,20670,21310,22200,23400,25080,26420,29790,30750,30910,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11780,11900,12460,13420,14170,14270,14270,14540,15280,16340,16920,18100,19110,20370,22070,23610,24670,23910,23550,24280
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,9920,10660,11660,12480,13430,14370,15440,15980,16470,17120,18000,18820,19660,20140,21650,22750,23760,24920,25850,26690,28210,29010,30390,30240,32430,33660,36720,38120,40460,38910,41120,42300
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,1970,1860,1830,1770,1670,1620,1590,1600,1600,1620,1660,1810,1930,2010,2170,2290,2400,2450,,
Dominica,,,,,,,,,,,,,,,,,,,,1920,2360,2600,2770,3000,3060,3480,3830,4370,4480,5000,5140,5370,5600,5670,5860,6010,6270,6850,6750,6600,7100,7030,7780,8180,8530,9650,10270,11440,11650,11960,12460
Dominican Republic,,,,,,,,,,,,,,,,,,,,1740,1920,2050,2170,2230,2140,2270,2490,2550,2740,2650,2730,3010,3190,3290,3490,3760,4070,4340,4610,4910,5030,5330,5220,5260,6020,6810,7510,8060,8330,8990,9490
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,2620,2870,2890,2840,2940,2990,3080,2970,3220,3290,3450,3750,3890,3990,4210,4320,4420,4630,4690,4260,4350,4740,5030,5210,5700,6190,6630,6860,7530,7530,7850,8310
Egypt,,,,,,,,,,,,,,,,,,,,1070,1180,1350,1470,1580,1650,1670,1890,2030,2150,2280,2370,2490,2560,2700,2860,3020,3210,3330,3510,3710,3860,3910,4030,4230,4480,4890,5310,5710,5890,6030,6160
El Salvador,,,,,,,,,,,,,,,,,,,,2040,1950,1900,1980,2050,2110,2140,2230,2320,2400,2600,2730,2980,3210,3440,3710,3810,3990,4170,4320,4500,4660,4810,4980,5190,5540,5950,6330,6560,6330,6460,6690
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,1300,1230,1280,1310,1290,1350,1330,1500,1610,1560,1790,1920,3450,4380,3280,5430,6140,7860,7730,9950,12600,13700,16240,20950,25960,21980,24110
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,400,490,520,560,600,610,600,510,610,610,580,580,590,580,590,530,540,540,580
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6340,6970,7790,8360,8650,9560,10280,11500,12700,14060,15920,18160,20160,20970,19230,19380,20830
Ethiopia,,,,,,,,,,,,,,,,,,,,,310,330,350,350,310,330,380,380,380,390,360,330,360,370,390,440,440,420,440,460,500,510,490,560,630,710,800,880,950,1030,1110
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,1620,1840,1750,1720,1890,1860,2030,1940,2010,2230,2390,2400,2560,2630,2740,2920,3100,3040,3050,3340,3520,3550,3780,3860,4170,4390,4340,4470,4560,4590,4460,4590
Finland,,,,,,,,,,,,,,,,,,,,8850,9710,10520,11200,11940,12690,13320,14140,15380,16540,17110,16410,15940,15970,17040,18200,18770,20590,22050,23310,25480,26490,27580,27410,30090,30850,33450,36180,38280,36270,37100,38500
France,,,,,,,,,,,,,,,,,,,,9540,10470,11270,11720,12250,12810,13370,14050,15100,16210,17190,17880,18540,18770,19470,20190,20840,21810,22860,23920,25530,26890,27770,27460,28460,29910,31880,33600,34640,34170,34780,35650
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,7320,8290,8260,8800,9770,9430,9270,7650,8680,9640,9680,10290,9550,9660,10210,10470,10740,11260,11780,10540,9950,10400,10760,10770,10400,11580,11440,12390,12730,12860,13070,13650
Gambia,,,,,,,,,,,,,,,,,,,,770,840,840,900,1000,940,830,1020,1040,1010,1020,1110,1130,1160,1150,1160,1180,1210,1240,1290,1350,1400,1320,1400,1490,1490,1540,1660,1780,1860,1960,2060
Georgia,,,,,,,,,,,,,,,,,,,,3270,3740,4010,4310,4680,5010,4670,4820,5220,5010,4430,3590,1990,1410,1300,1370,1620,1980,2120,2230,2310,2420,2590,2960,3270,3650,4130,4700,4860,4700,4950,5390
Germany,,,,,,,,,,,,,,,,,,,,9930,10880,11500,12210,13130,13870,14470,15050,16170,17320,18770,20140,20820,20890,21620,22320,22910,23370,23910,24690,25490,26400,27070,28110,29930,31470,34230,36170,37590,36800,38120,39970
Ghana,,,,,,,,,,,,,,,,,,,,470,480,460,440,480,500,520,540,580,610,640,680,700,730,750,780,810,840,870,900,920,960,1000,1040,1110,1190,1110,1200,1330,1530,1610,1820
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,8490,9020,9420,9590,9990,10490,10680,10770,11550,12400,12960,13760,14080,13980,14440,14940,15400,16280,16730,17030,18320,19890,21480,22390,23720,23990,26220,26930,28600,28670,27650,26090
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,2900,3340,3600,4020,4360,4720,4790,4660,4850,4970,5220,5520,5870,6540,7550,7290,7480,8280,7740,9620,9710,10420,10760,9930,10100,10530
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,1840,1970,1960,1930,1950,1960,1930,2020,2130,2250,2360,2490,2610,2710,2810,2950,3010,3130,3270,3360,3470,3580,3650,3720,3840,3990,4210,4490,4630,4560,4630,4800
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,360,380,410,420,440,440,440,460,460,470,490,510,530,560,570,590,630,620,640,870,890,940,960,960,990,1050
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,410,540,580,580,650,760,670,670,700,760,830,870,880,900,930,960,1080,1160,820,880,960,940,910,920,950,1000,1040,1090,1110,1140,1180,1250
Guyana,,,,,,,,,,,,,,,,,,,,910,970,880,850,820,890,880,830,870,750,780,880,1040,1270,1480,1630,1800,1900,1900,2020,2050,2110,2180,2210,2160,2470,2660,2950,3110,3240,3460,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1040,920,1150,1140,1170,1120,1190
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,1270,1390,1390,1410,1490,1550,1540,1620,1720,1810,1760,1820,1890,2090,2050,2110,2180,2320,2380,2350,2510,2510,2590,2720,2900,3120,3360,3660,3800,3690,3750,3840
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24640,26600,27550,27900,29950,32980,35720,39890,43610,46240,44320,47270,51490
Hungary,,,,,,,,,,,,,,,,,,,,5030,5550,5990,6360,6740,6940,7220,7770,8050,8430,8560,7670,7670,8130,8520,8700,8950,9410,10050,10430,11290,12720,13910,14630,15340,16060,17310,17610,19120,19270,19560,20260
Iceland,,,,,,,,,,,,,,,,,,,,11770,13180,14010,13960,14830,15760,17110,19110,19400,19730,20610,21200,20790,21270,22160,22580,23630,25500,27210,28050,28050,29490,31040,30270,32420,33630,33800,35320,31200,29570,29360,30760
India,,,,,,,,,,,,,,,,,,,,420,480,510,550,580,620,650,680,750,810,860,880,930,980,1040,1130,1220,1270,1340,1450,1510,1600,1660,1810,1970,2190,2440,2720,2840,3070,3340,3620
Indonesia,,,,,,,,,,,,,,,,,,,,610,710,730,810,870,910,970,1030,1120,1250,1380,1390,1520,1800,1960,2140,2320,2430,2060,2030,2120,2180,2250,2590,2740,2950,3200,3470,3740,3910,4190,4530
Iran,,,,,,,,,,,,,,,,,,,,3450,3450,3960,4460,4390,4440,3970,3880,3640,3900,4470,5110,5350,5210,5200,5430,5820,6050,6210,6290,6660,6970,7370,7940,8490,9060,9810,10810,11200,11400,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330,2670,2930,3030,3370,3500,3460,3770
Ireland,,,,,,,,,,,,,,,,,,,,6230,6910,7230,7360,7750,8130,8330,9000,9720,10590,12050,12690,13170,13810,14920,16340,17930,19590,21520,22570,24970,26050,27660,29770,31540,33550,37290,39440,37040,33140,33560,33230
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,7210,8260,8460,8920,9210,9570,10020,10840,11560,12100,13050,13560,14340,14870,15860,17070,18320,18820,19160,19320,21480,22270,22580,21340,23010,23100,23840,25520,25080,24810,25760,27120
Italy,,,,,,,,,,,,,,,,,,,,9240,10100,10740,11310,12100,12800,13420,14290,15400,16480,17330,18180,18780,19050,19830,20890,21630,22540,23660,24220,25560,27090,26760,27080,27430,28290,30490,32040,33010,32100,31750,32710
Jamaica,,,,,,,,,,,,,,,,,,,,2290,2610,2780,2820,2720,2660,2820,3100,3380,3770,3990,4260,4490,5230,5310,5560,5710,5720,5510,5600,5730,5840,5880,6290,6550,6780,7280,7470,7550,7360,7470,7770
Japan,,,,,,,,,,,,,,,,,,,,8540,9640,10520,11210,12080,13180,13770,14710,16240,17700,19340,20630,21280,21740,22290,23090,24160,24970,24690,24940,26350,27040,27680,28420,29880,31150,32700,34490,34700,32970,34810,35530
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,1900,2110,2310,2330,2470,2530,2650,2680,2580,2240,2250,2050,2410,2490,2580,2730,2750,2850,2920,3010,3220,3410,3540,3690,4060,4450,4870,5350,5690,5880,5810,5970
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220,3810,3630,3760,3950,4000,4120,4470,5260,5940,6530,7230,7880,8690,9550,9720,10080,10620,11310
Kenya,,,,,,,,,,,,,,,,,,,,640,690,710,730,740,770,810,850,900,950,980,990,980,950,980,1030,1080,1090,1110,1120,1130,1160,1160,1190,1250,1350,1440,1540,1560,1580,1640,1720
Kiribati,,,,,,,,,,,,,,,,,,,,1370,1360,1720,1950,1680,1770,1880,1870,2150,2060,2390,2170,2200,2190,2320,2450,2240,2810,3280,3080,3370,3500,3420,3370,3480,3520,3630,3580,3670,3310,3520,3480
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,2340,2670,3010,3470,3900,4260,4840,5580,6420,7080,7950,8960,9600,10310,11330,12420,13430,14250,13290,14870,17110,18110,19670,20200,21690,22760,24280,26150,26890,27050,28830,30340
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,22320,21030,18240,19450,20090,18680,22980,21200,20240,25690,,,,,,39940,40360,42380,43080,38890,40070,38610,37400,42930,48000,53120,56510,58310,58180,53340,53820,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1620,1690,1820,1710,1480,1280,1030,980,1050,1140,1150,1180,1260,1370,1380,1500,1610,1660,1780,1980,2120,2170,2070,2290
Lao,,,,,,,,,,,,,,,,,,,,,,,,510,540,560,560,550,630,680,710,750,790,850,900,960,1000,1030,1120,1150,1230,1300,1360,1490,1650,1770,1970,2110,2300,2400,2600
Latvia,,,,,,,,,,,,,,,,,,,,4240,4820,5210,5660,6180,6290,6690,6970,7510,8190,7830,7120,5010,4970,5270,5420,5820,6500,6990,7340,8020,8940,9900,10580,11480,12880,14550,16630,17910,17210,16630,17820
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,5050,6250,6210,6470,6900,7360,7610,7390,7580,7590,7800,7970,7890,7100,8970,9510,9940,11120,12150,12950,13820,14000
Lesotho,,,,,,,,,,,,,,,,,,,,640,710,840,850,940,940,940,950,980,1020,1070,1090,1110,1100,1140,1140,1190,1210,1220,1210,1270,1290,1310,1400,1440,1650,1690,1740,1940,1990,1980,2070
Liberia,,,,,,,,,,,,,,,,,,,,660,670,640,570,580,580,550,510,520,370,,,,,,,,160,190,190,300,260,340,210,210,250,280,340,370,420,440,520
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,12240,12510,13930,15280,16510,16700,16750,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9340,9090,7330,6300,5840,6200,6600,7180,7830,7830,8470,9410,10440,11710,12610,14050,15810,17610,19060,17360,18010,19690
Luxembourg,,,,,,,,,,,,,,,,,,,,10910,12300,14450,15850,17230,18360,20040,21550,23550,26300,28860,32270,33020,34040,34290,36100,37490,39360,39810,44090,46760,47870,47730,47070,56750,58670,59710,67990,67130,55710,61280,64410
"Macao, China",,,,,,,,,,,,,,,,,,,,,,10570,11640,12470,12380,13060,14590,15560,16240,17370,18170,20330,21290,22240,22820,22520,22600,21560,20710,21520,20840,23670,26190,32190,34860,38570,49180,45450,46350,57060,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5330,4930,4680,4710,4760,4870,4990,5220,5450,5830,5790,5960,6350,6970,7720,8730,9050,10600,11130,11100,11490
Madagascar,,,,,,,,,,,,,,,,,,,,610,580,590,600,600,620,620,620,640,670,720,660,670,690,670,680,690,720,740,760,790,830,710,780,810,860,900,960,1030,960,950,950
Malawi,,,,,,,,,,,,,,,,,,,,300,310,330,350,370,380,370,370,370,380,400,440,410,460,420,490,540,550,560,570,580,550,550,580,620,640,690,730,790,830,860,870
Malaysia,,,,,,,,,,,,,,,,,,,,2240,2560,2770,2930,3180,3140,3170,3350,3730,4090,4570,5000,5400,5940,6450,7080,7730,8190,7500,7750,8320,8440,8900,9520,10260,11020,12010,13040,13610,13450,14160,15190
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2720,2980,3270,3490,3690,3840,4070,4750,5310,5040,6130,6890,7800,7430,7840,8540
Mali,,,,,,,,,,,,,,,,,,,,350,360,360,380,400,360,400,400,420,,480,490,530,520,510,540,550,580,610,650,660,700,710,790,800,850,880,970,970,980,1030,1050
Malta,,,,,,,,,,,,,,,,,,,,5960,6780,7320,7260,7710,7890,8040,8560,9440,10560,11780,12650,13220,13850,14530,15570,14710,15620,16010,17200,18570,18430,19450,19590,19690,20070,21410,22580,24340,23470,24170,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,900,960,980,1000,1010,1010,1060,1080,1120,1200,1200,1250,1260,1320,1280,1410,1550,1470,1520,1610,1580,1550,1730,1720,1820,1980,2240,2340,2440,2400,2400,2410
