Agricultural water withdrawal as % of total water withdrawal (%),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
West Bank and Gaza,,,,,,,,,59.8,45.2
Oman,,,,,,,93.8,,90,88.4
Pakistan,,,,98,,,90,,96,
Palau,,,,,,,,,,
Panama,,,,,,,,,28,
Papua New Guinea,,,,,,,,,1.4,
Paraguay,,,,,,78,,,71,
Peru,,,,,,,86.1,,81,
Philippines,,,,,,,,76.2,70,
Poland,,,,,,,,,8,
Portugal,,,,,,,,,78,
Puerto Rico,,,,,,,,,,
Qatar,,,,,,,,73.92,72,59
"Korea, Rep.",,,,,,,,,47,
Moldova,,,,,,,26.1,,32,
Reunion,,,,,,,,,,
Romania,,,,,,,59,,56,
Russia,,,,,20,,23,10,17,
Rwanda,,,,,,,,,68,
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,
Saudi Arabia,,,,,,,89.9,,,88
Senegal,,,,,,91.9,,,92.9,
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,
Seychelles,,,,,,,7.563,,,7.317
Sierra Leone,,,,,,88.9,,,92,
Singapore,,,,4,,,,,,
Slovak Republic,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,,,,,,,,,,
Somalia,,,,,,97,,,99,99.4
South Africa,,,,,,,71,,62.7,
Spain,,,,,,62,,,68,
Sri Lanka,,,,,,,96,,90,
Sudan,,,,,,,96,90,96,
Suriname,,,,,,89,,,92,
Swaziland,,,,,95,,,,96.5,
Sweden,,,,,,,9,,8,
Switzerland,,,,,,,,,1,
Syria,,,,,,,,88.9,88,87.8
Tajikistan,,,,,,91,91,92.3,91,
Thailand,,,,,,,,,95,
"Macedonia, FYR",,,,,,,,,,
Timor-Leste,,,,,,,,,,
Togo,,,,,,25.2,,,44.9,
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,,,,,,,,5.7,6,
Tunisia,,,,,,,88.7,,82,
Turkey,,,,,,,70,,70,70
Turkmenistan,,,,,,,98.7,97.9,97,
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,60,,,,,,40,
Ukraine,,,,,,,,,52,
United Arab Emirates,,,,,80,,,66.7,,82.8
United Kingdom,,,,,,,3,,2,
Tanzania,,,,,,,,,89.3,
Virgin Islands (U.S.),,,,,,,,,,
United States,,,,,,,57,,41,
Uruguay,,91,,,,,,,96,
Uzbekistan,,,,92.9,93.4,93.4,94.7,93.6,93,
Vanuatu,,,,,,,,,,
Venezuela,,,46,,,,,,47,
Vietnam,,,,,92,89,80,,68,
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",,,,,,,90,,90,
Zambia,,,,,,,76.6,77.2,75,
Zimbabwe,,,,,,79,,,78.9,
