Agricultural water withdrawal as % of total water withdrawal (%),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,,,,,,99,,,98,
Albania,,,,,,,80,,61,
Algeria,,,,,74,,60,,64,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,,,,,,76,,,60,
Anguilla,,,,,,,,,,
Antigua and Barbuda,,,,,,,20,,,
Argentina,,,,,,,,75.3,73,
Armenia,,,,,71,71,67.3,66,65.75,65.7
Aruba,,,,,,,,,,
Australia,,,,,,,,,75,
Austria,,,,,,,,,,
Azerbaijan,,,,77,75.4,72.5,72.5,81.1,75.3,76
Bahamas,,,,,,,,,,
Bahrain,,,,,,,56.4,,56,44.54
Bangladesh,,,,,,,,,96,
Barbados,,,,,,,,,22,
Belarus,,,,,36.7,36.1,34.6,,30,
Belgium,,,,,4,,,,,
Belgium,,,,,,,,,1,
Belize,,,,,,90,,17,20,
Benin,,,,,,58.1,,,45.3,
Bermuda,,,,,,,,,,
Bhutan,,,,,,,,,90,
Bolivia,,,,,,85,,,80,
Bosnia and Herzegovina,,,,,,,,,,
Botswana,,,,,,,47.7,,41,
Brazil,,,,,,,,60,61,
British Virgin Islands,,,,,,,,,,
Brunei,,,,,,,,,,
Bulgaria,,,,,,,21.7,,18,
Burkina Faso,,,,,,79,80.5,,86,
Burundi,,,,,,64,,,77,
Cambodia,,,,,,,,,90,
Cameroon,,,,,,35,35,,73,
Canada,,,,,,,,,11,
Cape Verde,,,,,,,,,90,
Cayman Islands,,,,,,,,,,
Central African Rep.,,,,,,,,,4,
Chad,,,,,,81.7,,,82,
Chile,,,,,,,,,63,
China,,,,,88.1,87,80,77.5,67,
Colombia,,,,,,,,,45,
Comoros,,,,,,,,,47,
"Congo, Rep.",,,,,,11,,,8.69,
Cook Islands,,,,,,,,,,
Costa Rica,,,,,,,,80.1,53,
Cote d'Ivoire,,,,,,66.9,,60,60,
Croatia,,,,,,,,,,
Cuba,,,,,,,,51.1,68,
Cyprus,,,,83,79,77.5,73.4,73.9,71.14,
Czech Rep.,,,,,,,,,2,
"Korea, Dem. Rep.",,,,,,,,,54,
"Congo, Dem. Rep.",,,,,,,,,30,
Denmark,,,,,,,43,,42,
Djibouti,,,,,,87.5,,,15.78,
Dominica,,,,,,,,,,
Dominican Rep.,,,,,,,,88.5,66,
Ecuador,,,,,,,,82,82,
Egypt,,,,,,,,80,80,
El Salvador,,,,,,,46,,59,
Equatorial Guinea,,,,,,6,,,0.92,
Eritrea,,,,,,,,,96,94
Estonia,,,,,,,,5.06,5.06,
Ethiopia,,,,,,,,,93.6,
Faeroe Islands,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,,,,,,60,,,71,
Finland,,,,,,,,,2.6,
France,,,,,,,,,9,
French Guiana,,,,,,,,,,
French Polynesia,,,,,,,,,,
Gabon,,,,,,6,,,41,
Gambia,,,,,91,,,,65,
Georgia,,,,,,50.3,58.9,,,65
Germany,,,,,,,,,2,
Ghana,,,52,,,,,,66.3,
Gibraltar,,,,,,,,,,
Greece,,,,,,,,,80,
Greenland,,,,,,,,,,
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,,,,,,,,,80,
Guinea,,,,,,87,,,90,
Guinea-Bissau,,,,,,,36.14,82.2,82.2,
Guyana,,,,,,,98.4,,90,
Haiti,,,,,,,94.35,,93,
Holy See,,,,,,,,,,
Honduras,,,,,,,,,80,
Hungary,,,,,,36,,,32,
Iceland,,,,,,,,,0.133,
India,,,,90,,90,90,,86,
Indonesia,,,,,,,93.1,,90,
Iran,,,,,,,,90,90,90
Iraq,,,,97,,90,92,,70,
Ireland,,,,,10,,,,0.017,
Israel,,,79.8,,72.6,,67.4,,55.7,57.7
Italy,,,60,,,,,,45,
Jamaica,,,,,,,,77.3,40,
Japan,,,,,60,,60,,62,
Jordan,,,,64.9,,74.4,74.8,,,64.95
Kazakhstan,,,,,70,81.4,80.3,81.4,81,
Kenya,,,,,,,76.4,,63,79.1
Kiribati,,,,,,,,,,
Kuwait,,,,,,,,60.2,53.86,
Kyrgyzstan,,,,80.3,80.3,89.3,91.8,94.1,93,
Laos,,,,,,,,,90,
Latvia,,,,,,,,12.6,13,
Lebanon,,,,84.9,,,,67.6,66,59
Lesotho,,,,,,56,,,20,
Liberia,,,,,,60,,,54,
Libya,,,,,,,89,80,82.8,
Liechtenstein,,,,,,,,,,
Lithuania,,,,,,,,3.16,7,
Luxembourg,,,,,,,,,,
Madagascar,,,,,,99,,,95,
Malawi,,,,,,,,86.4,80,
Malaysia,,,,,,,80,,60,
Maldives,,,,,,,,,,
Mali,,,,,,96.9,,,90,
Malta,,,,,,,,12.5,19,
Marshall Islands,,,,,,,,,,
Martinique,,,,,,,,,,
Mauritania,,,,,83.9,,,,80,
Mauritius,,,,76.88,,,,74,,67.7
Mayotte,,,,,,,,,,
Mexico,,,,,,,,,77,
"Micronesia, Fed. Sts.",,,,,,,,,,
Monaco,,,,,,,,,,
Mongolia,,,,,,,,53,52,
Montenegro,,,,,,,,,,
Montserrat,,,,,,,,,,
Morocco,,,,,,,92,87.8,87,
Mozambique,,,,,,,89,,87,
Myanmar,,,,,,98,,,98,
Namibia,,,,,,82.1,68,,71,
Nauru,,,,,,,,,,
Nepal,,,,,,,,,96,
Netherlands,,,,,,,,,33,
Netherlands Antilles,,,,,,,,,,
New Caledonia,,,,,,,,,,
New Zealand,,,,,,44,,,42,
Nicaragua,,,,,,,,,83,
Niger,,,,,,,82,,95,
Nigeria,,,,,,53,,,68,
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,,,,,,,,,10,
