General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Myanmar,18.88422254,15.74782604,13.92175974,10.08910801,10.52046778,13.43624616,11.79714574,15.23845352,12.32887795,13.51017405,8.97905307,14.37598229,11.71993884,11.03103211,11.33159872,12.17696108
Namibia,70.98725951,72.36064477,71.35099917,72.44054274,73.32903874,68.92408048,56.25909899,58.00626671,57.0592544,49.55269703,48.91052418,43.46430291,54.37638216,54.56884378,54.96915693,58.38428563
Nauru,78.35243737,81.91470713,83.3120714,85.96881481,83.01730823,81.47981208,80.65671023,79.91275408,74.92129518,81.20409431,75.72946406,77.28577749,83.37390864,74.58425523,68.48688733,68.50799095
Nepal,17.28890955,17.42306739,20.61935288,23.01616534,19.55662734,21.72385882,28.57817177,28.15765478,26.53873501,29.13775675,31.3806613,37.33164162,33.51953722,37.11611649,38.10184282,34.58681379
Netherlands,71.04323155,66.17814243,67.8164591,64.14564868,62.71289538,63.07988335,62.80753701,62.45880186,61.17111142,59.82960336,60.49902928,75.62944983,75.19777863,75.30150803,79.04053323,79.22540732
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,77.16879271,76.68092559,77.28928375,77.0342499,77.48182285,78.01608579,76.42234751,77.89758725,78.3384119,79.62957039,79.67985469,80.07137652,82.39511416,82.84333702,83.02632281,83.22093608
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,64.40233525,59.20996136,48.90871654,49.26627776,45.78740157,53.45834526,53.92443405,52.4140849,56.60795639,55.33002104,56.46066981,54.85045961,54.85183277,54.84921298,54.80297351,
Niger,39.86775737,37.48454353,43.88866506,43.7537793,43.70383694,43.81470411,48.65169596,48.93555025,46.3472091,47.1697618,49.99159696,52.50444832,49.63890046,51.82717547,50.27712887,50.88324211
Nigeria,25.55366361,20.76010475,23.51258121,26.14005563,29.1248386,33.46047946,31.35043227,25.57934921,22.40366808,32.69228426,29.16950914,33.97758978,39.57086585,41.16777615,35.0637825,37.89099059
Niue,98.39019272,98.66644778,98.47317626,98.35286289,98.58984508,98.45455058,99.63930512,98.59857087,98.91266755,99.15438518,99.04964301,99.21622389,99.24182401,99.25903814,99.29893312,99.2981291
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,80.28877993,80.90444707,81.30776104,82.1922541,82.55922082,82.49595119,83.55610427,83.47652787,83.70954804,83.55950237,83.50180526,83.7781978,84.09692547,84.29305111,84.10098275,83.8975308
Oman,83.96133812,83.93932991,82.97279058,81.55677748,81.66139847,81.75173658,82.05783888,83.50595984,82.88952334,81.91894423,82.35107606,80.58960244,80.160205,76.3879866,78.77927054,80.13328092
Pakistan,25.68268897,27.11836348,25.05345204,20.12981389,19.04079587,21.24661693,20.48109705,28.16890256,23.33227944,24.67384497,25.56306734,29.98640066,30.67580392,33.48171762,34.84107861,38.47528819
Palau,77.01068275,79.02990124,78.36569111,71.57609292,70.10397988,66.2939649,80.37328792,80.83879586,83.77885547,81.64463501,79.42899731,80.83174883,78.43667877,77.27238707,77.95201974,77.30692712
Panama,67.95543906,64.44145759,68.46796657,66.70969408,66.28040239,68.06694746,67.08347044,69.04810229,66.36502288,70.3471132,69.55845502,67.43352505,64.20034833,69.13147647,74.77384916,75.10206898
Papua New Guinea,86.22083958,86.02137572,80.54326656,83.13654254,82.40697192,81.73778523,82.78772348,79.7255844,79.03834632,80.5369445,79.68048626,77.63868228,71.98960947,75.47583489,70.64998362,71.5480987
Paraguay,35.96215144,41.71130164,39.21802917,44.88285568,44.60900522,39.88400747,34.85766119,33.18621669,33.11077465,34.79626361,37.94720936,41.07054858,40.45035891,40.9242739,39.01136374,36.40601845
Peru,54.39780159,54.71367244,52.0543291,56.00517103,56.55771543,58.69576562,57.92825928,57.61965456,58.69240756,58.80367697,59.4132208,56.29613602,58.50333623,62.30177168,57.70397796,54.0231677
Philippines,39.53440203,40.97893078,43.05025282,42.92825209,44.2049063,47.57484958,44.17167844,40.00636521,40.22628529,39.80628493,39.23101843,35.38300386,34.77254344,32.37726877,35.12485844,35.3427111
Pitcairn,,,,,,,,,,,,,,,,
Poland,72.89071808,73.38865614,71.95721407,65.38364,71.12975096,70.03017178,71.89928845,71.15936086,69.91374069,68.58085415,69.29761535,69.8985563,70.83948291,72.23538208,72.32457605,72.62127126
Portugal,62.6179613,65.2544869,65.68501498,67.11349419,67.56389671,66.01991334,66.11575888,67.84061478,67.96964336,67.11810252,67.0728008,66.11040054,65.74490516,65.08994616,67.83927834,68.14860749
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,62.63733059,66.94403373,68.69072037,66.60374065,67.18569139,68.79995424,72.21570432,72.26781076,82.10222861,81.74856167,81.33864293,80.68293962,80.1619516,79.47175721,78.42363481,77.45252334
Reunion,,,,,,,,,,,,,,,,
Romania,68.69255216,64.5760437,69.81530976,61.89039757,65.49421067,67.69332879,65.89308536,66.66859155,84.79965818,75.07363934,80.84813083,79.85647948,82.29126071,82.04869024,78.98253881,78.11158225
Russia,73.88453717,71.43814726,70.79005038,65.08857765,61.86327348,59.88386771,58.66009852,58.95061728,58.81479482,59.5833805,61.98171002,63.23271938,64.18068989,64.30835433,63.35453121,62.075159
Rwanda,36.48708402,40.30247024,39.89618907,48.36309866,45.33030138,39.16797876,48.87976531,52.2683566,52.74302155,53.56837814,56.44449633,46.45920683,47.03143797,47.39165689,48.64282241,50.07492204
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,59.34718101,58.49582173,58.2010582,59.79643766,56.81818182,60.41450777,59.66029724,57.32093809,56.48408746,53.38536174,54.64237255,57.71609377,52.97095657,48.87257472,49.09934498,60.57082452
St. Lucia,64.11702374,64.48214641,60.68670393,61.81824218,61.58863098,61.91261248,61.65584502,59.46300673,54.54077022,56.50175442,52.62373086,48.67348578,47.52547152,51.07717022,62.97142914,60.49799736
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,84.7940979,84.62373955,82.59099267,81.06595199,83.31093792,82.17015398,80.8816042,82.17278715,82.06399811,81.17842102,80.84817081,81.96721311,82.12698745,84.8029847,84.3237938,86.45238298
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,70.87470748,74.43866644,72.73351855,75.05673693,76.29269149,76.74531344,75.01974879,79.99918164,79.60156191,81.93880424,81.3399022,84.95940504,85.88552704,85.75504359,85.33864466,87.66308074
San Marino,86.65868157,86.41811004,85.20325769,85.37062712,86.00842482,85.97191647,86.02135148,89.19198286,85.74699697,86.5637594,85.72342428,85.37380684,85.5674422,85.17251015,85.35821655,85.35821655
Sao Tome and Principe,32.18527544,24.01232131,31.22838448,34.6390101,40.55821995,38.07740823,36.89564051,36.43731985,51.15272681,46.57270033,52.90690911,46.27000075,44.21277613,42.96846321,40.1331199,38.26284473
Saudi Arabia,52.07448772,54.60394636,57.3386676,58.20698134,67.93524761,71.64882979,72.14100796,71.90965518,71.98082569,71.65829883,72.76010698,73.30086526,70.7569158,64.59836773,62.39319618,62.85843596
Senegal,32.53125115,36.33597944,34.94215503,35.29661708,37.00062821,36.82488164,37.16377124,38.51602949,38.73506834,37.4671123,55.34486259,57.19591001,56.09487585,54.15372319,54.47270748,55.49475726
Serbia,70.93230459,70.9326192,71.84584595,70.10199493,70.04458242,69.98593083,68.47475291,72.64607735,70.93917076,68.84928223,65.9953829,63.00181275,61.37410203,61.98450335,61.8627934,61.87057029
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,85.15352213,87.61189291,86.25114935,84.23988575,83.99622448,82.70432374,85.14288576,87.13891389,89.89617715,91.96814567,93.20359439,93.41790307,92.05829293,92.48807447,92.72181473,91.87342461
Sierra Leone,9.41409971,9.05657969,11.22708896,9.35099075,11.47555501,13.24912747,14.26228725,14.51272752,29.05824075,10.68806649,12.57686905,11.50990391,7.23555792,9.54736246,10.51168428,11.32507931
Singapore,50.54367891,48.99117537,48.50754414,54.14976141,52.50722599,51.35086077,45.06212907,37.24284012,35.72784698,30.69231478,30.44370056,30.07047796,29.7566437,31.90989316,36.1183995,36.30069137
Slovak Republic,88.51879674,88.67688977,91.67789416,91.58558997,89.64348869,89.38579095,89.28596323,89.0644607,88.31955853,73.77279232,74.39558656,68.32381422,66.84855333,67.76482407,65.69097642,65.85468682
Slovenia,77.69992877,76.17883952,75.02534512,75.51699831,75.65617991,74.01029786,73.29223264,73.37287873,71.8765387,73.10721604,72.14609377,72.26829645,72.25733027,73.44281844,73.41208627,73.66028507
Solomon Islands,92.8129032,92.21223932,92.79885502,92.882196,93.16672224,94.57117425,95.86677337,95.80902367,91.97093876,91.67242154,94.0862129,92.74777783,92.39929013,91.1620006,93.52968172,93.38887982
Somalia,43.47826087,44.44444444,45.45454545,46.11330698,44.96788009,44.79166667,44.62474645,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,39.3016399,35.92669057,38.79188094,39.37443576,39.31276364,40.47958069,39.46647554,38.68560973,39.46050266,36.42742813,38.3042056,39.91247265,40.82968023,42.14714735,43.77405601,44.10272773
South Ossetia,,,,,,,,,,,,,,,,
Spain,72.17999561,72.36129393,72.46525281,72.19844506,72.0270326,71.62348929,71.19638249,71.29163184,70.25172036,70.40061774,70.57091926,71.30470563,71.47773441,72.60727258,73.62993007,72.81485471
Sri Lanka,46.79599485,46.40476363,45.22931147,50.24530717,47.60592318,48.80694608,46.06024943,43.23013383,43.24569879,47.70555607,48.12875643,48.93703076,49.35307346,46.7668182,46.24098037,44.74870237
Sudan,13.48102455,24.03414785,22.40215827,23.34277472,19.70949226,27.26370916,27.62511631,28.21008018,29.68588029,32.03671535,34.3748195,33.17237162,33.21836426,33.11966833,27.52208878,29.81896003
Suriname,51.64147439,42.43220928,43.14636345,53.27820982,51.24892334,48.77213204,48.04228078,49.72375691,50.68493151,48.38709677,51.20481928,51.11273892,49.67040135,46.0294223,50.98752153,47.79978106
Svalbard,,,,,,,,,,,,,,,,
Swaziland,57.09568327,56.59286892,54.94804654,52.29166667,56.34920635,56.29496403,57.4148509,59.88096869,65.02859725,60.29445008,61.42629563,64.47102097,62.84051968,64.31835877,66.46172049,63.6577241
Sweden,86.64974612,86.9279541,85.82004607,85.7939039,85.72672157,84.89029966,81.13602938,81.42411154,82.00676999,81.37346119,81.15817284,81.13006316,81.35703882,81.50494072,81.49091367,81.09903561
Switzerland,53.55968271,54.47463747,54.95060862,54.6551272,55.13945302,55.43144874,56.92600556,57.7357127,58.3482917,58.39059269,59.46276478,59.12497292,59.26686187,59.49760092,59.71659435,59.02004489
Syria,39.68253968,35.52631579,35.44303797,38.27160494,38.37209302,40.4494382,44.21052632,45.77156768,48.24674734,47.97053173,50.50406209,48.53786959,49.05114511,46.52916912,46,46
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,41.47465438,41.7710944,44.06923649,32.06797314,26.84382236,20.39384474,20.71121546,20.23687257,20.40810596,21.93507239,23.64694655,23.08227003,22.15892492,24.56264536,24.94071469,26.65764547
Tanzania,42.81495029,40.05824585,43.51531405,41.44799534,39.83320383,43.3790924,45.45335742,44.63811585,49.48405211,44.35240623,46.95347812,58.87969785,64.13966681,61.702466,66.14157987,67.32037614
Thailand,47.008542,47.17953417,53.94503115,54.82189626,54.88526632,56.14589813,56.38335672,63.51753351,63.79191797,64.91290138,64.39346409,72.70210774,76.32738937,76.15435997,74.58950337,75.04103291
Timor-Leste,89.02465637,84.00610822,90.01307473,83.53231333,68.11090589,74.86128411,72.2979714,72.23055639,74.46586764,64.99902478,74.56354252,78.31341535,74.30877609,69.72272532,66.06181598,55.82816659
Togo,34.63954026,32.66174186,29.6025993,36.55733049,31.40318539,31.11165825,23.72289229,18.69823913,24.45415836,24.80367174,29.53510892,32.30053656,31.69714117,35.28556153,42.95182591,44.22271609
Tokelau,,,,,,,,,,,,,,,,
Tonga,65.40157581,66.83441036,68.09616195,68.47708041,73.27004571,70.74974136,75.68868652,75.70806458,83.14685694,83.14685694,87.07175116,87.03590865,84.93129933,84.93129933,79.62171415,81.49983806
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,47.56398481,45.8339211,46.31188168,39.48205454,44.4483732,43.03717109,47.44093802,50.86885489,48.90744766,47.47225647,52.86513259,53.745806,49.14852687,48.8764279,60.58804007,59.89165569
Tunisia,51.68833749,52.96625975,52.58923004,52.35212562,51.72847274,54.93436652,53.74716789,52.65332237,52.7146777,51.83827969,51.52786887,52.39880665,52.36892475,54.0853211,54.88198562,54.29979524
Turkey,70.31727829,69.15535968,71.61239863,71.92741139,61.1290109,62.92683696,68.07034527,70.68285927,71.92223732,71.24679391,67.83845697,68.33828769,67.83356907,73.01524073,75.13141071,75.20332138
Turkmenistan,60.34912718,69.66273382,71.77344475,72.79750409,69.09747292,79.58854759,75.96261682,69.92117976,71.35887884,67.6596389,63.26230198,57.99521063,55.55720257,49.14283316,59.24061986,59.38321908
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,99.57273281,99.80830396,99.73298091,99.74923683,99.7656784,99.87829188,99.88041159,99.86033813,99.89665672,99.89305697,99.89286435,99.90131918,99.89231066,99.91093938,99.86729165,99.88955124
Uganda,26.42940933,26.89281766,30.224969,28.79531957,30.56563515,26.84653716,27.32934276,29.49850119,29.18045884,25.89494074,25.28623427,21.04004033,19.54381286,17.1781868,21.75740577,21.74358096
Ukraine,61.23761323,63.5991948,56.19690831,53.50510844,49.9100154,51.79975406,54.30022992,56.19284658,58.30416129,58.55144899,59.46146507,60.76931923,61.84612698,57.65525136,55.03397159,56.62837334
United Arab Emirates,78.96942865,79.25115439,78.34120589,67.31322622,66.00571928,65.14273057,78.27202407,63.07008928,63.16260088,59.1367804,58.99864138,59.38781628,59.61722001,66.01257065,76.92676812,74.36525568
United Kingdom,83.86175778,82.94301254,80.35780949,80.35432864,80.6264924,79.19590076,79.8766269,79.8083464,80.02983542,81.34355428,81.87684288,81.27036039,81.33601517,82.35253985,84.14949059,83.8868352
United States,44.91095718,44.97052496,44.67065257,43.51107462,43.06455143,43.19718269,44.16482869,44.10090506,43.60097027,43.99988299,44.08154899,44.88380742,45.12489403,46.04158396,47.67429947,53.05846908
Uruguay,59.56299659,53.00379367,41.93785816,43.56757231,73.35200985,72.30303289,71.90746996,70.84242323,67.96617749,49.34078145,50.68539901,53.13362538,54.61115404,63.78989467,65.32145792,67.05753295
USSR,,,,,,,,,,,,,,,,
Uzbekistan,69.59310917,68.10393135,63.39011795,45.82652748,46.68316868,44.07016789,44.853939,43.88192643,45.39549334,41.71890774,43.28735188,41.85031876,41.5158598,45.84328795,45.34827073,47.47334617
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,76.87274226,72.13566011,76.75651672,77.80647231,74.90414539,76.62865738,75.99489229,75.58090762,75.08954638,74.00436883,72.88854743,79.28154621,86.55686999,88.42539264,89.84951715,90.60912312
Venezuela,42.59739203,42.43668789,35.92554449,32.48533552,37.00885047,41.48124086,40.6715714,39.29904736,38.13212005,41.39592528,43.28835162,41.65630534,46.51390901,44.94798607,40.04937009,34.89944827
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,34.50854965,32.60566573,33.03563738,35.01989273,35.16037929,30.94994703,31.45869681,30.47909317,32.06913601,27.3957188,26.40242966,32.90302149,39.97645433,33.959166,37.5403506,37.84123508
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,31.46418362,43.71286926,45.39604914,46.80527585,49.91015103,53.81673632,53.27028669,51.24798413,45.80572823,37.85171317,33.86386611,31.58778478,29.7457601,30.97276183,26.4898552,24.16350358
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,60.62165459,62.04529978,65.28406711,62.16029552,49.42450996,51.26309718,56.9419935,63.85395004,61.60893831,57.2823992,54.85847997,60.70593911,55.69431934,59.50154768,58.64513833,60.27636956
Zimbabwe,54.62972629,51.39757333,47.35569756,55.86509318,48.938233,52.76722526,38.37602512,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,
