General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cameroon,23.31552278,17.31663802,21.0967964,17.75625038,18.82119919,20.84067309,24.0436422,26.55725563,26.80023768,23.90131561,23.59664525,22.98728167,22.43832323,20.43645016,25.89862934,29.62287384
Canada,71.24848054,70.77537753,70.12171536,70.56497448,69.96638924,70.35574368,69.98033689,69.52549633,70.16661189,70.22244411,70.22285443,69.77492184,70.2243239,70.48993844,70.62495697,70.4968064
Cape Verde,80.73394495,82.14035613,82.12396301,75.25818826,73.88801648,73.49750399,75.76710033,75.62073841,73.92617975,77.91068359,77.26723588,78.00721065,75.06699771,73.17692247,74.05149285,75.04077433
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,39.7006969,30.69688506,37.40297954,33.25933668,38.39387752,41.42444078,38.77293693,41.16469642,39.8159943,37.97493068,35.30963388,35.4337781,34.20714488,33.28049853,34.19087216,35.37846688
Chad,34.69019381,37.18280457,35.17765795,30.66426777,33.91892953,42.49852284,39.77975837,30.99053976,46.84287229,35.55957463,41.09533207,32.1395062,23.26715163,21.56247902,19.71708815,24.97448489
Channel Islands,,,,,,,,,,,,,,,,
Chile,38.26950416,36.62751791,37.33991381,38.28090578,39.89940843,41.6440454,42.94986192,43.76111691,38.79831545,39.85395434,40.03432524,42.13025055,43.20223474,44.05227482,47.64307365,48.18374585
China,50.50032029,46.59047117,44.24433671,41.81212234,40.88670169,38.28318409,35.57145866,35.83377409,36.22579582,37.97351616,38.76638298,40.65388374,46.92996439,49.949365,52.49844515,53.59933666
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,58.6437459,64.8026386,64.88357467,71.85449278,76.29838862,70.74869726,70.30835774,70.44469339,70.05312184,70.59479004,70.04819763,70.84012844,71.05694845,70.60468066,71.05675618,72.69841706
