"Murdered women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02048969
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.462769032
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.103664398
Canada,0.6480214,0.829712,0.69775,0.8700183,0.8868291,0.7723725,0.9687888,0.8263881,0.9909453,0.6610934,1.097051,0.9036578,1.052412,1.06334,1.059734,1.09529,0.988278,1.313396,1.327892,1.206408,1.572121,1.533461,1.71932,1.771451,1.834655,1.823134,1.687377,1.694938,1.550487,1.722158,1.330264,1.698868,1.554876,1.626358,1.42474,1.490451,1.348942,1.467866,1.236879,1.51064,1.440254,1.654498,1.328598,1.130765,1.18417,1.049446,1.11701,0.9511237,1.040405,0.9360432,0.8241091,0.8232192,0.9556067,0.7810086,0.8824469
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.083343506
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91830063
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.434020042
Chile,,,,,,0.7297739,0.9437963,1.239726,1.221458,1.142709,1.73597,1.220782,0.5148786,0.5531379,0.4886055,0.5598792,2.009688,0.360075,1.620164,1.460592,0.6172507,0.9413355,1.231205,0.9329951,0.8118709,0.7329278,0.8182482,0.7249466,0.8683,0.9074509,0.9534688,1.037597,0.7026809,0.7630179,0.7115546,0.765017,0.7793385,0.5888034,0.7794,0.5217708,0.7634583,0.7303874,0.7378796,0.3935762,0.7532359,0.9306476,0.5598801,0.5712234,0.76957,0.7930816,1.295567,1.144622,1.10023,0.9597032,1.007924
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.261937857
Colombia,,,,5.769928,5.038116,7.795047,9.131545,8.391659,10.98498,7.789682,8.124438,8.383123,9.658535,7.666251,6.213187,6.28834,5.502759,5.449654,4.016831,3.509209,,,4.288996,,4.105219,3.989778,3.777758,4.232226,,,,,,,5.327349,6.377201,6.984203,6.7923,8.262029,9.123377,10.62916,12.71302,13.64645,12.81768,11.67253,9.091343,9.625964,8.688711,9.186707,9.345658,10.02571,11.20607,11.39956,,8.152369
