Total 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,13.38814578,13.98386914,13.46993967,13.72973992,14.02145451,14.32430404,14.51925145,14.63434475,14.85809683,15.01880115,15.22130788,15.30708019,15.06044786,14.47218572,14.33912692,14.15197136,13.7771723,13.16470046,12.39746368,11.63504014,10.95662523
Albania,12.68533773,12.17391304,13.28367474,14.66024612,14.54630496,13.11953353,11.82192293,11.59567275,10.69908815,11.17140121,10.36505867,9.199099389,6.910697381,6.781221234,7.067984426,7.094495143,6.643254317,5.897887324,5.381431106,5.343283582,5.479866788
Algeria,12.81699794,13.26950793,13.98277618,15.00461293,15.96595868,15.71357223,15.02392344,14.86174594,14.9711257,13.4260242,11.8115657,9.122732254,8.862474943,8.978970306,8.847923999,8.3090413,7.456346279,6.647929954,6.188774438,6.059237669,6.111794231
Angola,12.97636276,12.84484661,13.95488121,14.36614602,14.71313497,14.8120963,14.68041762,15.05572225,15.21147895,15.37050331,15.47835831,14.77313756,14.96419545,14.03872752,13.87063865,13.42250082,12.77987835,12.01377452,11.28092358,10.65992428,10.11924478
Argentina,9.970264125,10.20763069,10.25430284,10.05906569,9.71088152,9.434107335,9.771258081,10.86079132,9.908911866,9.599677902,9.334307913,8.793989311,8.156691093,7.984111688,7.69907909,7.316435281,6.901149133,6.514193628,6.159574253,6.048852289,5.926347611
Armenia,8.062130178,9.852847089,12.95503212,14.69387755,14.21763304,10.82419526,9.81278244,9.706411025,10.41196388,10.67659839,8.839779006,6.305129043,6.664509867,7.165605096,7.273299748,6.723217091,5.96214511,5.557319784,5.514588009,5.618707373,5.601590984
Aruba,13.51351351,13.95348837,16,15.38461538,13.79310345,10.16949153,8.333333333,7.692307692,7.936507937,7.5,7.865168539,7.070707071,6.481481481,5.454545455,5.357142857,5.309734513,6.194690265,5.357142857,5.454545455,5.454545455,5.660377358
Australia,8.60201971,10.22826087,9.934805877,9.988718216,9.860925591,9.101585437,8.892971355,7.474210493,7.377720571,7.136943203,7.063119457,6.556171235,6.196829529,6.206316907,6.090813094,5.979030887,5.87432759,5.7361593,5.618018678,5.571805665,5.569867019
Austria,8.088235294,7.317775857,6.831415992,7.811855316,8.569898232,8.102401689,6.61277498,5.714285714,6.021112994,5.834908633,5.908068948,5.199222546,4.901025519,4.66572171,4.590701487,4.662790698,4.689671144,4.641740942,4.551259724,4.550227511,4.650616559
Azerbaijan,8.013816926,8.992481203,12.11498973,15.50065588,15.89327146,13.3415363,10.98669263,10.49632629,11.35764804,11.98766542,10.96194113,8.163748225,7.422749664,8.285593041,8.307066599,7.572317109,6.567222007,5.9138244,5.808343581,5.926693678,5.871230027
Bahamas,12.65822785,12.5,13.88888889,14.78873239,15.20467836,14.28571429,13.33333333,11.15879828,11.46245059,9.964412811,10.19736842,9.259259259,8.115942029,7.629427793,7.291666667,6.965174129,6.490384615,6.26450116,6.136363636,5.79064588,5.701754386
Bahrain,13.91304348,14.07407407,14.01273885,17.27748691,15.66820276,14.54545455,11.52737752,10.65375303,10.56910569,9.688581315,9.81595092,8.928571429,8.776266996,7.832009081,7.255520505,6.66013712,6.175115207,6.031468531,5.843071786,5.640612409,5.407523511
Bangladesh,12.53354743,12.56347797,14.03265728,14.1830237,14.40197751,14.53167696,14.7851098,14.9566467,14.57555002,13.39802945,12.19604027,11.3541966,10.48211017,9.19996804,8.653778786,8.200008205,7.687916738,7.13139079,6.607287149,6.266707349,6.095867323
Barbados,10.42654028,11.94690265,12.5,13.13559322,13.44537815,10.16260163,10.48387097,8.235294118,8.108108108,7.722007722,7.114624506,5.952380952,5.46875,5.426356589,5.363984674,5.34351145,5,4.724409449,4.761904762,4.897959184,5.042016807
Belarus,7.36053719,8.009739844,9.612800782,11.07238294,10.14268333,7.964979714,7.578424268,7.44,7.943469786,7.830914581,6.066633516,4.81719116,4.753961635,5.098332621,5.059262511,4.802259887,4.472731519,4.189369173,4.143055031,4.334690661,4.494227598
Belgium,6.281872972,7.829422383,7.690627048,8.01946678,8.141225337,7.434297985,6.705331705,6.204788589,6.010268801,5.919682697,5.955067203,5.635560676,5.46728972,5.64441993,5.55756698,5.558534406,5.468058751,5.35981021,5.288923857,5.307652083,5.360250609
Belize,11.5942029,12.82051282,14.89361702,17.14285714,15.57377049,15.67164179,15.97222222,14.11042945,14.65968586,14.15525114,13.88888889,12.76595745,11.46496815,10.49562682,9.893048128,9.181141439,8.372093023,7.726269316,6.991525424,6.517311609,6.324110672
Benin,11.71303075,11.53483992,11.8995152,12.68174475,13.52429297,14.12483912,14.3258427,14.68090269,14.82485405,14.58770091,14.73194173,14.38739197,14.07793336,14.03080391,13.64271047,12.89502361,12.0974026,11.35071784,10.7055182,10.10546971,9.507779092
Bhutan,13.69047619,13.7755102,12.88888889,13.28125,13.51351351,13.09192201,13.4751773,14.13721414,14.07678245,15.18737673,13.90374332,10.93990755,10.16949153,8.961038961,8.769792935,8.439306358,7.769145394,6.852248394,6.424870466,6.243705942,6.219151037
Bolivia,12.93770734,13.60159628,13.76119403,13.91628899,13.8684398,13.9104854,14.29637925,13.67750587,13.47826087,13.40550655,13.51286367,12.62527233,12.05624252,11.20427532,10.40646215,9.636216653,8.928434456,8.271559633,7.654216186,7.106564131,6.64699175
Bosnia and Herzegovina,10.43935411,12.49151392,13.23899371,12.59935237,11.86868687,10.03469442,8.944543828,8.026188167,8.128193219,7.920792079,6.00811908,5.82010582,4.815110402,4.561309364,4.488574538,4.40809537,4.205740267,3.988269795,3.833282629,3.840050778,3.921568627
Botswana,13.34951456,12.36673774,15.70881226,15.93959732,15.60693642,15.42227662,15.25940997,15.60344828,15.39600296,14.07359587,12.65969803,11.73913043,10.66734075,10.6888361,10.46250561,10.00855432,9.408381265,8.856235107,8.461538462,8.202833706,7.904278463
Brazil,12.99257091,13.6959944,14.32832948,14.33670505,14.54928066,13.23511731,12.38704479,12.36072244,12.24301502,10.84358959,9.551887469,9.323322818,8.815703291,7.473972711,6.580659357,6.092028213,5.645510394,5.299061116,5.118036912,4.935077925,4.933825145
Brunei,12.24489796,10.9375,15.85365854,15.53398058,14.61538462,13.04347826,12.37113402,12.88888889,11.28404669,10.84745763,10.77844311,9.756097561,8.578431373,8.163265306,7.5,7.045009785,6.972477064,6.747404844,6.446280992,6.161137441,6.097560976
Bulgaria,8.41263274,9.387918389,8.746503941,7.97366496,7.445805844,7.224770642,7.447528775,7.387568352,6.633405148,6.235040689,5.106754901,4.211886305,4.401173646,4.887787416,4.945838084,4.70971564,4.406307978,4.219886823,4.327979713,4.632248939,4.840504451
Burkina Faso,13.06052438,12.61178629,12.54237288,13.42583545,14.0003567,14.48007775,14.81049563,15.19085952,15.33575318,15.24486572,15.17773019,14.79272727,14.52959961,15.88996423,14.95587765,13.914724,12.98231799,12.28227747,11.6892539,11.03005544,10.28090025
Burundi,13.11074919,13.15201192,14.76190476,14.5392279,14.39135381,14.84502447,14.28917413,13.86442761,14.76852667,15.82360571,15.35846724,13.526701,12.14646168,12.1772394,12.18377435,11.57498656,10.55895416,9.613564669,9.033363122,8.775150018,8.520813687
Cambodia,13.62485616,13.6692133,13.69157159,13.90426571,14.06542729,14.34408905,13.70979695,11.37177429,16.625387,15.27985239,14.71902187,12.25755282,10.24244437,10.0513573,10.09262397,9.850840668,9.079150291,8.185777862,7.592701589,7.314633616,7.106236342
Cameroon,12.69592476,12.71428571,13.14962086,13.18226927,13.67358877,14.04472843,14.46194515,14.73974688,15.057631,14.74103586,14.31272452,13.35503058,13.45826235,13.45633345,12.78544439,11.86312649,11.05517097,10.47048871,10.01279006,9.535697888,8.999836664
Canada,9.579966514,11.02637432,11.31896359,11.48432339,10.81690919,8.361420793,7.394868867,7.027319867,6.945597632,6.797938778,6.664276869,5.726135942,5.299342008,5.237800068,5.288409704,5.403657622,5.412281139,5.295995357,5.172048329,5.154283348,5.189805016
Cape Verde,10.2739726,13.01775148,15.73604061,16.15720524,16.85393258,15.4676259,14.13793103,15.04702194,16.05633803,15.78947368,14.61187215,13.125,11.89083821,10.58394161,10.13745704,9.609120521,8.978328173,8.270676692,7.580174927,7.020057307,6.552706553
