"Traffic mortality men, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5100975
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91235352
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.26148415
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.42330742
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8538361
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76615238
Argentina,,,,,,,,,,,,,,,,,21.187,25.59017,26.94722,29.90509,30.85434,,,,,,,24.42131,22.27388,22.08443,21.83556,21.00661,18.49837,18.6855,18.02069,13.97677,16.10906,15.58112,15.14131,15.3658,14.49361,15.07562,16.19637,17.72705,19.12857,17.35885,17.14981,15.89462,18.53197,17.02906,15.20965,15.30383,13.22045,13.42576,13.52208
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96565437
Australia,37.48341,42.4367,40.55418,37.26973,38.35548,40.00032,38.51858,39.88886,39.65305,39.67421,40.57262,39.81202,39.80592,39.21764,41.55681,43.31681,42.69277,43.56467,44.3441,44.85784,47.12201,45.99741,40.75154,43.35361,42.23241,41.39072,38.04776,39.78763,38.48531,36.11432,34.69803,32.56975,32.01373,26.16124,25.825,26.95823,25.75468,23.87444,24.54756,23.87569,19.28466,17.47998,15.83065,15.60316,14.84563,14.71965,15.31531,13.10165,13.07485,12.97665,13.44843,13.09988,12.58743,11.25277,10.44099
Austria,,,,,,17.70922,36.80674,50.83154,45.95446,48.68518,45.84624,36.30455,32.74203,39.66362,42.37417,38.53186,43.06651,50.62041,51.79174,49.16332,52.58184,59.0563,60.73806,55.61429,50.99451,50.19316,43.83348,44.40702,43.46289,42.17777,38.31415,37.37097,37.52797,38.30961,36.33738,29.58543,27.57441,27.30877,27.61087,28.29269,26.8464,25.73073,21.84158,22.75707,23.88215,20.94116,17.50631,19.30563,15.32377,17.2051,16.77485,15.64795,15.26002,15.01299,14.11137
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.74977,20.50364,,,18.989,25.05151,22.03682,27.32282,28.60263,27.53045,25.41315,26.74454,20.80785,3.402681,5.521963,9.684073,8.986459,9.334184,7.702799,8.765141,,,,8.718484879
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.96427727
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55353,,20.59478,18.2934,,,,,,,,,16.36182,22.01299,,17.51953,16.69741,,,24.24127388
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79795837
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.67969704
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.47265,23.58001,,,16.89136,17.54959,19.29969,26.50228,35.16477,38.41519,39.13415,35.03506,27.58503,26.64199,27.7831,,25.47688,28.05565,26.89972,22.92454,23.08841,33.16322,33.71389,34.04460907
Belgium,,,,,16.88853,17.99932,19.53278,22.9279,25.28588,25.52353,30.37816,29.39346,28.47461,29.9474,35.86655,36.81591,35.88816,37.72815,39.31992,39.81025,43.78838,42.80625,43.57956,41.33793,37.59491,34.41563,35.92403,34.35986,35.64902,33.70745,36.51806,33.54835,31.11814,32.07242,29.21805,26.35135,29.79736,27.65758,26.55648,26.40746,26.66827,25.68475,23.76505,25.1594,26.98194,23.50056,,,22.20107,21.86041,,,,,17.11098
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.46311188
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.30878448
