Per capita total expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Myanmar,10.03426519,9.91171873,9.33524588,9.59705567,10.44629283,14.14398647,15.66699789,20.26740212,22.49034481,26.16674613,28.36611697,31.92558483,34.65570821,40.35901494,35.59311141,34.4136995
Namibia,219.36300332,236.11550021,255.85549052,258.00216888,268.70022154,243.27789294,248.98713073,259.74063425,287.51499283,323.67259957,380.96905459,406.74194387,417.44312944,425.16897245,448.11955118,435.56169554
Nauru,1160.11315196,950.59896093,867.9160867,816.51867191,805.07806945,499.54317732,503.94269693,503.63404783,525.71349797,331.97198039,378.43654799,283.51153433,391.13414998,388.792692,256.21390284,263.58088506
Nepal,31.01059394,33.22383046,36.38811954,38.50987683,38.61382627,41.69992608,44.20849201,45.94844982,46.58977163,54.41137025,57.52633232,58.128875,56.00106253,65.73383642,66.92889975,62.94842861
Netherlands,1794.08584464,1859.06256402,1915.06111,2053.96397687,2178.39537794,2340.07553387,2554.65397449,2833.33759038,3098.2795409,3310.4281961,3451.03140527,3700.74210533,3944.60760774,4227.72189943,4880.81048698,5037.82535521
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,1239.32797808,1263.45553337,1348.53715153,1447.93449912,1519.19005715,1602.77740751,1700.76161953,1831.33161774,1841.40223334,1967.2331427,2117.10611243,2379.07955332,2436.97079794,2691.5924339,2906.91124239,3020.0530274
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,125.17887011,131.21085551,112.14974587,123.71453794,124.81565701,132.50793902,134.16922661,147.24055231,162.9033741,174.46807709,185.19923905,203.74601743,237.93276642,251.99740752,253.86605334,
Niger,17.27134225,16.54518036,18.5948366,20.59814555,20.04576938,17.03733874,20.02797148,21.01801921,20.61461113,21.71826506,35.94863034,38.91312583,35.38592602,37.06834492,36.86942057,36.93656545
Nigeria,51.23331189,53.5294921,56.03686357,68.6372208,69.38193428,59.93283015,64.34313219,52.78825541,111.98189551,114.59631335,115.52330787,106.6880772,120.10230283,121.89899452,135.91839043,121.35509556
Niue,249.73839843,326.10434468,308.30797362,297.38020304,310.72611193,814.29815236,4145.94904772,1263.23376087,1581.8114075,2016.2833967,2034.31562961,2582.9507689,2802.1557964,3040.52823436,3280.41719806,3573.95544362
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,2155.13576524,2265.33875408,2348.46895942,2536.16246036,2779.85674177,3041.96734975,3264.55225935,3627.77603567,3834.43750245,4078.67107101,4304.13299544,4608.37188618,4887.8281094,5228.93553232,5352.6903156,5426.07817667
Oman,470.26055192,475.12926868,482.34462135,552.66313446,534.55067091,656.78632448,707.14693392,749.68500269,755.5538625,740.49781349,683.34610244,656.46927379,748.30906603,626.808845,826.06836105,597.58949582
Pakistan,47.24808818,50.38530677,50.43998687,55.07625239,58.29114384,49.31009043,47.25280493,51.29170925,51.38201817,55.35195022,58.64596194,62.77777403,64.10603248,63.89736381,56.73664929,58.72109448
Palau,1287.1596457,1448.78386643,1434.71137767,1275.59518495,1322.04759369,1427.39595139,1181.40953209,1152.80189765,1144.16445942,1367.55749749,1357.43312998,1430.10639245,1540.97634611,1412.95462349,1430.74655985,1408.63279833
Panama,449.40538858,428.69988034,451.94742821,479.94691248,480.01146369,559.61705104,561.70251586,595.66193749,589.68998002,681.05564576,685.97929505,706.81421154,771.03796215,925.95934075,1053.9004015,1123.43056503
Papua New Guinea,64.02909612,71.27897328,63.40248517,67.41660954,72.93510837,68.8758199,78.07432813,77.49538602,71.86024554,83.62125559,71.56498099,65.5593388,67.44361455,72.18265403,85.00018841,87.71470938
Paraguay,230.90697734,235.7482238,247.50824015,254.59698073,271.89390167,315.70463192,311.27945236,296.21099102,254.94918213,248.32783171,252.80811426,270.50104594,270.82027309,282.86341608,295.32630368,302.35373963
Peru,193.60881787,199.68490431,206.42844302,211.74137253,230.60867967,230.640823,232.32890408,251.72310597,247.55443872,255.60216749,284.88913598,317.48136658,396.20586641,497.46505835,465.59195128,481.02808878
Philippines,70.86645471,76.64315135,82.11682528,71.57853965,73.99582075,76.7298126,73.85673752,70.92003161,86.6847241,92.67863254,106.60501837,112.34370475,119.35895694,122.9926207,132.79236795,142.35761785
Pitcairn,,,,,,,,,,,,,,,,
Poland,409.61671227,477.13948585,497.19891635,559.14302006,573.23917051,583.4168038,641.59311811,732.68808301,748.13527681,807.41537767,856.611188,934.30386861,1077.82207274,1264.72510722,1390.73515623,1476.06288816
Portugal,1013.84065671,1093.17623144,1160.43410362,1209.97679757,1328.77447832,1653.9945591,1714.38291498,1779.58783737,1893.61111559,1995.76888788,2212.39711261,2302.78442724,2419.20821773,2508.54851503,2689.88025819,2818.45477027
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,1559.67480924,1594.04395457,1785.1782217,2076.02382809,737.48149756,1516.79876458,1807.92421063,2027.89590843,3087.67282719,3068.67441583,2573.58582829,2267.07712335,1961.86251187,1555.88635238,1964.61940905,1622.47223771
Reunion,,,,,,,,,,,,,,,,
Romania,199.35419885,219.75177684,265.09164581,243.8586794,277.39101806,297.22265383,344.49884528,398.46507271,409.44088371,479.25713415,516.77971835,567.75603427,670.0362846,814.65045303,818.37443152,811.24698756
Russia,299.90382038,305.44639129,403.99883812,361.51365873,342.60980134,369.31519547,417.10392091,480.18602762,517.08457928,529.84130557,614.79077781,790.52295939,896.38699551,971.69073024,1043.12575147,998.35893324
Rwanda,21.41400537,24.43599877,26.0031851,29.8036601,24.80351369,24.72569896,27.16784393,29.09480464,44.38403384,47.27617739,54.86129454,99.43193178,92.36295353,100.64780789,110.64801101,121.00676396
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,439.59538885,470.66760678,475.50949424,479.13227662,532.44333852,565.76966799,541.363926,537.83394223,515.16321833,523.87330244,559.37642114,730.171679,775.74945261,749.12388403,690.56465788,867.54317416
St. Lucia,296.3051432,362.76507363,330.99136325,354.62360271,364.38094708,376.14143612,398.36035218,422.43366932,444.228081,468.72900231,519.28143121,682.14350324,705.72618027,803.61946188,797.5104951,803.94224725
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,170.67831808,175.621869,215.75599648,203.00018053,214.31795975,234.14828936,251.62803854,289.89620365,301.88135068,313.72673047,323.57390655,384.82986549,435.41431556,516.62731754,487.35103766,465.75101831
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,101.13662456,121.53464108,129.00147625,135.77880346,156.99301406,163.20510914,169.91201709,172.33011803,171.01998406,175.90953106,189.66306565,214.33404171,248.12473972,248.55672628,234.05066319,282.55591624
San Marino,1929.56832685,1969.43021785,2033.79605321,2158.38053704,2375.06521513,2465.65643343,2553.26954955,3196.54913236,2607.72462484,2833.02433988,2900.07283832,2948.50884684,3069.77818558,2998.63015067,2831.80428,2853.17419918
Sao Tome and Principe,107.36939401,133.84947233,270.3246054,245.51276325,284.48076323,304.12107662,100.10863445,108.49580827,143.81680752,147.25772216,155.38111849,133.91135932,135.08651287,136.04812538,144.26199926,142.27644907
Saudi Arabia,467.4458482,483.84898283,515.75009327,580.97765995,710.33031012,767.22771833,810.34963314,756.37655562,748.56449609,715.92235042,723.43276334,802.41824669,823.90379043,712.8900927,964.05434986,967.58539521
Senegal,45.3133185,47.57035707,48.71434331,51.29709657,57.39670224,58.54586391,63.73009726,71.03177922,80.32599615,89.94405054,90.4537455,100.60193877,103.79659293,108.42064065,105.98827397,108.56712361
Serbia,263.05067641,182.92193445,297.8323832,326.78105921,295.93555358,431.74081454,477.36986675,590.43640645,610.82783707,672.92350986,771.72083845,889.13535445,1047.55154331,1190.21109291,1162.34049431,1169.07429885
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,617.58114423,671.29520536,831.15934257,809.13666673,838.01082122,803.31092242,763.97624128,733.05781038,762.34859142,806.19933366,717.11366315,761.85011036,737.48867538,713.6043305,712.03770339,785.30269059
Sierra Leone,63.56341674,68.85140001,54.19988564,52.95682037,58.39835496,58.73407849,65.45901512,80.4338636,44.73174925,82.17764607,93.69242518,90.4220197,94.82995346,107.1392948,109.76969349,107.24799918
Singapore,764.89698257,804.65596636,847.4413969,912.76455347,893.54195746,821.57361456,926.02413524,1018.66975568,1407.96006892,1388.90234077,1529.17837471,1604.67512544,1690.19136298,1910.6324693,2110.86396068,2272.63593685
Slovak Republic,503.87559253,581.24431073,563.6211653,583.79964319,598.80114476,603.78886974,664.45309814,729.88258344,791.22127389,1057.0607576,1139.4709831,1349.87658614,1619.35489847999,1859.53555326,2084.17564899,2060.24104159
Slovenia,971.24830436,1055.28344039,1151.08707968,1225.15213263,1303.01373567,1450.26541566,1580.20402613,1703.2147291,1766.04423862,1857.57993558,1973.88652766,2103.96959791,2119.87570451,2442.5580983,2550.94688594,2551.55936589
Solomon Islands,78.71796487,73.63910609,78.27918984,84.48901874,89.51531263,91.14016008,117.95124105,107.09591945,114.26592754,110.75699248,170.00321472,149.6837431,144.52368552,150.2551727,227.39500525,227.32401808
Somalia,16.60570497,16.71486593,16.4041969,16.86094429,16.63127081,16.87785021,17.21222331,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,430.76363312,476.99815701,509.4191613,531.54140474,575.18167857,563.60935013,605.88495345,625.10525902,658.93635631,706.03709237,748.27655756,781.10801754,831.99377423,890.52586214,929.69946198,934.94705905
South Ossetia,,,,,,,,,,,,,,,,
Spain,1189.88811514,1246.50813878,1297.61996272,1382.63578655,1450.41170588,1537.32201633,1635.29646723,1745.0445442,2022.85357194,2130.79752998,2268.56179531,2536.11749579,2734.91714573,2971.3457472,3066.78634422,3027.23613703
Sri Lanka,68.61145652,72.50343924,75.57764788,88.37279737,91.11702216,100.68427768,101.35516756,108.02195609,115.07518069,132.95339926,138.75738974,156.0659276,156.72906543,153.51736835,149.07949638,148.44503184
Sudan,31.72492421,39.17058764,40.82570499,44.84980035,43.52481938,41.69647273,46.27902513,49.18832497,56.56782958,61.61744664,64.31115119,87.82435967,120.49439538,146.94517998,159.49265342,141.39262983
Suriname,208.18778947,302.22629703,336.29647911,378.99472819,333.03881153,350.00500456,374.36462846,347.96729563,344.65800561,392.26447511,415.23826795,497.2014684,506.21887378,499.99752043,567.49779821,523.36127094
Svalbard,,,,,,,,,,,,,,,,
Swaziland,144.78472166,162.73683271,159.45698925,176.60440327,175.977097,195.09692927,196.65560745,202.53363173,238.54522999,231.2235165,257.81500056,293.66042168,291.27454872,329.80267026,336.26365051,332.61678186
Sweden,1740.83456819,1857.52883292,1885.26025981,1981.58919167,2129.44141065,2286.07712687,2501.15833468,2701.79876152,2831.93045283,2954.10373938,2963.24132426,3192.66154556,3431.91427441,3642.87747615,3721.54091238,3756.86282485
Switzerland,2547.27871806,2717.24379008,2834.26453043,2971.56766469,3063.48834253,3209.5224319,3399.90540263,3643.78884951,3743.98602405,3902.81606972,3980.97569293,4208.19243347,4540.27422564,4889.04254308,5105.30043058,5394.03689517
Syria,172.31528582,178.16649971,174.0183331,177.36969692,173.58850649,162.95100752,165.29476054,172.40176902,181.84560736,173.1803162,169.87246182,167.52914483,177.25140662,164.79923154,182.20022518,174.20129593
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,26.11935006,21.78941812,26.05920566,26.8813072,30.42983169,39.85182979,43.95229937,47.20252159,52.49843226,57.06226046,72.569663,79.96424793,95.11124881,108.00762175,123.18893997,128.43495883
Tanzania,22.60249133,22.10984699,24.49790231,23.4032147,23.55231203,25.23719697,27.89417388,28.70003648,33.42433331,33.13912367,41.76013163,72.71807243,68.02009366,69.55669159,73.12352773,83.43022752
Thailand,163.36754751,189.56276607,196.09602102,164.35782919,161.08240565,165.43375982,166.82087042,196.9609901,206.36711119,219.08690475,236.85586297,250.84756374,274.62418116,317.91351664,327.43040497,329.71122075
Timor-Leste,102.56240017,79.16603719,137.4144561,62.80073566,65.67743132,63.72047151,71.91301444,69.96144191,70.78347451,90.12326471,112.55185272,118.86920356,111.0933867,112.87245429,103.03320315,83.98001673
Togo,36.21316988,37.7522899,41.86389228,36.31378505,36.89854767,36.44931555,39.92602156,38.2423521,45.41526244,53.49701107,55.08316866,62.98831349,63.14851567,65.03557765,74.1502958,76.91024446
Tokelau,,,,,,,,,,,,,,,,
Tonga,119.36368835,123.98215901,133.35365204,145.8649186,168.01282891,162.37300253,205.63154819,191.18318378,200.60056529,195.76880059,269.71358857,234.68184082,291.5715944,280.49351143,209.97787203,229.17916506
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,426.00210497,413.59362316,413.68300563,398.12910049,485.24693548,478.52276842,539.90707635,683.9231502,823.18449225,919.98984316,1135.83394772,1158.40721671,1210.53585076,1164.43643146,1465.21441804,1449.39954861
Tunisia,221.54370407,220.79745479,232.12636143,247.3015091,265.59426997,290.59062755,302.00565315,310.63699992,335.02791113,381.93637805,404.20188971,440.7518369,469.35887272,497.43125255,478.6039081,482.88815459
Turkey,178.59872698,222.75588408,259.92576124,307.99750634,389.38630573,453.85737763,444.47104906,464.26821849,469.26504232,546.02489458,620.83833834,749.10352932,839.49659973,908.68898108,957.25708117,1029.14113267
Turkmenistan,51.1648449,50.32841051,66.87535617,70.82407056,59.34904113,83.14340925,93.00507379,101.52142346,131.19214706,147.53354434,152.12767991,144.32442135,153.90443283,149.90959691,180.76256707,198.76787481
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,77.83367427,173.81580349,140.57448187,170.69649416,188.07977399,324.94273394,379.71711108,347.92675113,494.44560875,393.81624346,415.15260366,464.21695961,443.86683827,567.69908134,388.36366712,472.74537275
Uganda,34.69990921,37.25542433,36.45742756,34.83936791,45.01463322,45.52484517,51.73276078,57.68425454,61.26598666,63.54225307,82.47212088,99.38038377,100.81914387,116.89567997,118.13811234,124.37241189
Ukraine,216.27574592,180.76004615,178.62605948,195.16066717,177.83216683,184.20747992,210.12309712,250.44710765,312.8703518,346.46685568,359.30256662,399.77581366,444.42063636,486.08553854,495.33578931,518.89536015
United Arab Emirates,952.94499486,907.54999828,965.07609674,1166.02308796,1090.8575181,1019.44049336,992.15071118,1084.05863098,1108.72424332,1071.61221657,932.47825647,932.15192014,945.30849806,928.56031811,1956.26429361,1543.6431004
United Kingdom,1346.22820755,1432.96215655,1480.87973246,1550.90049745,1670.91138094,1827.56261366,1995.59046887,2183.82290874,2317.46189993,2540.22406496,2696.79256523,2963.94875796,3007.45144787,3233.60392003,3437.99183467,3479.55776224
United States,3747.69212133,3899.97693343,4054.62721906,4235.83719866,4450.04499403,4703.46734364,5051.9449521,5452.99608058,5981.68105823,6330.93263118,6700.26909683,7072.56063194,7437.29229818,7719.62742794,7959.95353756,8361.73211653
Uruguay,798.87398036,799.96306367,684.03321759,734.57690652,734.9654112,719.0688417,698.62703773,642.43226709,581.54911967,735.58853972,797.01047307,858.40575605,896.77824586,976.99696781,1099.39620117,1188.09397021
USSR,,,,,,,,,,,,,,,,
Uzbekistan,61.10555722,65.20563398,65.85653691,84.63383493,82.57229883,82.17359587,86.28366857,87.79001956,87.91243128,99.89584564,106.23932231,129.8025073,136.60100695,149.89257325,176.98627742,184.09230209
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,36.15636564,32.14979755,41.64719765,123.86080455,111.85079664,120.11909733,118.78626745,118.20214096,116.65850948,115.4953585,114.40625627,120.12624666,152.70018068,180.52662408,209.75165623,239.98150161
Venezuela,349.78376841,287.14511546,337.27742329,392.8842186,460.48219976,481.67950272,523.49137726,451.54932779,432.76451099,492.10378799,536.93194301,632.57499223,700.84207682,685.88108057,734.27455671,588.84351086
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,49.57636309,53.41352695,56.38540247,60.82969979,63.16038205,73.66014777,84.28436893,83.50301315,92.07123439,106.91600558,125.3921323,152.44025675,182.70019498,185.69242719,203.55236828,215.33979561
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,72.91744041,80.02738803,82.97561208,102.42208642,90.704295,88.9812291,101.04671688,105.05370549,130.5796054,116.40613684,116.40635476,132.95950532,138.61562199,140.32600167,139.3767898,122.18498068
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,46.66426564,51.98897511,56.15120431,57.15845155,51.22959017,51.71169977,56.52104559,64.95458479,67.68512474,72.01430927,81.03082115,78.46524952,76.98897776,85.16837247,90.06994791,90.20544252
Zimbabwe,57.58589256,57.57785226,67.27822841,82.68435209,55.23918233,69.54612115,55.95794681,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
