Income share held by highest 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,37.76,,,,,37.09,,,40.93,,
Algeria,,,,,,,,,,,47.18,,,,,,,42.42,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,61.86,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,49.77,,,,,,50.21,,,,52.92,,53.8,,,,56.6,,,53.88,,
Armenia,,,,,,,,,,,,,,,,,,,50.42,,,43.98,,,44,42.78,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,41.32,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,37.7878262,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,42.04,,,,,,44.19,,,,30.15,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,36.22,,,,40.32,,,,40.35,,,,,40.77,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,33.12,,,,,32.95,,,,35.53,38.73,,38.94,,38.19,,,36.69,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,41.38141947,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,53.01,,,,
Bolivia,,,,,,,,,,,,,,47.91,,,,,,61.6,,60.16,,,62.78,,,60.71,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,37.2,,,42.81,,,
Botswana,,,,,,,,,58.89,,,,,,,,64.91,65,,,,,,,,,,,,
Brazil,,,,61.67,62.28,62.71,62.75,63.1,62.25,63.13,64.81,66.82,64.46,,61.14,63.48,,63.23,63.11,63.22,63.2,62.64,,62.63,62.31,61.62,,60.02,,58.73
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,33.84,,,,,34.69,,,36.57,,,,41.15,,38.08,,,,
Burkina Faso,,,,,,,,,,,,,,,,,56.74,,,,53.62,,,,,47.07,,,,
Burundi,,,,,,,,,,,,,,,41.63,,,,,,47.98,,,,,,,,42.75,
Cambodia,,,,,,,,,,,,,,,,,46.83,,,,,,,,,,49.37,,,48.75616303
Cameroon,,,,,,,,,,,,,,,,,,,53.26,,,,,50.86,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,39.93609068,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,55.9,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,64.98,,,,,,,,,,49.4,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,46.56,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,60.96,,,59.66,,,,59.4,,59.3,,59.82,,59.63,,,59.33,,,56.75,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.81,,
Colombia,,,,,,,,,,,,,,,,,,61.24,59.81,,,61.53,60.79,,,62.4,,,61.61,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,68.02,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,53.14,,
Costa Rica,,,,51.4,,,,,39.44,,,,49.89,,,50.59,,,51.26,,52.44,,51.24,54.19,,53.55,,51.75,,
Cote d'Ivoire,,,,,,,,47.43,,47.43,44.08,,,,,44.4,,44.25,,,50.04,,,,54.11,,,,,
Croatia,,,,,,,,,,,33.35,,,,,,,,,,36.06,37.03,,39.45,,,,37.72,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,31.12,,,,,37.24,,,36.24,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,35.79812691,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,43.26,,,,,,46.47,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,52.36,,,55.33,,,56.47,,,,53.31,,,,56.28,,,56.34,,54.52,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,54.17,,,,,,,55.56,,,,57.79,,,,,65.65,,57.6,,58.51
Egypt,,,,,,,,,,,,,,41.09,,,,,39.91,,,,42.1,,,,,41.46,,
El Salvador,,,,,,,,,,,,51.75,,,,,,54.08,56.13,,56.37,,55.21,,55.45,52.94,,53.41,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,32.66,,,,,46.29,,37.96,,,44.66,,43.77,,43.61,,43.01,,,
Ethiopia,,,,,41.31,,,,,,,,,,,,,47.72,,,,,39.41,,,,,39.36,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,36.69701317,,,,,,,
France,,,,,,,,,,,,,,,,,,40.21,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.93,,
Gambia,,,,,,,,,,,,,,,,,,,,,55.25,,,,,52.84,,,,
Georgia,,,,,,,,,,,,,,,,,,,43.48,,,44.18,,,46.2,,,46.41,,
Germany,,,,,,,,,,,,,,,,,,,,,,,36.87527956,,,,,,,
Ghana,,,,,,,,,,,42.68,43.38,,,45.29,,,,,,46.75,,,,,,,,48.55,
Greece,,,,,,,,,,,,,,,,,,,,,,,41.48656391,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,61.96,,62.87,,,,,,,,,59.67,,59.21,,58.91,,,,57.83,
Guinea,,,,,,,,,,,,,,50.12,,,47.1,,,,,,,,,49.71,,,,
Guinea-Bissau,,,,,,,,,,,,,,58.86,,53.5,,,,,,,,,43,,,,,
Guyana,,,,,,,,,,,,,,,,56.38,,,,,49.5,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,62.97,,,,,,
