Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Botswana,23.3474,23.4325,23.51626,23.619,23.71698,23.81013,23.91733,24.03335,24.16157,24.28856,24.4116,24.53063,24.63643,24.72252,24.81281,24.90137,24.98168,25.06994,25.15137,25.23366,25.326,25.41885,25.52204,25.62175,25.71314,25.80588,25.89423,25.99615,26.09156
Brazil,24.05006,24.11916,24.17848,24.21987,24.26384,24.31669,24.38141,24.44963,24.51057,24.57384,24.62666,24.67793,24.73137,24.77471,24.82409,24.88216,24.92815,24.99343,25.05794,25.12756,25.20224,25.27984,25.36366,25.45842,25.56211,25.66827,25.77333,25.8801,25.99113
British Virgin Islands,24.75055,24.86385,24.97675,25.08982,25.20023,25.30369,25.39595,25.5088,25.62572,25.74278,25.89262,26.07514,26.2893,26.52089,26.77019,27.03447,27.27571,27.50663,27.70998,27.89161,28.06392,28.21347,28.33844,28.42275,28.52207,28.61939,28.7085,28.8125,28.92512
Brunei,22.98298,22.97744,22.97202,22.97755,22.98986,23.00492,22.99933,22.98533,22.98447,22.97231,22.95323,22.91949,22.89418,22.88332,22.90273,22.91464,22.93759,22.96949,22.99603,22.98059,22.95982,22.94578,22.95992,22.97268,22.96874,22.96595,22.92931,22.90645,22.89231
Bulgaria,25.5342,25.56386,25.59103,25.61389,25.63037,25.64132,25.66027,25.68394,25.70526,25.71329,25.67129,25.60354,25.53536,25.46788,25.40461,25.3588,25.29274,25.23099,25.2093,25.2039,25.21212,25.22311,25.24871,25.28871,25.32824,25.36821,25.41638,25.46587,25.51574
Burkina Faso,19.38757,19.44603,19.52129,19.58329,19.64018,19.72767,19.84262,19.94732,20.0482,20.13424,20.21868,20.2967,20.37662,20.45956,20.53269,20.59868,20.67019,20.73129,20.79543,20.87512,20.95276,21.02877,21.12089,21.22157,21.31166,21.39208,21.46883,21.54789,21.63031
Burundi,19.16549,19.25894,19.34813,19.43468,19.53371,19.62296,19.70808,19.79292,19.88693,19.98949,20.07214,20.15831,20.2388,20.30242,20.36048,20.41268,20.44702,20.4911,20.53734,20.60738,20.67194,20.74013,20.81771,20.8969,20.98133,21.05691,21.13112,21.20367,21.27927
Cambodia,19.55238,19.58032,19.62565,19.68502,19.7497,19.81632,19.88158,19.94868,20.01792,20.07926,20.14142,20.21236,20.28202,20.35037,20.41932,20.49113,20.55375,20.61301,20.67523,20.76358,20.86207,20.97516,21.08197,21.18149,21.27355,21.3799,21.48615,21.59359,21.69608
Cameroon,21.52202,21.64721,21.78201,21.91054,22.04621,22.18679,22.32596,22.44293,22.54006,22.62573,22.70601,22.77285,22.84369,22.90583,22.97165,23.04433,23.12848,23.23849,23.36805,23.50664,23.66765,23.82855,23.99221,24.15956,24.32915,24.49248,24.64737,24.79912,24.9527
Canada,24.09921,24.20033,24.29829,24.39552,24.50234,24.61321,24.72117,24.83096,24.93661,25.046,25.14319,25.22367,25.30642,25.39836,25.49248,25.58741,25.68735,25.79637,25.91079,26.01716,26.11965,26.2145,26.29888,26.3795,26.45484,26.51921,26.58187,26.6421,26.69829
