Economical infrastructure aid (% of total),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,10.92479675,7.673764564,,10.30472203,10.29847346,2.621041136,2.748863062,3.063315716,,,,,3.613605827,4.167738616,5.090497738,12.10924081,
Netherlands,,52.1177686,75.839221,59.93523316,18.39810361,13.13357485,15.90246179,10.0987341,7.948198077,22.18044315,20.39857308,11.93771419,17.2900616,29.92251047,17.91397331,19.78401515,19.01891443,23.13618651,21.93709774,22.02227061,24.59905495,29.97356018,27.9117464,14.2837321,5.592689383,8.95101164,9.941584088,14.99010972,19.60655738,16.04975406,11.51995839,13.22535,9.895521395,12.78648609,13.12455343,17.35680152,17.35744927,19.95506972,13.43501331,14.9251033,20.11492771,
New Zealand,,,,,,,27.12022367,32.50268214,43.26549818,43.94784848,21.80654467,25.36160545,33.90960731,32.02589196,27.89591745,33.8066741,41.23152709,44.08559144,35.58462796,37.06744868,9.564444444,3.753741607,,0.5740528129,5.841895219,7.06528086,5.784076507,12.49061863,12.48939008,,,7.558848354,7.332120541,5.944656489,5.828872462,7.259273136,5.971223022,5.273189327,2.803738318,8.12447198,9.88402941,
Norway,0.5275779376,1.350762527,47.1326773,11.57979581,17.13575495,15.96098953,10.5748468,22.93343846,12.27375315,31.07660234,38.5459207,30.49366404,36.18531022,39.05018369,20.76578952,28.05770744,33.16861652,27.17929453,29.24969762,18.33236693,19.81443823,21.22975765,13.730995,40.53318455,58.40751617,19.57853467,35.71152333,15.63798532,34.45798271,23.06022277,20.83432911,17.16349052,9.70709459,17.04194585,19.10479138,8.347634146,12.16205593,12.6856743,11.82704278,11.94237225,19.96226321,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,17.05840815,,16.39779006,13.06020589,12.3737148,16.81398737,38.39656507,13.40667942,9.81562916,14.91734714,5.323362825,2.859778598,6.08984207,16.37589025,14.30359034,12.48915187,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,69.75711021,48.33716505,46.78553571,32.74370144,14.08215814,25.75803487,21.2763838,21.19152922,2.823264563,3.068896732,18.94883463,23.57811352,23.72934841,24.61571834,17.76659223,24.34283051,11.44582699,
Sweden,4.740423014,27.75337433,71.72255301,17.07698476,10.10030528,20.64403887,2.474151309,3.293867638,4.422256513,5.551692589,8.377717348,10.32508312,4.613257658,3.004096495,8.519738522,10.19708752,9.42244132,23.57084801,33.54844512,37.01471146,21.0701338,18.34357096,40.05749471,24.03143034,16.90142109,18.88705734,20.06938573,19.08335128,17.05836395,19.86870487,23.26700602,16.60655843,17.01208981,17.85062557,18.21584814,11.81341837,18.41155235,13.79725086,10.80353873,9.737341518,11.49095822,
Switzerland,,,1.135581555,3.88218339,,0.8179481187,4.141620979,7.924087066,39.32699425,14.20308954,9.940520954,1.906466423,2.769984589,8.633501259,16.83845372,2.770774977,2.480504722,30.38093012,16.31027319,14.59387684,24.72717824,11.49226405,15.40520365,6.130012151,20.6267405,8.752573715,7.807652534,3.020609043,7.096592509,17.48547841,,13.45280828,15.08453268,11.19860182,12.59023355,16.86351081,14.34112513,14.61383824,13.15011985,12.85560577,14.51102093,
United Kingdom,26.83737521,48.12379213,31.01084153,21.70424671,14.32630942,9.166544836,18.75626478,13.08907667,5.53615532,4.60655618,10.13531543,23.07046806,25.7072408,21.07223524,5.192871936,36.74472368,30.79094575,46.0574237,19.64271297,25.81519649,29.32832708,44.70659062,35.79520979,35.7180868,42.64779309,24.58935896,25.18997636,23.85560036,25.69857215,24.62410718,19.42444112,20.65151269,20.92109527,12.18465873,18.46228735,12.44342927,14.65650503,15.60424522,7.688958978,6.439038556,22.80645317,
United States,40.24732142,31.58348537,16.58504908,17.82184976,8.730862504,10.99137522,16.68370299,,5.387883605,12.20241306,,24.26174276,24.8294154,6.773363353,11.59268416,9.63225843,7.532450166,8.62092876,11.50940983,10.43391635,11.66155352,7.204045294,10.96320472,14.25148259,14.21491307,14.21490899,14.21492032,29.47955463,15.96168502,15.9847662,24.39411454,13.10619478,22.79329322,20.26071597,6.053371587,8.183059706,3.918455424,25.76407777,14.49257241,19.33434191,16.76540972,
