Economical infrastructure aid (% of total),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,44.59670425,25.29029841,52.37535364,35.92619483,36.56663516,30.10647809,11.047268,21.67427657,22.1438646,27.16172214,27.04776088,28.54636915,47.58753952,20.83894185,18.578216,12.79765264,16.92965155,13.99586038,10.94049015,4.888252242,14.15283928,19.5955108,25.15216139,11.55023923,12.25023626,15.99186086,21.86735828,34.29690343,24.21079102,20.44792283,18.30763192,14.74572864,11.52706407,11.38361447,6.821846408,11.0340729,7.324103006,6.905175778,5.502671803,4.943646816,6.676909097,
Austria,,,30.04699739,59.38555573,,,4.831543873,13.35103591,3.026692088,0.5122024706,40.26417593,28.21775844,9.576594585,19.38793687,49.0085583,79.84224939,52.10553455,61.54973525,34.66484438,53.82454451,54.75522426,58.99694958,38.28084476,13.69758502,43.14754346,54.1709708,27.9941194,43.65418895,18.69295958,4.614360719,5.766148814,1.616634388,1.49113169,3.22651725,3.446623094,22.6518496,4.924727739,3.035320088,3.755116569,5.716599737,10.75220993,
Belgium,25.10610513,20.32354327,36.69474163,20.40668993,3.23065042,1.40489125,8.85331591,4.494863014,9.703622393,10.64144251,5.198776758,9.344251015,12.24814422,12.94931904,3.943246174,5.349807602,17.18044908,16.06788747,17.10436396,18.22861856,17.39403006,19.41980003,8.147313692,12.91416907,10.63447213,9.842647857,9.673535381,11.90583465,11.44308613,6.453010899,5.917651818,6.276905317,4.779311597,7.307576589,11.45703191,10.29811102,12.60150146,14.12438191,13.12473779,10.93907654,10.03433644,
Canada,30.43743381,39.0033916,69.63304954,63.32166976,51.89819258,48.89496468,52.26824845,36.96414653,19.60501122,23.68229464,41.78226725,48.99807643,49.7554177,14.34609991,28.25389565,24.43407626,15.66424889,52.08442359,17.39846198,33.711093,37.65474259,31.19375498,14.87653887,30.20367127,23.42188795,25.11260434,26.40800642,30.64207447,27.89752833,17.16845823,16.17215964,14.27462464,12.15441099,8.458919582,10.29594828,5.4045263,6.777669386,5.432092236,7.644571631,4.596685214,9.9302402,
Denmark,,,,,,,8.02158018,18.75664187,,0.04759844223,7.595384933,7.738631618,7.407598064,0.594026271,0.5026715411,18.44420679,29.52604667,33.65779858,23.05995953,38.32823974,19.49057796,30.48449612,11.61802694,12.81712723,21.58050527,10.16524585,13.59913915,36.58542491,22.8913705,22.49892247,17.38629878,22.69299268,11.96754781,46.06560874,6.534462676,22.08605517,29.46207084,19.06591922,16.01146387,18.06269052,24.49216851,
Finland,,,,,,,,2.022838499,23.5235435,28.61680624,34.52023121,44.82536271,10.99548131,16.73892989,,27.68891759,18.59928516,21.15322003,47.68065837,0.8972623674,,38.13544669,28.68966745,14.32833662,35.75586602,13.36827601,21.42241864,4.987116169,6.297199954,25.04062307,5.485666183,8.488430101,10.10922149,1.920283276,1.271440566,4.562780269,9.575204096,5.173062998,13.15054674,8.321859835,16.35849754,
France,39.91304171,21.14282149,19.43306762,28.36808945,9.788446031,11.90126701,9.991913218,18.45569282,14.65146809,14.06524963,12.46387298,14.42312014,14.27766055,18.09350961,13.81922162,17.07747742,17.83151459,21.772783,21.86166945,25.50718946,16.72613258,27.31260811,23.8827397,19.72806704,21.49484466,17.93500147,17.19554418,11.88197396,12.92539517,13.08320831,11.95788107,14.36041385,11.12063276,7.406246707,11.95349133,7.272009649,12.09550303,11.67777796,22.56036476,13.67020862,13.64861026,
Germany,27.2090897,42.40368389,60.92887544,39.26978312,21.31736848,20.50051566,21.66051959,28.79976629,18.57388393,32.62096533,29.94002276,30.8477435,34.1866962,30.3427694,40.71641976,30.92755219,36.45842732,52.21146251,35.53392974,30.69786407,33.20513085,33.50118875,42.14382589,37.78969628,39.25340638,25.6831946,34.3801603,30.31952753,28.88823883,36.08028017,26.09513462,15.05687346,34.30366766,17.73294883,25.02382737,18.45710132,18.15094718,26.17920221,24.20030328,24.26261006,21.79352045,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.39138061,5.493879875,2.580511974,4.851330203,5.109489051,3.38586924,0.9882064414,6.766766767,12.62311324,11.47489076,3.885985288,
Ireland,,,,,,,,,,,,,,,,,,,0.786163522,1.974225391,0.4630701551,3.162650602,3.022670025,4.095238095,6.291047356,10.03708282,,16.98851775,11.01708976,11.02168756,,8.712975492,10.02465078,3.397231097,3.973373875,3.278544174,2.354979831,3.372421467,2.425662892,1.648973663,1.911880705,
Italy,41.97341799,65.63073447,,,,,,,7.634168611,,11.14436198,6.12179692,8.826176395,0.2247296222,16.56367295,25.08014736,28.85396433,25.88902034,31.80853533,32.16197906,26.75065407,25.81845645,28.25261201,27.78719158,38.01040748,32.15240089,26.24342503,45.18698201,43.52779879,19.20764352,44.3954167,5.408001537,9.472773586,6.065713313,9.854520879,3.956580869,6.569063681,6.122256016,40.19959888,36.08869475,15.37254293,
Japan,51.4010794,92.28777557,81.0674356,69.30199154,35.25716765,38.85403133,30.50526595,36.98863217,56.43762626,46.55255475,50.04916759,50.76474781,41.83637964,58.34704614,40.71191825,54.02869274,50.16618022,35.62859866,44.39351127,45.2265822,61.42181052,50.93221343,46.37155212,42.95122974,63.22498314,39.38689155,49.11570368,50.17473718,53.40705397,48.57610339,53.13114569,50.96700923,45.53677528,45.7836587,47.64043982,48.60217092,44.74187216,48.55978868,43.26280021,42.62293223,34.64023982,
