Guam,,,
Kiribati,,,
Marshall Islands,,,
"Micronesia, Fed. Sts.",,,
Nauru,,,
New Caledonia,10000,10000,10000
New Zealand,"1,261,000","1,769,000","1,852,000"
Niue,,,
Northern Mariana Islands,,,
Palau,,,
Papua New Guinea,"63,000","82,000","92,000"
Pitcairn,,,
Samoa,,32000,32000
Solomon Islands,,,
Tokelau,,,
Tonga,,,
Tuvalu,,,
Vanuatu,,,
Wallis et Futuna,,,1000
Argentina,769000,1078000,1229000
Bolivia,"20,000","20,000","20,000"
Brazil,"5,070,000","5,279,000","5,384,000"
Chile,"1,741,000","2,354,000","2,661,000"
Colombia,"136,000","254,000","328,000"
Ecuador,,"162,000","164,000"
Falkland Islands (Malvinas),,,
French Guiana,"1,000","1,000","1,000"
Guyana,,,
Paraguay,"23,000","36,000","43,000"
Peru,"263,000","715,000","754,000"
South Ossetia,,,
Suriname,"7,000","7,000","7,000"
Uruguay,201000,669000,766000
Venezuela,,,
