Female 0-4 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,17.75178026,17.07891637,17.42227979,17.79213153,18.15308989,18.35620711,18.51520572,18.81974975,19.04525933,19.32261768,19.28867334,18.71666808,17.86579285,17.55373903,17.11442786,16.4024334,15.40444335,14.27208338,13.19656869,12.25767244,11.43576826
Albania,14.28571429,15.78947368,17.27158949,16.61272923,14.85335856,13.8047138,12.84829721,12.14235869,11.66562695,10.28938907,9.07323396,6.81094844,6.720597386,6.952841596,6.886403767,6.354708261,5.612829324,5.103211009,5.020196192,5.125218404,5.023640662
Algeria,16.11473881,16.67014832,17.68872321,19.30209036,18.64503274,18.13701331,17.57362356,17.10957408,14.95416501,12.69455947,9.759163689,9.47640118,9.571314559,9.352632416,8.680314022,7.684705882,6.778133309,6.261421982,6.095294416,6.096406372,5.964006133
Angola,16.65877899,18.18969251,18.63743148,18.92373485,18.87705712,18.74819729,19.18837675,19.42157484,19.57124376,19.44662789,18.42032588,18.1958457,16.85358255,16.39239931,15.59382041,14.58138699,13.48110701,12.47122706,11.63596966,10.90972813,10.20778979
Argentina,11.47147147,11.31892938,10.91318391,10.3984888,10.06823099,10.40934779,11.3870764,10.33898305,9.948562784,9.588112323,8.957048692,8.26873385,8.061012695,7.733480989,7.3081014,6.852889592,6.42563613,6.048827888,5.914042385,5.763173245,5.587919669
Armenia,10.81460674,13.98773006,15.8221303,14.82789056,11.03341103,10.22805805,10.20151134,10.79178886,10.47149123,8.259587021,5.644171779,5.871559633,6.367495452,6.451612903,5.979869745,5.275637226,4.931669638,4.919016197,5.051734632,5.064854849,4.933586338
Aruba,16.66666667,19.04761905,16.66666667,15.38461538,10.34482759,10.34482759,9.677419355,9.090909091,9.090909091,7.692307692,6.52173913,5.769230769,5.357142857,5.263157895,5.357142857,5.263157895,5.084745763,5.357142857,5.263157895,5.172413793,5.357142857
Australia,10.60382916,10.60272767,10.46626008,10.09270596,9.328476402,9.033303861,7.504078303,7.364830723,7.16285581,6.950697266,6.427906014,6.099581019,6.102071006,5.97553463,5.851197982,5.720270706,5.559001396,5.421822272,5.366244357,5.354609929,5.345890174
Austria,6.779661017,6.401291017,7.365062483,8.094129816,7.546214231,6.129597198,5.273731793,5.540166205,5.328996748,5.454102751,4.86447241,4.585204443,4.379221989,4.325699746,4.390804598,4.414455627,4.355758267,4.262594028,4.251428571,4.339839265,4.505545287
Azerbaijan,9.856396867,13.36379212,17.33990148,17.23700887,13.89932382,11.76672384,10.9459032,11.48115688,12.3845736,11.0077909,8.041286606,7.124740604,8.000876808,7.985821518,7.25015021,6.251217137,5.637301739,5.541941565,5.656150831,5.597917054,5.341800523
Bahamas,14.28571429,14.89361702,17.85714286,18.05555556,15.29411765,13.68421053,12.26415094,11.76470588,10.85271318,10.48951049,9.677419355,8.484848485,7.90960452,7.446808511,7.035175879,6.220095694,6.046511628,5.829596413,5.652173913,5.508474576,5.439330544
Bahrain,18.51851852,19.35483871,19.17808219,20.6185567,18.62745098,16.2601626,15.17241379,13.69047619,13.7254902,13.63636364,10.79136691,10.64516129,9.826589595,8.970976253,7.99031477,7.399103139,7.112970711,6.692913386,6.367041199,6.071428571,5.841924399
Bangladesh,16.50240206,17.96333112,18.02706413,18.1868493,18.31705621,18.48419616,18.28128562,17.27176875,15.4369994,13.74549725,12.53022801,11.33410013,9.839957683,9.178576784,8.611909115,7.990692865,7.333121928,6.731146756,6.325163718,6.093470891,5.867257669
