"Expenditure per student, tertiary (% of GDP per capita)",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,
Albania,,,,,36.58375,,,,,,,,,
Algeria,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,
Andorra,,,,,35.6186,27.20446,21.73818,18.09629,36.27816,,,,,
Angola,,,,,,,,72.53524,80.43032,,,,,
Antigua and Barbuda,,,,,,,,,,,,15.30997,,
Argentina,20.2150791,17.69166,17.7225,16.09972,13.0572,10.34781,11.77389,,14.20866,15.59024,16.5318,19.06417,,
Armenia,,,,,,,,,,,7.39335,7.17275,7.45701,
Aruba,,31.28889,28.77569,33.07156,35.18622,,,,,29.0661,28.80506,37.5624,,
Australia,27.54843653,26.57538,25.64508,25.69447,22.59796,22.75422,23.27805,21.50093,20.57181,20.2157,19.84824,20.67792,,
Austria,,51.81163,43.92245,41.23967,46.3006,45.90786,49.0146,49.98216,48.02469,47.08546,43.53848,,,
Azerbaijan,,19.09652,15.91147,14.15449,12.35162,12.46054,14.96684,13.47874,11.54517,12.8636,17.09074,22.34607,,
Bahamas,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,
Bangladesh,,46.63532,42.22325,36.6649,39.82647,33.19006,43.12989,,42.35661,36.41534,35.26676,27.7316,,
Barbados,,63.869,51.12896,70.54363,,,,,,49.48645,,37.9003,41.36779,
Belarus,,,,,,,27.29755,27.66708,29.02659,18.13323,,14.69872,,
Belgium,,,,38.18731,37.2642,36.19783,34.73538,34.572,35.27549,35.18642,36.579,,,
Belize,,,,,,,36.2389,,,,28.49712,30.98283,,
Benin,,,208.22192,160.19973,140.71092,128.29446,136.8309,156.03728,145.10675,,,,,
Bermuda,,,,,,0,0,0,0,,,,27.97004,
Bhutan,,,427.90761,,,,,,,,152.9366,85.05035,,
Bolivia,52.22645081,44.08737,47.05885,43.97691,43.45572,35.96869,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,
Botswana,,,,,,,,312.47426,,256.32397,,,,
Brazil,80.12504303,57.2242,55.57436,47.46028,44.60889,,32.61409,34.98434,,29.5963,27.64181,,,
Brunei,,,,,,,,,,,,,32.01406,
Bulgaria,,,,17.56715,18.19652,27.34377,17.38981,23.29646,22.09301,18.89112,24.80386,,,
Burkina Faso,,,,,,,,217.07429,240.85885,314.19221,,,,
Burundi,,1036.12811,908.99967,1103.07696,621.37194,563.77069,422.69041,334.55734,,,551.96042,509.86723,477.44336,
Cambodia,,,,42.49602,,,,,,,,,,
Cameroon,,,,,,,70.59367,69.40938,46.29514,49.01712,32.67652,34.64004,28.00432,
Canada,43.99679625,,,,,,,,,,,,,
Cape Verde,,,,,347.71834,215.59844,114.8984,69.48418,76.25724,,52.55022,46.45187,,
Cayman Islands,,,,,,,,,0,,,,,
Central African Rep.,,,,,,,,,292.53124,,101.0115,122.72811,95.96934,
Chad,,,,,,,263.3015,314.73828,,,,207.69552,279.05838,
Channel Islands,,,,,,,,,,,,,,
Chile,20.96975332,,19.37444,,17.9601,14.99674,15.40984,11.63869,11.75655,11.47757,12.08342,13.68789,,
China,,89.99745,,,,,,,,,,,,
Colombia,33.69122408,37.71878,29.57417,30.32232,23.4219,,20.68254,19.41236,18.92619,,26.03312,26.83499,29.38708,
Comoros,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,
"Congo, Rep.",,,,,220.91427,,,,,,,,134.15399,
Costa Rica,,,,,,,35.78921,,,,,,,
Cote d'Ivoire,,141.04519,133.66546,,,,,,106.80833,110.32377,,,,
Croatia,,35.82432,42.42285,,29.17582,26.55998,,,,25.23105,29.21372,,,
Cuba,116.2647423,77.57571,94.74273,89.4638,98.08367,93.80405,63.3628,55.55148,34.26735,38.8413,59.10035,61.0726,,
Cyprus,,47.88273,61.06287,41.4412,44.44746,61.27124,52.33893,59.72327,61.9459,56.96065,57.0288,,,
Czech Rep.,,33.72809,30.49427,31.11582,31.00637,33.29651,30.09465,27.22554,37.28781,30.47776,25.71815,,,
Denmark,,65.86258,70.17713,75.50915,73.91044,66.72786,62.54542,55.49687,53.7318,53.64412,52.14073,,,
Djibouti,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,
El Salvador,10.21322666,,8.85712,,10.93674,10.97068,,15.05609,14.27017,13.87629,,,11.74206,
Equatorial Guinea,,,,,,,,,,,,,,
Eritrea,,,,430.82275,408.79455,617.32956,940.49337,,,,,,,
Estonia,,31.81502,,24.20014,24.1378,21.67555,17.58431,18.37182,,20.53063,22.1165,,,
Ethiopia,,,,,,,,,,,,,31.02186,
Faeroe Islands,,,,,,,,,,,,,,
Fiji,,,,,,,62.76775,,,,,,,
Finland,,40.48563,38.41781,37.06313,37.01142,36.81785,36.04171,34.37344,33.35969,31.65187,32.45631,,,
France,,30.66499,30.2206,29.73394,30.04961,35.03144,35.17949,34.47542,34.60866,36.06871,37.00176,,,
French Polynesia,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,
Gambia,,,,,,,235.26621,,,,94.39213,,,
Georgia,,,,,,,,,,,11.40372,,,
Germany,,,,,,,,,,,,,,
Ghana,,,,,,,,204.88358,,232.95778,,,171.70777,
Gibraltar,,,,,,,,,,,,,,
Greece,27.45359641,26.46873,20.9905,24.67004,24.27917,21.80617,24.83922,25.35958,,,,,,
Greenland,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,18.94667,,,,
Guinea,,,,,,,294.10586,214.78895,,,100.01972,,,
Guinea-Bissau,,,,,,,,,,,,,,
Guyana,,,,,,,36.76202,35.38981,27.07839,22.00946,,26.0933,18.69674,
Haiti,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,
"Hong Kong, China",,,,,,65.0376,67.71987,59.7045,57.20433,38.46692,28.62175,56.2468,26.82899,
Hungary,35.98655806,34.08612,34.63929,32.69217,31.97806,31.74273,24.37151,23.85969,23.90236,24.29361,24.76085,,,
Iceland,,39.0372,35.09428,34.8194,34.29719,30.43081,27.5045,28.41713,26.21682,27.36897,28.38181,,,
India,,,94.96887,,,68.43195,61.07813,56.18158,53.40422,,,,,
Indonesia,,,,,,,,,,19.31005,16.75634,,,
Iran,,,,35.53519,38.51554,32.27428,26.54583,23.50315,30.2904,27.91805,20.83658,22.27142,19.22552,
Iraq,,,,,,,,,,,,,,
Ireland,29.04390535,28.58094,30.62078,28.23814,26.37471,23.91898,23.78542,24.63511,26.00179,26.22769,32.74982,,,
Isle of Man,,,,,,,,,,,,,,
Israel,,30.92934,29.19421,28.75497,25.39175,27.79721,23.63361,22.57633,22.80361,22.74025,21.27728,,,
Italy,,27.55704,26.62342,24.97742,26.35096,23.44873,22.67387,22.20448,23.34052,22.12825,24.95619,,,
Jamaica,,,,70.36765,59.67162,36.16849,,,,,42.4121,52.80942,50.19577,
Japan,13.32701798,15.12206,17.70273,17.41558,17.37313,19.88015,20.80486,19.22158,19.0648,20.13405,20.94919,,,
Jordan,,,,,,,,,,,,,,
Kazakhstan,,,,,11.35657,,5.96071,5.59704,8.44416,7.89411,,10.07758,,
Kenya,,,207.88399,225.02829,,,273.62703,,,,,,,
Kiribati,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,
"Korea, Rep.",7.02181759,8.36969,,,4.79904,8.82085,8.41992,8.67991,9.5128,9.04068,10.14379,,,
Kosovo,,,,,,,,,,,,,,
Kuwait,,,,,119.05512,128.10074,111.07691,,,,,,,
Kyrgyzstan,,24.32951,15.79621,17.25951,20.81173,22.32119,22.73254,21.81244,22.18542,22.49082,17.31891,17.60161,,
Laos,,67.69951,69.48217,110.12857,81.87432,,,,,,,,,
Latvia,34.28885681,27.93608,22.6559,19.65403,18.73942,14.43433,12.35547,,15.85249,16.3454,17.56644,14.15145,,
Lebanon,,13.77454,9.7289,,19.6589,18.98642,16.61339,18.30137,17.60287,14.33517,11.97319,10.02496,,
Lesotho,,,939.74065,912.29988,,,,,1344.37095,,,,,
Liberia,,,,,,,,,,,,,,
Libya,,23.44959,,,,,,,,,,,,
Liechtenstein,,,,,,24.46793,21.82757,,10.27903,9.15109,,,,
Lithuania,,,,34.18288,32.6997,20.51732,19.99367,17.98965,16.99659,17.13247,17.02501,,,
Luxembourg,,,,,,,,,,,,,,
"Macao, China",,59.55276,60.31715,,26.55653,20.87378,19.66004,22.10036,19.51861,16.32746,16.68051,15.75585,,
"Macedonia, FYR",,,,,23.74772,,,,,,,,,
Madagascar,,,,,,141.21406,138.60561,154.47596,156.95021,139.8127,141.06326,144.78639,,
Malawi,,2503.91343,2502.70972,1870.35846,,,,,,,,,1937.6117,
Malaysia,,,81.62944,110.27001,98.86808,90.62672,69.3515,,60.72167,50.28303,34.40422,60.72263,,
Maldives,,,,,,,,,,,0,,,
Mali,,256.83575,,,,,,,,,130.64523,135.32849,,
Malta,,,,,49.12745,,27.10228,,,39.67016,44.38616,,,
Marshall Islands,,,,,73.49791,,,,,,,,,
Mauritania,,80.08885,,,,,,,,,183.14395,,193.87542,
Mauritius,,,,25.42477,34.45308,47.32713,43.3808,28.66558,22.06605,,16.11978,,,
Mayotte,,,,,,,,,,,,,,
Mexico,,48.79119,,37.01506,49.69047,41.36895,38.32934,39.03473,36.4904,38.03507,38.87924,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,
Moldova,,,,,,,,,36.31533,38.98772,38.18394,45.30861,44.84736,
Monaco,,,,,,,,,,,,,,
Mongolia,,,,,30.36211,,18.43797,,,,,,5.98403,
Montenegro,,,,,,,,,,,,,,
Morocco,,97.12213,112.08526,95.14751,89.19988,79.92925,75.34932,82.65867,75.2301,,71.58665,83.28092,,
Mozambique,,1408.93451,,,,,,,,,,,,
Myanmar,,,,26.96266,,,,,,,,,,
Namibia,,157.30356,,,85.03387,99.64111,,,121.30302,,,,,
Nepal,,,141.33401,104.6069,79.4469,65.57502,,,,,,55.84223,39.25198,
Netherlands,,47.4251,45.37043,43.20144,41.79188,43.71054,43.46676,42.39961,42.33921,40.02504,41.52217,,,
New Caledonia,,,,,,,,,,,,,,
New Zealand,,39.51699,,35.84284,35.8745,32.90457,26.71765,25.16082,25.91318,28.09452,28.24662,30.96712,31.41657,
Nicaragua,,,,,,,,,,,,,,
Niger,,,,,,,,,359.139,540.10298,390.88139,430.38093,438.80595,
Nigeria,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,
Norway,47.40634312,45.8317,39.31713,43.6326,47.98553,49.24753,51.4504,49.10435,44.8544,47.25297,46.8021,,,
Oman,,,,,27.60818,,21.52413,13.53886,,,,41.63667,,
Pakistan,,,,,,,,,,,,,,
Palau,,,,80.99991,,,,,,,,,,
Panama,,33.67687,31.86636,29.39634,32.58234,,26.59234,,,,21.63468,,,
Papua New Guinea,,,,,,,,,,,,,,
Paraguay,,,58.87077,48.7182,30.31242,31.63174,24.55087,,,25.95835,,,,
Peru,,,,21.05331,13.8791,11.94427,11.95583,8.86389,10.75258,,,,,
Philippines,,,14.35165,13.30452,13.98384,13.65037,12.06573,11.09671,,9.20456,,,,
