"5-9 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,1091000,1231000,1295000,1457000,1660000,1909000,2025000,1799000,1869000,2716000,3126000,3751000,4385000,4956000,5676000,6364000,6978000,7432000,7723000,7928000,8101000
Albania,154000,168000,214000,274000,311000,315000,316000,343000,352000,350000,318000,286000,219000,221000,236000,241000,227000,201000,182000,179000,181000
Algeria,1122000,1289000,1510000,1789000,2195000,2517000,2826000,3284000,3785000,3795000,3603000,2997000,3139000,3420000,3595000,3563000,3335000,3075000,2944000,2952000,3032000
Angola,538000,582000,699000,791000,895000,1009000,1153000,1405000,1622000,1927000,2210000,2455000,2842000,3045000,3399000,3683000,3887000,4012000,4104000,4195000,4277000
Argentina,1710000,1937000,2121000,2248000,2331000,2454000,2751000,3283000,3220000,3338000,3448000,3406000,3317000,3397000,3411000,3357000,3261000,3153000,3044000,3041000,3019000
Armenia,109000,154000,242000,324000,358000,306000,304000,324000,369000,344000,272000,193000,206000,225000,231000,214000,189000,175000,172000,173000,169000
Aruba,5000,6000,8000,8000,8000,6000,5000,5000,5000,6000,7000,7000,7000,6000,6000,6000,7000,6000,6000,6000,6000
Australia,707000,941000,1021000,1151000,1255000,1240000,1307000,1181000,1261000,1293000,1354000,1337000,1333000,1403000,1442000,1477000,1507000,1521000,1534000,1562000,1600000
Austria,561000,508000,481000,568000,640000,614000,499000,432000,462000,463000,473000,428000,411000,395000,392000,401000,405000,401000,392000,390000,396000
Azerbaijan,232000,299000,472000,709000,822000,759000,677000,700000,819000,933000,890000,690000,663000,781000,817000,767000,678000,619000,614000,629000,621000
Bahamas,10000,11000,15000,21000,26000,27000,28000,26000,29000,28000,31000,30000,28000,28000,28000,28000,27000,27000,27000,26000,26000
Bahrain,16000,19000,22000,33000,34000,40000,40000,44000,52000,56000,64000,65000,71000,69000,69000,68000,67000,69000,70000,70000,69000
Bangladesh,5464000,6086000,7597000,8642000,9963000,11487000,13365000,15404000,16854000,17161000,17168000,17386000,17235000,16120000,16057000,15991000,15623000,14971000,14228000,13761000,13563000
Barbados,22000,27000,29000,31000,32000,25000,26000,21000,21000,20000,18000,15000,14000,14000,14000,14000,13000,12000,12000,12000,12000
Belarus,570000,625000,787000,953000,917000,746000,732000,744000,815000,804000,610000,473000,456000,477000,461000,425000,383000,346000,329000,330000,327000
Belgium,542000,694000,704000,758000,784000,727000,659000,609000,597000,597000,607000,587000,585000,614000,614000,622000,618000,610000,605000,609000,616000
Belize,8000,10000,14000,18000,19000,21000,23000,23000,28000,31000,35000,36000,36000,36000,37000,37000,36000,35000,33000,32000,32000
Benin,240000,245000,270000,314000,373000,439000,510000,605000,711000,835000,981000,1132000,1297000,1494000,1661000,1775000,1863000,1937000,2006000,2060000,2090000
Bhutan,23000,27000,29000,34000,40000,47000,57000,68000,77000,77000,78000,71000,72000,69000,72000,73000,70000,64000,62000,62000,63000
Bolivia,351000,409000,461000,522000,584000,662000,766000,816000,899000,1003000,1124000,1159000,1209000,1216000,1211000,1192000,1164000,1127000,1082000,1035000,991000
Bosnia and Herzegovina,278000,368000,421000,428000,423000,376000,350000,331000,350000,264000,222000,220000,181000,170000,165000,159000,148000,136000,126000,121000,118000
Botswana,55000,58000,82000,95000,108000,126000,150000,181000,208000,218000,218000,216000,211000,225000,233000,234000,229000,223000,220000,220000,218000
