Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.90085213,,,,,,,,84.74557259,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8973633,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,100.8098894,,,,,,,,,,,,,,,,100.8651616,,,,,,,,,100.87136,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.14787649,,,,,,,,,,73.24779862,,73.59494191,,,,,,,,,84.55237811,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.93801387,,,,,,,,,,100.0089811,97.43049711,97.43049711,97.43049711,,,,,100.0368361,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99628369,,,,,,,99.99741966,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0846438,,,,,,,,,100.0791429,,,,,,,,100.0604909,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,103.2996657,,,,,,,,,,,,,,,,,,,,,102.6004779,,,,,102.434311,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,97.5930599,,,,,,,,99.2311535,,,,,,,,,,,100.1183436,,,,,,100.4312466,,100.0273771,,
Egypt,,,,,,,,,,,,,,,,,60.47308307,,,,,,,,,,75.65725236,,,,,,,,,,84.73325577,,,,,,,,,87.64516745,93.05079942,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0031054,,,,,,,,,,,,,,101.1191822,100.7190187,101.1302335,100.6499071,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1542607,,,,,,,,,100.522382,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.55745161,,,,,,,93.6374094,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0706003,,,,,,,,,,,100.0844879,,,,,,,,,100.097688,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47140371,,,,,,,,,,61.89710611,,,,59.586492,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57060562,,,,,,,,,,,97.75051125,,,,,98.04008266,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3363689,,,,,,,,,84.50888779,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0740356,,,,,,,100.0935713,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.23073911,,,,,,,,,97.25034097,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,99.83480946,,,,,,,,,,99.9908601,,,,,,,,,,100.0977784,,,,,,,,99.88538707,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,100.5748286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.54012743,,,,,,,,90.75223639,,,,,,,94.99235314,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.44920753,,,,,,79.09553981,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,29.82436383,,,,,,,,,,,,,,,,,,,,,61.36749703,,,,,,,,,81.25161172,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,99.59357768,,,,,,,,,,,,,,,,,,,,,,115.4255319,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6257157,,,,,,102.5451884,,,,
