Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahrain,,,,,,,,,,,,,,,,,,,,124.1084542,131.1296797,118.9816212,96.68185246,96.48621034,101.7697204,98.71046437,102.3678897,95.33798079,98.64389788,115.555831,85.00316663,84.38199373,83.87459862,81.19327009,81.99054381,87.91352571,79.0767808,64.60367069,78.86724546,89.43574741,82.32255468,81.92382384,81.87721692,92.00142029,99.53170385,98.78717729,93.72993363,96.84896908,81.29353782,,
Bangladesh,10.78235324,10.74675137,9.983485237,10.02841234,9.662716589,10.28428077,9.306141992,8.330809007,8.145992523,8.313112886,6.291487368,5.674730517,6.539409279,3.701075477,2.895078897,4.746081767,7.040751954,5.557663158,6.109219477,5.494283787,5.270134353,5.208713441,5.742233804,3.279997223,5.550197173,5.351111364,5.165099882,5.627374429,5.747261952,6.122069233,6.662620259,7.586679356,9.017266324,9.001543844,10.86463281,11.0843287,11.99344069,13.32868318,13.19366528,13.98001987,15.38179994,14.27597264,14.21381522,15.46485287,16.58131624,18.97366042,19.77669173,20.33960131,19.42762403,18.40616841,22.90085831
Barbados,45.0563204,51.08303249,55.0802139,52.09903122,58.39267548,62.52949504,60.34410407,63.25564457,61.59326425,59.50413223,61.23107471,64.85280999,60.31546526,62.30867974,50.38158543,44.89351958,49.5873591,58.07553957,65.42797878,70.13174696,59.74482798,63.82914894,70.5130602,71.92982856,67.74969959,56.53439001,45.99306462,48.71256995,50.30492394,49.1047032,47.44798543,55.24079633,57.74007988,57.78775733,61.96881268,60.85953661,56.62546786,53.02998103,51.28204705,50.4699361,51.20611496,50.86212342,51.09504484,52.24754249,59.38348902,60.13361297,59.4548975,60.04552356,60.6167497,47.34395912,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95842956,36.85419059,59.28610059,67.63690984,71.26992334,49.66532842,46.34996393,59.85986428,59.05113513,59.20335715,69.21082134,66.74760674,63.62751594,65.15637991,67.88633336,59.79780872,60.06131177,60.94305272,60.93775522,50.52974996,54.27591,87.89191858
Belgium,39.01317472,40.57309132,41.71253903,42.4975544,41.983271,43.66610549,42.68673241,44.86690932,48.8002812,48.87736779,47.58486729,47.98693737,52.22129445,57.50672214,49.92083806,52.78930019,51.65083783,49.75297984,54.27667847,54.48851443,58.77894798,63.17108825,65.66333924,70.030404,67.90160009,62.27928311,60.74055505,64.5896625,69.11104718,66.98764319,65.48289171,63.93825155,61.00146421,63.52078996,65.35755337,65.62308078,69.79046742,69.7023323,69.95776069,78.14114824,77.84975539,76.6938426,73.93366817,75.93679086,78.67813535,80.76366955,82.54634248,84.93280404,72.78513515,79.8969463,84.34306017
Belize,,,,,,,,,,,,,,,,,,,,55.37869063,53.39554173,47.9776848,49.07407407,62.44665718,48.48195075,55.51898179,60.4592263,62.01968879,59.74115116,62.22007262,54.27001388,49.72864119,46.69902174,49.84078874,47.96941379,50.01219277,52.78866824,52.5906294,55.06634477,52.99276016,50.86711379,52.55538591,53.30235299,50.64513539,54.62738249,61.35247526,59.87952609,61.86651999,15.75611564,58.37325706,65.5716753
Benin,4.583489502,3.517823218,3.82136028,5.13733827,7.267563117,6.846544937,7.66582202,9.334642631,11.77321924,15.17657986,17.78579853,14.38440226,15.66197564,14.31675611,14.52824592,12.99124634,16.17890259,16.5250882,17.51637949,15.81651289,15.93050046,17.77103584,13.76428919,19.57937532,23.65261835,16.67592095,15.26752813,13.80373921,13.49542897,14.28997439,15.54960541,14.82778511,13.82794125,20.18121377,20.15342296,15.78986425,16.07839693,17.09043472,16.14160177,15.18001785,15.18450904,13.54321051,13.68054548,13.31961463,13.4645147,11.35390581,16.22963771,15.24092762,13.99626938,14.28483468,14.87711347
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.94255482,30.22997764,28.75929732,26.34129685,,,
Bhutan,,,,,,,,,,,,,,,,,,,,13.64521135,15.43993283,13.69773777,12.05918634,12.93080412,14.9929789,17.63090463,23.54716228,28.07272324,28.04785642,26.83037089,32.15821943,31.98648234,31.56841232,29.52874258,37.76893593,35.48812901,35.90471555,33.10001139,31.11449202,28.98439827,28.94037413,24.9200891,26.19335716,31.29265759,38.24984145,54.41944697,54.97041626,46.58583826,45.70518722,39.84281333,36.61682136
Bolivia,,,,,,,,,,24.59450513,21.3923467,21.11244019,27.71337,35.29243801,25.9383183,27.67564799,26.77412861,22.59514375,24.17470347,24.52751984,23.2660239,29.06434694,28.31678004,23.65486385,19.04993082,21.32961827,19.74095293,18.76744692,22.49821605,22.77698135,21.47934664,20.04576118,19.0807653,21.66331174,22.55142197,22.58187009,21.11060287,19.69868495,16.88089935,18.27474497,19.97214933,21.6344551,25.60073441,31.13839049,35.54814294,41.77171424,41.79565675,44.906556,35.72262483,41.18745607,44.11838354
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44828947,20.4117386,23.61770565,27.83363465,27.30319728,27.6439663,28.69033962,28.39252526,24.34741468,30.28935458,32.24332752,32.14452201,36.65774613,43.3314562,41.06450461,31.66925263,35.776497,42.27670383
Botswana,27.21627206,27.92599752,28.99448591,28.81097508,31.70731707,29.26829268,24.61384796,23.05263158,22.77227723,24.6555475,33.14977974,37.37214792,38.83151372,40.92329887,43.59413668,50.38639876,50.90072321,52.06053789,54.12301706,53.05924444,49.705064,54.56198268,62.08344675,60.81127215,66.29104882,68.33084948,75.12956509,70.52194053,59.22459785,55.05540706,53.02951416,48.1795631,47.09535336,49.27820821,50.9453229,54.19141714,56.24857468,48.88109011,51.60126938,53.26487405,44.26982226,46.56926144,45.35338615,44.22618012,51.2499205,47.01432713,48.17827092,42.12054977,32.46390295,32.9870884,39.14191625
