Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,,,,,,,,,,,,,,35.48638132,49.74543276,47.81375561,42.32971372,44.68085106,45.25844871,50.25114155,50.92204276,50.40907749,54.65828959,48.73835979,45.03716749,47.28682341,48.07856028,51.45996786,51.50056486,47.08565207,49.45695962,47.49137326,47.68948421,50.01290347,50.77008824,51.83205756,49.788986,51.75072774,55.35764606,55.98531885,50.75278823,46.96680468,47.78248429,48.31941679,48.00492392,47.94382518,45.43876902,40.26909005,40.11451474,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.36724753,45.94985147,47.66103832,47.75564583,44.35930569,48.08180324,46.50892948,49.76577255,52.25070092,53.33035523,60.93404415,62.61721175,57.64178023,59.08984379,62.98029817,64.43425351,66.97458689,68.21576106,64.44791485,58.95242858,66.45734363,72.54729432
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,29.99696347,28.61945852,30.4029648,29.85216053,29.29712836,28.55194894,27.33558328,27.66315353,27.55132954,28.03687243,27.78868671,27.36699959,28.74308981,31.89712857,30.19941893,29.01273379,29.05467378,28.05761556,29.74481593,33.21285396,37.07995015,36.88463167,36.88837666,37.32908167,37.44981034,33.04888642,32.40089431,34.30615851,36.18424732,37.15371951,38.54406008,37.85052863,37.36561056,37.6919888,37.52742645,37.82959697,38.7344633,38.16975546,40.66048441,46.50758948,47.19375627,47.18726165,45.30299017,45.31803735,48.98900312,52.06982586,52.21847453,54.7348433,47.64246542,50.36647217,53.40889681
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.83775231,53.83775786,44.54985229,43.98345459,41.92896828,39.14488559,38.51813885,38.82533357,40.44588287,37.31604122,35.05629034,37.29556299,38.57129803,39.91211248,36.97081309,40.61078107,39.88729921,57.08825227,,,,
Dominica,,,,,,,,,,,,,,,,,41.24236253,42.71892424,28.01003344,21.99661591,34.56569159,41.22545492,41.14921223,35.6156478,36.54294087,53.32782551,53.23034531,54.64358625,47.14206188,54.54383309,51.16178825,51.98261549,48.56134529,49.05799847,49.8131949,51.34398496,55.80084688,58.66091423,58.56965002,44.5384335,36.63652257,37.6661576,34.74453613,35.5548908,35.77208199,37.25083515,35.30525358,35.12263621,32.53648788,35.98305974,34.36313617
Dominican Republic,23.25331949,23.86846349,20.72704364,19.69579029,16.3044708,16.34312377,18.08078856,18.48762803,18.48029304,17.22768204,16.47263562,20.67126285,21.87913255,24.93505715,27.71649969,20.88879925,20.01046413,17.3424933,20.63904746,19.16754715,20.82014553,14.33952741,14.40501022,28.20800689,28.15244164,24.35965371,25.56401677,33.02073081,33.46840047,33.82642295,40.11885664,37.07287005,36.74082997,36.70793583,35.76559321,35.19511549,36.21601471,35.82642536,36.56823817,37.04748805,33.72720843,32.47968236,43.07812001,42.32754934,30.03053916,29.99111028,28.77689752,25.48613633,22.24798194,23.03181871,24.92175017
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,16.49321266,17.88972078,16.24607258,15.65425069,16.24899033,17.70442696,16.79232277,16.94480103,14.03912543,15.23297491,16.30636131,20.04142865,25.95449351,36.57666717,25.96257433,25.28149192,25.78734425,21.62057778,25.86602738,24.95166023,21.97880962,21.587808,23.79504643,25.75344886,28.49176219,23.22173539,23.41946108,27.03980831,29.04546923,32.98232321,35.40509705,36.02702007,25.09298533,24.63791432,25.7278685,26.38706062,25.63039294,21.48785379,31.52812748,37.06539365,26.74570711,24.70366162,25.68792669,27.41074439,30.90434012,33.85383995,35.0758467,37.86205653,29.54153063,32.94940629,32.94940629
Egypt,17.20664927,17.1617217,18.66327767,18.51851487,17.53771134,16.94963258,14.64584425,13.19080567,14.210099,14.183887,13.79161382,13.34847623,13.98208269,20.51163953,20.18014614,22.26847013,22.48322148,21.74578796,29.72845181,30.51463742,33.37182399,27.03430866,25.48200234,22.35124787,19.91428311,15.73156677,12.55871062,17.31838725,17.89347945,20.0475985,27.81560136,28.39683681,25.83762887,22.57142857,22.54901961,20.74978204,18.8416698,16.21433542,15.0520156,16.20111732,17.47978812,18.31617826,21.7964072,28.2299607,30.343547,29.94981389,30.24973147,33.04299274,24.95682211,21.34924581,23.31478449
El Salvador,22.29347416,23.2324949,24.04310274,25.37814506,26.38654812,24.66219194,25.63818792,25.34859767,23.18658375,24.83493952,24.63157211,29.09505182,29.96006576,32.41770113,33.04672762,35.54383341,38.16510445,30.26637043,36.97151198,34.16154776,26.6786902,22.77740403,24.48851779,21.75413985,22.32376545,24.66816339,18.99230417,15.81068184,13.23778831,18.55597488,17.21408362,16.08969394,19.35520746,19.96590745,21.63749725,21.07587995,25.89411144,24.78973251,24.93643004,27.40033129,25.83121776,26.36666737,27.06772914,27.8327415,25.63970562,25.68204973,25.882745,26.88162008,23.1968443,25.91294527,28.08567673
Equatorial Guinea,,68.13708232,62.80120482,62.60233138,42.11176607,43.81903246,42.42532963,29.62336014,36.10438183,35.69951757,46.46704198,34.79025968,38.33942802,42.33955595,42.9809764,47.00131224,47.01168488,,,,,,,,30.09347268,35.46176534,37.24433764,40.17430365,36.67097395,32.15244811,48.23445751,1.945798864,1.97199284,56.02234081,55.20420012,77.57772157,100.8221642,101.7478617,,99.45586682,101.3542549,99.61887262,96.84925636,90.13055416,87.41738313,86.75791092,81.8922064,78.80650079,69.79765276,69.89937599,71.39352034
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.42360635,30.55669092,28.01966292,22.38801936,29.23377036,29.61482279,14.83448297,9.534407549,15.11871966,11.82509269,12.72023816,6.442440204,5.775429985,6.166469194,6.899366341,6.529806553,4.434495759,4.529372614,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.07318166,61.87985034,71.74319134,74.55949478,70.44441707,84.59438004,79.82719517,70.93081423,69.19015013,73.07457613,77.71823605,72.70013741,67.07219934,71.0479147,65.05424475,79.42915791,91.50920922
Ethiopia,,,,,,,,,,,,,,,,,,,,,7.632024347,6.798263224,6.489521204,7.615467101,5.836377113,6.869925207,5.967442343,5.876934985,6.602111486,5.56020813,4.064039646,3.212225201,5.782119489,7.121617016,9.689070642,9.264121524,11.3653767,12.86946393,11.72689828,12.03327572,11.99928955,12.60430972,13.31704261,14.90175193,15.09963752,13.8823879,12.72817865,11.40412621,10.5775195,13.62317561,16.84273039
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,30.67814855,35.6557377,51.07003891,55.9352518,46.31849315,43.44193818,44.57186544,47.39368999,49.52919021,48.38373306,49.78763568,45.88595484,45.28523693,49.13333333,42.99430031,37.70651301,43.91757832,42.65166619,45.27105187,47.77879944,43.02215489,43.23183453,43.60883944,42.82914828,44.36004558,41.66380735,45.31804532,54.29580045,62.66962097,62.34343434,57.31145935,51.91764757,52.37755304,56.42119443,59.29120502,62.8480589,61.03999206,60.80444755,61.02266489,65.15851948,60.67382849,61.48471555,59.86720118,53.81476145,52.90918918,49.83183362,48.28061519,51.22439976,45.55518263,53.8672429,47.52220236
Finland,20.00953902,19.92028388,19.07303361,18.96980847,19.0117305,18.69734184,18.52423682,21.30408943,22.70326844,24.15715981,22.83953185,23.93762583,23.88814975,25.98978051,22.3998224,23.83024495,27.17425222,28.19541295,29.93433624,31.19343296,31.6839585,29.21749409,29.09758635,29.92160361,28.44480117,25.83846902,25.15810188,23.98976168,23.37853389,22.53011778,21.65530352,25.96894088,31.81709846,34.79593684,36.47255996,37.22649827,38.76047681,38.57636477,38.83143532,43.57653466,41.50752398,40.52740765,38.70034563,39.86182076,41.76104784,45.49392212,45.81159984,46.83470674,37.34490883,40.27215374,40.70117443
France,13.91918618,12.83298796,12.59576677,12.63685456,13.22922125,13.28841353,13.14493218,13.17424932,14.01162245,15.97058513,16.49473725,16.6672922,17.584023,20.72977092,18.96012283,19.45541136,20.32632507,20.58187754,21.10715445,21.40000045,22.41991839,21.85805392,22.89142081,24.3317495,23.81259216,20.80241841,20.02148696,20.80947,22.14547364,21.4812344,21.81120901,21.80806599,21.1981589,22.03316055,22.95529827,23.38758836,25.92566385,26.46770028,26.35442326,28.81382858,28.36027787,27.50453456,25.91104815,26.14359583,26.35963975,27.02351705,26.85637745,26.94885927,23.36896284,25.56568638,26.95560189
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3198918,1.423082336,2.45321043,3.66548544,2.932623428,4.202281519,4.354281816,4.088805242,5.016000036,4.896582905,,,,,,,,,,,
Gabon,31.21169298,31.71425735,47.10299512,41.89186979,43.24324324,39.73510592,48.05390719,48.42248329,54.6554602,49.72065928,66.31769743,73.08743779,58.84543141,57.54640839,49.52422145,45.58475873,51.59374094,61.75816024,58.48588272,64.72019465,63.36350643,61.59475145,61.32476979,59.09266161,62.57247584,35.19131246,42.69492039,36.73058397,45.79558218,46.03850426,47.26345929,46.07555286,48.79461351,61.67563998,59.38699903,62.66324499,61.30401081,47.40635161,59.61250435,69.03217671,59.03213014,53.56400559,55.33517092,62.20354432,64.73825724,61.93101289,62.24779595,66.56721409,56.14389369,60.28578402,64.55666432
Gambia,,,,,,36.17067004,40.52146558,39.99043732,40.39288417,37.79155943,32.36721048,33.77305743,35.10261875,38.97306162,44.70859448,41.05685246,36.73549569,33.68122321,34.95955234,42.73620712,43.96109595,44.33438788,50.4882954,51.12494399,43.86485387,46.62414935,49.41808713,50.3657153,55.05998145,59.9027368,29.4389187,30.59270613,28.19201482,21.23961845,23.77564881,21.79867172,22.93220316,25.30557441,24.39736051,25.7986741,21.82079819,27.15738447,31.09378619,34.22490202,32.75739928,33.84708013,28.89124082,23.45294726,25.34950921,23.49083636,28.86277909
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56118143,42.53578732,42.36933798,39.94655979,27.78067885,35.67216191,46.88874116,57.77209858,25.50189484,13.32628894,15.61013168,16.45872453,19.0556059,22.99463007,24.46137329,29.22917416,31.83761734,31.55574903,33.74824223,32.86554752,31.20571564,28.61997221,29.7394114,34.95113266,36.45112625
Germany,,,,,,,,,,16.42983149,15.81262237,15.80490775,16.67609697,19.8056951,18.58246541,19.62620124,19.52655696,19.1538206,19.35786159,20.22298424,21.86679331,22.66520479,22.03683238,23.59435838,24.91217083,23.11821736,22.46214572,22.90421573,24.21778849,24.80012937,25.70050828,24.01480223,21.99186752,22.83469869,23.74087098,24.80373333,27.39830597,28.58294637,29.40355964,33.38461538,34.78900043,35.67066879,35.71967404,38.54989297,41.31765869,45.51363499,47.16532839,48.15223543,42.3895557,47.00504767,50.17395665
Ghana,26.13465261,24.2147923,21.17796764,19.89969261,17.12356792,14.62065332,17.39679548,20.32113945,19.7230966,21.32518831,15.76084803,20.7004338,21.44978943,18.32578662,19.35642698,15.70898885,10.4941148,8.358866526,11.23237181,8.466349346,4.755872469,3.338307266,5.555918086,8.044013277,10.65443227,16.5760499,19.66260909,18.1834227,16.7426186,16.87790419,16.96352652,17.22593952,20.25393002,25.25863645,24.49644054,32.11218067,32.410294,33.87135219,32.0783392,48.8022588,45.23301641,42.61625245,40.67904228,39.30332529,36.44921695,25.19271703,24.52500232,25.02942973,29.2910887,29.4046672,38.01511594
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,8.654498997,9.06245284,9.350477594,8.542383978,8.36350873,10.49895228,9.936381182,8.944700442,9.064153407,9.67840279,10.01473332,11.20941043,14.28814553,17.45358899,17.36267661,17.24851908,17.16447739,16.76238879,18.6298852,23.7254871,26.26130103,21.12878777,20.2288769,20.62768467,19.80856107,21.72476942,22.2521632,20.03051975,19.57768597,18.14468042,17.43386448,18.26776449,17.24740092,17.73585842,17.71090319,17.61503919,19.79683332,19.9561484,22.54364438,25.72698633,24.86598662,21.80640891,20.70947205,23.13072861,23.20988297,23.15091297,23.78905419,24.13023643,19.2633943,22.2433125,25.05493227
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,50.63554907,50.3344665,51.4542445,47.35116938,44.71133586,40.21468575,38.53331644,37.94530021,43.04243779,53.00516717,47.99344437,47.04560051,40.27603949,42.42825425,40.71047467,39.58551577,49.0291549,48.05602716,44.80697051,44.66287898,43.96725362,46.18561182,57.43418041,45.05008157,37.67260031,31.70976104,30.10628614,32.95551299,21.25414948,23.0299508,24.7358502,22.80187018,22.46381654,21.45018619,22.57023593
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,11.95319137,11.78733823,14.28571429,15.38757715,16.78684173,18.94010167,16.20914997,16.73393389,17.80342844,18.57142857,17.28637646,18.90734336,20.88198557,22.40708592,21.72303116,21.57239868,24.45579741,21.47563547,21.34847679,22.18640122,17.08974749,14.78719724,12.99447459,13.00211142,11.94822919,16.05189976,15.84890822,16.10367516,17.30744886,21.02752094,17.95260596,18.06598943,17.70303111,17.51994495,19.25904403,17.8101173,17.95610802,18.17160662,19.00492413,20.1950344,28.20745718,26.29896103,25.77369759,26.97551619,25.05467463,24.93172308,25.56527905,24.71826452,23.97539214,25.8013889,27.14154335
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,31.09189988,31.63135299,26.8725855,31.09360076,31.07523579,30.33087892,24.87461354,26.51847392,22.75232735,21.11880776,19.19510114,19.56108748,21.28670436,21.63951826,24.52387304,28.57866275,26.47781058,25.95674335,24.62597518,34.78565309,40.59000697,28.76476572,34.93271676,26.53766338,28.35010641,30.29192046
Guinea-Bissau,,,,,,,,,,4,4.158026847,4.355616367,6.059810357,5.018444513,5.184906162,5.272575515,9.304345803,7.734708184,7.272229276,12.68759516,11.1931325,7.840217152,6.00916385,13.40119775,9.758005346,5.235224883,11.36700499,12.44089479,8.890719424,9.935988993,9.982487357,4.902489843,8.86943636,16.45440775,11.66716967,10.52440402,21.01676324,14.44369761,24.86117665,31.77529123,28.60569468,29.81909504,,,,,,,,,
Guyana,52.07156309,56.6427289,62.92731497,57.11290806,55.25517241,54.98971193,57.44180578,58.23721436,59.24588849,56.46004481,58.41163246,57.46704795,52.18672457,68.34607166,74.87999798,66.07693453,63.20796193,63.08274735,59.80695657,81.2864679,68.92298535,52.78008299,45.87874877,44.16115284,48.08717785,46.3041502,79.56834202,63.62977326,66.34076105,62.70667037,105.9076561,127.555308,117.3799812,104.9519747,101.2105684,102.6213092,99.66006556,95.93275494,96.50847171,96.07997325,94.99326912,92.77214278,89.81384676,95.79316709,84.6228686,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.31144548,7.571511403,10.84535014,6.420726556,9.133541211,11.32787377,10.45273586,9.900471451,12.24911196,12.69528229,12.36172695,12.12723869,15.82023748,15.35398577,14.03993216,14.48552867,13.23974376,12.73115448,14.18297638,12.250463,13.66972693
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,22.31892195,22.48871603,22.08678693,22.4726477,27.26825912,28.62078287,28.52365901,30.41125466,27.97904058,27.91147994,29.68536252,29.26525646,32.21917921,32.14113098,30.69395018,33.71661881,34.83079025,36.17517552,37.68598766,37.2369442,31.63681504,26.67470265,26.16184623,25.7005122,25.09960203,26.58526957,22.96207122,26.28904983,31.00445094,37.20188243,34.52249602,32.17021277,34.6820045,39.83784907,43.69850961,46.8521659,46.18646141,46.42238564,41.02288056,53.97221046,51.38166068,52.73056205,54.09400496,58.42297921,59.00542275,56.05463166,53.50901395,51.32528053,40.7605909,43.87117217,47.57482098
"Hong Kong, China",71.62618813,70.26488977,69.10969432,68.84536507,68.82390884,75.90673575,80.62681745,90.21351237,94.96835931,93.18791656,89.3557213,84.38829044,85.42115324,86.6342083,83.39954425,89.44201659,83.36198897,85.58438833,89.63182508,88.93321914,91.05589418,85.90189026,95.88183044,106.5689029,107.174035,109.3016145,119.777592,129.7668191,130.1270319,130.656681,134.187782,137.7618228,135.0567663,133.9444175,142.9349798,136.3638498,129.3319486,124.265829,127.0222855,141.7640809,137.1215963,147.3627211,168.1313059,186.6527102,194.6519607,201.8007105,203.7218099,208.7766993,190.9024888,218.8616318,225.4914879
Hungary,22.81707475,24.19909521,25.16766936,26.0904969,29.02792014,28.26321302,26.48621233,26.2387928,28.34032195,30.13369499,30.03322738,34.11985881,38.19293903,41.60726855,41.20446044,38.27458622,41.08649035,38.41240992,41.09004176,39.09277132,39.51997148,37.95494834,40.24166441,41.08115235,42.19770949,39.63859295,37.86712004,36.8236779,36.03698095,31.1444001,33.19045191,31.85982181,26.75697126,29.30551844,45.21283718,48.96625626,55.35554428,61.74966715,64.61696294,74.60437723,71.98411298,63.25005849,61.40647129,63.34570335,65.94711313,77.74417392,81.30455904,81.65984188,77.59068794,86.54505579,92.26583506
Iceland,41.40160238,45.03457986,41.16182707,37.06742064,36.23504029,32.84932031,28.05459813,31.5862049,43.20321284,44.98238914,37.43492688,35.01518543,35.5666074,31.41302882,33.28790296,34.53857428,32.9231791,36.52335023,37.9471014,35.49331127,34.62079279,32.18192327,39.69128457,38.01173368,40.25069815,38.58923257,34.2816454,31.76135092,33.53124535,33.64643442,31.30244515,30.30048086,32.77427467,35.76803909,35.52700718,36.28405041,36.2343367,34.71822608,33.58370262,33.57633025,38.79968944,37.43116382,34.29065045,34.07048657,31.73412662,32.2420768,34.64565972,44.39983918,52.84221256,56.33316307,59.31658552
India,4.229415216,4.097124287,4.206730236,3.661342453,3.250469513,4.071155083,3.964912587,3.96916404,3.649835891,3.717629245,3.604002072,3.958076733,4.136226464,4.748054684,5.549736792,6.571272886,6.273159827,6.20599118,6.633310236,6.033737872,5.833721048,5.880179531,5.737019691,6.175108918,5.16399437,5.106666391,5.50798767,5.931204614,6.895209448,6.93178793,8.347845164,8.690521821,9.664727766,9.717666838,10.65707561,10.2061841,10.50646612,10.82856928,11.31583617,12.82483055,12.38143764,14.04991736,14.70893768,17.55133614,19.28014883,21.0694752,20.43089433,23.60124526,20.132618,22.77125773,24.63594137
Indonesia,10.71104677,5.812902504,10.16589778,13.73218363,5.527578137,13.36695735,9.195012512,11.3888853,9.451393568,13.4510065,15.03766708,17.4937236,21.03940761,29.79554508,24.00884602,24.52985487,24.84446832,22.91253978,30.56236039,34.17899693,29.04022142,25.3032939,26.34251789,25.58711091,22.20073087,19.48723604,23.93425842,23.77602081,24.28664846,25.32851283,25.79723933,27.89143662,26.75478836,26.51142763,26.31216458,25.82455238,27.85926279,52.96813536,35.5141287,40.97730855,39.03213345,32.68762116,30.47765573,32.2166932,34.06726688,31.03471631,29.43571849,29.80828417,24.15911952,24.62099329,26.32738033
Iran,,,,,16.2798149,16.51617562,17.61861502,17.86137629,18.54410445,19.163515,24.05610513,24.10648393,35.15434671,49.4318784,43.14190922,39.83808221,33.21203632,25.09654253,28.08804912,14.41097616,12.8186714,17.73153565,15.45326884,12.00724731,9.388896631,3.929636432,9.60898555,7.716534593,10.15410972,14.52392303,14.96590063,14.51397106,27.40674031,30.35430914,21.70855106,20.83611858,17.42756187,13.62872081,21.41623296,22.70745811,20.50388945,26.53795026,27.23391528,29.04727631,33.05660909,32.45074422,32.17895418,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,32.10405082,29.90839054,31.11561827,30.96395871,32.28256848,34.53633343,35.10144956,36.02141424,34.61977183,34.34124746,33.54459522,32.10400269,35.30388022,39.54641678,39.66513182,42.97359096,45.88633775,46.38832077,46.19164328,46.03720814,45.0129156,44.66151225,48.72712743,55.32308064,56.07819299,50.95299509,54.41982175,57.69144903,61.15322332,56.77180099,57.6804779,60.61071958,65.75955915,70.52604613,76.29592527,77.38519168,79.49906816,86.9029784,89.23219438,97.34550318,99.14510382,93.37110209,83.11150005,83.15505976,81.07485707,78.91684441,80.23305233,83.43857135,91.14117543,101.1652802,106.6180842
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,11.53402852,17.79840405,18.6491326,17.72960535,18.85350318,19.94137353,23.68899917,29.80443097,29.15936953,27.03292028,30.74721237,31.32566283,30.05055716,30.08847976,32.63442029,38.94659129,44.5656706,49.57254159,47.43537874,43.77934272,42.49852912,38.14870454,35.38043962,40.58407763,44.66012649,39.45147189,39.20490883,35.10209271,36.80897404,34.69210392,29.88320773,30.63225711,32.44576053,32.61637269,28.6401788,28.17664735,29.30479683,29.94572575,34.13065945,37.30419158,32.91145361,34.81718823,36.5719308,41.32739401,42.74543918,42.74792203,42.43800545,40.27547052,34.67863281,36.86755939,36.90811885
Italy,12.7924035,12.67058201,12.16488922,12.8182633,14.2891817,14.69829256,14.46318025,15.24079572,15.84411832,15.803813,16.23791768,17.00235902,16.78549481,19.30618939,19.5232184,20.89108488,22.28242458,22.59413507,23.33043811,21.03845093,22.58016281,22.01175591,21.19146591,21.89152927,22.00406536,19.49368817,18.7434215,18.32021291,19.29851847,19.03043642,17.75534939,18.21724309,21.2604413,22.79458809,25.71427747,24.68113975,25.20755186,25.15430622,24.27992645,26.76879547,26.85797238,25.48205474,24.41476823,25.18991038,25.87328135,27.62008397,28.85141014,28.45625134,23.74686845,26.56064397,28.8393161
Jamaica,33.29677576,33.01639977,34.16634233,33.4573452,33.28052995,37.45213173,36.0476305,36.83569531,36.75833467,33.23082362,33.81940112,32.77742961,31.54834525,35.67525157,35.2638073,29.04613697,29.76678159,40.55225488,49.80722985,51.06743809,47.18950889,38.04093748,35.69610459,55.57835184,55.86116149,48.84298707,46.60179073,43.63112217,43.61229555,48.06317546,50.20733869,62.27454402,47.39416766,51.29967753,50.521511,43.78634517,39.10855621,,,,,32.76193666,36.61343045,37.54928535,35.2876873,40.13997199,39.74125111,41.9356394,34.39440478,31.31171414,30.91246656
Japan,9.277921297,9.430955198,9.037858509,9.494110623,10.51767317,10.57821047,9.653831143,10.1119053,10.55617048,10.59349918,11.48186674,10.37558333,9.838959248,13.33213965,12.54489405,13.28947049,12.83697816,10.90012743,11.33935016,13.42265571,14.39885882,14.20206781,13.63272182,14.72016367,14.09481374,11.09973774,10.14650374,9.764554829,10.23779047,10.28802244,9.874440046,9.769231822,9.057284362,9.002096649,9.052576315,9.700512643,10.73145689,10.7774668,10.17337581,10.8773781,10.4488202,11.25283734,11.87275335,13.21033508,14.31265541,16.17160101,17.74676437,17.71116378,12.6956669,15.19023889,15.22102364
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,33.55864085,33.81135423,34.14602849,34.78083588,39.86274676,43.02729191,39.39803656,34.97566577,37.66528717,38.68428868,29.30763542,34.23888436,45.08037449,57.30787066,61.91582656,59.45851284,50.23266157,50.34073826,47.85410771,51.72231031,52.87136411,49.23258972,44.78464734,43.30222208,41.81206152,42.11047069,47.41148424,47.36114185,52.19094306,52.70597539,53.87448768,54.23436604,56.50591605,45.88282864,47.788566,45.57801295
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.00497247,37.89539511,37.06473771,38.97386091,35.26880493,34.91685667,30.34420329,42.46209551,56.6024268,45.89501861,46.99064076,48.41702209,52.50041043,53.54246806,51.15120809,49.43983538,57.24992623,42.04073673,43.957264,49.47496416
Kenya,32.71717045,32.0378098,32.03294694,33.38941364,31.39731521,32.41163352,28.46433439,29.40081106,29.52865508,29.82572556,28.6393551,26.58782886,27.39383468,33.67588385,29.82368597,32.45047124,34.95886876,28.93551834,25.75315424,29.51696416,30.45988132,26.65746593,25.94993237,26.7498927,25.29893298,25.84835531,21.30522138,22.37121356,23.03302941,25.69260598,27.04163231,26.26037419,38.90363016,37.04028083,32.59170122,25.20060195,22.68638735,20.16926083,20.8327352,21.58757114,22.93157636,24.89797261,24.08681531,26.61025858,28.50903021,27.11175841,26.77852385,27.60697712,24.15203346,27.79946072,29.11109419
Kiribati,,,,,,,,,,,,44.09941816,52.60055791,69.39983557,67.59987642,56.40013522,55.79944481,54.90126582,61.28304658,23.43781845,29.78865232,9.072877125,13.24456688,39.23046289,21.1038961,9.435617507,9.687143317,18.10259658,18.59015516,11.63704294,7.760482816,8.563671814,13.24789119,26.05996037,11.58051711,16.14270053,20.0695416,24.36731287,12.24594245,6.88190099,6.565530952,6.958433109,9.778473815,9.407451108,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,5.275433565,4.890197699,4.633997869,5.672055424,8.302010662,10.02056281,11.02289492,12.27305706,12.93182265,13.62567387,14.97119799,19.38879537,28.68197154,26.73283876,26.88593408,30.01153483,30.36940996,28.4158968,26.59090694,32.06455723,34.26849137,33.22625337,32.97253928,33.36851857,31.97210125,35.64294473,38.27137553,36.42167141,30.79542627,27.95386811,26.33306417,26.59030915,26.5285172,26.63771773,28.82829281,27.86197125,32.39253256,46.16405854,39.0636178,38.5641772,35.7406459,33.12580348,35.36899419,40.88306742,39.26729787,39.68394612,41.92294872,53.00888946,49.73021589,52.27831091,56.15956374
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.07818363,14.74276479,14.42202335,15.37163889,18.52642566,20.05434079
Kuwait,,64.62480858,65.39027982,64.86486486,67.69025367,65.69086651,59.51834862,61.72450053,63.49848332,59.81681895,66.3482445,68.59972896,71.93442148,84.95935186,80.47032052,77.93316918,72.02626463,70.53912664,77.97012108,78.34904774,69.49812377,54.50477269,59.12937345,60.11297588,53.67492016,46.18658245,52.54013459,47.56460772,52.40168484,44.93894965,16.90203881,40.4702667,47.77118586,50.85365943,52.35395613,52.28383803,52.85396048,43.85931596,45.93689611,56.47363983,51.30361529,44.61604666,52.09224084,56.91613861,63.97660323,65.54462165,63.41425984,66.75921252,59.46912527,60.07464781,65.92046947
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.20250561,35.33225284,35.58613401,33.53129027,33.76181443,29.46714483,30.738099,38.28688933,36.48329208,42.20291962,41.84771906,36.72467256,39.58141505,38.68102918,42.5558971,38.73172433,41.72052573,52.91297886,53.5489561,54.69834696,51.55432268,57.20719071
