GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12137229,6.378216359,11.31319378,8.125680155,8.072167024,0.5530417295,17.08497316,5.221089654,
Albania,,,,,,,,,,,,,,,,,,,,,,3.660664001,1.000403129,-0.8263400472,-3.277865996,-0.5040766374,2.990455447,-3.418294472,-3.852869777,7.778542591,-10.4999279,-29.63631346,-6.498045444,11.03017947,9.84845086,14.6829293,10.09913248,-9.598942794,13.17088927,10.32616772,7.33035419,6.808000837,2.487038292,5.124224893,5.284566546,4.931197244,4.507466403,5.463726072,7.302835987,2.933549231,3.103535257,
Algeria,,-15.22747001,-21.14091919,31.83228402,3.713889561,3.818762263,-7.193445254,6.46887306,7.605275275,5.234840627,5.637313634,-13.95876438,23.62961196,0.6978094114,4.228233955,1.805370323,5.009755219,1.959959232,5.766114996,4.04953435,-2.454906246,-0.3440351529,2.941387503,2.013443576,2.297436751,0.57830248,-2.491130224,-3.437117939,-3.622818409,1.721607859,-1.714431112,-3.605661965,-0.6049345106,-4.304952983,-2.975419388,1.816917357,2.309008053,-0.4767192546,3.574252743,1.741727264,0.744621471,1.115126978,3.169443155,5.320243961,3.632890962,3.526457623,0.4619794936,1.436615727,0.8491207222,0.8701894423,1.79182233,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,-0.6205264669,2.777711446,2.61893715,0.8835862464,-3.61039397,-0.5159687138,-0.6317138309,-1.934616328,-3.654783383,-2.103818652,-4.964686478,-4.047023244,-3.468120514,-2.816580746,-1.373133223,0.6238668568,3.73271161,3.562971311,2.771036729,0.7686199988,-1.599023714,-3.912214081,-5.767037775,-1.576770175,0.235369981,3.802622457,9.608769273,4.253303129,4.523709736,0.149965735,8.813975126,1.806047394,2.082226981,2.116064719,2.38762991,4.134693001,-0.4611649711,2.081963495,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03381332361,5.189229698,3.04737069,-2.125708588,-3.025071388,-4.153404994,-9.856370133,-27.14233755,0.2282324899,7.097194448,8.095832519,5.036283138,3.991800264,0.3873972227,-0.05614576434,-0.1689508757,10.62898008,-0.2389810141,7.437684837,16.72499879,14.92953106,19.09433384,10.56606858,-2.147001821,2.959536394,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,3.84143115,7.355746008,9.054323439,4.964053102,1.384397221,6.239485138,11.54881374,9.77934327,14.59694475,10.0172724,6.836532634,6.584138942,2.528616022,1.138900796,-0.8083301211,3.070285745,3.693872381,-6.615607866,4.000241008,2.170955004,1.778832728,1.661932016,-0.7030345611,0.2633386044,0.814178253,3.5164283,5.584101502,2.849544048,11.89557199,9.389175183,-0.3689662263,-12.18586833,-5.411104487,
Argentina,,3.740127246,-2.417718744,-6.778088871,8.45901674,8.932212761,-2.088588279,1.739663918,3.344253048,8.082778311,1.471444093,3.955753698,-0.07635298525,1.057993911,3.756964609,-1.656008035,-3.549350652,5.318315403,-5.918523334,8.596747663,2.599606737,-7.11111132,-6.397512941,2.298677304,0.6674052822,-8.970390898,6.276622362,1.400017057,-3.967552903,-8.812574918,-3.760215476,11.13377846,10.45075526,4.529364286,4.488457188,-4.05718741,4.234927301,6.816024287,2.643932793,-4.459944973,-1.835838908,-5.360614821,-11.73502261,7.852066485,8.064061252,8.218170745,7.513601166,7.703322767,5.827711952,-0.02622046668,8.216766294,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87926289,-40.75219901,-6.646969885,7.957150985,9.134297402,7.567024409,4.552065625,8.188155612,3.91756917,6.400082702,9.924282911,13.36167814,14.0599102,10.39361019,13.74159354,13.05456292,13.5887266,6.729673082,-14.31395354,1.864535819,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.45586066,9.07741566,9.982477017,-0.01367873601,-1.55208324,-2.143830639,0.2160125503,6.310082526,-2.119505885,5.133364501,4.641032297,-0.6808023487,1.581288186,-2.942210251,-4.877941902,-0.8208708637,,,,,,,,
Australia,,0.4880565065,-1.077320329,4.241120126,4.898967746,3.941979224,0.05997339206,4.938222164,3.304204266,4.829818439,5.067919715,0.5618392137,2.038253118,1.06693661,1.464696852,0.006017116503,1.609409074,2.32427755,-0.2582701594,2.994480685,1.795517857,1.779858377,1.520772197,-3.533963764,3.420880633,3.702869963,2.851919406,1.005436211,4.154026371,2.195371772,2.053162893,-1.502726075,-0.7574715441,3.072635503,2.871450448,2.691921318,2.821620529,2.815763661,3.501163177,3.965234878,2.719328089,0.7045623437,2.643287448,2.00571838,2.955235094,1.609224578,1.571870401,1.723146246,1.774598228,-0.6460624168,0.6643170746,
Austria,,4.960717183,2.021469667,3.471466159,5.419336014,2.810012786,4.904479004,2.241009758,3.931241829,5.909495926,6.44811851,4.646942823,5.592381405,4.3109059,3.7653731,-0.09903034359,4.763369813,4.968325011,-0.06524656578,5.636033468,1.783561988,-0.3985039124,1.873912132,3.11932216,0.06697700902,2.408181885,2.251619687,1.282269354,2.723435156,3.275256434,3.380078888,2.311641183,0.7726132691,-0.4499830323,1.820298881,2.63909729,2.328387,2.193043548,3.671723024,3.337874658,3.41860234,0.4720590913,1.194645285,0.3757626448,1.955070957,1.705420642,3.158101433,3.304320011,0.9566325791,-4.13593811,2.013154881,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.229583276,-23.76383094,-24.2593996,-20.77813611,-12.80996747,0.2821718408,4.784282206,8.960887148,6.461582788,10.19103012,9.051822172,9.777803339,10.36067573,9.239489556,25.11443841,33.03048777,23.63913311,8.497619645,7.054164059,3.761930086,
Bahamas,,5.297756348,4.99915162,5.09940485,5.238012629,5.416106065,4.365663523,5.114318584,4.306843764,5.25368851,-8.492967548,-1.008327254,-5.653668744,5.409578072,-18.37380035,-16.50778352,2.995701718,6.826062162,11.6950144,23.37389443,4.164115872,-11.22036386,4.344804547,1.344071053,11.77945581,2.749159765,-0.09250746515,1.186367082,0.5840701441,4.919921598,-3.308617746,-5.914515651,-5.604600111,-1.522702352,1.379371581,2.75658877,2.789559752,0.8043051526,3.50775357,5.898801919,2.867548406,1.279883484,1.295720056,-2.66524019,-0.5716750329,1.899846002,1.027508602,-0.0326318164,-2.754187546,-6.678603678,-0.4163727332,
Bahrain,,,,,,,,,,,,,,,,,,,,,,-8.90911123,-10.37709153,3.57530867,2.237380282,-7.522346809,-2.085146298,6.613724182,3.28611818,-2.955810326,1.28170434,8.201872551,4.018928116,10.18459503,-2.62188703,1.375749217,1.240666603,-0.04889057972,1.661064927,1.7159854,3.414406605,3.89719662,5.332132945,6.356200283,1.733533405,-0.08964041462,-4.688250206,-5.039401858,-6.490638746,,,
Bangladesh,,3.116080867,2.575084923,-3.191522431,7.793085359,-1.418976352,-0.6802842476,-5.090753747,6.051042534,-1.517262888,3.398393213,-6.828213242,-14.74341684,2.618926784,8.592970111,-5.467013054,3.503149265,0.08691214984,4.046545723,1.756428057,-2.034059643,0.9726240559,-0.3559079325,1.276643454,2.407226352,0.4770712427,1.454073734,0.9600261951,-0.5290068336,-0.0051860479,3.350147231,0.9299077342,2.697926742,2.327857543,1.901353043,2.756714232,2.491880376,3.284698491,3.176199353,2.881324567,4.000902705,3.397188228,2.609774927,3.522472942,4.646448432,4.482434383,5.306837081,5.242513452,5.07983148,4.625102539,4.883856699,
Barbados,,7.350987891,8.631064182,-5.487383577,4.575370402,11.04834949,3.720782155,10.38767123,6.682236017,7.20940876,9.079797762,3.372018063,0.6426883795,0.6716279711,-5.229724421,3.491571845,-0.4379825435,4.12163149,5.93451976,7.444308286,4.439123657,-3.563219743,-5.423068074,-0.3004207282,2.860841621,0.04507073706,8.954501065,0.5994824073,5.829736318,4.646417407,-5.141709257,-3.229028234,-5.2644383,0.6995884719,3.677108532,1.189996314,1.517611205,6.053172942,3.778425378,2.278445679,2.023783328,-5.29513583,-3.768289663,1.789880338,3.471522987,2.970353249,3.205944469,0.2720050658,-0.02685266097,-5.497906531,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.248459878,-9.79467502,-7.807559332,-11.5963919,-10.10994703,3.144015748,11.87348028,8.916754395,3.750333832,6.117241379,5.090206352,5.52429549,7.596424205,12.01126329,9.988108149,10.48501239,8.988868239,11.39642595,1.164433007,7.80313788,
Belgium,,4.630257134,4.794034518,3.574353541,5.949139356,2.624444661,2.461462453,3.291575742,3.785044364,6.328283647,5.6683616,3.796488804,4.884087903,6.047488836,4.236777602,-2.248829662,5.464139965,0.5019786642,2.745989877,2.249127595,4.329008441,-0.2766537953,0.6223292421,0.3198122907,2.467921416,1.621518919,1.786469952,2.219477979,4.39079503,3.093998956,2.830268115,1.455371746,1.119565727,-1.347999492,2.909318713,2.170550216,1.226501178,3.484335431,1.711487029,3.302724707,3.418550889,0.4616136716,0.9063484608,0.3856228006,2.823329793,1.173570047,2.026833432,2.146982252,0.1624168006,-3.619408927,1.331616355,
Belize,,1.335167958,1.210341099,1.302880213,1.584881825,1.871411943,2.017679246,2.423273913,5.091591839,3.139526994,3.080873873,2.465586559,8.882705167,4.121227057,11.98794041,1.779412747,-2.117496134,3.914898629,5.064646924,4.624723184,12.13918582,-1.339965285,-2.84696776,-4.062557962,-1.186985618,-1.497880061,1.996713226,8.16878054,6.442859849,10.99199282,7.233624554,7.649183152,9.220788579,3.166032006,-2.690155196,-1.912807574,-1.084151107,-0.05638782189,0.04368838136,6.721998304,10.00690293,1.897792397,1.967977895,5.926283766,1.325697009,-0.2203228642,1.324412383,-1.950027624,0.1785000874,-3.282518192,-0.6215255427,
Benin,,1.816669492,-4.752464092,3.20703514,5.02248546,3.616113476,1.860759722,-0.6596658237,1.984085365,0.9553607579,0.1043219284,-3.501810874,4.177080994,1.436945416,1.005700443,-7.10552676,-1.522941143,2.416893586,-1.275535224,3.820248582,4.011767828,7.045866273,-0.5184456541,-6.950709512,4.989108766,4.608585191,-0.5748452355,-4.135129714,0.5804599697,-5.645427428,0.05735128321,1.306664683,0.4619412135,-0.04625532855,0.8892845264,1.310836682,2.450153761,3.203553177,1.710710527,1.806351776,2.742878482,1.820523208,1.23684564,0.6083818704,-0.1472663705,-0.2781125336,0.9532091587,1.494378195,2.038470927,0.8339705858,0.1110071186,
