Male 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,11.70061582,11.94389656,12.3521155,11.82561308,11.93033854,12.09887251,12.27027774,12.37452949,12.39656758,12.54266212,12.67737995,12.91161179,13.08528983,12.89412826,12.4408219,12.41405981,12.38218797,12.20080129,11.79117912,11.22086917,10.63072494
Albania,12.15106732,11.22302158,10.50679852,11.29883844,12.87037037,12.9218107,11.17561684,10.80550098,10.31416716,10.082435,10.87811271,10.57754705,9.398976982,7.044887781,6.951219512,7.262905162,7.429598562,7.03125,6.25,5.759803922,5.714285714
Algeria,11.17831541,11.10209052,11.59153634,12.18901319,13.49300803,13.55524617,13.14757919,12.83066403,13.04484411,13.47313789,12.52598753,11.052822,8.534198311,8.316862582,8.496317612,8.469717984,8.06122449,7.312252964,6.574872353,6.16171955,6.08184308
Angola,11.41732283,11.29104813,11.07041107,11.89329381,12.19839142,12.52241482,12.49676585,12.36664489,12.62376238,12.75493687,13.02926968,13.13476563,12.72824346,12.92555181,12.23509934,12.24489796,12.01547802,11.58310544,11.01127358,10.44537338,9.968278381
Argentina,9.073402809,9.037328094,9.420982228,9.565372284,9.502753212,9.179566563,8.91302784,9.360301035,10.44692038,9.576524337,9.350176523,9.160305344,8.673418229,8.072629713,7.943882245,7.708712845,7.37287404,7.003037462,6.63991395,6.310817963,6.229626947
Armenia,14.64174455,7.104557641,8.565072303,11.86915888,14.14634146,13.56055112,10.40424122,9.503372164,9.360465116,10.34031414,11.41078838,9.72027972,7.147814018,7.513661202,8.080808081,8.238446082,7.656145064,6.747638327,6.241519674,6.177076184,6.276150628
Aruba,12.5,10.52631579,13.04347826,14.81481481,14.81481481,13.33333333,9.677419355,6.666666667,6.25,7.5,6.818181818,8.163265306,8,5.769230769,5.660377358,5.882352941,5.660377358,5.882352941,5.660377358,5.660377358,6
Australia,7.215250965,8.093602404,9.659418896,9.524629693,9.653774173,9.489691475,8.857999455,8.738110336,7.465664984,7.367953839,7.192429022,7.096328464,6.601215521,6.252779507,6.273877239,6.175752644,6.089818951,6.017148494,5.896661016,5.792004593,5.748092138
Austria,7.921714818,8.73605948,7.870652837,7.262569832,8.33096389,9.243228149,8.80044843,7.136883189,6.154684096,6.454141625,6.248386264,6.273431642,5.49987778,5.188223938,4.91646778,4.845190262,4.916490238,4.962370649,4.931571496,4.863582444,4.867573372
Azerbaijan,14.45341159,7.233502538,7.890499195,10.99547511,14.44488659,15.20720721,12.6084056,10.67363888,10.28620006,10.93585699,12.18094516,11.00315764,8.188472095,7.687324552,8.631013834,8.735724304,7.996070727,6.935296397,6.233218259,6.110368532,6.25717566
Bahamas,13.88888889,12.19512195,11.53846154,11.5942029,11.9047619,13.04347826,13.46153846,12.06896552,10.48387097,10.79136691,9.271523179,10,8.982035928,7.90960452,7.567567568,7.179487179,6.930693069,6.730769231,6.542056075,6.481481481,5.963302752
Bahrain,11.29032258,11.26760563,10.84337349,12.63157895,12.60504202,12.92517007,8.955223881,8.230452675,8.013937282,8.059701493,7.733333333,8.133971292,7.543103448,7.171314741,6.493506494,6.055363322,5.747126437,5.494505495,5.413533835,5.294117647,5.187319885
Bangladesh,11.13484874,10.30688159,10.59558721,11.97926426,12.07655873,12.24300435,12.34016032,12.64533505,13.0672276,12.97853048,12.08674063,11.15613949,10.55778091,9.815417288,8.67661819,8.223650752,7.867881371,7.452727359,6.975581298,6.517029836,6.242514296
Barbados,11.34020619,9.803921569,12.5,12.96296296,13.51351351,13.79310345,11.01694915,10.74380165,8.73015873,8.130081301,8.130081301,7.438016529,6.349206349,5.46875,5.511811024,5.46875,5.511811024,5.691056911,4.87804878,4.958677686,5.128205128
Belarus,11.53284672,7.66580534,8.306277056,10.11722732,11.78313253,10.67714352,8.296164139,8.000858001,7.861896839,8.585649108,8.731676227,6.838540529,5.433318366,5.392947684,5.802936997,5.779078274,5.503660692,5.162473795,4.851458163,4.79568672,5.032563647
Belgium,6.749764817,6.313131313,7.884187082,7.868075016,8.292682927,8.55469567,7.75,7.095018836,6.432989691,6.265206813,6.216162021,6.259811617,5.858778626,5.689072475,5.875831486,5.79868709,5.817524842,5.747126437,5.652951699,5.592281579,5.621988221
Belize,12.12121212,10.25641026,10.86956522,12.72727273,15,13.63636364,13.88888889,13.58024691,11.82795699,12.72727273,12.6984127,12.67605634,11.39240506,10.34482759,9.625668449,9.31372549,8.796296296,7.894736842,7.142857143,6.93877551,6.374501992
Benin,9.842931937,10.9437751,10.36414566,11.2807464,11.76917236,12.3241795,12.65969803,12.63681592,12.7921802,12.53071253,12.64298615,12.56319515,12.3199312,12.2050901,12.29920493,12.09816303,11.56314168,10.95668288,10.37795608,9.888295289,9.431070237
Bhutan,11.49425287,11.88118812,11.50442478,10.85271318,11.25827815,10.92896175,10.45454545,11.42857143,11.78571429,12.45136187,13.33333333,11.43695015,9.625668449,8.80195599,8.139534884,8.017817372,7.939914163,7.246376812,6.477732794,6.126482213,6.225680934
Bolivia,11.67775314,11.45344943,11.92771084,12,12.16931217,12.07337884,12.23021583,12.59334691,12.07992734,11.91821361,12.03479942,12.23776224,11.57074341,11.17060561,10.46291516,9.826776752,9.198402948,8.592831962,8.033437234,7.500688137,7.012113055
