Forest coverage (%),1990,2000,2005
Angola,48.91,47.91,47.41
Botswana,24.21,22.12,21.07
British Indian Ocean Territory,37.5,37.5,37.5
Comoros,6.45,4.3,2.69
Kenya,6.52,6.29,6.19
Lesotho,0.16,0.23,0.26
Madagascar,23.54,22.39,22.08
Malawi,41.41,37.91,36.16
Mauritius,19.21,18.72,18.23
Mayotte,16.22,16.22,13.51
Mozambique,25.52,24.88,24.57
Namibia,10.64,9.76,9.31
Reunion,34.8,34.8,33.6
Seychelles,88.89,88.89,88.89
South Africa,7.58,7.58,7.58
Swaziland,27.44,30.12,31.45
Uganda,24.98,20.59,18.4
Tanzania,46.9,42.23,39.9
Zambia,66.08,60.1,57.11
Zimbabwe,57.47,49.39,45.34
Algeria,0.75,0.9,0.96
Burkina Faso,26.15,25.27,24.83
Chad,10.41,9.78,9.47
Djibouti,0.26,0.26,0.26
Egypt,0.04,0.06,0.07
Eritrea,16.05,15.6,15.39
Ethiopia,15.11,13.71,13
Libya,0.12,0.12,0.12
Mali,11.53,10.71,10.3
Mauritania,0.4,0.31,0.26
Morocco,9.61,9.7,9.78
Niger,1.54,1.05,1
Somalia,13.2,11.98,11.37
Sudan,32.15,29.67,28.43
Tunisia,4.14,6.17,6.8
Western Sahara,3.8,3.8,3.8
Benin,30.03,24.18,21.25
Burundi,11.25,7.71,5.92
Cameroon,52.74,48.01,45.65
Cape Verde,14.39,20.35,20.84
Central African Rep.,37.25,36.76,36.53
"Congo, Rep.",66.55,66.05,65.8
Cote d'Ivoire,32.14,32.48,32.72
"Congo, Dem. Rep.",61.99,59.64,58.94
Equatorial Guinea,66.31,60.89,58.18
Gabon,85.1,84.71,84.51
Gambia,44.2,46.1,47.1
Ghana,32.73,26.78,24.25
Guinea,30.15,28.1,27.36
Guinea-Bissau,78.81,75.39,73.68
Liberia,42.13,35.87,32.75
Nigeria,18.92,14.42,12.18
Rwanda,12.89,13.94,19.46
Saint Helena,6.45,6.45,6.45
Sao Tome and Principe,28.13,28.13,28.13
Senegal,48.55,46.22,45.05
Sierra Leone,42.5,39.81,38.45
Togo,12.59,8.94,7.1
China,16.85,18.98,21.15
"Korea, Dem. Rep.",68.11,56.65,51.38
Japan,68.45,68.25,68.22
Mongolia,7.34,6.81,6.54
"Korea, Rep.",64.53,63.81,63.46
Bangladesh,6.78,6.79,6.69
Bhutan,64.57,66.83,67.98
Brunei,59.39,54.65,52.75
Cambodia,73.34,65.38,59.18
India,21.51,22.72,22.77
Indonesia,64.35,54.02,48.85
Laos,75.02,71.63,69.94
Malaysia,68.11,65.72,63.58
Maldives,3.33,3.33,3.33
Myanmar,59.64,52.55,49
Nepal,33.69,27.27,25.43
Pakistan,3.28,2.74,2.47
Philippines,35.46,26.66,24.02
Singapore,2.99,2.99,2.99
Sri Lanka,36.36,32.21,29.91
Thailand,31.25,29,28.42
Timor-Leste,64.96,57.43,53.67
Vietnam,28.77,36.02,39.73
Afghanistan,2.01,1.56,1.33
Armenia,12.27,10.82,10.04
Azerbaijan,11.33,11.33,11.33
Bahrain,,,
Cyprus,17.42,18.72,18.83
Georgia,39.72,39.72,39.72
Iran,6.77,6.77,6.77
Iraq,1.84,1.87,1.88
Israel,7.09,7.55,7.88
Jordan,0.93,0.93,0.93
Kazakhstan,1.27,1.25,1.24
Kuwait,0.17,0.28,0.34
Kyrgyzstan,4.36,4.47,4.53
Lebanon,11.83,12.81,13.29
West Bank and Gaza,0.03,0.03,0.03
Oman,0.33,0.33,0.33
Qatar,,,
Saudi Arabia,1.27,1.27,1.27
Syria,2.02,2.35,2.51
Tajikistan,2.9,2.92,2.92
Turkey,12.58,13.06,13.22
Turkmenistan,8.78,8.78,8.78
United Arab Emirates,2.93,3.71,3.73
Uzbekistan,7.35,7.75,7.95
"Yemen, Rep.",1.04,1.04,1.04
Albania,28.8,28.07,28.98
Andorra,33.33,33.33,33.33
Austria,45.64,46.39,46.68
Belarus,35.55,37.83,38.05
Belgium,22.36,22.03,22.03
Bosnia and Herzegovina,43.16,42.68,42.68
Bulgaria,30.07,30.51,32.77
Channel Islands,5.26,5.26,5.26
Croatia,37.84,38.07,38.18
Czech Rep.,34.03,34.12,34.27
Denmark,10.49,11.45,11.78
Estonia,51.03,52.91,53.88
Faeroe Islands,,,
Finland,72.87,73.79,73.87
France,26.43,27.91,28.27
Germany,30.78,31.74,31.74
Gibraltar,,,
Greece,25.59,27.94,29.11
Holy See,,,
Hungary,19.55,20.71,21.45
Iceland,0.25,0.38,0.46
Ireland,6.4,8.84,9.71
Isle of Man,5.26,5.26,5.26
Italy,28.5,32.12,33.93
Latvia,44.72,46.49,47.4
Liechtenstein,37.5,43.75,43.75
Lithuania,31.03,32.23,33.49
Luxembourg,33.2,33.59,33.59
Malta,,,
Monaco,,,
Netherlands,10.18,10.63,10.77
Norway,29.81,30.37,30.65
Poland,29,29.58,30.01
Portugal,33.87,39.16,41.34
Moldova,9.7,9.91,10.01
Romania,27.72,27.69,27.71
Russia,47.9,47.92,47.89
San Marino,,,
Serbia and Montenegro,25.09,25.97,26.41
Slovak Republic,39.98,39.95,40.12
Slovenia,59.05,61.58,62.82
Spain,26.99,32.91,35.87
Sweden,66.49,66.75,66.88
Switzerland,29.2,30.32,30.87
"Macedonia, FYR",35.63,35.63,35.63
Ukraine,16.01,16.41,16.53
United Kingdom,10.84,11.59,11.81
Anguilla,75,75,75
Antigua and Barbuda,20.45,20.45,20.45
Aruba,,,
Bahamas,51.45,51.45,51.45
Barbados,4.65,4.65,4.65
Bermuda,20,20,20
British Virgin Islands,26.67,26.67,26.67
Cayman Islands,46.15,46.15,46.15
Cuba,18.74,22.17,24.7
Dominica,66.67,62.67,61.33
Dominican Rep.,28.44,28.44,28.44
Grenada,11.76,11.76,11.76
Guadeloupe,49.7,47.93,47.34
Haiti,4.21,3.96,3.81
Jamaica,31.86,31.49,31.3
Martinique,43.4,43.4,43.4
Montserrat,40,40,40
Netherlands Antilles,1.25,1.25,1.25
Puerto Rico,45.55,45.89,46
Saint Kitts and Nevis,13.89,13.89,13.89
Saint Lucia,27.87,27.87,27.87
Saint Vincent and the Grenadines,23.08,25.64,28.21
Trinidad and Tobago,45.81,44.44,44.05
Turks and Caicos Islands,79.07,79.07,79.07
Virgin Islands (U.S.),35.29,29.41,29.41
Belize,72.5,72.5,72.5
Costa Rica,50.22,46.53,46.83
El Salvador,18.1,15.64,14.38
Guatemala,43.79,38.81,36.32
Honduras,66,48.53,41.54
Nicaragua,53.86,45.63,42.74
Panama,58.79,57.87,57.69
Canada,33.63,33.63,33.63
Greenland,,,
Mexico,36.16,34.34,33.66
Saint-Pierre-et-Miquelon,13.04,13.04,13.04
United States,32.61,33.01,33.09
American Samoa,90,90,90
Australia,21.86,21.43,21.31
Cook Islands,65.22,69.57,69.57
Fiji,53.59,54.73,54.73
French Polynesia,28.69,28.69,28.69
Guam,47.27,47.27,47.27
Kiribati,2.74,2.74,2.74
Marshall Islands,,,
"Micronesia, Fed. Sts.",90,90,90
Nauru,,,
New Caledonia,39.22,39.22,39.22
New Zealand,28.81,30.7,31
Niue,65.38,57.69,53.85
Northern Mariana Islands,76.09,73.91,71.74
Palau,82.61,86.96,86.96
Papua New Guinea,69.61,66.54,65
Pitcairn,100,100,100
Samoa,45.94,60.42,60.42
Solomon Islands,98.89,84.71,77.6
Tokelau,,,
Tonga,5.56,5.56,5.56
Tuvalu,33.33,33.33,33.33
Vanuatu,36.1,36.1,36.1
Wallis et Futuna,30,25,25
Argentina,12.88,12.34,12.07
Bolivia,57.91,55.42,54.17
Brazil,61.47,58.3,56.47
Chile,20.38,21.15,21.53
Colombia,59.15,58.69,58.47
Ecuador,49.91,42.77,39.2
Falkland Islands (Malvinas),,,
French Guiana,91.79,91.47,91.47
Guyana,76.73,76.73,76.73
Paraguay,53.25,48.75,46.5
Peru,54.81,54.07,53.7
South Ossetia,,,
Suriname,94.72,94.72,94.72
Uruguay,5.17,8.05,8.6
Venezuela,58.98,55.72,54.09
