DOTS treatment success (%),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,,,,45,33,87,86,84,87,86,89,90,84
Albania,,,,,,,,98,90,91,78,77,93
Algeria,,,86,,,87,87,84,89,90,91,87,91
American Samoa,,100,,,50,100,100,100,100,100,67,75,
Andorra,,,,,100,67,50,100,100,100,100,80,75
Angola,,,,15,68,,68,66,74,68,68,72,18
Antigua and Barbuda,,,,,50,50,100,100,100,,100,,
Argentina,,,,,55,59,54,64,58,66,58,53,63
Armenia,,83,77,82,81,88,87,90,79,77,70,72,69
Australia,,,,66,75,84,74,66,78,82,85,80,85
Austria,,,,,,77,73,64,78,68,69,75,71
Azerbaijan,,,86,87,86,88,91,66,84,70,60,59,60
Bahamas,,,,,72,66,,64,59,62,,,75
Bahrain,,,,,13,95,73,87,88,97,82,93,86
Bangladesh,73,71,72,78,80,81,83,84,84,85,90,91,92
Barbados,,,,,,,,,,100,,91,100
Belarus,,,,,,,,,,73,74,73,70
Belgium,,,,,,,,64,69,73,72,66,73
Belize,,,,,,88,78,66,85,89,60,75,
Benin,76,73,72,73,77,77,,79,80,81,83,87,
Bhutan,71,97,96,85,90,85,90,93,86,90,83,91,89
Bolivia,66,62,71,77,62,74,79,82,84,81,80,78,83
Bosnia and Herzegovina,,,,93,88,90,94,98,95,94,98,97,97
Botswana,72,67,70,70,47,71,77,78,71,77,65,70,72
Brazil,,,,,91,89,73,67,75,83,81,77,72
Brunei Darussalam,,,,,85,76,63,56,84,60,71,71,84
Bulgaria,,,,,,,,87,86,91,80,86,80
Burkina Faso,,25,29,61,59,61,60,65,64,66,67,71,73
Burundi,44,45,,67,74,,80,80,79,79,78,79,83
Cambodia,84,91,94,91,95,93,91,92,92,93,91,93,93
Cameroon,,,,80,75,75,77,62,70,,71,74,74
Canada,,,,40,39,36,35,42,36,45,62,68,57
Cape Verde,,,,,,,,,,,71,64,79
Cayman Islands,,,,,,,,100,,,,0,
Central African Republic,,37,,,,,57,61,,59,91,65,
Chad,63,47,,,64,,,,72,78,69,,54
Chile,83,79,80,77,83,83,82,83,86,85,83,78,85
China,94,96,96,96,97,96,95,96,93,94,94,94,94
Colombia,,,,,74,82,80,85,84,83,85,71,71
Comoros,94,90,,85,,93,93,92,96,,94,91,
"Congo, Rep.",69,,,,,61,69,66,71,69,63,28,53
Cook Islands,100,100,100,100,,67,,0,100,,0,100,
Costa Rica,,,,,,81,76,72,85,94,,89,88
Croatia,,,,,,,,,,,,,30
Cuba,86,90,92,90,94,91,93,93,92,93,93,91,90
Cyprus,,,,,42,,,92,75,79,20,63,88
Czech Republic,73,60,66,69,65,78,70,73,73,79,73,72,69
Cote d'Ivoire,17,68,56,61,62,63,,73,67,72,71,75,73
"Korea, Dem. Rep.",,,,,91,94,91,91,88,88,89,89,86
"Congo, Dem. Rep.",71,80,48,64,70,69,78,77,78,83,85,85,86
Denmark,,,,,,,,,77,84,88,83,77
Djibouti,,75,77,76,79,72,62,78,82,73,80,80,78
Dominica,,,100,,,,,100,,,,,50
Dominican Republic,,,,,,81,79,85,78,81,80,85,78
Ecuador,,,,,,,,82,84,84,85,83,74
Egypt,52,,81,82,87,87,87,82,88,80,70,79,87
El Salvador,,,,,77,78,79,88,88,88,90,91,91
Equatorial Guinea,89,89,77,82,,,,,,51,,,
Eritrea,,,,83,73,44,76,80,82,85,85,88,90
Estonia,,,,,,63,70,64,67,70,71,72,68
Ethiopia,74,61,73,72,74,76,80,76,76,70,79,78,84
Fiji,90,86,86,91,90,92,85,85,78,86,,71,66
French Polynesia,,67,95,100,74,85,97,80,82,83,80,89,85
Gabon,,,,,,,,49,47,34,40,46,46
Gambia,74,76,80,70,,,,71,74,75,86,87,58
Georgia,,58,,65,78,61,63,67,65,66,68,73,75
Germany,,,,54,54,58,77,67,69,71,68,71,
Ghana,,54,51,48,59,55,50,56,60,66,72,73,76
Guam,,,,,,94,93,71,68,96,100,85,90
Guatemala,62,61,81,73,79,81,86,85,84,91,85,,47
Guinea,78,78,75,74,73,74,68,74,72,75,72,72,75
Guinea-Bissau,,,,,,35,,51,48,80,75,69,
Guyana,,,,,,91,91,90,85,57,72,67,68
Haiti,,,,73,79,70,73,75,78,78,80,81,82
Honduras,,,,,93,88,89,86,87,87,85,88,86
Hungary,,,,,80,,64,46,55,48,54,45,46
Iceland,,,,,,,,67,100,100,50,100,
India,83,79,79,82,84,82,84,85,87,86,86,86,86
Indonesia,94,91,81,54,58,50,87,86,86,87,90,91,91
Iran,,,87,84,83,82,85,85,85,84,84,83,83
Iraq,,,,,83,85,92,89,91,85,85,86,84
Israel,,,,,,,78,79,81,80,80,77,74
Italy,,80,82,69,72,71,74,40,79,95,,67,
Jamaica,,67,72,79,89,74,45,78,49,53,46,57,41
Japan,,,,,,76,70,75,76,76,57,60,53
Jordan,90,,,,92,88,90,86,89,87,85,83,71
Kazakhstan,,,,,79,79,79,78,78,75,72,71,72
Kenya,73,75,77,65,77,78,80,80,79,80,80,82,85
Kiribati,,,,,83,88,91,86,94,88,94,93,90
Kuwait,,,,,,66,69,73,55,62,63,63,78
Kyrgyzstan,,,88,76,82,83,82,81,82,84,85,85,82
Laos,,70,55,65,80,79,77,76,75,79,86,90,92
Latvia,,61,64,65,71,74,72,73,76,74,73,74,73
Lebanon,89,,,,73,96,92,91,91,92,90,92,90
Lesotho,56,47,71,63,,69,,71,52,70,69,73,66
