Debt servicing costs (% of exports and net income from abroad),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2493158376,0.1242732156,0.1761948279,0.3751946543
Albania,,,,,,,,,,,,,,,,,,,,,,4.298795181,2.175457481,3.17630854,6.636297641,2.773223316,4.653307052,8.502360984,5.643652795,3.674234005,3.334024896,3.776490562,5.575499995,4.155804254,4.121461644,3.899470756,7.783514302,4.46523384,3.799048487,6.894965237
Algeria,,,,,,,,18.36283027,25.09295564,30.20255328,28.16570646,28.6412391,31.76639013,34.70843844,37.70819826,36.36501031,58.65015456,56.13335862,80.17698703,69.04653035,65.05009652,71.65063476,,,,,,,,,,,,,16.35289504,11.89267157,22.45921995,2.001210589,1.435312464,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,8.403286979,8.142143392,10.68654417,6.23144895,5.12161983,8.149191773,12.04489458,18.38955205,19.22770251,41.41583112,26.77802255,20.73936194,33.00865855,16.87660425,15.25098055,13.5645428,10.70313545,13.1995362,9.782608726,2.541242487,8.435105837
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,34.44971221,27.44493915,42.25008933,22.7468334,37.33494912,45.66503177,49.94604818,69.66952069,63.38938339,60.11051409,82.83291483,74.28308351,44.21751761,36.18456237,36.97823946,33.59841929,27.49454932,30.92885649,25.13473578,30.16139368,39.3131061,49.81887375,57.0617752,74.72229273,69.36647646,41.40148829,16.46765967,38.0801031,29.43354633,19.42506038,36.17693345,12.29306845,8.806664579,17.28407365
Armenia,,,,,,,,,,,,,,,,,,,,,,,,1.153513576,1.93869531,3.184141417,9.569914162,5.107952002,13.25322797,12.27275588,8.314482837,8.474650425,9.646198244,10.84895073,11.49514768,7.383695018,7.016725558,7.303432264,13.27501334,20.93958474
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,1.275179863,1.218345481,6.639564201,2.27684443,4.672088423,5.97355584,5.234473182,6.095053547,6.72060233,5.401098381,2.73663547,1.902228358,0.883201036,0.893491368,1.698659918
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,28.49159905,25.23239521,20.47972515,23.40569829,22.1320352,18.44034389,21.38363834,21.81694916,23.47204123,25.80278009,39.47424562,37.96923863,30.61422475,29.3772806,34.55974581,27.060183,19.86157852,16.40289591,14.65728515,16.05060716,13.64461051,11.89505816,10.45029963,11.01251277,10.51014431,9.586069836,10.21803529,8.153474994,6.982682134,7.494080018,5.440711879,6.907014904,5.021691725,5.607127766
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,0.6795972345,4.301748796,3.444128249,2.305262692,2.431710448,2.833384801,3.905614828,4.807578426,3.992097279,3.948561101,3.584150124,2.348425855,3.707044725,3.259735523,3.869929393,3.140901991,4.976705318
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,6.657428791,13.37857415,10.9813278,9.578020644,8.283874164,7.874516936,7.162061532,6.367172306,5.571231459,6.273231623,8.85343506,12.19482538,12.76862845,11.71690927,13.75782631,11.06302572,17.25722711,21.66993082,38.50359554,29.43111312,60.86673344,36.72931156,17.62706071,75.95848287,12.25075601,13.62052568
Benin,,,,,5.237201449,4.121766425,3.585300137,2.3505118,3.084504564,3.577905434,8.364651341,4.857734175,12.91912156,17.58433855,16.36825798,14.36706125,16.15398299,8.859748371,9.151075428,8.811419799,9.864278944,5.418927729,5.130185707,5.448432715,7.08268441,7.514053221,6.325110186,9.162120363,9.968968686,10.91548885,13.47031505,8.604024093,8.955456254,5.212124404,4.977500826,5.933305275,4.169363657,2.147609897,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.111051136,8.752209329,4.714970863,5.187451053,11.70270877,21.33821301,11.44322996
