Breast Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
Chile,,,,,,7.02,7.93,8.69,8.89,8.82,8.98,8.77,8.6,8.91,7.62,9.21,11.3,8.86,11.86,10.37,11.23,11.69,11.23,12.41,10.66,11.35,12.15,10.97,11.71,11.46,12.02,11.97,12.66,12.67,12.41,12.95,11.91,12.97,12.79,12.13,13.05,12.72,12.03,11.91,12.05,12.7,12.62,11.29,12.1,11.46,11.85,11.34,11.26
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Colombia,,,,2.78,2.98,3.1,2.68,3.42,3.84,3.9,3.82,4.38,4.05,4.74,4.57,5,4.52,5.12,5.21,4.41,,,5.16,,5.54,5.55,4.99,5.37,,,,,,,7.32,7.48,7.34,7.03,7.32,7.8,7.73,7.79,7.91,8.58,8.37,8.35,8.17,8.58,8.15,8.62,,9.28,9.33
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Costa Rica,,,,,,,,,,,,5.72,6.03,7.03,6.32,5.92,6.58,6.09,7.97,6.97,5.51,6.63,7.29,6.47,5.93,8.37,8.54,8.56,8.54,6.16,9.2,8.92,9.18,9.46,11.92,12.35,10.14,12.18,12.87,11.14,11.85,9.65,11.07,11.86,13.06,12.56,12.96,11.26,11.64,11.91,10.75,11.46,11.58
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,16.78,18.06,17.97,17.8,18.37,19.82,18.04,18.46,17.82,18.04,16.97,17.85,18.49,19.79,18.56,18.44,16.95
