Breast Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Panama,,,,,,4.94,4.24,5.74,3.64,4.43,6.92,6.03,7.15,5.83,6.75,6.62,9.66,5.3,6.72,4.95,5,7.12,5.49,6.87,6.26,7.04,7.7,6.3,5.62,7.93,7.87,6.54,7.1,7.85,7.94,10.64,7.03,7.69,8.61,10.37,,,,,,,8.66,8.54,9.31,7.69,10.15,8.96,8.01
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1
Poland,,,,,,,,,,5.15,5.81,6.86,7.55,9.28,10.09,10.8,10.8,11.43,11.09,11.9,11.46,11.79,12.28,12.61,13.04,13.32,13.84,13.51,14.13,14.16,14.79,15.14,15.1,14.85,15.26,15.09,15.07,15.16,15.57,15.52,16.13,15.51,16.24,15.75,15.89,16.31,16.13,,,14.78,15.01,14.94,14.91
Portugal,,,,,,10.58,11.02,10.54,10.86,11.46,12.04,11.09,12.33,12.15,12.47,13.55,12.86,12.47,13.03,13.36,12.88,15.01,14.67,14.01,14.59,14.19,15.14,14.07,15.18,15.4,15.6,15.26,16.71,16.26,16.57,16.83,16.37,17,16.89,17.46,17.6,18.16,18.58,17.23,17.44,16.99,17.3,17.02,16.51,15.59,15.52,16.47,15.46
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
Romania,,,,,,,,,,5.47,6.23,7.43,8.13,8.24,8.95,8.8,9.66,8.66,8.93,9.4,10.02,10.6,10.44,10.25,10.34,10.75,11.04,11.61,12.17,,12.06,12.33,12.84,13.35,13.16,13.55,13.76,13.66,14.95,14.72,14.98,14.64,14.56,14.9,15.25,16.01,15.71,15.39,16.02,16.37,16.49,16.42,16.3
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87,10.96,11.54,11.61,12.06,12.38,12.98,12.97,13.28,13.82,13.97,14.42,15.28,15.59,16.13,15.97,16.2,16.62,16.98,17.12,17.16,16.84,16.98
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
Singapore,,,,,,,,,,,,,,9.76,9.79,8.8,10.87,11.32,9.2,11.99,9.45,7.97,10.88,9.4,10.42,11.46,9.06,10.51,14.01,13.48,13.88,15.07,10.87,10.6,10.76,13.52,13.41,13.83,10.43,12.29,13.93,13.44,12.07,13.53,12.1,12.48,11,11.79,10.68,12.4,10.74,11.81,11.87
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.79,17.7,17.38,17.25,16.99,17.85,17.99,19.08,18.38,18.48,16.95
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24,22.2,21.76,21.5,21.63,21.11,23.16,22.51,26.19,21.84,22.52,20.5,19.54,20.38,22.02,18.41,19.85,21
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72,12.23,11.22,11.89,10.53,11,11.38,11.28,12.33,11.49
Spain,,5.37,5.69,5.32,6,6.27,6.04,6.41,6.39,6.67,8.26,8.59,9.23,9.43,9.6,9.46,9.22,9.93,9.85,10.24,10.09,11.11,11.29,11.31,11.61,12.31,13.25,13.2,13.23,13.09,13.74,13.65,14.36,14.33,15.1,14.99,15.65,16.62,16.93,17.22,17.19,17.31,17.3,17.88,17.38,17.42,15.94,15.84,15.56,14.88,14.36,14.73,14.04
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6
Suriname,,,,,,,,,,,,,,4.01,10.31,6.49,8.76,,,,,9.88,8.8,3.59,,13.84,7.85,12.1,10.64,12.32,7.56,7.72,8.05,,10.78,5.93,6.67,7.52,7.58,4.81,10.02,9.19,11.25,,,5.68,4.9,15.62,11.28,10.15,10.84,,12.9
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
Sweden,,15.49,18.48,19.32,18.95,19.62,18.14,18.79,18.3,18.68,19.59,19.91,19.12,19.09,19.93,17.81,18.66,18.11,18.43,19.13,18.48,19.25,20.71,19.9,20.29,19.94,18.91,19.18,17.8,18.81,19.27,18.06,18.54,18.25,18.14,17.94,17.42,17.31,18.69,17.6,17.79,17.45,17.92,17.17,16.66,17.27,16.38,15.78,17.05,15.52,16.48,15.22,14.66
Switzerland,,21.8,22.34,21.61,21.74,23.27,21.88,22.22,21.75,21.09,22.71,21.98,22.25,22.15,22.21,22.91,23.05,22.76,23.52,23.69,23.21,24.61,23.8,24.46,23.43,24.82,23.45,24.03,24.28,23.83,23.9,24.36,24.27,25.2,24.61,25.22,24.55,24.96,25.03,23.3,24.2,24.44,24.01,24.03,22.99,22.82,20.36,20.13,18.88,16.91,18.13,17.72,17.32
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,5.23,,,4.6,6.54,6.05,5.56,7.98,6.17,4.47,7.69,5.13,4.33,4.38,3.88,3.95,3.71,4.97,4.7,5.45,5.68,5.46
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
Thailand,,,,,,,,0.43,0.53,0.49,0.53,0.59,0.76,0.82,0.91,0.61,0.66,0.86,0.85,0.71,0.84,0.7,0.66,0.72,0.87,0.95,0.65,0.76,0.93,1.09,1.18,1.37,1.16,1.16,0.83,0.78,0.72,0.96,,,0.96,1.19,1.26,,1.62,1.66,1.71,1.58,1.64,2.72,3.28,,4.13
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
Trinidad and Tobago,,8.01,14.11,10.82,12.5,15.38,14.58,11.85,13.15,,9.89,8.96,12.11,11.68,,,14.36,20.73,16.04,,14.15,15.67,13.79,17.01,12.69,13.59,8.79,12.61,19.34,12.09,20.57,16.48,15.33,16,20.81,17.77,19.71,23.71,24.77,20.11,21.97,17.8,17.05,20.9,21.31,23.03,23.15,20.17,21.8,17.58,19.88,16.38,21.39
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,6.65,,,6.8,7.14,6.14,6.58,6.59,8.63,7.81,8.86,9.2,8.7,7.94,7.54,6.79,6.23,,,,8.5
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02,12.88,,,13.53,14.08,14.41,14.45,15.39,15.58,16.07,16.56,17.49,17.78,17.76,17.51,17.38,17.77,18.15,18.2,17.56,18.04
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
United Kingdom,23.5,23.23,23.62,23.07,23.48,23.4,23.46,23.41,23.85,23.05,23.76,24.02,23.99,24.16,25.02,24.37,24.44,25.04,25.23,26.07,26.28,26.65,26.86,27.46,26.59,27.43,27.47,27.57,27.77,27.71,28.14,28.47,28.24,28.36,29.11,29.03,29.29,29.01,28.86,29.21,28.09,27.76,27.37,26.37,26.03,25.18,23.8,23.24,22.71,22.01,21.49,21.18,20.6
United States,20.61,20.27,20.57,20.72,20.58,21.08,20.92,20.81,20.36,20.3,20.66,20.68,20.7,20.76,21.08,21.31,21.41,21.58,21.82,21.5,21.71,21.5,22.05,22.15,21.96,21.59,21.83,22.27,21.86,21.5,21.87,21.94,22.07,22.05,22.54,22.6,22.45,22.29,22.55,22.42,22.31,21.99,21.3,20.97,20.65,20.41,19.57,18.76,18.22,17.43,17.42,17.01,16.65
Uruguay,,,,,,22.42,19.87,21.05,22.94,21.23,22.93,,,20.15,21.48,21.81,19.2,23.36,22.58,24.63,23.27,25.93,24.41,23.43,25.21,23.45,24.59,24.59,23.8,,25.06,24.78,22.41,24.99,25.49,24.63,26.07,23.53,27.28,24.78,25.68,,,24.39,25.01,24.46,24.01,23.69,24.47,21.21,23.96,21,21.91
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,6.33,,,6.52,7.54,7.15,7.44,7.62,7.74,7.5,7.29,8.22,7.92,7.49,7.55,7.42,7.32,8.04,8.1,,7.62
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
Venezuela,,,,,,8.07,8.09,7.47,7.12,8.26,8.13,7.32,8.51,9.46,8.89,9.1,8.2,7.86,9.39,9.45,9.47,9.1,8.94,9.29,7.76,8.29,8.89,9.58,8.82,9.62,8.2,7.91,8.29,8.9,,8.4,8.99,9.9,9.85,9.39,10.41,,11.28,10.33,11.65,,11.33,11.23,11.73,11.34,11.84,11.45,12
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
