Total 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,10.22211314,10.34874475,10.4639068,10.75197889,10.18667117,10.24236512,10.31763103,10.42056455,10.45393116,10.4401681,10.5516872,10.72842277,11.01799698,11.1782742,11.05497171,10.736285,10.82351083,10.92570943,10.89172486,10.64001526,10.22086371
Albania,9.967051071,10.50724638,9.497206704,8.935259497,9.915809167,11.24531445,11.44781145,10.41244084,9.90881459,8.713692946,9.485006519,10.06754583,9.656042916,8.560908254,6.349206349,6.299676185,6.701785192,6.866197183,6.505026611,5.791044776,5.328489252
Algeria,10.00685401,10.06794317,9.843504028,9.930386648,10.14693046,10.25096766,10.89845827,10.97886591,10.95245629,11.43069412,12.19840021,11.37525874,10.03416246,7.760770826,7.629642391,7.907931252,7.977284414,7.65106475,6.964473408,6.27065416,5.896107561
Angola,10.00964785,9.821231516,9.642643242,9.353432619,10.06082525,10.30534351,10.45327222,10.38362623,10.23164213,10.46502353,10.70177896,10.94596221,11.18892165,10.87136929,11.14058355,10.66365392,10.78744041,10.69321755,10.39582188,9.95603893,9.511191028
Argentina,9.142324063,8.463322091,8.368787469,8.689815643,8.840193301,8.684453329,8.279462954,8.071986238,8.468734613,9.47026343,8.727902759,8.569363043,8.417351104,7.995863398,7.477880101,7.397075169,7.21435676,6.933597785,6.598676622,6.27163146,5.977386047
Armenia,11.09467456,12.5399872,6.263383298,7.437641723,10.28594122,12.09763,11.68495804,9.017375674,7.844243792,8.100558659,9.684757881,10.4214309,8.573277257,5.987261146,6.360201511,6.943135407,7.160883281,6.668783741,5.931388265,5.553751218,5.568445476
Aruba,10.81081081,9.302325581,10,9.615384615,12.06896552,11.86440678,11.66666667,9.230769231,6.349206349,6.25,6.741573034,7.070707071,7.407407407,7.272727273,6.25,5.309734513,5.309734513,5.357142857,6.363636364,5.454545455,5.660377358
Australia,6.789147098,6.663043478,7.502189355,8.947322746,8.855189754,8.991485614,8.899775464,8.290614518,8.190966534,7.015510294,6.922274387,6.860197126,6.736088513,6.29036539,5.989440338,6.023559892,5.95618617,5.890782924,5.834096319,5.732325034,5.639490357
Austria,6.588811995,7.072889657,7.811390427,6.917893,6.64167113,7.732911058,8.666843361,8.240740741,6.698814023,5.822306238,6.095428429,6.000971817,6.010016694,5.279943303,5.000585549,4.76744186,4.712830014,4.81537215,4.876349704,4.865243262,4.791544334
Azerbaijan,11.77892919,12.5112782,6.108829569,6.493222562,9.087393658,12.05835824,13.03148328,10.84120558,9.735126889,8.865476038,9.927330952,11.00331283,9.86341245,7.256524507,6.680223691,7.64142561,7.855482371,7.280022929,6.357014474,5.78535758,5.74832183
Bahamas,10.12658228,9.090909091,8.333333333,8.450704225,8.771929825,10.05291005,12.38095238,11.58798283,11.06719368,9.252669039,9.539473684,8.641975309,8.985507246,8.446866485,7.291666667,6.965174129,6.730769231,6.496519722,6.363636364,6.013363029,5.921052632
Bahrain,9.565217391,9.62962963,9.554140127,8.90052356,10.59907834,12.72727273,9.798270893,7.263922518,7.113821138,7.958477509,8.128834356,8.241758242,8.899876391,7.832009081,7.465825447,6.758080313,6.359447005,5.944055944,5.676126878,5.640612409,5.485893417
Bangladesh,9.893336392,9.768382808,9.520115261,9.431825642,10.41516089,10.41139561,10.47071188,10.61646163,11.06441124,11.57503552,11.58510162,10.87027507,10.17680008,9.681082994,9.050439507,8.048222673,7.697758532,7.426725924,7.0739953,6.643775417,6.225757882
