Total 0-4 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,17.58497975,16.94876747,17.28728937,17.63098379,17.97449109,18.18113604,18.35520184,18.65289189,18.89657365,19.14952444,19.12645469,18.58396246,17.74282182,17.4390422,17.01445028,16.31790789,15.33297795,14.21157048,13.14712256,12.2176727,11.40430366
Albania,14.25041186,15.86956522,17.380509,16.90743713,15.06080449,13.9941691,12.86943509,12.20419202,11.82370821,10.56495372,9.452411995,7.140559665,7.036920164,7.272169377,7.277628032,6.711804533,5.911618379,5.399061033,5.351862803,5.432835821,5.358764759
Algeria,15.87845556,16.74902203,18.14982869,19.50851296,19.45010183,18.76014484,17.85752259,17.38245011,15.17680563,12.86704875,9.89706268,9.606721052,9.701007934,9.47255113,8.79377815,7.795993564,6.888456637,6.377688898,6.218204751,6.233707588,6.107762704
Angola,16.95610227,18.38446259,18.86604113,19.19723938,19.18461286,19.02524956,19.48051948,19.70638663,19.82556504,19.70168302,18.66507914,18.44385606,17.07561078,16.62978331,15.82942257,14.81467984,13.70705244,12.69651145,11.8526663,11.1198638,10.41972271
Argentina,11.35210775,11.27213322,10.95532779,10.50653302,10.23162806,10.6412425,11.71059175,10.66891624,10.28434269,9.927527896,9.285578927,8.574526865,8.363251857,8.024067502,7.58396533,7.113745832,6.676824752,6.291062353,6.155527226,6.007081195,5.834085823
Armenia,11.09467456,15.03518874,16.97002141,15.69160998,11.59650516,10.64732932,10.68431246,11.3241462,10.97629797,8.969584109,6.402339942,6.827834041,7.34390165,7.420382166,6.801007557,6.000628338,5.552050473,5.493807558,5.578711125,5.553751218,5.336426914
Aruba,18.91891892,18.60465116,16,15.38461538,12.06896552,10.16949153,8.333333333,10.76923077,9.523809524,8.75,7.865168539,6.060606061,5.555555556,5.454545455,5.357142857,6.194690265,5.309734513,5.357142857,5.454545455,5.454545455,5.660377358
Australia,10.7677333,10.70652174,10.62566897,10.27510197,9.491631964,9.204345273,7.70225216,7.569141194,7.371869881,7.170061268,6.651017214,6.301181778,6.303751569,6.166504468,6.035902851,5.906165243,5.741794652,5.604163524,5.54477202,5.536134694,5.521130683
Austria,7.439446367,6.986459234,8.038630876,8.802090496,8.168184253,6.611243072,5.711635303,5.952380952,5.708327903,5.784499055,5.158631027,4.834791059,4.602909611,4.53579022,4.590701487,4.604651163,4.550717925,4.444958907,4.435156159,4.526893011,4.697592484
Azerbaijan,10.3626943,14.58646617,18.58316222,18.27721906,14.55916473,12.2868694,11.45731905,12.11575948,13.0633754,11.55081588,8.609434659,7.915286323,8.799820869,8.731169107,7.849517031,6.733142462,6.02479659,5.894716729,5.978620755,5.879581645,5.57814125
Bahamas,15.18987342,15.90909091,17.59259259,18.30985915,15.78947368,14.28571429,12.38095238,12.44635193,11.06719368,11.03202847,10.19736842,8.641975309,8.115942029,7.629427793,7.291666667,6.965174129,6.490384615,6.26450116,5.909090909,5.79064588,5.701754386
