"ODA received, total (constant 2010 US$)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,108800000,223030000,110970000,225130000,290570000,363620000,335940000,254670000,179060000,159970000,155820000,228920000,265720000,237710000,198690000,247610000,247380000,280830000,235350000,269700000,74950000,58450000,25140000,39560000,19250000,43860000,6840000,78340000,119670000,249010000,185040000,758620000,294320000,335750000,329490000,282160000,226030000,343460000,247240000,209480000,222730000,704380000,1906730000,2037750000,2693530000,3204880000,3252330000,5126880000,4856540000,6331410000,6426380000
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9110000,18150000,16390000,479110000,584780000,410840000,228030000,230740000,296940000,242530000,391130000,728200000,499370000,430940000,457220000,469240000,355730000,370660000,358770000,312440000,347190000,349370000,340700000
Algeria,3405040000,4073070000,3406380000,2275590000,1738330000,1127940000,913510000,783180000,853110000,906430000,845850000,805060000,622670000,589740000,555500000,827240000,478530000,403120000,501790000,245340000,444920000,447480000,386290000,261420000,373450000,523340000,368980000,393570000,297730000,286980000,504300000,324160000,525920000,498730000,448120000,382850000,402520000,363330000,616150000,208270000,326290000,338530000,306980000,315620000,374950000,401920000,268220000,398230000,304580000,309310000,198320000
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,-390000,282390000,,240000,,12340000,30260000,185230000,80000,-1020000,-450000,-90000,630000,950000,1670000,17850000,61840000,156800000,129530000,110530000,114720000,142880000,153580000,203630000,265240000,251150000,289760000,249350000,276280000,302400000,413420000,419460000,481920000,449240000,658990000,567500000,628700000,534520000,506270000,580760000,473610000,459470000,609220000,630900000,1361920000,476940000,183990000,256990000,358750000,243750000,238230000
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,50000,15210000,8530000,12080000,18920000,11640000,9370000,13310000,22080000,12070000,8320000,5980000,6690000,9870000,10480000,15190000,7580000,7190000,10620000,7060000,4670000,5960000,2970000,5100000,6020000,13500000,13090000,13710000,12070000,18220000,7750000,1880000,9410000,3950000,7670000,8550000,5950000,19070000
Argentina,91670000,194130000,176650000,263660000,60380000,-558460000,-127240000,154500000,196740000,117470000,21640000,153570000,108100000,207450000,145490000,87120000,110480000,90920000,77200000,103950000,36890000,109030000,78460000,124530000,133400000,108580000,181030000,175140000,257490000,368150000,250360000,397050000,360350000,351070000,217560000,173390000,173540000,143720000,106370000,95110000,62550000,240720000,123920000,141400000,109230000,111880000,130300000,106900000,124980000,124390000,121120000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4150000,32670000,160760000,272600000,283100000,384810000,233330000,276200000,293570000,300040000,307170000,417290000,319580000,294840000,193070000,238340000,381740000,307030000,530500000,342820000
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,38460000,95140000,40960000,36410000,48570000,50550000,41970000,46260000,39760000,27990000,34190000,27000000,38860000,17430000,-11680000,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530000,11260000,35920000,219970000,159260000,126750000,260410000,174700000,238900000,195990000,321510000,482950000,380540000,213330000,252730000,235190000,237450000,228830000,232920000,159110000
Bahamas,-390000,,,140000,500000,560000,380000,4750000,400000,530000,520000,1570000,7170000,2300000,2210000,2510000,2190000,1570000,3510000,3180000,4680000,4730000,4740000,2320000,26370000,1860000,11920000,1270000,7240000,7280000,4880000,4150000,3870000,1450000,970000,5550000,,,,,,,,,,,,,,,
Bahrain,750000,8810000,12190000,5700000,5000000,7180000,66180000,390000,1790000,1100000,6170000,27300000,15130000,66340000,157330000,95540000,579050000,157560000,240080000,345200000,484240000,479160000,386040000,635840000,539430000,187090000,207170000,15900000,-4510000,-3620000,210130000,140020000,112140000,160710000,131550000,124140000,171840000,211060000,285750000,86830000,87840000,107690000,90210000,168890000,68250000,,,,,,
Bangladesh,,,,,,,,,,,,125130000,1172730000,1899390000,2201990000,3891120000,1765150000,2624140000,2891790000,3033480000,3047130000,2705750000,3395040000,2575440000,3027890000,2862230000,2972250000,3234130000,2694240000,3042120000,3223760000,2815650000,2579530000,1999040000,2409400000,1611870000,1608400000,1450890000,1687880000,1715110000,1704680000,1595160000,1330230000,1766640000,1638740000,1487190000,1340670000,1516430000,2013410000,1247730000,1414950000
Barbados,,,,,,,12050000,4220000,6310000,9500000,16010000,28910000,26860000,23650000,16920000,19330000,25970000,19310000,35180000,29770000,32410000,41770000,31790000,41860000,20010000,18730000,8520000,12070000,5290000,3760000,4200000,3420000,160000,5990000,-1070000,-1430000,5660000,6490000,22870000,-3180000,790000,-2810000,4790000,26050000,33720000,-2350000,-2390000,17630000,6740000,11920000,16200000
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67420000,86140000,85180000,103630000,98320000,137920000
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,17490000,26230000,46350000,36070000,10040000,16130000,18970000,43940000,44930000,53980000,43810000,33280000,48290000,25770000,30540000,35460000,48460000,35260000,58330000,58020000,31990000,25940000,29400000,34070000,33790000,47160000,48780000,43520000,42940000,47370000,46490000,32150000,36450000,45140000,43140000,23980000,27300000,19710000,21550000,58790000,23120000,33700000,31940000,15260000,8910000,13720000,9640000,22820000,23170000,27570000,24760000
Benin,190000,10540000,28530000,37480000,149410000,141100000,116440000,124540000,99950000,93340000,103980000,183960000,112190000,130450000,144530000,203850000,188620000,162680000,179780000,221310000,206800000,205480000,207500000,227030000,210240000,261100000,288700000,242490000,273100000,476150000,410510000,403620000,407260000,412430000,353370000,349200000,367280000,314370000,290800000,301170000,389830000,445210000,335540000,385770000,465690000,402330000,450000000,487310000,620600000,673800000,689110000
Bermuda,,,,,90000,410000,460000,460000,330000,80000,80000,,60000,,160000,90000,140000,290000,470000,390000,640000,500000,180000,180000,220000,3040000,190000,430000,70000,190000,58940000,-6770000,-6380000,-6280000,-15580000,-2230000,-4580000,,,,,,,,,,,,,,
Bhutan,,,,130000,130000,1600000,460000,90000,1280000,900000,1740000,1110000,1280000,3040000,2680000,8250000,12550000,10060000,9160000,13030000,19520000,24360000,29020000,33400000,46040000,63170000,85600000,75390000,69600000,70870000,72010000,95380000,77550000,87920000,94670000,84280000,74460000,92250000,83690000,95770000,83810000,97400000,111150000,101680000,93650000,106010000,118470000,98480000,87910000,127590000,131000000
Bolivia,69150000,140830000,226810000,328080000,249650000,197200000,177360000,161610000,259430000,204430000,176230000,169040000,233850000,136640000,244910000,202680000,225080000,300570000,404120000,394780000,398020000,410410000,366880000,419310000,432870000,482540000,678580000,545530000,715250000,836120000,835300000,745780000,930600000,804880000,764280000,885330000,1061620000,972510000,911710000,807210000,720450000,1142370000,1018120000,1192820000,914180000,745070000,958240000,518390000,613710000,723050000,674980000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,20000,10000,25530000,106670000,628300000,1211790000,1141130000,1243500000,1323660000,1875360000,1199030000,1022050000,851810000,705610000,812000000,636860000,603490000,614940000,445800000,416920000,510370000
Botswana,33080000,51130000,47270000,47440000,76410000,82810000,130460000,136520000,135620000,104810000,93640000,110380000,163070000,165830000,161590000,192040000,175290000,158830000,203550000,255130000,242640000,231730000,247290000,262120000,271660000,254950000,226500000,298910000,260380000,280450000,228630000,206960000,167700000,198670000,126490000,119730000,94990000,175060000,148630000,84930000,46340000,45820000,50470000,35060000,58980000,55170000,76170000,109710000,693550000,280960000,156140000
Brazil,115280000,1639540000,1019230000,1413680000,1499960000,1724230000,2062010000,1288840000,1371420000,982050000,932420000,723440000,687510000,483360000,664110000,607980000,392440000,264050000,306210000,262050000,191640000,590950000,564990000,277610000,436750000,381790000,364700000,486870000,337400000,320570000,225800000,235690000,-389530000,267460000,323760000,314770000,339460000,355990000,389380000,160670000,312700000,359290000,308210000,259500000,182210000,280640000,128050000,321090000,453560000,323630000,661320000
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,70000,3680000,5380000,290000,520000,570000,570000,490000,220000,210000,80000,300000,110000,690000,770000,620000,460000,290000,290000,240000,50000,470000,750000,1170000,2150000,3750000,4840000,5330000,6580000,6800000,5920000,5100000,7020000,5830000,5580000,4020000,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,1590000,13980000,39900000,36560000,126750000,139240000,133110000,141900000,166340000,169550000,151460000,180980000,190890000,281080000,434780000,328170000,286210000,368070000,451670000,495910000,478280000,531770000,545580000,474280000,490120000,487470000,584860000,494130000,505530000,477180000,501800000,641000000,616950000,694410000,618900000,624990000,546020000,536350000,583300000,584760000,320150000,656960000,681860000,708650000,760640000,803970000,1014740000,977750000,965430000,1079280000,1062340000
Burundi,77040000,73000000,103440000,56610000,72830000,41990000,71850000,83110000,100360000,111540000,124890000,140330000,150520000,135920000,166390000,179000000,165450000,155110000,205750000,234070000,265430000,311210000,328960000,368330000,379450000,384430000,417310000,359550000,347140000,365360000,403660000,388530000,437740000,314870000,433790000,363600000,147850000,83680000,104340000,112120000,149650000,236240000,264000000,295650000,429330000,416110000,478670000,488470000,505410000,558350000,629940000
Cambodia,173020000,153860000,139600000,149440000,89880000,74460000,88550000,105920000,74900000,97300000,145000000,219450000,327800000,599230000,1133280000,272930000,2710000,1150000,750000,287310000,627730000,269290000,86150000,86460000,45730000,32540000,28830000,25860000,32270000,41760000,65960000,137620000,287190000,434930000,427680000,670020000,543570000,475040000,489830000,398160000,583200000,639420000,713050000,666800000,575350000,620950000,609490000,718490000,749790000,741100000,733730000
Cameroon,3600000,63040000,80990000,72360000,226400000,255970000,370990000,291720000,365420000,270820000,400370000,303950000,353920000,290250000,273760000,406050000,494540000,614160000,510770000,683070000,604050000,490860000,561400000,341160000,524480000,428270000,481090000,367280000,488980000,830600000,688360000,789820000,1014640000,799690000,1036340000,567180000,528910000,717210000,731470000,629380000,597210000,748690000,953770000,1141780000,925740000,475370000,1910260000,1936120000,526600000,642120000,540500000
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,32660000,,,,,25500000,7240000,,80000,,,,,,32210000,85400000,82970000,99170000,77620000,140370000,121450000,128310000,147830000,175040000,178690000,232670000,155470000,141440000,156590000,170130000,158830000,164170000,172090000,174510000,149360000,153950000,162490000,192620000,200280000,152280000,128290000,141870000,194050000,171550000,189130000,156000000,168070000,212190000,192420000,327890000
Cayman Islands,,,,,,,,,,,,,,,8730000,6210000,8530000,5790000,11150000,2000000,3290000,2450000,1400000,920000,890000,170000,4090000,3790000,19350000,2220000,4410000,-340000,180000,-420000,-1540000,-590000,-2300000,,,,,,,,,,,,,,
Central African Republic,300000,4180000,10950000,19460000,137450000,127210000,120890000,155930000,128160000,141620000,99810000,98750000,143310000,125270000,168980000,205200000,145090000,152870000,146500000,209350000,246900000,256870000,239730000,256920000,373180000,291560000,288100000,326540000,352170000,331850000,379910000,259400000,246610000,245560000,232170000,194550000,211270000,125180000,170660000,168530000,109740000,120380000,89830000,66830000,128950000,102040000,148590000,179290000,251230000,240170000,261010000
Chad,300000,34730000,56030000,54790000,135940000,145600000,146670000,151310000,150840000,170500000,157280000,197900000,175250000,223580000,350440000,250950000,222570000,282460000,361460000,221800000,83210000,153320000,169420000,241490000,316730000,493780000,351060000,375180000,460150000,449470000,475060000,397290000,333580000,326000000,298950000,294370000,381940000,323480000,250220000,270950000,206610000,306990000,348810000,328310000,394060000,442940000,324140000,368530000,405440000,557000000,486040000
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,115700000,691200000,955030000,905700000,819270000,644940000,872420000,655610000,492220000,522110000,381470000,272720000,261240000,220840000,121640000,434450000,29630000,33150000,30730000,-62950000,-22590000,-9610000,-5400000,15370000,20950000,108700000,2760000,39810000,75690000,115090000,159440000,183850000,184430000,250920000,205200000,173780000,238790000,172230000,145590000,93110000,76180000,121120000,7500000,111460000,64640000,194610000,115410000,109590000,103950000,79210000,197520000
China,,,,,,,,,,,,,,,,,,,,43010000,151460000,1165470000,1434630000,1756180000,2103310000,2467650000,2187160000,2407970000,3106570000,3382320000,3071130000,2816550000,4052960000,4260130000,3914150000,3872570000,3190910000,2759580000,3333970000,3052160000,2308290000,2241110000,2109530000,1718660000,1999530000,2126510000,1477760000,1604880000,1455670000,1116680000,646110000
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,-76490000,254450000,281010000,442340000,343500000,212750000,529000000,621830000,1106930000,629810000,818520000,639060000,563030000,617830000,419840000,294120000,259050000,156900000,195440000,134060000,206740000,257220000,257640000,236760000,253800000,186990000,149290000,145050000,112040000,122860000,135400000,169030000,321520000,129190000,105600000,214510000,239910000,277740000,238880000,411210000,269760000,529020000,585710000,967040000,599320000,699460000,1094540000,745590000,965440000,1061670000,901080000
Comoros,,,,,,,46470000,71800000,57850000,44380000,55770000,58350000,57920000,82610000,123330000,78910000,90760000,42890000,40950000,50190000,99690000,116390000,99500000,99330000,118560000,129740000,99680000,98990000,90040000,78420000,68660000,96180000,67380000,69670000,54460000,51350000,50110000,42470000,57320000,31650000,31150000,44780000,42320000,31990000,31040000,26480000,35870000,45590000,39350000,49280000,67220000
"Congo, Dem. Rep.",814810000,835070000,924380000,922970000,999650000,1100270000,687300000,673720000,551780000,602000000,616540000,688920000,688330000,670450000,769330000,941930000,690800000,836910000,863160000,1016180000,983280000,1001470000,935470000,864250000,892130000,851030000,939530000,1241980000,977060000,1273040000,1359820000,704480000,378880000,258300000,339010000,242600000,216430000,230350000,185200000,196380000,285680000,398430000,1747720000,6943510000,2203320000,2163450000,2403360000,1370530000,1701970000,2366410000,3542980000
"Congo, Rep.",220000,1790000,30930000,50830000,150940000,125990000,185630000,144080000,157280000,120900000,107110000,111880000,131650000,129320000,171210000,207660000,271840000,164500000,236090000,228660000,205720000,200250000,237690000,285990000,283280000,204790000,232320000,252370000,151780000,164140000,329200000,200800000,157740000,177430000,510440000,158540000,588710000,390770000,92190000,216350000,52070000,113810000,89260000,88800000,135380000,1656660000,289820000,121900000,456590000,275360000,1312250000
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,20730000,34030000,54610000,62680000,84650000,90090000,82200000,86690000,63360000,87690000,77160000,81150000,85590000,99770000,92660000,110740000,85930000,80940000,138430000,140290000,148220000,131020000,181410000,514520000,447000000,582980000,370490000,402210000,317560000,373280000,345530000,250760000,187840000,143400000,102440000,43910000,-9230000,1770000,32140000,-950000,34460000,19170000,13000000,39020000,20970000,30620000,37080000,65540000,61680000,109750000,95030000
Cote d'Ivoire,1080000,30610000,81660000,76360000,308010000,307740000,275460000,262300000,330470000,347820000,359800000,324360000,268700000,299670000,343040000,369290000,408480000,359650000,369360000,397910000,467820000,317350000,374560000,434800000,366560000,341740000,385100000,446360000,765600000,720950000,1051380000,956720000,1067950000,1107770000,2257180000,1530180000,1244760000,630890000,1424250000,650100000,560340000,328250000,1686870000,327030000,190070000,106310000,277670000,181560000,609970000,2355670000,844960000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,156180000,68230000,160660000,63660000,68320000,72050000,103300000,195120000,203650000,156810000,143720000,143690000,227830000,165000000,226420000,162440000,150710000
Cuba,1920000,1460000,290000,-1210000,3160000,3960000,4900000,5060000,4300000,8360000,11120000,14230000,18600000,23230000,58290000,66280000,110690000,142280000,139870000,117170000,71700000,32790000,40190000,32350000,32550000,45780000,37410000,61570000,34580000,106600000,78510000,55010000,33780000,66360000,68500000,87120000,78950000,98080000,120540000,91110000,75100000,90330000,101680000,100880000,125480000,102440000,106480000,97390000,123670000,114120000,129140000
