"ODA received, total (constant 2010 US$)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cyprus,224880000,168540000,119170000,93170000,38520000,51200000,12210000,9530000,5620000,22570000,37760000,33590000,37930000,36640000,92460000,116430000,196040000,295330000,134400000,74740000,120560000,112450000,77220000,47130000,43970000,83090000,67410000,74570000,73850000,67400000,58240000,59000000,37480000,49390000,60860000,28130000,30110000,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,49130000,72100000,69240000,73580000,83470000,70610000,75960000,90660000,131480000,121930000,100090000,155160000,297510000,57220000,166120000,159900000,153800000,174510000,279320000,221950000,246510000,192140000,161060000,133810000,314560000,159080000,155220000,203310000,178220000,125280000,121730000,120450000,114990000,108190000,107960000,95860000,111570000,102330000,75220000,85640000,129470000,115410000,135960000,165840000,132240000
Dominica,,,,,,,,,,,,,,420000,17120000,31250000,17330000,18610000,23720000,24740000,42270000,37400000,41610000,25750000,41320000,44660000,26310000,30020000,31850000,41510000,30290000,26410000,17680000,13590000,24020000,30010000,56140000,18500000,27380000,12450000,20880000,29910000,42550000,14170000,35020000,24330000,21850000,19960000,21160000,35670000,32450000
Dominican Republic,1320000,1150000,120670000,278210000,132110000,437270000,284720000,319240000,354570000,227480000,214440000,150490000,130300000,107210000,82350000,104850000,109490000,106690000,140930000,196260000,287700000,247940000,301230000,229510000,394960000,427630000,184380000,223740000,191280000,237870000,154190000,98400000,88850000,-2370000,84920000,134070000,127990000,104380000,175610000,263150000,86290000,154040000,211780000,91250000,102150000,92560000,73340000,130430000,149320000,116620000,175160000
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,34880000,60250000,74510000,108850000,121500000,125000000,153240000,158380000,145070000,115520000,135460000,142660000,121810000,157060000,185720000,256170000,272150000,176850000,123530000,176660000,104920000,144550000,135160000,160330000,343680000,322520000,291040000,415380000,304540000,279370000,243800000,356310000,335110000,345880000,298780000,278470000,326150000,215130000,257220000,214380000,222150000,280220000,327050000,225170000,186220000,260400000,210060000,221970000,219170000,202930000,150520000
Egypt,1491450000,687630000,1117930000,1308310000,1514160000,807290000,614210000,264930000,255430000,70860000,1102530000,806850000,729520000,4102480000,5672730000,9224240000,8526040000,8523000000,7605780000,3985590000,3252320000,2940840000,3235060000,3135180000,3806820000,3615890000,3117760000,3027680000,2478610000,2708630000,9252650000,7964730000,5233480000,3517490000,3839580000,2561930000,2817530000,2748000000,2730530000,2226340000,1964300000,1883260000,1741660000,1272490000,1790480000,1173120000,995680000,1159280000,1700380000,984570000,592410000
El Salvador,3870000,42540000,36630000,79480000,79150000,85290000,118080000,86010000,77930000,67870000,74510000,65900000,86380000,100110000,120190000,137070000,103250000,147260000,154300000,150640000,225170000,377290000,462230000,594190000,515520000,676530000,620150000,732130000,696160000,722660000,531890000,438600000,580770000,577920000,421880000,366500000,378680000,376510000,256160000,250600000,253840000,367540000,346980000,245110000,254630000,237030000,184540000,114440000,228240000,270090000,283450000
Equatorial Guinea,,,,,,,,,,,,,,4670000,66010000,8010000,1490000,2740000,1680000,6910000,21380000,25920000,38140000,29490000,41130000,45510000,43660000,105370000,83950000,105050000,95110000,94600000,87710000,80750000,44490000,45640000,43030000,38100000,35190000,31760000,38670000,24690000,33330000,28670000,35310000,44730000,29370000,31540000,30200000,30360000,84710000
Eritrea,,,,,,,,,,,,170000,,2860000,8930000,5950000,,6930000,14070000,10560000,10970000,13630000,11130000,11200000,11490000,,2080000,3620000,3370000,,6880000,,1400000,111110000,230250000,205560000,218590000,178960000,243620000,223380000,274620000,456500000,335610000,408300000,315010000,398880000,141900000,163000000,141470000,144710000,160540000
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,138350000,164410000,171200000,161670000,107980000,138030000,160430000,183860000,281760000,233470000,251540000,247860000,232230000,298980000,501280000,479840000,500640000,364460000,395020000,483750000,488400000,624070000,518340000,890250000,1013120000,1876830000,1378050000,1188800000,1697550000,1278580000,1545170000,1637820000,1646980000,1577700000,1510420000,1151740000,1073780000,828810000,966360000,929540000,1037420000,1696840000,1937770000,2047190000,2123140000,2187730000,2237120000,2572300000,3244400000,3846760000,3525210000
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,10420000,9410000,97660000,39410000,29590000,35460000,32170000,21770000,51680000,70680000,52090000,69540000,49430000,77840000,69750000,83130000,104650000,92670000,88420000,91070000,90880000,101650000,91280000,88330000,86250000,91760000,102030000,73510000,100310000,78450000,86020000,75830000,105890000,96680000,62930000,62830000,63930000,65770000,60430000,52720000,46580000,45110000,55730000,72520000,83400000,83040000,70160000,56820000,48860000,77110000,76400000
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,102340000,112050000,129980000,129460000,139200000,130320000,156160000,234700000,170690000,254360000,276890000,279940000,256190000,347760000,343420000,363990000,463890000,503130000,521280000,508510000,536190000,539490000,583060000,526030000,393050000,475560000,459420000,492730000,527130000,574170000,519620000,534160000,538790000,532590000,,,,,,,,,,,
Gabon,190000,5750000,25890000,34510000,118750000,103350000,102090000,112480000,96080000,133920000,167230000,156920000,157380000,200490000,109860000,217110000,125970000,92380000,123050000,91610000,121550000,107130000,165100000,178960000,224520000,177610000,170420000,151730000,187320000,239370000,200160000,218340000,96730000,149130000,259740000,189330000,164400000,57360000,65220000,71760000,19440000,12320000,113090000,-14750000,47210000,70050000,32690000,51890000,58750000,75070000,104000000
Gambia,5210000,13400000,22900000,45520000,21850000,34320000,26700000,23130000,43190000,25830000,9360000,20190000,26220000,31380000,45190000,31970000,41630000,73730000,101840000,88460000,123200000,170220000,116670000,100750000,134790000,124130000,222310000,190390000,146130000,177060000,150180000,149780000,153510000,121440000,93580000,57460000,47040000,54380000,55560000,47840000,73420000,80490000,95230000,80060000,71280000,69370000,84390000,100110000,91550000,128490000,120200000
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330000,34400000,149620000,256930000,270060000,401390000,337880000,297430000,343960000,238030000,422830000,431980000,290700000,366870000,334290000,396630000,390790000,875270000,906920000,625190000
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,20080000,19950000,45870000,118360000,150670000,301180000,394240000,316190000,420710000,448200000,349320000,321160000,287320000,183340000,147720000,454570000,221770000,296420000,332500000,438830000,438740000,351780000,363780000,283930000,573720000,511780000,765790000,753330000,970060000,1209190000,852600000,1294260000,862360000,889090000,724040000,795870000,833150000,679850000,979520000,828200000,849730000,980490000,995430000,1247610000,1620740000,1306180000,1366160000,1180390000,1264920000,1591340000,1692540000
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,230000,8930000,10470000,9430000,11560000,7820000,7460000,7590000,15810000,15510000,19860000,58040000,71200000,48160000,36540000,36130000,25690000,21360000,23930000,18310000,11500000,26190000,12770000,14690000,12080000,8500000,14200000,22750000,15970000,14560000,13470000,19010000,58970000,29670000,23920000,32060000,47800000,33840000
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,94070000,82170000,55000000,71500000,72620000,91090000,63180000,102710000,89950000,95330000,115970000,98550000,124190000,111840000,98740000,136330000,221230000,192790000,202070000,168770000,169410000,179380000,149950000,170380000,150150000,177790000,255070000,420100000,396090000,440500000,309780000,292500000,280930000,301600000,298140000,262750000,249760000,378300000,341530000,412810000,372880000,353500000,369330000,319040000,259090000,300400000,548080000,467890000,510440000,373260000,393520000
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,1470000,21070000,75420000,165890000,86490000,140850000,84590000,46780000,35200000,82600000,66490000,51490000,24110000,56250000,80300000,87790000,34720000,71230000,172280000,144650000,208350000,269760000,291500000,176080000,326230000,303020000,363260000,397880000,432740000,636850000,444730000,565690000,628110000,591230000,496530000,514580000,388760000,543510000,512400000,337420000,225690000,442730000,370540000,326250000,327120000,227870000,190890000,235600000,318770000,210220000,217700000
Guinea-Bissau,,9720000,,,,,23320000,5200000,,840000,,1210000,,40000,41760000,75510000,85040000,128570000,142980000,132130000,131760000,156180000,164590000,169430000,155760000,153570000,150190000,204660000,174450000,212880000,197180000,170990000,151930000,140030000,270300000,149880000,244690000,178590000,137710000,78790000,135490000,103650000,93770000,198390000,90150000,76350000,97330000,124160000,127640000,143410000,139330000
Guyana,72800000,83870000,71040000,50630000,39480000,47800000,61130000,70000000,95540000,107770000,103400000,85330000,60810000,35030000,49870000,36940000,76890000,35240000,86060000,92150000,99940000,162080000,97960000,76060000,60030000,69090000,63330000,52180000,47290000,76170000,259140000,192710000,129500000,158190000,112280000,111180000,185150000,348870000,125300000,120550000,166650000,165250000,101430000,123030000,167390000,170210000,193640000,132030000,162540000,173120000,153210000
