Lung Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Panama,,,,,,5.55,6.04,9.06,7.05,5.27,5.82,8.81,6.65,6.91,6.43,9.61,7.92,6.91,7.12,7.02,8.85,8.42,10.82,9.6,10.65,11.24,10.54,12.24,11.43,13.92,16.07,12.38,13.87,14.22,13.9,12.69,16.49,13.53,14.39,15.17,,,,,,,12.84,11.35,12.45,12.34,10.88,11.56,12.62
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6
Poland,,,,,,,,,,14.61,17.49,18.87,20.81,23.52,26.36,27.8,30.08,31.85,34.15,34.14,35.96,39.2,39.57,42.75,43.89,45.43,48.18,48.13,50.81,52.44,55.26,57.12,57.58,61.71,63.56,65.15,66.27,66.75,68.99,69.38,71.08,72,70.32,71.98,71.3,72.2,70.35,,,67.69,68.06,68.63,68.73
Portugal,,,,,,7.8,6.78,8.14,7.58,8.37,8.82,9.04,9.71,10.3,10.29,10.93,12.63,11.16,13,13.22,14.06,15.1,14.49,15.21,14.73,16.67,16.99,17.06,19.31,20.11,21.2,20.28,21.25,21.76,22.47,24.46,24.56,25.99,24.68,24.17,26.25,25.8,25.78,29.09,27.83,27.8,29,28.31,29.64,27.54,28.43,28.36,28.87
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
Romania,,,,,,,,,,18.21,19.19,23.51,24.56,25.47,26.21,27.34,26.72,24.93,25.43,27.46,27.3,28.37,28.38,28.56,29.13,29.72,30.97,30.98,32.08,,33.15,32.51,32.95,33.28,34.13,35.72,37.79,37.78,39.62,38.8,38.27,39.72,42.28,43.02,44.6,45.17,44.39,45.05,45.59,44.13,46.87,47.26,47.02
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.61,60.52,62.24,64.17,64.85,66.26,68.48,69.37,71.39,72.31,72.73,73.02,73.21,73.88,72.27,68.58,64.72,63.97,62.79,61.75,60.44,57.57,56.75
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Singapore,,,,,,,,,,,,,,32.4,29.76,30.84,29.98,31.4,31.88,30.45,36.45,39.2,42.78,37.62,43.76,44.32,49.2,50.87,49.61,60.07,55.16,55.89,51.17,55.28,51.12,50.42,46.22,54.99,43.41,53.68,46.73,48.11,45.74,40,40.46,40.14,39.06,37,37.83,37.45,33.04,30.77,30.49
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.78,65.89,62.24,66.18,62.02,61.21,62.82,59.62,61.17,56.42,52.55
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38,57.37,56.87,60.47,57.56,63.79,58.48,60.82,63.3,61.21,62.91,58.8,55.54,55.97,54.47,52.27,51.07,48.75
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.35,30.58,27.72,28.25,26.49,27.15,27.93,25.25,25.75,24.88
Spain,,7.16,9.11,9.18,10.51,12.11,13.01,13.43,13.67,14,16.64,17.08,18.55,18.38,18.74,19.56,20.25,20.67,21.94,21.72,22.24,23.26,23.97,24.94,26.22,28.71,28.75,30.17,31.97,33.34,33.25,35.64,36.31,37.27,39.37,39.89,40.27,42.56,44.56,45.31,45.6,46.22,47.15,47.81,48.17,48.63,47,46.69,47.44,47.45,46.01,46.67,45.1
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
Sweden,,9,8.67,9.94,10.25,11.04,11.02,11.84,13.44,13.5,14.25,15.2,15.75,15.18,16.73,17,17.37,18.3,18.19,19.84,19.73,21.67,22.49,22.65,23.51,23.86,24.18,26.02,25.21,26.12,24.52,23.63,23.54,23.57,24.4,24.42,22.63,23.61,23.87,22.56,23.65,24.14,23.46,22.3,22.96,22.4,21.5,22.23,21.16,21.62,20.9,20.63,20.27
Switzerland,,23.61,22.6,25.06,26.02,27.28,27.02,29.16,28.36,31.61,31.89,31.92,32.94,35.76,34.84,35.66,38.59,39.81,40.04,41.4,41.07,43.14,43.25,45.39,46.17,48.6,47.86,48.89,48.78,49.48,48.04,48.62,49.3,49.83,47.12,48.49,48.15,45.09,45.49,44.21,45.01,44.41,44.07,43.11,41.63,37.26,37.4,36.73,36.86,33.63,35.42,34.71,31.85
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05,16.77,,,17.62,19.31,20.77,20.66,21.25,14.66,15.34,15.83,11.27,9.09,6.5,6.56,6.67,7.05,7.34,4.82,5,6.48
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Thailand,,,,,,,,0.94,1.01,1.17,1.16,1.13,1.59,1.89,1.8,2,1.68,1.75,1.75,1.94,2.55,2.6,2.24,3.51,3.8,4.55,3.13,3.83,4.25,5.14,5.44,5.5,6.21,5.68,4.79,4.31,4.17,5.02,,,6.01,6.53,6.43,,7.41,8.11,8.14,7.85,9.03,10.52,13.18,,15.92
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Trinidad and Tobago,,2.13,3.2,2.14,4.79,5.71,5.95,5.69,8.39,,9.39,6.27,14.31,10.17,,,12.4,11.98,6.32,,13.42,14.68,11.27,9.99,13.56,15.67,10.76,11.55,11.44,11.42,11.76,9.4,15.42,15.8,15.39,14.81,17.97,19.96,21.64,15.4,13.26,13.88,18.1,15.47,13.52,13.83,16.99,14.32,16.96,16.38,14.96,16.88,14.89
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.87,50.2,,,54.49,56.44,59.25,61.7,63.28,63.5,63.39,63.14,61.62,60.08,57.64,53.62,52.24,52.11,50.82,50.64,48.05,47.16
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
United Kingdom,38.19,40.98,43.74,46.9,50.31,52.46,55.08,57.38,58.89,61.96,63.72,65.01,66.85,68.11,69.31,70.84,71.05,72.82,72.77,73.96,73.75,73.38,74.22,74.24,74.59,72.74,73.58,72.42,72.28,71.91,70.82,69.04,67.62,68.24,66.58,65.9,63.42,61.71,60.96,58.56,57.43,56.33,54.32,51.72,49.9,47.76,45.61,43.38,42.74,40.62,39.23,38.15,37.58
United States,17.31,18.47,19.91,21.66,22.58,24.08,25.93,27.05,27.93,29.32,30.75,32.27,33.8,34.92,36.24,37.56,39.13,40.53,43.08,43.99,45.33,46.44,48.11,48.76,49.99,50.68,51.76,52.84,53.85,54.24,55.24,55.2,55.88,55.53,56.08,56.03,55.83,56.33,55.88,55.58,55.95,55.28,54.22,54.07,52.74,51.66,50.56,49.37,48.49,46.54,46.15,45.16,44.11
Uruguay,,,,,,28.2,35.92,34.96,32.3,37.06,38.28,,,37.46,41.85,41.85,42.86,44.97,42.6,42.94,43.48,45.16,42.9,44.25,42.31,47.91,46.84,47.13,50.21,,48.43,51.34,53.03,53.42,54.05,53.16,55.25,55.76,56.99,52.42,56.25,,,52.35,50,56.52,49.31,50.75,49.57,46.71,48.15,47.91,46.16
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.03,20.07,,,19.72,22.85,24.59,21.21,22.29,20.3,19.85,18.79,17.3,14.82,15.45,13.83,13.75,12.56,11.49,10.93,,10.98
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
Venezuela,,,,,,9.09,9.97,8.52,10.04,9.81,9.04,9.92,11.28,10.49,12.22,13.18,13.65,11.81,12.32,12.01,14.13,14.27,14.9,11.98,14.38,15.47,14.45,16.05,14.36,15.23,14.88,15.29,15.4,16.92,,15.53,15.12,17.13,17.09,15.82,18.76,,18.79,17.67,18.85,,17.26,18.1,17.44,17.45,16.41,17.18,16.86
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
