Lung Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Chile,,,,,,11.26,12.3,11,10.8,12.53,12.77,12.04,12.39,13.87,13.2,13.37,14.09,15.43,16.18,17.19,16.78,17.26,17.45,19.43,17.14,18.26,19.18,20.28,19.38,19.97,21.26,20.6,22.33,22.52,21.52,22.88,21.22,20.61,20.95,20.87,21.16,23.43,22.34,21.6,20.4,21.5,21.86,19.75,20.03,19.32,19.03,19.55,18.89
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.24,32.77,35.81,38.3,36.3,37.36,36.97,37.58,38.83,38.5,39.5,41.2,40.81,41.7,,36.7
Colombia,,,,5.33,3.65,3.67,4.56,4.79,3.83,5.11,5.26,4.84,5.58,5.89,6.53,5.83,6.35,7.01,6.68,6.47,,,7.02,,7.53,7.59,8.94,8.61,,,,,,,11.84,12.86,13.22,13.79,13.18,13.5,13.23,13.91,13.5,13.77,13.76,13.81,13.97,13.93,13.24,14.08,,14.06,14.41
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Costa Rica,,,,,,,,,,,,2.73,4.99,3.94,5.77,4.17,4.76,5.09,7.87,4.99,5.02,4.84,8.19,6.19,7.47,9.54,8.98,9.11,9.32,8.83,10.19,12.61,12.55,13.03,14.21,13,10.89,12.72,14.22,12.79,13.38,11.1,12.31,13.12,12.44,11.26,13.91,12.17,10.57,12.18,11.26,11.11,9.7
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.36,61.16,66.38,68.88,67.04,68.41,66.02,62.2,61.18,59.73,57.07,59.75,61.66,62.57,61.28,58.44,61.9,58.98
Cuba,,,,,,,,,,,,,,,34.95,,,,34.62,36.34,38.54,39.17,39.65,40.06,39.06,36.96,39.99,39.53,36.81,38.4,37.08,38.17,37.46,37.11,38.47,37.18,37.67,37.08,38.33,36.39,36.57,36.59,35.98,33.47,34.66,34.71,35.52,34.36,35.08,33.96,33.71,33.43,35.8
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.43,77.85,78.65,75.84,77.83,75.43,75.67,73.28,68.41,70.02,66.19,65.6,61.26,61.74,61.98,58.58,57.02
Czechoslovakia,,,,28.43,31.58,34.97,36.65,38.54,41.06,44.11,47.27,50.48,52.08,55.23,56.64,57.88,60.53,62.11,59.99,61.08,61.8,63.54,62.23,63.52,65.52,66.35,65.76,67.65,68.63,67.55,70.23,69.6,69.95,71.64,72.73,72.65,74.95,73.76,74.68,73.58,74.79,72.66,,,,,,,,,,,
Denmark,,15.82,18.34,18.08,18.64,21.56,23.68,24.69,23.84,28.82,29.27,32.26,31.2,35,35.72,38.26,37.57,39.6,40.71,41.74,40.76,44.27,48.78,45.12,47.2,46.36,46.9,48.11,52.35,52.93,52.84,54.48,54.51,54.66,54.9,55.83,54.55,54.03,52.91,53.82,52.46,48.33,49.02,51.92,49.18,49.72,48.44,46.44,43.19,43.81,44.2,42.15,40.1
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Dominican Rep.,,,,,,,,,,,,,,,,3.51,2.77,3.9,4.46,3.11,3.7,4.13,4.56,3.57,3.65,3.52,3.9,4.2,3.96,3.84,4.8,5.81,6.06,6.69,6.56,6.47,5.67,6.21,6.27,6.17,6.42,5.25,5.68,,5.81,5.21,6.65,6.72,7.38,8.29,7.05,7.19,6.985
Ecuador,,,,,,,,,,,,2.64,,3.49,2.83,,,,2.57,4.13,3.55,3.92,3.86,3.16,3.68,3.36,,3.96,4.15,5.48,5.2,5.37,5.98,6.35,6.23,7.39,6.38,6.73,6.52,6.52,7.31,7.25,7.47,7.43,6.28,7.14,6.57,6.98,7.05,6.1,6.53,6.44,7.18
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
El Salvador,0.42,1.82,0.76,1.25,1.36,0.87,2.22,1.74,1.65,1.82,1.44,2.57,0.39,1.31,1.58,1.17,0.83,1.55,1.3,1.34,1.48,1.01,1.65,2.63,2.63,,,,,,,2.06,2.01,2.19,2,,,,,,3.75,2.6,3,3.78,,2.43,4.68,4.09,3.95,3.4,4.74,5.54,5.95
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
