Total long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Armenia,,,,,,,,,,,,,,,,,,,,,,30.5,,,,,,
Aruba,,,,,,,,,,,,,,,0.8999999762,,,2.400000095,,,,,,,,,,
Australia,1.200000048,1.100000024,1.299999952,2.5,2.799999952,2.5,2.200000048,2.299999952,2,1.5,1.5,2.299999952,3.599999905,4,3.5,2.700000048,2.400000095,2.599999905,2.299999952,2,1.600000024,1.5,1.399999976,1.299999952,1.100000024,0.8999999762,0.8999999762,0.6999999881
Austria,,,,,,,,,,,,,,,1,1.299999952,1.299999952,1.399999976,1.600000024,1.399999976,1.200000048,0.8999999762,0.8999999762,1.100000024,1.399999976,1.299999952,1.299999952,1.200000048
Bahamas,,,,,,,,,,,,3.799999952,5.5,5,5.800000191,4.099999905,4.300000191,3.599999905,2.900000095,2.400000095,,,,,,,,
Barbados,,,,,,,,,,,,,13.39999962,15,13,14.10000038,8.699999809,8.5,6.800000191,5.099999905,4.699999809,4.599999905,,,,,,
Belgium,,,,7.5,8,7.699999809,7.800000191,8.199999809,7.699999809,6.199999809,4.900000095,4.300000191,4,4.300000191,5.599999905,5.800000191,5.800000191,5.400000095,5.699999809,5.199999809,3.700000048,3.200000048,3.400000095,3.5,3.700000048,4.199999809,4.599999905,3.799999952
Belize,,,,,,,,,,,,,,3.799999952,4.5,5.599999905,6.199999809,6.5,7.400000095,6.900000095,,,,,,,,
Botswana,,,,,,,,,,,,,,,,8.100000381,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,8.800000191,9,7.800000191,6.400000095,8.399999619,8,8.300000191,,,,,,,,
Canada,0.400000006,0.400000006,0.8000000119,1.399999976,1.299999952,1.299999952,1,0.8999999762,0.6999999881,0.6000000238,0.6000000238,0.8999999762,1.5,1.799999952,1.799999952,1.5,1.600000024,1.399999976,1.100000024,0.8999999762,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.6000000238,0.5,0.400000006
Chile,,,,,,,2.700000048,2.299999952,1.799999952,1.299999952,1.200000048,1.399999976,3,2.799999952,4.199999809,3.400000095,,,,,,,,,,,,
Costa Rica,0.400000006,0.8999999762,1.399999976,1.399999976,0.8999999762,0.8999999762,1.200000048,0.6999999881,0.8000000119,0.3000000119,0.5,0.400000006,0.5,0.400000006,0.3000000119,0.400000006,0.6999999881,0.8000000119,0.6000000238,0.6999999881,0.6999999881,0.6999999881,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,9.100000381,8.899999619,8.600000381,,,,,
Czech Rep.,,,,,,,,,,,,,,0.6999999881,0.8999999762,1.100000024,1.100000024,1.299999952,1.899999976,3.099999905,4.099999905,4.199999809,3.700000048,3.900000095,4.300000191,4.199999809,3.900000095,2.799999952
