Total agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,21.10000038,,21.10000038,20.70000076,,,
American Samoa,,,,,,,,,,,2.200000048,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,5.099999905,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,2.299999952,,2.900000095,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,2.599999905,,,,,,
Argentina,,,0.1000000015,0.3000000119,0.3000000119,,,,,,0.400000006,0.3000000119,0.400000006,0.5,0.5,0.6000000238,0.8000000119,0.8000000119,0.8000000119,0.6999999881,0.6999999881,0.8000000119,1,1.399999976,1.200000048,1.100000024,0.8000000119,
Armenia,,,,,,,,,,,,,,,,,,,,,,5.400000095,45.29999924,46,46.90000153,46.20000076,46.20000076,
Aruba,,,,,,,,,,,,,,,0.1000000015,,,0.5,,,,,,,,,,
Australia,6.5,6.5,6.400000095,6.599999905,6.199999809,6.199999809,6,5.699999809,5.800000191,5.300000191,5.5,5.300000191,5.199999809,5.400000095,5.099999905,5,5,5.099999905,4.900000095,5,5,4.800000191,4.5,3.900000095,3.799999952,3.599999905,3.5,3.400000095
Austria,,,,9.899999619,9.399999619,9,8.600000381,8.600000381,8.100000381,7.900000095,7.900000095,7.400000095,7.099999905,6.900000095,7.199999809,7.400000095,7.199999809,6.699999809,6.599999905,6.199999809,5.900000095,5.699999809,5.699999809,5.599999905,5,5.5,5.5,5.699999809
Azerbaijan,,,,33.40000153,33.40000153,33.20000076,33.09999847,33.70000076,32.70000076,31.60000038,30.89999962,31.79999924,34.70000076,32.40000153,31.5,30.79999924,31.79999924,29,42.29999924,42.29999924,41,40,40.20000076,38.20000076,39.5,39.29999924,39.5,38.59999847
Bahamas,,,,,,,5,,,4.400000095,,5.199999809,5.199999809,5.400000095,5.400000095,4.300000191,5,3.799999952,3.5,4,,4.199999809,3.700000048,3,4.400000095,3.5,2.5,2.299999952
Bahrain,,2.700000048,2.599999905,,,,,,,,,2.400000095,,,,,,,,,,1.5,,,,,,
Bangladesh,,,,,58.79999924,57.70000076,57.09999847,,,64.90000153,,66.40000153,,,,,63.20000076,,,,62.09999847,,,51.70000076,,48.09999847,,
Barbados,,9.399999619,8.600000381,8,9.100000381,8.5,8.199999809,8,7.800000191,6.599999905,6.300000191,5.5,6.199999809,5.599999905,5.300000191,4.599999905,5.300000191,5.300000191,4.400000095,4.300000191,3.700000048,4.199999809,4,4.599999905,3.299999952,,,
