Water resources: total internal renewable per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Fiji,67661.724,58522.326,52628.668,47795.945,42859.566,39762.566,38653.478,36455.061,35131.629,34260.137
Finland,23808.1,23344.78,23038.65,22578.41,22170.65,21672.43,21252.97,20817.61,20566.98,20337.39
France,3804.56,3594.36,3460.49,3354.05,3280.62,3195.56,3112.06,3046.85,2982.52,2910.48
French Guiana,3815924.36,3102857.4,2625854.87,2227578.75,1785357.4,1351419.49,1066191.38,900386.35,760939.93,679599.34
French Polynesia,118757.79,100293.86,84527.99,72447.49,62401.32,54711.77,49114.7,44652.62,40963.62,38573.25
Gabon,333798.75,321784.41,296950.82,260764.48,227396.88,195870.94,168483.34,147938.73,133598.24,125112.52
Gambia,7860.58,6804.14,5830.79,4929.64,4187.59,3500.08,2890.83,2406.24,2030.7,1803.93
Georgia,,,,,,,10902.444,11895.932,12599.598,13113.072
Germany,1444.6,1389.12,1362.19,1361.26,1373.26,1369.26,1330.7,1303.76,1297.2,1294.75
Ghana,4006,3553.54,3172.92,2829.31,2495.93,2116.01,1837.55,1612.55,1436.44,1316.9
Gibraltar,,,,,,,,,,
Greece,6879.29,6708.29,6538.37,6253.8,5921.19,5795.1,5607,5363.95,5254.38,5214.64
Greenland,17122898.68,14264424.1,12508037.91,12097987.68,11781946.07,11095164.49,10819636.83,10813815.86,10640550.55,10433428.49
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,24995.59,21851.28,19073.28,16745.58,14814.98,13133.24,11702.82,10428.38,9260.06,8381.57
Guinea,69807.51,62745.15,58135.22,53843.06,46977.98,41274.49,34558.04,29268.18,26545.76,24615.15
Guinea-Bissau,28770.82,28356.22,26546.1,22700.21,19133.03,17086.89,14776.98,12691.88,10989.9,9723.31
Guyana,401506.73,357527.51,333856.05,323136.43,316224.41,324189.22,329240.81,326581.27,327368.25,326087.69
Haiti,3231.215,2923.661,2665.631,2434.418,2183.981,1948.75,1758.291,1600.095,1468.207,1377.31
Holy See,,,,,,,,,,
Honduras,44822.97,38580.9401,33728.1747,29023.5191,24822.5619,21368.0791,18571.2584,16468.6505,14882.0761,13765.7208
Hungary,597.28,586.81,576.21,564.9,561.39,572.24,580.31,582.93,590.3,596.51
Iceland,929708.56,862970.44,810596.88,764945.68,729203.75,688716.39,654143.03,623267.68,592373.71,569649.73
India,2715.273,2447.297,2196.438,1961.769,1748.93,1563.947,1404.346,1271.329,1165.117,1094.454
Indonesia,28319.95,25272.39,22465.18,20044.61,18006.4,16341.23,15035.23,13971.93,13050.31,12400.35
Iran,5612.1,4871.87,4210.38,3626.42,3005.57,2472.08,2171.03,2010.46,1907.01,1828.65
Iraq,4508.14,3842.55,3254.21,2750.18,2350.72,2055.26,1789.86,1529.56,1338.32,1234.83
Ireland,17261.26,16912.99,16167.34,14973.44,14104.98,13860.6,13859.21,13344.65,12482.4,11608.02
Israel,327.109,277.852,244.081,212.381,192.122,177.22,155.289,131.985,118.39,110.132
Italy,3582.07,3455.28,3348.35,3262.52,3226.44,3224.04,3205.68,3177.17,3143.57,3104.86
Jamaica,5601.3032,5212.7013,4885.0273,4565.0463,4273.3955,4034.2248,3900.22,3718.7554,3578.0516,3484.766
Japan,4483.01,4261.97,4012.08,3775.82,3626.56,3523.07,3457.35,3408.63,3373,3360.6
Jordan,708.6634,524.9254,384.7703,334.228,283.948,236.1681,185.8961,150.1808,134.9169,119.0441
Kazakhstan,,,,,,,4590.777,4874.085,5050.418,4924.794
Kenya,2395.11,2034.39,1709.84,1422.75,1177.91,978.72,827.33,715.92,628.93,566.29
Kiribati,,,,,,,,,,
Kuwait,,,,,,,,,,
Kyrgyzstan,,,,,,11641.6,10372.542,9832.668,9184.69,8833.105
Laos,91168.151,80562.149,70510.309,63731.531,58811.048,51129.84,44030.3,38713.221,35247.153,33062.46
Latvia,,,,,,,6409.122,6875.231,7138.528,7312.933
Lebanon,2389.08,2099,1865.96,1730.61,1699.61,1655.58,1519.76,1321.91,1240.56,1183.63
Lesotho,5930.572,5385.711,4857.637,4345.77,3825.851,3420.39,3176.49,2925.569,2707.392,2621.701
Liberia,180271.77,157178.82,136132.39,117522.2,99639.75,91267.85,96545.5,80759.65,61595.29,55882.7
Libya,413.45,341.07,276.5,223.7,177.53,146.92,131.89,119.27,107.75,99.36
Liechtenstein,,,,,,,,,,
Lithuania,,,,,,,4213.025,4348.906,4487.346,4565.529
Luxembourg,3115.34,2988.13,2883.46,2757.28,2743.12,2695.11,2554.43,2379.47,2246.83,2167.51
Madagascar,59691.85,52563.15,46151.81,40395.01,35159.74,30509.45,26415.26,22756.07,19655.92,17589.63
Malawi,4365.541,3867.049,3366.131,2860.311,2465.233,1981.68,1647.854,1521.585,1316.492,1189.325
Malaysia,66886.72,57746.47,50843.85,45197.37,40092.53,34921.54,30386.57,26767.56,23909.34,22210.53
Maldives,292.8,264.117,235.745,206.843,179.014,153.158,130.994,115.965,106.468,99.902
Mali,14397.94,13102.53,11793.29,10546.31,9458.65,8423.06,7432.34,6513.64,5656.78,5013.21
Malta,163.26609,166.3603,167.2357,162.55922,151.77562,143.92754,137.45798,131.99094,128.04941,124.76899
Marshall Islands,,,,,,,,,,
Martinique,,,,,,,,,,
Mauritania,426.49,375.85,329.72,288.37,252.31,221.78,195.08,169.91,147.01,131.42
Mauritius,3939.1613,3506.0798,3227.9222,2983.016,2782.0645,2668.5938,2542.8522,2391.3795,2276.063,2198.1165
Mayotte,,,,,,,,,,
Mexico,10130.45,8644.62,7379.52,6366.55,5645.95,5133.67,4699.1,4296.05,4020.28,3882.58
"Micronesia, Fed. Sts.",,,,,,,,,,
