Whole country all new case detection rate (%),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Japan,,,,,,87,87,86,90,85,88,85,85,87,87,86,85,88
Jordan,,,,,,86,84,78,81,86,73,85,77,80,79,84,82,76
Kazakhstan,,,,,,102,117,112,109,107,108,106,111,108,107,107,102,108
Kenya,,,,,,44,46,44,47,48,49,54,56,60,64,69,77,80
Kiribati,,,,,,,123,9,78,69,59,52,55,80,88,94,107,95
Kuwait,,,,,,56,69,89,93,85,83,80,91,88,86,78,97,96
Kyrgyzstan,,,,,,92,91,100,53,101,89,,93,25,88,92,89,88
Laos,,,,,,12,17,23,25,28,26,27,30,31,35,42,44,43
Latvia,,,,,,95,91,92,89,82,86,89,83,87,87,86,86,89
Lebanon,,,,,,61,56,55,60,61,56,58,57,53,58,58,51,62
Lesotho,,,,,,84,65,71,68,,81,,82,93,85,82,90,17
Liberia,,,,,,30,16,,28,,20,22,42,30,49,37,45,
Libyan Arab Jamahiriya,,,,,,108,97,,73,134,112,,156,168,149,193,188,200
Lithuania,,,,,,94,95,98,97,91,87,87,83,97,91,97,94,86
Luxembourg,,,,,,,58,55,62,5,64,51,51,92,54,64,58,68
Madagascar,,,,,,41,42,,43,,,42,41,45,44,40,44,42
Malawi,49,51,45,49,51,47,50,47,49,50,46,51,47,48,50,47,48,49
Malaysia,,,,,,50,53,55,57,60,59,58,55,58,54,56,58,57
Maldives,,,,,,93,91,77,82,75,66,72,69,79,70,76,64,88
Mali,,,,,,12,13,18,14,14,13,,13,13,13,12,13,13
Malta,,,,,,34,88,35,54,78,59,61,91,24,72,84,122,152
Mauritania,,,,,,60,,58,31,50,40,,,,36,22,26,28
Mauritius,,,,,,45,,,45,60,52,41,48,46,47,43,39,36
Mexico,,,,,,28,28,64,47,45,49,61,55,61,57,75,76,83
"Micronesia, Fed. Sts.",,,,,,64,61,66,75,,64,72,97,79,94,79,90,127
Mongolia,,,,,,60,79,69,56,64,59,67,72,73,83,83,89,81
Morocco,,,,,,86,93,89,87,91,89,89,91,87,86,89,90,89
Mozambique,,,,,,41,39,36,34,32,28,28,29,31,32,34,36,39
Myanmar,,,,,1,22,27,20,17,23,36,50,67,88,113,125,142,149
Namibia,,,,,,19,109,103,103,83,81,89,83,86,88,86,85,87
Nauru,,,,,,,,,,135,90,90,90,90,,90,90,90
Nepal,,,,,,40,46,47,47,53,57,57,58,59,61,64,62,63
Netherlands,,,,,,156,99,91,76,94,89,103,99,97,102,88,79,74
Netherlands Antilles,,,,,,,25,74,39,24,32,59,99,62,76,,35,
New Caledonia,,,,,,115,171,,,83,61,69,89,85,87,88,77,82
New Zealand,,,,,,79,88,95,86,89,82,80,85,96,93,87,100,90
Nicaragua,,,,,,67,73,69,66,68,65,68,60,69,70,62,66,79
Niger,,,,,,15,,27,32,23,26,27,26,34,30,34,34,35
Nigeria,,,,,,6,8,7,7,7,7,12,9,10,12,13,15,17
Niue,,,,,,84,90,0,,180,0,0,45,0,0,0,0,
Northern Mariana Islands,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90
Norway,,,,,,60,62,61,70,71,75,98,86,118,104,101,105,108
Oman,,,,,,91,90,91,90,85,106,93,100,86,103,84,105,97
Pakistan,,,,,,4,2,,36,8,4,12,19,25,33,49,59,76
Palau,,,,,,90,90,90,,90,,,90,90,90,90,90,90
Panama,,,,,,95,75,74,110,101,81,117,104,105,109,103,101,97
Papua New Guinea,,,,,,66,25,62,88,99,71,84,72,79,76,73,81,94
Paraguay,,,,,,61,71,64,60,68,59,63,61,63,66,60,68,61
Peru,,,,,,79,68,69,76,72,73,73,74,67,74,79,85,84
Philippines,,,,,,95,97,75,58,54,48,40,46,52,50,52,56,54
Poland,,,,,,76,78,77,80,72,74,74,77,77,77,81,77,79
Portugal,,,,,,90,88,87,94,91,86,89,94,87,90,88,91,89
Puerto Rico,,,,61,64,61,53,66,57,64,65,53,66,58,65,60,64,61
Qatar,,,,,,76,67,59,71,66,69,68,67,67,63,70,64,68
"Korea, Rep.",,,,,,70,69,61,75,65,58,98,82,80,79,86,84,80
Moldova,,,,,,70,65,59,49,48,45,59,20,22,74,83,82,78
Romania,,,,,,88,88,84,83,79,79,82,83,79,82,77,77,78
Russian Federation,,,,,,78,82,79,78,79,81,78,78,78,78,78,76,75
