"Children out of school, primary, female",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,,,,,,,,26712,29607,29573,29712,25382,,,,23649,,,,12587,,,,20958,20612,19384,17556,16661,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,26537,,,,,,,,37858,42620,51837,53444,62179,52689,53963,53362,43150,40596,36907,38153,33050
Bahamas,,,,,,,,,,,,,,,,,,,,,,,1934,1782,,,,,,1636,2355,,,,1307,555,632,,,,,
Bahrain,,5793,5149,4871,4962,4482,5081,5309,5604,5220,4604,4606,5041,4281,3235,1870,775,751,288,,,,376,137,71,,,,,62,66,52,678,,,1450,157,,,,,
Bangladesh,3114264,,,2588194,,,2537915,2523467,2583204,,,2565382,,3019560,2917423,3132028,3276600,3440344,2577493,2625280,2386043,,,,,,,,,,,,,,,,,,,,,
Barbados,,2718,2392,2024,,,,,,,,262,619,,,,,,,,350,,1241,,,,,,,234,229,305,433,502,684,587,326,259,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,49027,,,,,,,,,,,,,,,,
Belgium,,,,,,,,21394,,17104,15262,19053,20298,31102,33502,34907,30138,23181,17283,,,13040,17063,9376,9341,6622,1839,,,2669,2166,2603,2561,3292,2600,2574,3152,2685,2784,2841,2657,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,2887,3306,3288,2989,2427,2226,2266,2014,2119,,,
Benin,,,,,,,,,,,,,,,223103,227579,237156,,252212,257630,289692,,280616,274647,272353,268316,262821,252872,,,,,,,,,,,,,,
Bermuda,,,,,,,,,591,643,,,,,182,138,,,,,,,,,,,,,,,,,,,,,,,,,224,277
Bhutan,,,,,,,,,26128,26359,,,,,,,,,,,,,,,,,,,26101,25843,24261,22539,,,,13464,10497,,6879,4794,4170,4505
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27744,26233,23574,30175,26803,25546,24057,,20356,28401,,38926,59597,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12045,11182,8568
Botswana,36460,39354,38956,38386,35910,31023,27798,24690,24604,23823,20382,16107,,13927,14656,13592,13981,13739,13558,13937,14785,12377,14487,16512,17628,32534,32456,,28112,29061,26725,23922,23321,22467,22830,21163,19699,20124,19600,18042,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524748,213947,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,190,244,1791,2253,3084,3687,3777,3846,,3634,,,,,1101,452,,52,,,,,,,,,,,,,,,,544,597
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,14446,11005,6742,4651,4913,4395,5381,4989,4917,8134,8889,4155,1446,334,325,
Burkina Faso,,409882,418116,,,,,475568,488632,501221,511408,520041,527739,537048,549894,559546,567584,580102,596861,613012,,633578,645551,655445,664901,671123,,,691047,702705,707934,712447,726257,730298,717265,690831,663905,618295,558005,530606,586994,530731
Burundi,,,,253401,,,,,274778,,280557,280557,278214,266095,256477,246625,240042,225592,216951,,,,,245521,,,,,,362081,332308,289736,298379,276441,257091,234785,116994,66246,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,259102,221545,192586,146664,,,58676,,,54228,49447,54787,,40420,28902
Cameroon,,245499,253367,270573,284302,259830,256851,271528,275077,278443,286951,,,,,,,,311892,,334602,357811,,,,,,,,,,,,,,,,,,,183056,
Canada,,,,,,,,,,,,,47510,53086,60033,60008,55299,55179,55375,60105,48561,27287,30749,54123,65201,74612,64035,,16491,974,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,2876,3251,4209,2513,2129,1993,1816,560,,,,,,,,,,,,,762,685,827,716,1183,1617,2111,2593,2696,2464,2413
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,90398,90078,89069,,,,100180,103357,,,104705,106495,111229,,,106186,128518,135656,138785,126359,136780,,,,,,,,,,,,,,184425,187479,168491,141506,142198,135036,140412
Chad,,,,,,270528,,282427,,,,,,,,,,,364850,,,,,,,,,417163,398287,390327,382834,378837,367283,364064,,,,,,,,367916
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40091,36488,47772,41311,
China,,,,,,,,,,,,,,,,,,,,,,,3034780,3732584,4051600,3806097,2969045,1970756,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,605417,,,,,476206,,,,,,,117838,77004,69179,114020,163384,,,74818,95673,116555,134916,149499,187588,215491
Comoros,,,,,,,,,,,,,,,,,,13947,,,,,,,19213,,,,,16207,13400,,,,,,,12706,,,,
"Congo, Dem. Rep.",,764686,802471,,,803918,,,,869039,,,,909330,914173,,,,1292559,,,1530906,1637570,1746365,1833183,1811088,,,,2826012,,,,,,,,,,,,
"Congo, Rep.",,,24515,,18534,,13712,,,,17221,19014,18303,17346,16497,,,,,,,,,,,,,,,,,,,,,112626,126305,,,,32488,30015
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,23981,,21638,19570,,15015,10644,,12741,15178,15276,14977,17994,,,24109,22631,23083,,24265,24856,24361,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,356125,,,,,,,,,,,,,,,,,,,657998,656892,,650310,676628,624400,641248,652911,,,,,,663809,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17657,8568,8382,7827,7161,6890,,77,159,107,164,5939,2660,
Cuba,,,41749,34831,29647,,,,,12181,19459,31427,37573,37009,40733,49609,44601,34539,34699,32851,32528,34683,24775,22112,12173,12670,5597,7344,8200,7834,11187,14216,16660,26356,26904,23390,16750,7613,3673,,1360,6678
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,715,1003,1217,1296,1138,,655,511,697,386,369,403,75,138,209,358,298,279,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,15949,19658,33941,35416,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,10242,8228,4221,2489,2269,3103,2461,2165,4273,4243,3161,4525,5131,2276,2564,3349,,113,3755,2815,,,,2522,6691,5806,4944,5497,5761,6081,
Djibouti,,,,,,,,,,,,,,,,24494,24939,26490,28508,30757,32730,,35911,37571,37859,37925,38838,40473,,44100,45284,45205,45345,44680,43632,42230,39959,37255,28829,29174,,26068
Dominica,,,,,,,502,424,,743,951,778,780,,,,,,,,,,,,,,,,,,,,,,,113,141,228,107,,90,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124389,90528,86198,,67769,79055,97879,87307,91228,58285,79022,51664,57012,53977
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,93242,,99438,96529,100888,101181,87577,80172,65964,77217,,,,,,,,,,,,,,76470,66236,48092,20726,7721,1086,,,,,,,,,,,,
Egypt,,1583693,1607470,1642253,,,,,1698195,,,,,,,,,,,,,,,,775197,,,582473,,470165,418630,352096,281117,223591,155326,257316,339327,215434,,177918,,
El Salvador,119612,,,,,,,,,,,,,,,,,,,,,,,,,,,,77815,,,60144,50282,42162,26941,18944,19787,20632,20799,20845,18240,15818
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,5088,,,,,,,10178,11352,11364,,,,,21182,21455,21512,20492
Eritrea,,,,,,,,,,,,,,,,,,,,,,,183577,,174157,174098,175297,177882,,174807,167193,167563,160563,153925,152172,151957,156125,171720,185916,200490,214616,218223
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,8946,6936,,1303,1097,499,113,,965,939,899,1049,1337,1247,1427,1079,
Ethiopia,,,,,,,,,,,,,,,,,,2478619,2542856,2644051,,,,,3551635,3614859,3609731,,3593734,3589503,3491986,3363028,3344045,3373653,3214169,2530045,2163781,1774720,1335378,1267208,1367141,1049467
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820,2943,2892,1227,,347,327,,213,223,,331,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,2235,2239,2880,2265,2012,959,,,419,770,2304,4138,4557,5229,4231,3994,3929,3663,
France,,45605,39762,,,,,95733,,6595,4607,,59966,99586,,108168,60250,,,,,,17991,42180,43588,23183,3553,5842,,3640,3492,3586,3407,3180,3701,8923,11903,12057,13379,,13181,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,606,604,817,,,,,,,,,,345,493,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,7413,,,,,,,,,,,,,,
Gambia,,25907,27390,28556,29960,31412,33036,32107,31223,32361,32465,30651,30971,30877,30727,31013,32494,,,,,,53907,53457,,,48349,,,35296,36826,35211,38009,32748,31799,34833,30304,30752,35852,32777,40765,40540
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,28819,26608,25680,,,,,,,22340,18461,7514,8256,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,271656,298437,305409,305527,299150,272563,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570049,524891,605315,574708,539941,614721,518502,518023,437148,347227,378935,,269618
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,11592,10669,9168,7357,11000,13790,18280,21483,24151,27927,14052,9454,2606,1038,209,2603,15060,14314,19631,23151,22844,26745,33703,36559,29545,36421,35839,13070,11388,6677,9179,5169,1412,,2599,3606,3931,,,2290,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,1839,,,,,189,,,470,756,999,984,754,,,,,,,,,,,,,,,,1781,1143,,3,100,,,418,235,49,43,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,236495,240501,245511,,252590,253678,,,260374,,,252026,272465,260701,,,,,,,,,,,,,,256200,,177410,152089,162494,130322,109335,87636,72706,58446,48066,51297,27139,28553,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,285587,288279,300146,315132,321215,331580,346955,355260,,,,,,,425959,413958,391830,369263,324313,299705,277258,259191,237495,221312,229683,219829,223586,170207
Guinea-Bissau,,,,,,,,,,,,43309,48620,,57044,56480,,53781,52308,,,,,,,,,,,54288,54681,,,,,,,,,,30200,
Guyana,,10871,10934,,8899,,8439,4058,,4340,,,3642,,,,,,,,,,,,,1882,2277,,,,,,,846,,,,,5432,9483,7914,8416
Haiti,,,,,,,,,,,,271594,256129,239496,260342,246931,240554,286665,,,,,,,,,,283925,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,69402,68706,,37074,30106,26180,,24371,,,,,44877,,42264,,,,,,,54545,,,,17052,37080,15513,32661,15811,13599,16312,10578
"Hong Kong, China",,42713,39288,39882,37260,34611,32949,29780,29093,25458,13953,13542,13619,11499,9289,7904,,,,,,,,,,17180,17581,,,,,18048,16683,13490,9965,9945,9501,8284,7122,4384,,252
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,57237,33823,8226,7235,5595,4614,4232,7238,8312,7575,6737,7657,5349,3479,3101,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,388,,225,199,193,,253,135,,239,488,500,398,261,148,63,115,
India,,17959751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13954636,13697543,13603545,8110733,3848318,4522699,4341972,3448328,1407495,,,
Indonesia,,3411907,3391870,,3817993,3421688,3171846,,2344588,,,1938670,1097290,,683892,,,683759,693448,758041,962699,1075502,1201399,1328676,1263130,1283320,1318883,1306967,,,1003605,713088,664387,646619,590578,834772,,,,,,
Iran,,,,,,,,,,,,,,,686926,680617,656390,665897,627119,601452,397779,,,,,,,328392,,641208,639389,,297502,285736,157748,129621,,,,,,
Iraq,,503433,517447,527217,534618,535573,494604,477397,457549,217155,143087,137889,,197925,,242354,238505,224201,200389,241188,,,,406155,,,486637,,,323687,352844,368731,,270378,314091,,,369532,,,,
Ireland,,11289,12632,12126,14366,14819,15518,16001,15351,15569,15978,17354,19555,21232,,,21580,19862,17650,16135,14822,15715,17058,17669,17934,18298,18043,16060,448,,194,1655,,,,,,,,,24,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8105,7347,4992,6045,5813,6777,7223,8616,8016,8452,10032,8401,
Italy,,,,,,,34817,,,36090,,,,,,45465,,,,,,,,,,,,,,,4074,6460,8947,11848,14833,14898,12724,9415,8325,10944,20005,
Jamaica,,,,,,10576,15136,13160,,5356,4189,5047,,2040,3700,4755,3968,2704,6359,156,1978,4665,,11860,,,,,,15124,10539,11866,12782,15604,14448,20241,,34827,32156,31667,31337,
Japan,,,28523,54571,128824,59141,,,,,,,7996,32828,23633,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,21919,,,,,,,,10047,13658,15520,20732,22067,17713,,,,,,,,,,,,,,25635,16788,,,,,,,10410,21597,,40504,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29059,12952,4879,3989,3848,3387,3046,2624,2089,1639,,1425
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101978,971975,874600,,992114,676759,711654,669929,676033,383291,506229,486219,,
Kiribati,,,,,,,,,,,,,,,,,24,310,,211,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,109340,55528,79607,97589,94542,67224,86694,74137,28724,,,,,15677,27715,26375,,,,,,,,,,,,8024,86,73,8817,14524,10065,18641,23416,21968,19884,15955,13864,24611,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,19516,19086,18962,19793,19662,18634,16392,13773,15680,14863,13520,12887,10911,10185,10458,10724,15337,17971,,,,52287,,23125,,3504,3533,,727,2332,1667,171,,,10,,769,42,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,23304,,,17262,18730,17411,16884,16324,4134,9529,7754,10199,11281,11545,9467,8044
Lao,,,,,,,,,,,,,,,,,,,,,,,130784,121240,113920,,111200,104980,96117,94974,93933,97359,94734,85533,81328,75741,69945,58929,47494,35260,16305,12500
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,13426,13534,11682,8521,4819,,,,,,,,,3293,2744,1775,
Lebanon,,,,,19985,,,,,,,,,,,,,,,,,,,,,,,52924,18278,13083,,,,,,,28876,28613,27656,24462,15275,6669
Lesotho,26529,,32037,32968,24000,,23871,22922,32786,31626,32924,34568,30214,32463,32089,29504,31049,29567,29036,31614,34944,33777,35233,41490,41906,46681,47331,,65435,73502,38203,38577,38850,39158,44327,46082,52413,51735,49701,48464,46258,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124133,,,,,,,160503,149341,160792,178537,,193598
Libya,,46868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,18,7,,15,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4457,3397,1872,1843,2072,4503,7023,6935,5803,3840,2667,2033,2587,
Luxembourg,,,1161,1266,997,1113,1124,1151,1256,,,2833,1926,2084,2159,,2110,2484,1688,,,,,,,,,,,329,308,457,417,571,455,242,201,267,418,,761,
"Macao, China",,,,,,,,,,,,,,,,,,,,,2341,,2144,,,,,,,2754,2686,2960,2707,2388,2164,1942,1756,1701,1725,1873,2023,2219
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651,3745,1558,1003,1593,2554,2685,2828,3473,3621,4269,3163,482,
Madagascar,,,197303,,,,,,,,,,,,,,,,,240444,237508,213053,,,,336052,371180,,,354170,348430,341967,343528,239943,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28004,,,,
Malaysia,198435,197476,191086,,,,,,,,,,,,,,,,,,,,,,50574,,,,,82825,32543,49145,77667,80675,56173,65915,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,539,220,335,351,,,379,411,509,564,757,671,
Mali,,383350,,,,,,,,,,,,,,,,,,,,,,,,,,,,568229,,,536278,551407,546529,534531,533644,527909,,485145,481452,474328
Malta,,2539,2510,2405,2006,1562,906,,,,,,111,880,945,732,1012,1467,1547,1435,1285,1313,1455,1548,1867,1937,1540,1334,1099,972,927,1112,1227,1288,1189,1562,,1157,1004,1353,683,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,100474,91625,85734,,79345,81017,82448,77550,74801,72303,56231,58907,53323,50751,59070,62294,61454,
Mauritius,,,18255,17322,15815,13807,13632,10789,11335,11861,9720,6341,2982,2851,3322,2523,5032,2935,1137,,,349,,2745,5165,7228,7436,7127,5791,5097,4741,4805,3786,3765,4368,3937,3518,3349,3486,3498,3216,2845
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,979710,,,,,,,,,,,,,,,,,,,,,,,,,,62406,50718,9237,9509,8149,7437,8016,7280,13525,10111,27827,22701,10518,7407,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634,6466,4693,3936,3396,6178,7900,8578,7914,7930,7228,7018
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,16744,14508,18523,14204,12461,9306,6682,7575,15711,8504,11080,5647,7077,4011,3538,1654,1947
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,835544,800230,761640,729404,712599,698854,681535,704712,700121,689715,711453,733431,760599,789403,829467,834630,1018313,1032840,1014714,973030,920392,869721,831475,803029,675508,552419,441259,335286,293479,288333,268988,246482,221181,201554,187715,116268,75244
Mozambique,,,,532756,,,,,,438593,448019,469847,486140,405437,,402973,419131,555232,,610666,,631230,648890,668509,669890,661663,,,942511,899591,847380,785946,851629,,635374,539821,463192,364795,296758,268427,242911,293984
Myanmar,,675339,,584009,741810,,,,714786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,22184,22652,,20247,,,,,,14506,13904,12243,11256,8877,9670,14627,15292,18715,17141,19934,20909,21777,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,682710,678255,,,,662298,,,,,,,,,,,652478,560485,,,,,,,,,,,
Netherlands,,39002,42964,46143,52344,54525,49380,47400,45514,43174,44726,50519,64910,75798,80093,77459,41763,25648,13194,7872,8006,13040,21696,23416,5501,3210,,,,7324,6849,,,12952,17464,16541,12351,6380,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,1697,1751,,,,,,,,2001,2956,,,,,,,,1965,4278,,4763,2453,2075,,844,819,1503,5182,2214,3601,3412,2214,2022,1043,845,660,600,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,91964,,94332,,,,,,,92988,,103986,105436,114446,100134,106540,104479,105568,115384,111926,106583,94392,93542,91270,97966,,,,72279,64739,55134,33596,31440,25247,22277,27231,25656,20449,,21092,
Niger,,,,344692,355174,,,,,,,,,,,,457875,,,497623,509290,518309,542801,,,,,621120,,652930,669764,670444,670374,664662,660987,679502,685762,692084,667214,641202,607327,557962
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4171370,3946414,,,3985190,3964831,3977536,3928924,4342736,5127934,5404048,5487901,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,1351,1790,,2708,3110,,4342,6101,6002,4448,3705,1974,223,,377,1679,2282,2801,2608,1230,328,641,331,310,298,278,956,2593,2088,2059,1702,1788,1587,
Oman,,,,62430,61852,60714,61607,,62478,62507,,63634,64183,63195,60280,59059,52201,54170,57401,58465,58383,57474,56841,51328,49323,48038,45144,42082,36333,31839,27800,22403,20525,22157,,,,,,4556,2284,4450
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5235460,,5135565,4731624,4458897,4575617,3979834,3796212,3500674,3241203,3345462
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,46,,,,,,,,,,,
Panama,29705,20171,17692,15885,,15463,16192,,13921,15519,17141,18806,19642,20639,19909,17359,17020,14612,15593,13363,14183,,,,,,,,,7270,2553,1791,2612,,2640,2331,2260,2526,2963,6429,3672,5297
Papua New Guinea,,,,,,,,,,,,,,,,,,,,136005,142075,,,,,,,,,,,,,,,,,,,,,
Paraguay,44980,,44279,,,51794,50879,49371,45910,43216,38259,33660,22950,33917,35342,36246,40181,39219,36458,32090,29247,24671,23587,22637,35407,,20441,,,12039,6970,8272,16189,19273,20791,18929,26906,37766,49712,60172,67826,
Peru,272588,,,,,,,,,,,142097,,,,,,,,,,,,,,168652,,,11105,,,,,,2257,2269,2946,2682,25454,43495,26352,47329
Philippines,,,,,,,,,,,,239459,184342,259139,438977,,253007,298996,163844,106762,139784,209735,,,,,,,491963,549006,,492076,448314,450421,482472,534995,646321,675575,673064,661551,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50206,46378,38652,41280,45273,51163,57466,58850,58713,57687,46929,36407,
Portugal,,,,60890,61502,,39095,34426,21950,,23364,20180,,,,,,,,,,6796,,,7220,,,,,18455,,2153,1826,,4782,3779,4324,,8154,1569,1119,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17871,21378
Qatar,,1595,1040,948,1117,,651,886,536,,,675,,1041,905,1030,528,1861,2190,2700,3489,4662,5423,5152,3486,,,,,51,56,445,1952,,,,1412,2352,1392,669,1438,2432
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,146477,93763,63685,57222,59723,34067,49779,44398,37051,17904,,4275,4783,21491,26469,31539,32481,54366,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,123723,238676,,,,,,,,,,,139185,129842,118331,92839,,
Rwanda,,,,169672,183589,195781,,193223,189743,,,,,,,,,,,,,,,,,,,,,,,162417,130012,86157,123763,106879,,49891,60172,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,523,285,,,,,,,,,,,,,,,,,,,74,,304,548,212,455,370
St. Lucia,,,,,,,,,,,,337,256,,,,,,,,656,736,,,,,,,,1131,470,464,491,555,819,1055,760,810,829,849,1111,1183
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,615,,266,,,,,,,,,,,,,,,,,,,225,,,,,,
