"Children out of school, primary, female",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,923588,,,,,,,,,,,,,,,,,,,1180781,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5415,7791,,,,17469,24446,24577,25544
Algeria,,,,564297,538928,523330,509066,491870,476842,472354,454637,447080,454160,464571,450888,444875,423749,401907,390181,382297,389790,369724,357021,366079,354671,332268,316780,305883,,208441,187545,145108,118718,105652,86044,75558,69439,60184,47538,47078,53198,45707
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,196,429,446,430,442,415,455,509,573
Angola,,,,,,,,,,,,,236294,267703,,,,,,,,,,,,,,,404293,,,,,,,,,,309365,321294,373254,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,559,637,853,827
Argentina,65523,,,,49129,53563,,,,,,,,,,,,,,,,,,,,,,,,19056,,,23363,20034,,,34861,31889,18757,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5355,9692,10438,9160,6432,3932,1288,,,,13043
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,64,133,218,316,319,174,117,101,145,179,5,
Australia,,23661,,35666,40215,22633,17523,,,,,4935,12824,21685,34499,32344,26864,21986,16036,14049,16387,19360,20027,22681,24780,42212,39648,44098,43894,46743,46216,48135,43316,43782,42096,40689,39859,26198,24014,23100,23135,
