Lung Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Poland,,,,,,,,,,3.12,3.28,3.85,3.96,3.94,4.14,4.44,4.5,4.59,5.06,5.09,4.77,5.21,5.1,5.04,5.41,5.81,5.67,6.22,6.29,6.3,7.17,6.97,7.27,7.59,8.07,8.18,8.43,8.63,9.29,9.34,9.93,10.18,9.97,10.65,10.7,11.27,11.27,,,11.57,12.5,12.76,13.59
Portugal,,,,,,2.15,2.78,2.35,2,2.21,2.18,2.69,2.51,2.49,2.47,2.07,3.11,2.72,2.41,3.05,2.95,3.3,3.07,3.12,3.5,3.59,3.43,3.45,3.22,3.54,3.76,4.03,4.3,3.79,3.61,3.91,4.15,3.94,4.09,4.23,4.32,4.64,4.28,4.66,4.52,4.69,4.12,4.45,4.64,4.7,5.08,4.42,5.35
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
Romania,,,,,,,,,,4.5,4.73,5.7,5.43,5.62,5.67,5.2,5.17,5.24,5.1,5.52,5.54,5.31,5.46,5.43,5.43,5.5,5.81,5.77,5.85,,6.56,5.92,5.77,5.89,5.79,5.92,6.09,6.14,6.13,6.35,6.59,6.38,6.25,7.3,7.08,7.25,7.21,7.48,7.56,7.48,7.92,7.93,7.81
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,6.48,6.55,6.87,6.79,6.89,7.09,7.2,7.34,7.35,7.37,7.2,7.31,7.32,7.21,6.75,6.41,6.46,6.23,5.98,5.91,5.91,5.77
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Singapore,,,,,,,,,,,,,,11.25,9.21,10.69,12.83,11.91,12.77,10.16,10.97,13.39,12.16,12.88,16.2,12.8,14.98,16.76,17.96,15.47,17.37,18.15,17.29,17.63,17.54,18.09,18.5,17.78,16.57,18.51,15.22,14.53,14.52,16.49,14.69,14.23,13.68,14.3,14.72,11.51,10.63,12.78,11.5
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,7.43,7.32,6.76,6.59,7.46,7.32,7.88,8.07,7.26,7.34
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,8.27,6.64,7.57,8.7,8.63,8.32,8.63,9.61,8.61,9.93,9.11,9.78,9.24,11.34,10.5,11.12,11.83
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19,8.83,8.11,8.66,8.01,8.33,7.87,7.61,7.62,7.09
Spain,,2.22,2.35,2.33,2.76,2.75,3.12,3.51,3.24,3.3,3.91,3.47,3.66,3.71,3.55,3.71,3.84,4.15,3.98,3.88,4.09,4.09,3.9,3.97,4.06,4,3.63,4.01,3.85,3.82,3.84,3.79,3.63,3.85,3.42,3.62,3.57,3.68,3.42,3.42,3.46,3.71,3.63,3.63,3.8,3.93,3.91,4.17,4.3,4.36,4.65,4.77,5.08
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Suriname,,,,,,,,,,,,,,4.07,1.65,2.96,2.96,,,,,6.14,4.62,2.12,,0.95,3.22,2.92,0.89,3.2,1.07,4.7,4.7,,2.67,6.11,0.62,3.04,2.39,4.87,6.3,4.11,5.56,,,3.22,0.8,3.35,6.07,2.17,4.9,,7.4
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
Sweden,,3.64,4.05,3.58,3.71,3.37,3.73,3.93,4.11,4.05,3.49,3.96,3.85,3.95,3.58,4.08,3.89,4.92,4.43,4.57,4.79,5.14,5.1,5.62,5.95,6.06,5.89,6.29,6.62,6.62,7.33,8.01,7.74,7.78,8.22,8.09,8.91,9.42,9.85,9.88,9.74,10.94,11.15,10.49,11.09,12.18,12.81,12.34,12.29,12.76,13.32,14.32,14.04
Switzerland,,3.38,2.84,3.15,3.14,2.94,3.43,3.08,3.15,3.06,3.06,3.11,2.62,3.13,3.55,3.27,3.1,3.79,2.95,3.19,3.46,3.77,4.2,4.29,3.82,4.46,4.68,4.65,4.55,4.64,5.57,5.32,6.04,6.24,5.83,6.57,6.59,6.88,6.77,7.08,7.64,7.38,8.81,9.69,9.92,9.38,8.7,8.9,9.83,10.34,10.93,10.4,10.71
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,4.8,,,6.17,6.32,5.85,7.66,6.67,4.31,4.46,4.02,2.55,2.32,2.17,1.36,2.29,2.67,2.46,2.12,2.47,2.78
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Thailand,,,,,,,,0.4,0.31,0.44,0.54,0.56,0.55,0.63,0.87,0.73,0.77,0.81,0.78,0.84,0.88,1.04,0.96,1.36,1.68,2.07,1.44,1.59,1.4,1.84,1.91,1.77,2.01,1.89,1.81,1.51,1.73,1.82,,,2.12,2.27,2.23,,2.55,2.87,2.72,2.79,3.3,4.05,5.19,,6.18
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Trinidad and Tobago,,2.35,2.22,0.95,3.32,1.63,1.59,1.91,1.65,,4.13,2.15,4.07,4.46,,,4.95,3.51,3.61,,3.53,2.61,2.53,4.78,4.99,5.2,2.26,3.58,4.82,1.84,5.21,3.17,3.34,2.71,4.22,3.51,5.25,3.47,3.67,3.49,2.52,5.62,4.47,4.73,3.66,4.76,3.4,4.78,4.45,3.94,2.91,4.13,4.27
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.27,,,5.48,4.13,4.92,5.6,3.82,3.46,3.48,4.15,4.93,3.38,3.68,4.63,3.27,3.03,,,,4.1
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,6.52,,,6.51,6.79,6.94,7.16,7.28,7.35,7.38,6.91,6.77,6.49,6.46,5.88,5.9,5.84,5.85,5.68,5.3,5.02
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
United Kingdom,6.01,6.1,6.34,6.43,6.61,6.73,7.04,7.15,7.42,7.71,8.03,8.49,8.79,9.18,9.72,10.3,10.68,11.28,11.7,11.94,12.39,12.99,13.58,13.88,14.85,15.01,15.45,16.08,16.65,17.25,17.75,17.95,18.9,18.75,19.95,19.85,20.09,20.51,21.26,21.09,20.96,21.1,21.02,20.87,20.9,20.65,20.55,19.87,20.27,20.11,19.94,19.53,19.67
United States,3.65,3.67,3.83,3.73,3.74,3.89,4.03,4.04,4.21,4.29,4.39,4.75,4.98,5.35,5.49,5.98,6.39,6.85,7.82,8.37,8.98,9.76,10.54,10.93,11.78,12.53,13.49,14.3,15.3,15.95,17.21,17.8,18.89,19.95,20.46,21.45,21.91,22.74,23.58,24.47,25.09,25.33,26.02,26.26,26.33,26.53,26.44,26.49,26.57,25.77,26.24,25.94,26.15
Uruguay,,,,,,4.14,3.14,3.31,3.8,3.48,4.18,,,4.26,3.44,3.51,3.25,4.06,2.87,3.59,4.04,3.52,3.71,3.6,3.1,3.71,4.06,3.97,4.1,,3.38,4.04,3.93,4.54,4.01,3.69,3.98,4.43,4.31,4.98,4.15,,,5.27,5.03,5.29,4.98,6.27,5.85,5.19,5.6,6.01,6.18
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68,4.97,,,4.89,5.08,6.03,5.52,4.84,5.39,4.77,4.86,4.78,4.12,3.9,3.66,3.65,3.83,3.26,3.26,,3.12
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Venezuela,,,,,,4.02,5.05,5.57,5.38,5.41,5.41,5.78,4.89,5.67,5.83,7.1,6.44,5.4,6.92,6.03,5.99,5.97,6.47,6.58,6.6,6.54,7.51,6.46,5.79,6.54,6.96,6.99,6.7,7.29,,7.04,6.41,7.52,7.79,7.83,9.02,,8.63,8.41,9.18,,8.41,8.81,8.53,8.95,8.94,9.25,9.26
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
