Lung Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Chile,,,,,,4.18,3.77,4.25,4.16,3.89,4.45,4.52,4.34,4.77,4.47,4.38,4.77,5.24,4.36,5.12,5.01,5.11,4.35,4.44,4.63,4.7,5.27,5.2,4.51,5.87,5.56,5.29,5.41,5.48,5.76,5.93,5.92,5.87,5.56,6.09,6.17,6.13,6.32,7.02,6.36,6.75,7.12,7.32,6.65,6.87,6.92,7.4,7.32
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
Colombia,,,,2.42,2.4,2.34,2.1,2.26,2.26,2.09,1.9,2.41,2.62,2.39,2.5,2.82,3.09,2.98,2.58,2.58,,,3.35,,3.4,3.54,4.04,4.2,,,,,,,5.14,5.8,5.62,6.12,5.79,6.15,5.87,6.74,6.7,6.57,6.19,6.63,6.97,7.01,6.35,7.16,,6.88,7.18
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Costa Rica,,,,,,,,,,,,1.99,2.19,2.94,3.83,1.72,2.34,3.14,3.54,3.36,3.32,4.02,4.03,2.4,4.72,5.06,3.75,4.31,4.46,3.77,5.1,6.05,6.19,4.28,5.19,5.39,4.73,6.16,4.35,6.87,4.65,4.76,4.51,5.01,4.5,4.91,5.09,5.76,3.82,4.88,5.34,4.37,3.69
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,8.32,7.83,7.97,8.63,8.51,8.78,8.61,7.31,8.04,7.57,9.01,8.48,9.93,8.8,10.39,9.61,10.21
Cuba,,,,,,,,,,,,,,,13.88,,,,12.79,11.58,14.87,13.67,13.93,14.75,13.38,13.22,13.11,13.12,11.36,12.62,12.18,11.83,12.22,13,13.49,13.09,13.39,13.31,13.6,13.71,13.37,13.13,14.24,13.53,12.12,12.75,13.31,13.94,13.74,13.72,14.65,14.62,15.64
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.16,8.72,9.29,9.33,10.49,10.71,10.12,11.23,11.66,11.66,11.31,11.61,12.55,12.53,13.03,12.32
Czechoslovakia,,,,4.91,5.31,5.68,5.39,5.5,5.31,5.74,5.1,5.43,5.53,5.52,6.11,5.77,5.66,5.77,5.45,6.24,5.67,5.35,5.49,5.36,5.41,5.58,5.91,5.99,6.96,6.6,6.67,6.75,6.65,7.41,7.58,7.62,7.98,8.34,7.95,8.53,8.49,9.44,,,,,,,,,,,
Denmark,,3.64,4.25,4.38,4.1,4.61,3.75,5.21,4.45,4.72,5.78,5.37,5.96,6.09,6.41,6.94,6.59,8.38,7.23,8.26,8.75,9.26,10.24,9.22,9.92,10.83,13.22,11.72,13.13,14.64,14.37,16.34,16.03,19.92,21.09,19.84,19.87,22.93,24.08,21.72,23.84,25.8,24.47,25.38,28.3,28.13,27.61,29.39,27.18,28.17,27.35,28.05,27.8
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Dominican Rep.,,,,,,,,,,,,,,,,1.26,1.57,2.12,1.97,1.64,0.93,3.02,1.47,1.57,1.75,1.39,1.57,2.82,2.21,1.85,2.27,2.07,2.76,3.38,2.97,1.92,2.77,3.37,3.07,3.65,2.56,3.1,2.84,,3.07,2.98,3.3,4.34,4.52,4.5,3.19,4.62,4.0525
Ecuador,,,,,,,,,,,,1.84,,1.94,2.35,,,,2.01,2.35,1.61,1.75,1.77,1.55,1.58,1.87,,1.5,1.43,2.11,2.08,2.51,2.75,2.06,2.76,2.37,2.8,2.55,2.68,2.96,2.66,2.92,2.73,3.15,3.26,4.48,3.79,3.89,3.69,3.83,3.3,3.8,3.52
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
El Salvador,0.68,0.45,0.23,0.93,1.22,0.65,0.54,0.61,0.99,0.84,0.77,2.06,1.11,0.82,0.91,0.83,1.03,2.12,0.85,1.5,1.2,0.92,1.19,1.01,1.46,,,,,,,1.81,1.46,1.4,1.17,,,,,,1.74,2.09,1.74,2.17,,1.77,3.73,2.96,2.54,2.85,3.72,3.84,3.19
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44,5.87,,,5.88,6.4,7.19,7.69,8.28,7.17,7.99,7.49,7.58,7.04,6.86,7.3,8.84,7.1,7.33,7.1,7.82,7.65
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Finland,,,4.81,3.63,4.2,4.55,3.29,4.4,4.01,4.32,2.75,3.79,3.63,4.24,3.96,3.87,3.9,4.19,4.18,3.98,3.86,4.31,4.81,3.53,4.19,4.28,5.27,5.38,5.28,5.27,6.18,5.78,5.7,5.42,6.18,6.8,6.25,6.58,6.31,6.48,6.81,6.86,7.38,6.61,6.85,7.02,7.05,7.19,8.08,6.94,7.6,8.1,8.07
France,3.09,,3.32,3.27,3.35,3.35,3.32,3.51,3.34,3.41,3.37,3.42,3.53,3.81,3.7,3.67,3.79,3.93,3.54,3.46,3.34,3.46,3.49,3.5,3.58,3.57,3.6,3.62,3.79,3.68,3.82,4.04,4.06,4.26,4.13,4.36,4.48,4.99,5.04,5.18,5.15,5.38,5.4,5.66,5.85,6.26,6.46,6.44,7.13,7.44,7.25,7.54,8.22
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Germany,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.87,5.01,5.16,5.1,5.31,,5.57,5.81,6.03,6.4,6.47,6.46,6.88,7.23,7.25,7.62,7.86,8.35,8.46,8.85,9.16,9.19,9.36,9.81,10.14,10.2,10.72,10.78,11.13
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Greece,,,,,,,,,,,,4.74,4.6,5.93,5.06,6.38,6.1,6.08,5.48,5.91,6.04,5,5.82,6.15,6.07,6.73,6.08,7.01,6.89,6.85,6.04,6.02,6.4,6.23,6.33,7.16,6.48,6.29,6.99,6.68,7.34,7.1,6.97,6.75,6.98,7.18,7.1,6.93,7.28,6.73,7.4,7.1,7.27
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
Guatemala,,,,,,,,,,,,,,1.14,1.13,1.63,0.95,1.29,1.51,0.6,0.67,1.52,,,1.6,1.88,1.6,1.34,1.45,,1.16,1.03,,,2.09,,2.15,2.73,2.17,2.73,2.42,2.27,2.62,3.09,3.8,3.69,2.48,3.68,3.21,4.14,3.66,4.09,4.04
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
"Hong Kong, China",,,,,,,,,,,11.76,10.36,11.63,12.93,13.87,15.47,17.16,18.04,17.3,19.44,18.81,20.98,19.73,20.93,20.06,22.59,24.75,23.52,23.92,23.94,22.19,22.84,25.09,21.46,23.94,24.03,25.22,24.71,23.57,22.96,23.3,22.97,24.45,23.6,21.04,19.87,19.21,18.68,19.56,18.78,18.52,18.64,18.18
Hungary,,,,,,5.31,5.31,5.7,6.14,6.23,6.32,6.68,7.22,7.21,7.57,7.23,7.57,6.99,7.63,7.01,7.63,7.85,7.69,8.68,8.67,8.03,8.96,8.47,9.61,9.29,10.26,9.89,10.94,11.41,11.34,11.62,12.43,13.69,13.84,14.6,15.57,15.92,16.82,18.05,17.42,18.77,20.31,19.72,20.08,20.91,21.38,21.67,22.69
Iceland,,1.01,3.74,2.43,7.42,,3.09,6.75,2.1,6.56,13.42,3,2.55,2.88,10.39,5.67,8.89,8.84,7.3,10.84,5.17,11.23,12.05,9.12,9.68,11.8,9.52,14.12,11.32,16.67,21,22.65,26,20.16,17.32,17.7,20.84,20.59,28.32,23.52,21.87,22.31,29.95,23.79,27.69,21.38,25.84,26.57,23.88,25.15,26.19,23.77,22.95
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
Ireland,3.12,4.18,4.67,4.7,5.88,5.53,4.74,7.06,5.48,5.12,5.93,5.87,7.74,6.31,6.74,7.76,7.56,8.83,9.73,8.97,10.13,11.44,11.99,11.06,14.31,13.87,13.46,13.26,14.17,15.56,15,16.22,16.54,18.44,18.82,17.53,17.75,16.45,19.31,20.01,18.52,16.87,17.94,17.48,18.63,18.5,16.63,16.07,18.47,16.83,18.85,16.42,16.81
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,7.84,8.62,8.21,8.18,8.83,8.11,7.68,7.85,7.97,7.73,8.36,8.25,7.75,8.42,8.96,8.12,8.04,9.29,8.94,9.77,7.83,8.79,7.71,8.08,9.51,8.88,9.11
Italy,,2.57,2.68,2.92,2.97,3.32,3.47,3.43,3.57,3.42,4.01,4,3.93,4.22,4.38,4.42,4.73,4.54,4.57,4.71,4.64,4.55,4.92,5.15,5.22,5.37,5.64,5.87,5.64,5.95,6.07,6.26,6.32,6.62,6.81,6.89,7.29,7.19,7.31,7.33,7.27,7.23,7.82,7.68,7.77,7.87,8,7.83,8.02,7.91,8.28,8.38,8.75
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Japan,0.95,1.1,1.36,1.41,1.84,2.12,2.52,2.68,3.26,3.33,3.52,3.95,4.13,4.2,4.39,4.66,4.94,4.91,5,5.25,5.17,5.19,5.6,5.62,5.62,5.93,6.21,6.37,6.69,6.69,7.07,7.19,7.45,7.49,7.69,7.65,7.73,7.88,8.03,8.12,7.9,8.09,8.34,8.18,8.32,8.42,8.55,8.45,8.56,8.46,8.4,8.3,8.04
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.06,,,8.5,8.81,7.93,9.35,9.48,9.63,9.75,8.97,8.97,8.79,8.56,8.64,8.36,7.93,8.17,7.67,7.47,7.42
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.87,5,5.65,5.93,6.48,6.47,8.09,8.6,9.2,9.28,9.44,9.87,9.09,9.5,10.17,10.08,10.37
Kuwait,,,,,,,,,,,,,,,,,,,,,,,3.79,,,5.25,3.16,2.63,3.21,7.24,9.11,7.58,8.85,7,10.02,6.49,7.14,4.92,,,,,,8.01,5.65,5.91,5.55,9.61,9.33,2.79,5.26,4.74,3.08
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.04,,,3.5,4.54,5.24,5.68,4.73,6.07,5.41,5.66,4.21,5.01,3.76,4.02,4.65,4.27,3.55,4.78,4.55,4.08
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
