Male 0-4 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,17.43249645,16.80911681,17.1445759,17.47502271,17.82226563,18.02544088,18.1981484,18.50690088,18.74042292,18.98464164,18.97378066,18.45753899,17.62833267,17.33318292,16.92127483,16.23839807,15.26691342,14.15607985,13.10096527,12.180306,11.37398587
Albania,14.4499179,15.82733813,17.67614339,17.10665259,15.27777778,14.23868313,12.91727141,12.24623445,11.9739182,10.84337349,9.764089122,7.39779364,7.352941176,7.668329177,7.682926829,7.082833133,6.231276213,5.709134615,5.643203883,5.759803922,5.652173913
Algeria,15.65860215,16.82565456,18.60165593,19.71948572,20.29157989,19.40260726,18.13751457,17.64441245,15.40092673,13.03829429,10.02468815,9.738301978,9.820479839,9.585977322,8.906013754,7.905686546,6.996450754,6.491665235,6.340503892,6.36642784,6.251006928
Angola,17.27362205,18.57849753,19.08831909,19.48869952,19.47050938,19.33652122,19.79301423,20.0087089,20.10662605,19.97410165,18.91162262,18.68896484,17.30912974,16.87242798,16.07615894,15.05471754,13.94355861,12.92616226,12.07724076,11.3433452,10.6363549
Argentina,11.23697327,11.22944887,10.98796102,10.60741005,10.39546137,10.874613,12.04229912,11.00658514,10.63470205,10.27938851,9.620476611,8.897078178,8.678431766,8.326546256,7.870285189,7.384369307,6.93689027,6.54319946,6.40824094,6.261960018,6.088776208
Armenia,11.37071651,16.21983914,18.13125695,16.63551402,12.19512195,11.16751269,11.19946985,11.83323115,11.51162791,9.751308901,7.261410788,7.832167832,8.466342817,8.538251366,7.744107744,6.76490288,6.245802552,6.140350877,6.173677069,6.108442004,5.788005579
Aruba,18.75,21.05263158,17.39130435,14.81481481,11.11111111,10,9.677419355,10,9.375,7.5,6.818181818,6.12244898,6,5.769230769,5.660377358,5.882352941,5.660377358,5.882352941,5.660377358,5.660377358,6
Australia,10.93146718,10.79862602,10.77544737,10.45470203,9.653774173,9.38733733,7.904061052,7.761572606,7.583049654,7.390146471,6.876971609,6.504145282,6.498363721,6.359512586,6.222939129,6.094385679,5.92522925,5.78951362,5.727132011,5.713055336,5.699082826
Austria,8.201304753,7.682775713,8.816351434,9.614819171,8.871197043,7.148841106,6.193946188,6.43992194,6.100217865,6.140580089,5.473792925,5.098725319,4.839892447,4.753861004,4.797136038,4.797920113,4.728299224,4.633113829,4.62482303,4.721233689,4.891434025
Azerbaijan,10.85840059,15.92639594,19.96779388,19.32126697,15.24074811,12.82882883,12.00800534,12.76530298,13.77160669,12.09253417,9.198888046,8.744231236,9.652333028,9.501187648,8.465826967,7.21298337,6.424361493,6.257264626,6.309934791,6.167653237,5.817068504
Bahamas,16.66666667,17.07317073,19.23076923,18.84057971,16.66666667,15.2173913,12.5,12.93103448,11.29032258,11.51079137,10.59602649,8.75,8.383233533,7.90960452,7.567567568,7.179487179,6.930693069,6.730769231,6.074766355,6.018518519,5.963302752
Bahrain,16.12903226,16.90140845,16.86746988,21.05263158,15.96638655,13.60544218,10.94527363,10.69958848,10.45296167,10.14925373,8.533333333,8.373205742,7.75862069,7.171314741,6.493506494,6.055363322,5.911330049,5.651491366,5.413533835,5.294117647,5.187319885
Bangladesh,14.57015895,16.57238066,16.82725876,17.17569171,17.41683517,17.68569615,17.73656272,16.96603001,15.31493325,13.75155604,12.62957093,11.45169201,9.96355238,9.292395283,8.726802913,8.109730049,7.462219702,6.874555708,6.498689706,6.298581909,6.102030708
Barbados,13.40206186,14.70588235,15.38461538,14.81481481,11.71171171,9.482758621,9.322033898,9.090909091,7.936507937,7.317073171,6.504065041,5.785123967,5.555555556,5.46875,5.511811024,5.46875,4.724409449,4.87804878,4.87804878,4.958677686,5.128205128
Belarus,9.751824818,11.94372667,13.39285714,11.9011213,9.204819277,8.805176797,8.474576271,8.88030888,8.58985025,6.532559104,5.162523901,5.13436749,5.523125281,5.485134824,5.187115111,4.82809071,4.493814693,4.454926625,4.633415099,4.79568672,4.825340438
Belgium,8.301975541,8.149678604,8.530066815,8.600991593,7.804878049,7.006902322,6.416666667,6.362494768,6.226804124,6.224655312,5.835171446,5.6711146,5.896946565,5.801727375,5.783444198,5.671043034,5.546522132,5.477729885,5.491949911,5.538681436,5.568445476
Belize,15.15151515,20.51282051,19.56521739,18.18181818,18.33333333,18.18181818,16.66666667,18.51851852,17.20430108,16.36363636,14.28571429,12.67605634,11.39240506,10.91954023,10.16042781,8.823529412,8.333333333,7.456140351,6.722689076,6.530612245,6.374501992
Benin,13.71727749,15.46184739,16.52661064,17.55725191,18.29916477,18.62022773,18.98954704,19.05472637,18.86952826,18.28711829,17.91089705,17.13852376,16.72758547,15.99479844,14.89534318,13.77726751,12.78234086,11.92958073,11.14864865,10.40310831,9.683527184
Bhutan,17.24137931,16.83168317,17.69911504,17.82945736,17.21854305,16.93989071,16.81818182,16.73469388,16.42857143,15.95330739,12.98245614,10.85043988,9.35828877,9.046454768,8.604651163,7.795100223,7.081545064,6.625258799,6.477732794,6.324110672,6.225680934
Bolivia,17.07317073,17.21366376,17.40963855,17.2972973,17.36411736,17.53412969,16.54676259,16.19144603,15.98546776,15.87301587,14.66892218,13.81118881,12.66986411,11.6506647,10.68662881,9.810587664,8.998771499,8.269682726,7.622555965,7.087806221,6.66218035
Bosnia and Herzegovina,15.17509728,15.87412587,14.95809155,14.43113772,11.33371494,10.320478,8.93970894,8.992628993,8.118254341,6.559405941,6.295671726,5.167674546,4.864566059,4.793756968,4.640633843,4.443162147,4.193738925,3.963414634,3.916614024,4.023746702,4.12371134
Botswana,15.65656566,19.11111111,19.84126984,20.14134276,19.57831325,19.49367089,19.33471933,18.66197183,16.71686747,14.50980392,12.99765808,11.79039301,11.53846154,11.12158341,10.48888889,9.764309764,9.098228663,8.61132661,8.333333333,8.011653314,7.654145996
Brazil,16.92997199,17.51596424,17.46180575,17.33561465,15.53774884,14.39478171,14.15268484,13.88536535,12.10803973,10.6389884,10.31839143,9.619742863,8.077174964,7.073119337,6.510774874,6.002828908,5.614279922,5.401687969,5.195751478,5.17632289,5.061413454
Brunei,12.5,18.18181818,19.51219512,18.18181818,16.66666667,15.29411765,14.42307692,13.55932203,13.33333333,12.41830065,10.98265896,9.895833333,9.134615385,8.260869565,8.130081301,7.692307692,7.553956835,7.24137931,6.907894737,6.666666667,6.748466258
Bulgaria,10.34768212,9.52126237,8.583800306,8.048780488,7.822808671,7.925568573,7.857789855,6.784992137,6.556245687,5.251587689,4.406866513,4.556354916,5.080066262,5.138452755,4.884547069,4.558053588,4.340836013,4.475100942,4.781997187,4.988994864,4.955820207
Burkina Faso,15.79439252,15.49358123,16.41852771,17.19352352,17.86856128,18.3029909,19.239835,19.72053783,19.62229387,19.45610878,19.14819945,18.68067717,19.94347506,18.3480454,16.72899754,15.36238863,14.33359481,13.45391793,12.51301029,11.51588854,10.59059157
Burundi,16.82242991,18.95881896,18.5106383,18.25242718,18.0958013,18.32104368,18.40120664,19.14623838,19.50162514,18.18787475,16.90544413,15.13048306,14.54893515,14.32274789,13.34382995,11.94762684,10.7634756,10.0256246,9.671560466,9.316681022,8.780353958
Cambodia,16.79705476,16.82513435,17.06509746,17.25260417,17.38629822,15.57746479,15.52,22.14360587,19.73997833,17.94262744,14.36893204,11.88925081,11.55410903,11.45057129,10.97017484,9.954269914,8.873309965,8.163653663,7.816760589,7.546017622,7.134424018
Cameroon,16.08040201,16.62510391,16.71057584,17.29348556,17.77777778,18.21234823,18.46666667,18.63139735,18.05921053,17.21030043,15.97925101,15.99775155,15.74148297,14.68071692,13.41583347,12.35684147,11.58379245,10.9733939,10.34818011,9.676310513,9.03552195
Canada,11.98335247,12.44828883,12.60467166,11.73201293,8.669354839,7.841782537,7.526617527,7.387780549,7.202155549,7.013309427,5.934991446,5.46875,5.48671512,5.522514868,5.581947743,5.553835037,5.38984565,5.23054755,5.192137087,5.219054559,5.292181802
Cape Verde,11.94029851,16.66666667,20.65217391,18.51851852,16.53543307,17.1875,18.04511278,19.59459459,19.39393939,17.46031746,15.4589372,13.47826087,11.78861789,11.36363636,10.67615658,9.830508475,8.974358974,8.074534161,7.552870091,7.121661721,6.470588235
