"GDP per working hour, (constant 1990$)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Hungary,6.880000114,6.96999979,7.570000172,7.619999886,8.130000114,8.050000191,8.239999771,8.220000267,8.449999809,8.420000076,8.180000305,7.820000172,8.56000042,9.170000076,9.109999657,9.300000191,9.409999847,9.770000458,10.06000042,10.09000015,10.47999954,9.680000305,10.06000042,10.48999977,11.07999992,11.53999996,11.93999958
Iceland,16.37000084,16.35000038,16.25,15.76000023,16.19000053,16.14999962,16.72999954,17.18000031,17.57999992,17.95000076,18.25,18.18000031,17.40999985,17.98999977,18.62999916,17.90999985,18.46999931,19.60000038,20.15999985,19.62000084,19.96999931,20.75,21.39999962,22.01000023,23.77000046,24.85000038,24.29000092
India,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,12.96000004,13.63000011,14.05000019,14.21000004,15.17000008,15.67000008,15.44999981,16.18000031,17.04000092,17.97999954,18.75,19.47999954,20.39999962,20.85000038,21.36000061,22.32999992,23.27000046,25.62000084,26.64999962,28.04999924,29.29000092,29.80999947,31.27000046,32.54999924,32.93000031,33.36000061,34.13999939
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,20.14999962,20.34000015,20.46999931,20.79000092,21.95999908,22.15999985,22.65999985,23.37999916,23.79000092,24.35000038,24.45999908,24.45999908,25.39999962,25.77000046,26.80999947,27.61000061,27.62999916,28,28.15999985,28.44000053,29.21999931,29.21999931,29.02000046,28.68000031,28.88999939,29,29.28000069
Jamaica,,,,,,,4.650000095,4.789999962,4.730000019,4.849999905,5.119999886,5.070000172,5.119999886,5.25,5.179999828,5.119999886,5.099999905,5.079999924,4.940000057,5.119999886,5.21999979,5.239999771,4.869999886,4.829999924,4.869999886,4.920000076,
Japan,13.35999966,13.77000046,14.06000042,14.21000004,14.59000015,15.22999954,15.52000046,16.01000023,16.76000023,17.40999985,18.29000092,18.85000038,19.14999962,19.76000023,20.04000092,20.57999992,20.95999908,21.37000084,21.31999969,21.84000015,22.38999939,22.70000076,23.19000053,23.56999969,24.32999992,24.84000015,25.14999962
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",4.510000229,4.699999809,4.730000019,5.28000021,5.800000191,5.960000038,6.559999943,6.75,7.239999771,7.550000191,8.170000076,8.720000267,9.130000114,9.600000381,10.10000038,10.65999985,11.21000004,11.77999973,12.13000011,13.01000023,13.43999958,13.77000046,14.56999969,15.22999954,15.92000008,16.64999962,17.62000084
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,9.300000191,9.699999809,8.550000191,6.269999981,5.96999979,6.849999905,7.599999905,8.050000191,8.350000381,8.729999542,9.229999542,10.09000015,10.72000027,11.27999973,11.77000046,13.01000023,14.03999996,15.06999969
Lithuania,,,,,,,,,,11.39999962,11.06999969,10.18999958,8.210000038,7.179999828,6.940000057,7.349999905,7.659999847,8.25,8.680000305,9.020000458,9.170000076,10.25,10.73999977,11.69999981,12.39999962,12.57999992,13.40999985
Luxembourg,19.98999977,20.31999969,20.46999931,21.35000038,22.76000023,23.29000092,24.70000076,24.62000084,26.04999924,27.73999977,27.20000076,28.76000023,28.79999924,29.52000046,30.20999908,29.60000038,29.68000031,30.55999947,31.30999947,32.36999893,33.34000015,32.25,32.77999878,33.02000046,34.06000137,34.72999954,34.72999954
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,10.76000023,11.42000008,12.21000004,12.65999985,13.09000015,14.03999996,14.52999973,15.11999989,15.68000031,16.10000038,16.87999916,17.15999985,17.87999916,17.30999947,17.30999947,17.53000069,17.45000076,17.28000069,17.48999977,17.94000053
Mexico,9.989999771,10.51000023,10.09000015,9.609999657,9.550000191,9.350000381,8.710000038,8.569999695,8.380000114,8.409999847,8.529999733,8.600000381,8.710000038,8.75,8.819999695,8.369999886,7.920000076,8.170000076,8.359999657,8.18999958,8.729999542,8.829999924,8.569999695,8.739999771,8.800000191,8.829999924,9.18999958
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,20.85000038,20.84000015,20.94000053,22.05999947,22.85000038,23.18000031,23.70999908,24.01000023,24.55999947,25.15999985,25.54999924,25.89999962,26.09000015,26.45999908,27.42000008,27.75,27.98999977,28.48999977,29.06999969,29.72999954,30.27000046,30.46999931,30.67000008,31.09000015,32.11999893,32.75999832,32.95999908
New Zealand,13.88000011,14.60999966,14.75,15.34000015,15.84000015,15.52999973,15.94999981,15.86999989,16.37999916,17.13999939,17.09000015,17.31999969,17.35000038,17.79000092,17.89999962,17.92000008,18.01000023,18.36000061,18.52000046,19.04999924,19.21999931,19.56999969,19.89999962,20.17000008,20.06999969,20.10000038,20.32999992
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,20.01000023,20.05999947,20.25,21.09000015,22.23999977,22.86000061,22.98999977,23.40999985,23.48999977,24.45999908,25.31999969,26.40999985,27.21999931,27.84000015,28.88999939,29.82999992,30.82999992,31.68000031,31.71999931,32.11000061,33.38999939,34.54999924,35.31000137,36.43999863,37.16999817,37.70000076,37.99000168
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,4.159999847,,4.099999905,,,,,,5.860000134,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,6.320000172,6.079999924,6.110000134,6.690000057,7.110000134,7.039999962,7.440000057,7.769999981,8.159999847,8.460000038,9.170000076,9.710000038,10.11999989,10.56999969,11.06999969,11.52000046,11.60999966,11.92000008
Portugal,10.51000023,10.80000019,11.11999989,10.68999958,10.71000004,11.14000034,11.67000008,12,12.60000038,12.77999973,12.60999966,13.31000042,13.82999992,13.93000031,14.31000042,14.48999977,15.17000008,15.82999992,16.18000031,16.38999939,17.14999962,16.45999908,16.52000046,16.70000076,16.35000038,16.54000092,16.56999969
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,
