Forest area (sq. km),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500,,,,,,,,,,13500,,,,,13500,,,,,13500,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7890,,,,,,,,,,7690,,,,,7820,,,,,7760,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16670,,,,,,,,,,15790,,,,,15360,,,,,14920,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,180,,,,,180,,,,,180,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,160,,,,,160,,,,,160,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609760,,,,,,,,,,597280,,,,,591040,,,,,584800,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347930,,,,,,,,,,318610,,,,,305990,,,,,294000,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470,,,,,,,,,,3040,,,,,2830,,,,,2620,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,4,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545000,,,,,,,,,,1549200,,,,,1539200,,,,,1493000,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37760,,,,,,,,,,38380,,,,,38620,,,,,38870,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9360,,,,,,,,,,9360,,,,,9360,,,,,9360,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5150,,,,,,,,,,5150,,,,,5150,,,,,5150,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4.6,,,,,4.8,,,,,10,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14940,,,,,,,,,,14680,,,,,14550,,,,,14420,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,80,,,,,80,,,,,80,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77800,,,,,,,,,,82730,,,,,84360,,,,,86300,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6770,,,,,,,,,,6670,,,,,6730,,,,,6780,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15860,,,,,,,,,,14890,,,,,14410,,,,,13930,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57610,,,,,,,,,,50610,,,,,48110,,,,,45610,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10,,,,,10,,,,,10,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30350,,,,,,,,,,31410,,,,,31950,,,,,32490,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627950,,,,,,,,,,600910,,,,,587340,,,,,571960,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22100,,,,,,,,,,21850,,,,,21850,,,,,21850,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137180,,,,,,,,,,125350,,,,,119430,,,,,113510,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5748390,,,,,,,,,,5459430,,,,,5304940,,,,,5195220,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4130,,,,,,,,,,3970,,,,,3890,,,,,3800,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33270,,,,,,,,,,33750,,,,,36510,,,,,39270,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68470,,,,,,,,,,62480,,,,,59490,,,,,56490,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890,,,,,,,,,,1980,,,,,1810,,,,,1720,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129440,,,,,,,,,,115460,,,,,107310,,,,,100940,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243160,,,,,,,,,,221160,,,,,210160,,,,,199160,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101340,,,,,,,,,,3101340,,,,,3101340,,,,,3101340,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,820,,,,,840,,,,,850,
