"Residential electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714128520,529095220,583104940,759136620,780140400,883158940,1175211500,1105198900,1500270000,2221399780,2463443340,2405432900,3070552600,3011541980,2791502380,2733491940,1977355860,2070372600,2303414540
Algeria,,,,,,,,,,,,387069660,436078480,511091980,575103500,635114300,755135900,835150300,974175320,1089196020,1061190980,1161208980,1486267480,1643295740,2040367200,2297413460,3818687240,4194754920,4601828180,5231941580,6057090080,6423155960,7120281420,7126282500,7609369440,7967433880,8439518840,8542537380,9587725480,10570902420,11333039580,12036166120,12821307420,14318576880,14954691360,17330118860,16603988180,17719188880,19923585600
Angola,,,,,,,,,,,,389070020,440079200,517093060,646116280,686123480,308055440,308055440,308055440,330059400,354063720,354063720,378068040,410073800,351063180,422075960,422075960,425076500,428077040,430077400,432077760,435078300,437078660,439079020,441079380,443079740,474085320,664119520,725130500,735132300,795143100,902162360,971174780,1100198000,1234222120,1450261000,1630293400,1828329040,2198395640
Argentina,,,,,,,,,,,,5279950220,5595006920,5872056780,6095096920,6660198620,7446340100,7631373400,8005440720,8478525860,8863595160,8960612620,8639554840,9020623420,9579724040,9747754280,10538896660,11772118600,11132003400,10573902960,11120001240,12016162520,13365405340,14691644020,15923865780,17099077280,17634173580,18518332700,19181452040,20576703140,21379847680,21914943980,21250824460,21580883860,22514051800,24305374180,26090695480,28557139360,31257625360
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047368460,2405432900,2423436140,1357244260,970174600,641115380,1084195120,2431437580,1764317520,1618291240,1558280440,1477265860,1496269280,1601288180,1644295920,1723310140,1709307620,1767318060,1792322560
Australia,6773218960,7546358100,8052449180,8790582020,9587725480,10347862280,11224019960,12231201220,13051348820,14348582280,15332759400,16630993040,17954231180,18677361320,19751554640,22126982140,23224179600,25322557240,26532775040,28211077080,28975214600,30504489820,32012761260,32341820480,33270987700,32581863680,34474204240,35564400440,36169509340,36632592680,38548937560,39256064820,39325077240,40649315560,40569301160,42170589340,43210776540,44784059680,46192313120,47327517420,48772777520,49605927460,51259225000,50927165240,53263585720,55398970020,56093094940,56260125000,58205475100
Austria,1728311040,1894340920,2142385560,2352423360,2602468360,2830509400,3040547200,3323598140,3627652860,3982716760,4414794520,4885879300,5502990360,6071092600,6403152360,6788221660,7379328040,7669380240,8155467720,8385509120,8769578240,7431337400,7334319940,7504350540,7839410840,8323497960,8434517940,11037986480,11318036880,11529074860,11879137860,12602268000,12775299140,13142365200,12980336040,13593446380,14200555640,13885498940,13949510460,14045527740,14195554740,15308755080,15767837700,16898041100,16772018420,17073072600,17010061260,16825027960,16970054060
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700306000,,,,360064800,7910423620,9873776960,11282030400,10173830960,10408873260,12081174220,11906142720,11255025540,13797483100,8335500120,7445339920
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,1136204480,1370246600,1503270540,1557280260,1643295740,1712308160,1814326520,1695305100,1989358020,2167390060,2329419220,2437438660,2651477180,2673481140,2984537120,3091556380,3082554760,3262587160,3525634500,3740673200,3935708300,4309775620,5098917640,5988077660,5253945540
Bangladesh,,,,,,,,,,,,131023580,131023580,136024480,179032220,155027900,135024300,147026460,210037800,228041040,228041040,297053460,359064620,463083340,544097920,657118260,743133740,852153360,924166320,1097197460,1223220140,1433257940,1959352620,2312416160,2534456120,2804504720,3541637380,3697665460,3965713700,4443799740,5502990360,6187113480,6775219320,7259306440,8011441800,8530535220,9314676340,9411693800,10458882260
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485627300,4757856260,4396791280,4504810720,4591826380,4871876780,5077913860,5347962460,5580004220,5832049580,5566001700,5577003680,5779040040,6059090440,6053089360,5960072620,5739032840,6010081620,6326138500
Belgium,1504270720,1714308520,2003360540,2258406440,2520453600,2876517680,3201576180,3493628740,3922705960,4410793800,4920885600,5440979200,6116100700,7604368540,8334499940,9277669680,10172830780,11051989000,11981156220,12690283840,13114360160,13458422080,13712467800,14203556180,14648636280,15504790360,15974874960,16894040380,17056069540,17717188520,18417314520,19900581460,20248644100,21093796200,21361844440,22112979620,23233181220,22937127940,23392209840,23486226760,23742272840,24400391280,25925665780,26030684680,26547777740,26011681260,22726089960,21859934080,19985596760
Benin,,,,,,,,,,,,5000900,6001080,7001260,8001440,8001440,9001620,6001080,83014940,41007380,47008460,55009900,31005580,67012060,61010980,67012060,69012420,77013860,81014580,82014760,82014760,82014760,81014580,99017820,110019800,119021420,84015120,103018540,105018900,156028080,161028980,173031140,236042480,206037080,225040500,282050760,289052020,302054360,317057060
Bolivia,,,,,,,,,,,,189034020,190034200,195035100,210037800,224040320,239043020,258046440,289052020,327058860,359064620,396071280,398071640,424076320,466083880,504090720,557100260,616110880,666119880,698125640,722129960,755135900,802144360,857154260,951171180,1036186480,1083194940,1171210780,1251225180,1321237780,1390250200,1401252180,1447260460,1487267660,1550279000,1646296280,1744313920,1833329940,1970354600
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3014542520,2754495720,2460442800,1988357840,2413434340,2530455400,2657478260,3192574560,3730671400,3865695700,3662659160,3734672120,3782680760,3864695520,3858694440,4076733680,4118741240,4113740340,4255765900
Botswana,,,,,,,,,,,,,,,,,,,,,,29005220,33005940,35006300,40007200,42007560,43007740,43007740,58010440,72012960,79014220,88015840,97017460,124022320,149026820,162029160,174031320,190034200,174031320,190034200,206037080,334060120,367066060,412074160,537096660,566101880,573103140,682122760,745134100
Brazil,,,,,,,,,,,,9229661040,9933787760,10944969740,12022163600,13212377800,14879677860,17136083940,18949410280,21023783600,23267187340,25056509360,27075872780,29741352480,30931566680,32639874120,35761435900,38385908220,40541296120,43735871040,48674759880,51046186660,51874335700,53638653220,55962071360,63592444580,69068430080,74084332780,79392288040,81305632380,83508028740,73783278600,72765095360,76156705740,78591143860,83207974740,85825445800,90897358580,95602205300
Brunei,,,,,,,,,,,,71012780,71012780,70012600,71012780,71012780,71012780,71012780,71012780,71012780,98017640,135024300,162029160,195035100,214038520,219039420,222039960,298053640,313056340,323058140,334060120,340061200,359064620,388069840,420075600,462083160,485087300,536096480,515092700,500090000,523094140,478086040,389070020,455081900,473085140,394070920,310055800,338060840,1207217260
Bulgaria,,,,,,,,,,,,2827508860,3227580860,3647656460,4113740340,4588825840,5192934560,5533995940,5837050480,6510171620,6845231920,7001260000,8001440000,8501530000,9445699920,9553719360,8686563300,9446700100,9936788300,10184832940,10475885320,10406872900,9999799640,10022803780,9807765080,10957972080,11488067480,9883778760,10541897200,10116820700,9859774440,9752755180,9307675080,9312675980,8771578600,9047628280,9306674900,9377687680,10028804860
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70012600,122021960,158028440,185033300,165029700,213038340,239043020,263047340,269048420,327058860,382068760,473085140,613110340,742133560
Cameroon,,,,,,,,,,,,44007920,72012960,79014220,85015300,95017100,108019440,122021960,142025560,164029520,179032220,193034740,232041760,249044820,261046980,310055800,302054360,330059400,330059400,334060120,317057060,319057420,340061200,348062640,295053100,289052020,321057780,350063000,395071100,400072000,387069660,387069660,457082260,496089280,548098640,518093240,803144540,778140040,1075193500
Canada,16481966220,18743373200,19069431880,20068611700,22761096260,25509590900,30041406480,31940748300,34541216300,38481925500,42828707780,49151845740,47966632440,51958350820,59305673100,64139543040,70824746160,76619789080,78935205780,80208434920,84844269220,87260704100,90893357860,95880255340,100501086940,103747671220,109086632060,111625088900,120645712320,129877373720,129854369580,129409289480,132257802120,132432833620,132905918760,131633689800,135272344640,134513208020,129345277960,133308991300,138258882120,140266243380,142666675380,148016638200,151005176040,151013177480,147011457300,152886514620,160729926180
Chile,,,,,,,,,,,,852153360,1053189540,1178212040,1196215280,1275229500,1277229860,1438258840,1565281700,1668300240,1786321480,1910343800,1957352260,1805324900,1641295380,1996359280,2330419400,2501450180,2513452340,2472444960,4331779580,4544817920,4949890820,5377967860,5866055700,6303134360,7043267560,5258946440,5732031580,5975075320,6182112580,6908243260,7163289160,7341321200,7835410120,8285491120,8547538280,8903602360,8750574820
China,,,,,,,,,,,,4839871020,5329959220,5833049760,5903062360,6849232640,7104278540,7813406160,8972614780,9860774620,10521893600,11802124000,12052169000,13732471400,15912863800,12252205000,14782660400,16232921400,19443499200,22514051800,48088654400,54369784800,64011520000,73722267620,86712605460,100576100440,113324394720,125337556700,132473841000,148104654040,167225095100,183956106140,200178025560,223844284720,246493360820,282531846580,325216528440,362336208780,439689129800
Colombia,,,,,,,,,,,,3375607500,3578644040,3273589140,3117561060,4102738360,4534816120,4733851940,5519993420,6239122840,6854233540,6965253520,7917424880,8249484640,8820587420,9322677780,9865775520,10552899180,11003980360,11982156400,12568261880,13002340000,11984156760,13214378160,14095536740,14630633040,14748654280,14731651220,12099177460,11595086740,11132003400,14472604600,14405592540,15164729160,15794842560,16256925720,16907042720,17621171240,18149266280
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,735132300,800144000,800144000,893160740,866155880,950171000,950171000,1064191520,1394250920,1654297720,1699305820,1710307800,1690304200,1579284220,957172260,1176211680,1309235620,1514272520,1052189360,1054189720,1010181800,1012182160,1015182700,1066191880,1232221760,1221219780,1228221040,1323238140,1499269820,1562281160,2631473580,2055369900,2045368100
"Congo, Rep.",,,,,,,,,,,,37006660,39007020,43007740,47008460,52009360,58010440,58010440,60010800,63011340,67012060,43007740,103018540,72012960,147026460,91016380,239043020,173031140,146026280,144025920,141025380,170030600,165029700,143025740,141025380,149026820,163029340,134024120,104018720,67012060,117021060,132023760,142025560,145026100,155027900,179032220,192034560,213038340,220039600
Costa Rica,,,,,,,,,,,,657118260,723130140,763137340,832149760,889160020,971174780,984177120,1066191880,1033185940,1213218340,1314236520,1454261720,1484267120,1578284040,1704306720,1852333360,2016362880,2084375120,1464263520,1561280980,1615290700,1662299160,1792322560,1920345600,1965353700,2043367740,2119381420,2273409140,2381428580,2514452520,2610469800,2749494820,2861514980,2928527040,3059550620,3185573300,3285591300,3346602280
Cote d'Ivoire,,,,,,,,,,,,78014040,96017280,124022320,130023400,165029700,188033840,231041580,277049860,386069480,458082440,480086400,544097920,570102600,463083340,475085500,487087660,499089820,511091980,523094140,535096300,547098460,559100620,571102780,583104940,600108000,660118800,927166860,858154440,900162000,939169020,923166140,913164340,921165780,1012182160,965173700,1083194940,1249224820,1293232740
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465803700,4461802980,4048728640,4146746280,4209757620,4621831780,4898881640,5189934020,5267948060,5743033560,5730031220,5560000620,5955071720,5695024920,6073092960,6334139940,6521173600,6393150560,6712207980
Cuba,,,,,,,,,,,,1019183420,1112200160,1166209880,1224220320,1311235980,1401252180,1581284580,1763317340,1975355500,2117381060,2042367560,2229401220,2344421920,2485447300,2682482760,2899521820,2912524160,3064551520,3252585360,3306595080,3245584100,3001540180,2943529740,3285591300,3274589320,3350603000,3635654300,3790682200,3991718380,4246764280,4487807660,4893880740,5123922140,5009901620,5085915300,5595006920,6132103580,6054089540
Cyprus,,,,,,,,,,,,154027720,178032040,197035460,177031860,136024480,140025200,157028260,172030960,175031500,183032940,192034560,206037080,228041040,234042120,254045720,270048600,312056160,362065160,407073260,449080820,472084960,587105660,651117180,675121500,759136620,824148320,834150120,904162720,952171360,1055189900,1042187560,1157208260,1295233100,1316236880,1433257940,1500270000,1608289440,1683302940
Czech Rep.,,,,,,,,,,,,3234582120,3624652320,3924706320,4228761040,4610829800,5036906480,5331959580,5876057500,5884058940,6175111320,6367145880,6639194840,7001260000,7518353060,8007441080,8312495980,8731571400,8872596780,9236662300,9624732140,9874777140,10344861740,11401051820,13186373120,14849672460,16013881980,15505790540,14508611080,14050528640,13824487960,14241563020,14123541780,14510611440,14527614500,14721649420,15200735640,14648636280,14705646540
Denmark,,,,,,,,,,,,,,6601188000,6264127340,6571182600,6701206000,6901242000,7271308600,7681382400,7441339200,7373326960,7421335600,8041447200,8463523160,9137644480,9582724580,9966793700,9943789560,9902782180,9671740600,10136824300,10210837620,10333859760,10429877040,10296853100,10597907280,10318857060,10264847340,10285851120,10216838700,10160828620,10191834200,10263847160,10333859760,10450880820,10574903140,10350862820,10334859940
Dominican Rep.,,,,,,,,,,,,770138600,1049188820,1128203040,1093196740,1244223920,1198215640,1349242820,1325238500,1582284760,1512272160,1570282600,1198215640,1233221940,1372246960,1687303660,1675301500,1850333000,1872336960,1674301320,2488447840,2722489960,2976535680,2855513900,3009541620,2892520560,3601648180,3631653580,3821687780,3911703980,4280770400,2839511020,3170570600,4439799020,4540817200,4217759060,4168750240,4364785520,4327778860
Ecuador,,,,,,,,,,,,304054720,341061380,356064080,400072000,550099000,600108000,700126000,800144000,884159120,1035186300,1116200880,1209217620,1337240660,1337240660,1395251100,1419255420,1663299340,1686303480,1721309780,1870336600,2016362880,2136384480,2200396000,2427436860,2573463140,2894520920,3249584820,3402612360,2944529920,2794502920,2897521460,3095557100,3330599400,3533635940,3701666180,3895701100,4103738540,4384789120
Egypt,,,,,,,,,,,,2030365400,2045368100,2055369900,2355423900,2670480600,3018543240,3507631260,3660658800,4025724500,4560820800,5085915300,5484987120,6817226880,7764397340,8851593000,9805764720,10826948500,11443059380,12358224080,13346401920,14146545920,14420595240,15174730960,15945869740,16832029220,17111079440,17920225060,19902581820,21824927780,23550238280,25677621140,27721989060,29828368140,31316635980,33906102000,36602587280,40278248780,43818885980
El Salvador,,,,,,,,,,,,257046260,258046440,313056340,336060480,367066060,401072180,448080640,505090900,552099360,384069120,383068940,400072000,437078660,461082980,477085860,511091980,552099360,592106560,620111600,651117180,707127260,750135000,839151020,912164160,1005180900,1058190440,1149206820,1199215820,1365245700,1316236880,1336240480,1373247140,1322237960,1749314820,1535276300,1586285480,1624292320,1807325260
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36006480,31005580,32005760,36006480,42007560,49008820,57010260,61010980,61010980,69012420,78014040,85015300,92016560,98017640,94016920,100018000,102018360
