Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Austria,0.022,0.282,0.63,0.537,0.299,-0.079,0.029,0.291,0.68,0.173,0.561,0.374,0.188,0.171,0.142,0.085,0.005,-0.059,-0.103,-0.126
Azerbaijan,2.769,3.156,3.219,2.455,1.905,1.592,1.59,1.561,1.527,0.849,0.8,1.107,1.072,0.855,0.582,0.381,0.275,0.2,0.081,-0.067
Bahamas,2.274,4.26,4.955,3.786,2.133,2.134,2.122,1.798,1.912,1.61,1.313,1.207,1.112,1.005,0.895,0.761,0.608,0.49,0.366,0.252
Bahrain,2.907,3.1,4.037,2.785,4.278,4.875,3.507,3.515,3.173,2.359,2.254,2.075,1.771,1.556,1.367,1.231,1.072,0.898,0.722,0.559
Bangladesh,2.109,2.223,2.364,2.539,2.667,2.683,2.609,2.315,2.046,1.888,1.683,1.424,1.271,1.146,0.994,0.824,0.65,0.509,0.391,0.263
Barbados,1.489,0.294,0.39,0.3,0.564,0.275,0.434,0.406,-0.13,-0.497,0.126,0.259,0.239,0.157,0.03,-0.122,-0.274,-0.413,-0.543,-0.652
Belarus,0.15,0.967,0.993,0.981,0.712,0.613,0.692,0.516,0.019,-0.425,-0.478,-0.471,-0.492,-0.525,-0.583,-0.659,-0.728,-0.783,-0.845,-0.906
Belgium,0.535,0.65,0.636,0.381,0.302,0.099,-0.024,0.237,0.302,0.215,0.431,0.535,0.334,0.312,0.256,0.199,0.143,0.097,0.061,0.032
Belize,2.981,2.973,2.816,2.761,1.728,1.451,2.763,2.791,2.976,2.652,2.309,2.061,1.887,1.708,1.492,1.261,1.036,0.88,0.75,0.611
Benin,0.739,1.29,1.763,2.128,2.406,2.709,2.932,3.025,3.539,3.029,3.335,3.154,2.896,2.685,2.454,2.241,2.052,1.87,1.688,1.509
Bermuda,1.737,1.911,1.766,1.162,0.946,0.647,0.615,0.678,0.536,0.465,0.412,0.254,0.154,0.106,0.047,-0.039,-0.139,-0.234,-0.303,-0.317
Bhutan,3.085,2.623,2.634,3.054,3.678,3.33,2.582,2.644,-1.517,1.964,2.934,1.728,1.653,1.266,1.068,0.848,0.715,0.629,0.543,0.424
Bolivia,2.046,2.177,2.236,2.334,2.444,2.362,2.155,2.234,2.302,2.111,1.978,1.768,1.578,1.394,1.218,1.049,0.888,0.735,0.596,0.468
Bosnia and Herzegovina,2.018,1.543,1.317,0.966,1,0.869,1.036,0.886,-5.138,2.06,0.469,-0.115,-0.174,-0.272,-0.38,-0.492,-0.622,-0.751,-0.851,-0.918
Botswana,2.592,2.187,2.564,3.025,3.309,3.731,3.279,3.048,2.738,2.113,1.309,1.452,1.256,1.123,0.959,0.817,0.681,0.635,0.615,0.568
Brazil,3.057,2.912,2.956,2.59,2.381,2.352,2.257,1.88,1.559,1.487,1.322,0.98,0.748,0.601,0.449,0.31,0.198,0.076,-0.017,-0.132
British Virgin Islands,0.58,0.904,1.894,2.154,1.333,0.99,3.811,4.268,2.237,2.12,1.403,1.116,0.902,0.758,0.666,0.56,0.401,0.209,0.045,-0.059
Brunei,5.565,5.096,4.512,4.707,4.298,3.654,2.887,2.838,2.756,2.454,2.083,1.904,1.698,1.526,1.409,1.264,1.111,0.969,0.851,0.762
Bulgaria,0.673,0.958,0.839,0.684,0.537,0.32,0.222,-0.318,-1.077,-0.857,-0.678,-0.636,-0.634,-0.69,-0.771,-0.857,-0.9,-0.891,-0.9,-0.95
Burkina Faso,1.337,1.578,1.609,1.835,1.919,2.119,2.314,2.692,2.778,2.846,3.266,3.39,3.095,2.801,2.544,2.354,2.19,2.004,1.796,1.597
Burundi,1.792,1.806,1.772,1.789,0.928,2.305,3.356,3.022,1.641,0.967,2.619,2.875,1.997,1.835,1.571,1.343,1.21,1.145,1.068,0.939
Cambodia,2.154,2.313,2.45,2.439,0.455,-1.011,3.65,3.588,3.216,2.288,1.663,1.643,1.662,1.585,1.382,1.154,0.991,0.894,0.808,0.683
Cameroon,1.853,1.972,2.233,2.462,2.697,2.972,2.923,3.039,2.776,2.424,2.327,2.263,2.101,1.876,1.677,1.543,1.439,1.323,1.19,1.054
Canada,2.717,2.587,1.884,1.972,1.271,1.154,1.054,1.389,1.124,0.923,1.029,0.957,0.924,0.886,0.822,0.73,0.617,0.529,0.466,0.434
Cape Verde,2.953,2.955,3.07,3.07,0.803,0.804,1.923,2.131,2.341,1.95,1.68,1.421,1.34,1.252,1.098,0.903,0.702,0.512,0.335,0.163
Caribbean,1.896,1.957,2.164,1.88,1.745,1.47,1.424,1.397,1.271,1.068,0.968,0.843,0.763,0.676,0.587,0.463,0.337,0.216,0.101,-0.01
Cayman Islands,1.162,3.912,1.68,1.676,5.392,5.553,3.459,4.683,4.612,4.1,5.267,1.482,0.894,0.744,0.624,0.493,0.339,0.177,0.021,-0.111
Central African Rep.,1.068,1.431,1.842,2.069,1.962,2.359,2.877,2.228,2.597,2.326,1.815,1.881,1.788,1.61,1.468,1.354,1.225,1.109,1.004,0.905
Central America,2.93,3.141,3.129,3.033,2.952,2.598,2.029,1.997,1.972,1.724,1.305,1.188,1.111,0.965,0.855,0.731,0.58,0.417,0.258,0.107
Chad,1.943,2.054,2.174,2.147,2.414,2.071,2.501,3.126,3.097,3.289,3.52,2.769,2.624,2.542,2.53,2.354,2.155,1.967,1.802,1.651
