Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Mongolia,2.195,2.419,2.632,2.761,2.842,2.777,2.758,2.984,0.479,1.025,1.301,1.153,1.106,1.006,0.859,0.643,0.456,0.348,0.272,0.179
Montenegro,1.467,1.689,1.644,0.471,1.134,0.963,-0.002,0.377,1.216,1.149,-1.121,0.029,0.036,0.138,0.074,0.019,-0.037,-0.11,-0.16,-0.19
Montserrat,1.101,-3.325,-0.433,-0.368,0.262,0.231,-1.021,-1.067,-0.952,-14.492,2.535,1.153,0.886,0.66,0.53,0.425,0.323,0.214,0.118,0.031
More developed regions,1.213,1.166,1.085,0.849,0.768,0.657,0.578,0.598,0.471,0.342,0.358,0.337,0.283,0.214,0.138,0.071,0.022,-0.011,-0.042,-0.068
Morocco,2.475,2.75,2.725,2.78,2.45,2.457,2.614,2.132,1.657,1.346,1.125,1.2,1.169,1.06,0.899,0.723,0.571,0.449,0.354,0.251
Mozambique,1.58,1.846,2.049,2.185,2.326,2.683,1.864,0.327,3.266,2.699,2.649,2.327,2.07,1.901,1.772,1.662,1.524,1.377,1.247,1.138
Myanmar,1.966,2.146,2.182,2.325,2.478,2.32,2.189,1.739,1.426,1.214,0.731,0.87,1.001,0.888,0.739,0.605,0.488,0.379,0.279,0.165
Namibia,2.043,2.282,2.493,2.68,2.981,2.246,2.555,4.15,2.682,2.37,1.932,1.925,1.733,1.609,1.444,1.262,1.076,0.943,0.851,0.756
Nauru,4.073,4.043,5.163,2.47,1.701,1.147,1.754,2.268,1.707,0.146,0.145,0.281,0.613,0.447,0.308,0.163,0.047,-0.052,-0.165,-0.259
Nepal,1.739,1.784,1.937,2.157,2.32,2.398,2.382,2.379,2.478,2.441,2.162,1.845,1.701,1.633,1.508,1.33,1.15,1.001,0.868,0.73
Netherlands,1.222,1.324,1.36,1.175,0.941,0.695,0.472,0.632,0.652,0.595,0.498,0.409,0.311,0.268,0.238,0.172,0.084,-0.011,-0.081,-0.106
Netherlands Antilles,1.863,1.864,1.671,1.671,0.878,0.878,0.918,0.947,0.004,-1.077,0.63,1.475,0.621,0.255,0.066,-0.108,-0.245,-0.36,-0.478,-0.619
New Caledonia,0.849,2.852,3.154,2.852,4.044,2.033,1.695,1.928,2.422,2.17,1.747,1.546,1.345,1.208,1.062,0.926,0.799,0.683,0.58,0.488
New Zealand,2.258,2.096,2.05,1.407,1.787,0.411,0.79,0.67,1.696,0.969,1.216,0.917,0.857,0.774,0.682,0.574,0.472,0.389,0.327,0.273
Nicaragua,3.045,3.256,3.011,3.024,3.072,2.998,2.643,2.184,2.375,1.81,1.343,1.302,1.465,1.289,1.096,0.911,0.742,0.573,0.403,0.232
Niger,2.754,2.75,2.996,3.036,2.991,3.03,2.843,2.93,3.257,3.41,3.441,3.86,3.73,3.617,3.539,3.461,3.311,3.064,2.765,2.48
Nigeria,2.036,2.119,2.206,2.268,2.488,3.061,2.666,2.675,2.527,2.45,2.417,2.327,2.117,1.878,1.668,1.521,1.407,1.291,1.155,1.013
Niue,-0.207,0.735,0.665,0.494,-3.82,-3.795,-4.863,-3.362,-1.649,-2.32,-2.747,-2.678,-2.595,-1.513,-1.692,0.093,0.147,0.183,0.073,0.054
Northern Africa,2.342,2.504,2.458,2.585,2.539,2.72,2.876,2.49,2.078,1.816,1.699,1.713,1.595,1.42,1.219,1.053,0.918,0.796,0.673,0.541
NORTHERN AMERICA,1.713,1.776,1.408,1.071,0.936,0.946,0.959,1.174,1.194,1.202,1.011,0.96,0.906,0.821,0.724,0.628,0.542,0.47,0.406,0.365
Northern Europe,0.391,0.527,0.76,0.564,0.375,0.194,0.192,0.301,0.246,0.234,0.436,0.506,0.461,0.427,0.393,0.333,0.272,0.242,0.23,0.221
Northern Mariana Islands,2.673,4.459,1.907,3.339,2.871,2.284,11.595,7.543,5.523,3.574,3.008,1.949,1.627,1.532,1.433,1.347,1.277,1.222,1.181,1.152
Norway,0.969,0.879,0.778,0.813,0.659,0.387,0.325,0.424,0.547,0.564,0.665,0.927,0.729,0.643,0.623,0.564,0.473,0.389,0.332,0.302
West Bank and Gaza,0.725,1.102,1.7,-1.796,2.717,3.246,3.782,3.78,3.891,3.703,3.555,3.176,2.871,2.633,2.42,2.214,1.988,1.779,1.585,1.41
OCEANIA,2.149,2.158,2.264,1.98,1.611,1.499,1.592,1.609,1.521,1.4,1.484,1.314,1.226,1.135,1.052,0.949,0.841,0.742,0.658,0.586
Oman,2.019,2.259,2.546,3.019,4.11,5.169,5.035,3.757,3.284,2.016,1.719,2.083,1.923,1.775,1.578,1.361,1.156,0.99,0.857,0.724
Pakistan,1.552,1.836,2.133,2.584,2.859,2.962,3.48,3.271,2.379,2.55,2.255,2.163,2.129,1.918,1.703,1.517,1.372,1.243,1.098,0.935
Palau,2.453,2.816,1.719,1.283,1.34,0.346,2.151,1.819,2.663,2.448,0.861,0.399,0.495,1.066,1.072,0.907,0.628,0.382,0.264,0.247
Panama,2.555,2.844,2.911,2.908,2.692,2.468,2.195,2.056,2.048,1.98,1.818,1.644,1.456,1.299,1.158,1.01,0.854,0.697,0.547,0.428
Papua New Guinea,1.333,1.584,1.912,2.187,2.308,2.198,2.565,2.549,2.62,2.691,2.543,2.371,2.17,1.959,1.799,1.642,1.476,1.307,1.146,1.002
Paraguay,2.565,2.597,2.657,2.635,2.426,2.626,2.93,2.752,2.443,2.163,1.97,1.799,1.626,1.447,1.269,1.107,0.953,0.814,0.687,0.57
Peru,2.553,2.713,2.877,2.805,2.783,2.668,2.387,2.182,1.898,1.651,1.361,1.159,1.121,1.051,0.978,0.838,0.699,0.562,0.429,0.302
Philippines,2.993,3.055,3.085,2.939,2.789,2.699,2.688,2.522,2.28,2.094,1.915,1.815,1.663,1.505,1.338,1.178,1.023,0.874,0.735,0.595
Pitcairn,1.906,0.278,-6.84,-2.698,-5.314,-1.819,-0.32,0.945,-1.27,-1.009,-2.968,0,0.396,1.51,-0.367,-0.374,0,-0.381,-0.388,0
Poland,1.888,1.657,1.184,0.761,0.811,0.896,0.895,0.483,0.253,-0.084,-0.122,-0.084,-0.132,-0.155,-0.286,-0.425,-0.53,-0.597,-0.641,-0.683
Polynesia,2.58,2.799,2.962,2.79,1.101,1.331,1.211,1.337,1.317,1.147,1.002,0.806,0.767,0.797,0.742,0.648,0.565,0.387,0.226,0.115
Portugal,0.482,0.567,0.316,-0.72,0.93,1.428,0.53,-0.099,0.117,0.372,0.617,0.349,0.102,-0.038,-0.114,-0.161,-0.202,-0.255,-0.324,-0.392
Puerto Rico,0.286,0.953,1.808,1.006,1.575,1.681,1.105,0.867,0.958,0.627,0.487,0.43,0.377,0.294,0.199,0.093,-0.015,-0.094,-0.146,-0.192
Qatar,6.729,5.026,8.837,9.28,8.603,5.86,9.044,5.188,2.351,3.195,7.23,10.653,1.551,1.308,1.205,1.087,0.993,0.908,0.82,0.71
"Korea, Rep.",1.939,3.383,2.488,2.041,1.986,1.518,1.563,1.188,0.762,0.781,0.484,0.389,0.267,0.13,0.003,-0.137,-0.297,-0.471,-0.637,-0.773
Moldova,2.305,2.679,2.097,1.496,1.316,0.872,0.997,0.695,-0.116,-1.131,-1.736,-1.002,-0.644,-0.491,-0.522,-0.673,-0.739,-0.744,-0.748,-0.808
Reunion,3.219,2.789,3.013,3.353,0.946,0.946,1.833,1.694,1.887,1.731,1.602,1.308,1.138,0.999,0.867,0.738,0.611,0.469,0.331,0.232
Romania,1.391,1.027,0.668,1.243,0.957,0.881,0.466,0.42,-0.458,-0.485,-0.46,-0.415,-0.384,-0.396,-0.415,-0.479,-0.531,-0.576,-0.619,-0.681
Russia,1.626,1.471,1.11,0.567,0.581,0.648,0.693,0.621,0.058,-0.248,-0.483,-0.395,-0.342,-0.377,-0.457,-0.533,-0.547,-0.523,-0.506,-0.51
Rwanda,2.784,3,2.071,3.294,3.105,3.284,3.241,3.14,-5.466,7.606,2.444,2.672,2.667,2.39,2.07,1.857,1.752,1.671,1.539,1.352
Saint Helena,-0.178,-0.791,-0.422,1.245,1.245,0.556,0.848,-0.326,-1.029,-0.774,-1.44,-1.351,-0.646,0.655,0.524,0.381,0.246,0.111,0.043,-0.009
Saint Kitts and Nevis,1.04,1.079,-0.796,-1.84,-0.268,-0.511,-0.547,-0.621,1.139,1.327,1.297,1.273,1.204,1.071,0.901,0.74,0.596,0.477,0.368,0.258
Saint Lucia,0.925,0.746,1.375,1.566,1.047,1.449,1.387,1.782,1.237,1.306,0.998,1.032,0.943,0.858,0.75,0.614,0.487,0.373,0.259,0.143
Saint-Pierre-et-Miquelon,0.658,0.796,0.707,1.369,1.51,0.394,0.357,0.562,0.073,-0.086,-0.425,-0.338,0.01,-0.003,-0.02,0,0.007,0.003,0.017,-0.01
Saint Vincent and the Grenadines,1.858,1.924,1.204,1.018,1.102,0.991,0.771,0.575,0.118,-0.037,0.159,0.104,0.046,0.136,0.192,0.229,0.287,0.349,0.24,0.145
Samoa,2.736,3.099,2.879,2.293,1.096,0.608,0.245,0.553,0.844,0.96,0.271,-0.003,0.246,0.301,0.407,0.387,0.428,0.103,-0.16,-0.279
San Marino,1.507,2.231,2.455,1.937,0.564,1.627,1.264,1.148,1.235,0.952,2.308,0.838,0.562,0.293,0.19,0.107,0.035,-0.031,-0.101,-0.163
Sao Tome and Principe,-0.412,1.781,0.171,2.554,2.184,2.847,1.848,2.233,1.938,1.821,1.708,1.608,1.679,1.869,1.749,1.615,1.446,1.257,1.081,0.923
Saudi Arabia,2.309,2.515,3.247,3.622,4.658,5.62,5.849,4.68,2.316,2.618,2.529,2.115,1.949,1.769,1.562,1.34,1.117,0.925,0.813,0.702
Senegal,2.199,2.668,2.827,3.216,3.184,2.846,2.895,2.92,2.776,2.68,2.609,2.621,2.435,2.178,1.956,1.798,1.678,1.542,1.375,1.195
Serbia,1.391,0.99,0.791,0.706,0.871,0.938,0.716,0.629,1.286,-0.138,-0.557,0,-0.056,-0.093,-0.129,-0.156,-0.18,-0.217,-0.262,-0.298
Seychelles,2.589,1.002,2.724,1.023,2.944,1.697,0.261,1.449,0.998,1.386,0.368,0.47,0.303,0.645,0.546,0.458,0.357,0.236,0.108,-0.001
Sierra Leone,1.416,1.539,1.638,1.735,1.885,2.132,2.151,2.348,-0.471,1.167,3.777,2.668,2.331,2.195,2.061,1.95,1.838,1.716,1.59,1.466
Singapore,4.904,4.48,2.808,1.967,1.735,1.3,2.299,2.153,2.861,2.876,1.201,2.507,0.898,0.625,0.54,0.362,0.091,-0.176,-0.364,-0.445
Slovak Republic,1.846,1.746,1.02,0.75,0.894,0.992,0.648,0.445,0.36,0.101,0.027,0.096,0.093,0.017,-0.105,-0.243,-0.347,-0.404,-0.442,-0.487
Slovenia,0.792,0.609,0.627,0.478,0.847,1.006,0.552,0.457,0.406,0.194,0.158,0.236,0.191,0.087,-0.03,-0.129,-0.189,-0.205,-0.213,-0.221
Solomon Islands,2.608,2.905,2.995,3.128,3.644,3.437,3.435,2.862,2.861,2.767,2.622,2.457,2.218,2.006,1.83,1.664,1.493,1.31,1.133,0.967
Somalia,2.155,2.229,2.349,2.542,2.681,8.931,-0.226,0.725,-0.23,2.514,2.441,2.271,2.738,2.641,2.566,2.459,2.295,2.095,1.902,1.738
South Africa,2.344,2.458,2.602,2.544,2.656,2.469,2.508,2.175,2.373,1.623,1.378,0.982,0.467,0.378,0.411,0.354,0.274,0.201,0.146,0.124
South America,2.759,2.705,2.719,2.464,2.312,2.286,2.157,1.932,1.69,1.542,1.35,1.128,0.965,0.833,0.695,0.559,0.434,0.312,0.207,0.1
South-Central Asia,1.854,2.049,2.174,2.259,2.334,2.388,2.383,2.269,2.057,1.825,1.671,1.514,1.386,1.225,1.042,0.866,0.718,0.615,0.505,0.381
South-Eastern Asia,2.104,2.405,2.514,2.506,2.374,2.184,2.252,1.979,1.752,1.5,1.378,1.243,1.099,0.96,0.84,0.718,0.591,0.463,0.34,0.223
Southern Africa,2.299,2.407,2.56,2.541,2.669,2.507,2.546,2.284,2.361,1.683,1.374,1.036,0.575,0.489,0.498,0.43,0.343,0.271,0.216,0.19
Southern Europe,0.874,0.744,0.829,0.712,0.85,0.811,0.439,0.244,0.16,0.197,0.623,0.536,0.329,0.144,0.013,-0.042,-0.066,-0.079,-0.124,-0.191
Spain,0.832,0.842,1.025,1.047,1.1,1.005,0.473,0.215,0.282,0.439,1.343,1.021,0.816,0.568,0.287,0.205,0.187,0.203,0.147,0.052
Sri Lanka,1.725,2.181,2.216,2.243,1.933,1.761,1.421,1.342,1.062,0.577,0.798,0.881,0.728,0.51,0.292,0.146,0.048,-0.056,-0.16,-0.278
Sub-Saharan Africa,2.137,2.315,2.457,2.586,2.702,2.871,2.862,2.829,2.708,2.58,2.49,2.436,2.334,2.165,1.982,1.825,1.681,1.541,1.395,1.245
Sudan,2.345,2.456,2.463,2.587,3.024,3.181,3.187,2.38,2.593,2.475,2.064,2.197,1.998,1.832,1.608,1.465,1.312,1.16,1.016,0.881
Suriname,3.017,2.968,2.717,2.279,-0.423,0.069,0.55,1.574,1.382,1.388,1.349,0.96,0.849,0.742,0.647,0.538,0.37,0.182,0.039,-0.059
Swaziland,2.362,2.558,2.289,2.591,2.967,3.088,3.138,4.057,2.29,2.159,0.812,1.333,1.364,1.344,1.116,0.93,0.793,0.712,0.648,0.592
Sweden,0.695,0.592,0.668,0.783,0.369,0.286,0.096,0.493,0.617,0.075,0.46,0.494,0.437,0.448,0.412,0.322,0.245,0.227,0.238,0.249
Switzerland,1.278,1.262,1.892,1.077,0.502,-0.06,0.471,0.743,0.941,0.41,0.702,0.409,0.369,0.366,0.355,0.317,0.258,0.214,0.198,0.208
Syria,2.422,2.929,3.112,3.312,3.361,3.485,3.739,3.246,2.77,2.446,2.936,3.259,1.694,1.556,1.538,1.331,1.181,1.018,0.87,0.708
Tajikistan,3.035,3.111,3.754,3.153,3.143,2.767,2.888,2.99,1.706,1.331,1.142,1.586,1.852,1.692,1.435,1.163,0.944,0.776,0.635,0.531
"Macedonia, FYR",1.923,0.557,1.245,1.136,1.328,1.375,0.368,0.869,0.559,0.484,0.234,0.079,0.02,0.005,-0.089,-0.203,-0.313,-0.397,-0.449,-0.487
Thailand,2.88,2.994,3.049,2.883,2.547,2.249,2.118,1.513,1.188,0.721,1.122,0.654,0.521,0.426,0.329,0.228,0.122,0.025,-0.057,-0.118
Timor-Leste,1.274,1.605,1.835,1.94,2.129,-2.909,2.5,2.33,2.734,-0.8,3.915,3.329,3.354,3.104,2.886,2.568,2.29,2.12,2.008,1.877
Togo,1.578,1.709,1.755,4.414,2.759,2.579,3.667,3.203,2.425,3.378,2.654,2.471,2.301,2.091,1.891,1.718,1.557,1.407,1.254,1.1
Tokelau,0.366,3.045,-0.097,-3.175,-0.152,-0.166,0.47,0.187,-1.404,0.449,-4.683,-0.116,-0.234,0.167,0.149,-0.05,0.05,-0.216,0.1,0.099
Tonga,3.657,3.742,3.816,3.452,-1.003,0.711,-0.897,0.413,0.585,0.247,0.657,0.462,0.117,0.653,0.626,0.65,0.61,0.449,0.23,0.049
Trinidad and Tobago,2.509,3.127,1.228,1.596,0.828,1.335,1.673,0.712,0.738,0.476,0.355,0.382,0.351,0.234,0.065,-0.091,-0.228,-0.334,-0.439,-0.558
Tunisia,1.79,1.787,1.851,2.039,2.005,2.609,2.537,2.279,1.68,1.125,0.883,0.979,0.96,0.867,0.744,0.551,0.387,0.275,0.188,0.091
Turkey,2.717,2.747,2.503,2.473,2.589,2.269,2.107,1.788,1.747,1.647,1.369,1.236,1.095,0.954,0.816,0.678,0.555,0.431,0.313,0.197
Turkmenistan,2.254,3.235,3.413,2.933,2.821,2.538,2.423,2.546,2.649,1.448,1.462,1.331,1.245,1.086,0.86,0.661,0.551,0.46,0.355,0.226
Turks and Caicos Islands,0.586,1.932,-0.193,-0.135,3.002,2.781,4.667,3.906,5.669,4.157,9.625,1.551,1.135,0.841,0.691,0.607,0.488,0.307,0.101,-0.072
Tuvalu,1.481,1.863,2.215,1.352,1.044,0.933,1.432,0.558,0.707,0.682,0.462,0.422,0.417,0.489,0.479,0.378,0.219,0.076,0.009,-0.036
Uganda,2.683,2.807,3.319,3.286,2.858,2.998,3.125,3.62,3.34,3.072,3.219,3.27,3.225,3.079,2.847,2.599,2.363,2.14,1.919,1.697
Ukraine,1.448,1.296,1.161,0.853,0.706,0.415,0.345,0.261,-0.203,-0.878,-0.808,-0.651,-0.566,-0.56,-0.629,-0.698,-0.727,-0.696,-0.66,-0.667
United Arab Emirates,2.51,2.686,9.38,8.863,17.168,12.998,6.575,5.61,5.283,5.729,4.667,2.816,1.966,1.72,1.527,1.411,1.324,1.217,1.096,0.969
United Kingdom,0.229,0.453,0.741,0.477,0.201,0.031,0.085,0.24,0.279,0.296,0.454,0.537,0.519,0.486,0.459,0.403,0.344,0.315,0.304,0.294
Tanzania,2.666,2.838,2.96,3.044,3.215,3.113,3.119,3.089,3.267,2.599,2.671,2.876,2.916,2.687,2.457,2.271,2.107,1.944,1.773,1.604
United States,1.623,1.699,1.362,0.98,0.9,0.924,0.948,1.151,1.202,1.232,1.009,0.961,0.904,0.815,0.714,0.617,0.534,0.463,0.4,0.358
Virgin Islands (U.S.),1.828,2.111,8.379,5.116,5.839,2.749,1.233,-0.27,0.719,0.28,0.208,-0.07,-0.259,-0.406,-0.583,-0.826,-1.076,-1.295,-1.477,-1.625
Uruguay,1.164,1.354,1.192,0.838,0.145,0.594,0.649,0.641,0.723,0.59,0.026,0.28,0.337,0.366,0.302,0.236,0.175,0.104,0.03,-0.04
Uzbekistan,2.78,3.303,3.575,3.14,3.101,2.638,2.608,2.423,2.216,1.558,1.209,1.09,1.162,1.141,0.958,0.731,0.521,0.393,0.307,0.205
Vanuatu,2.841,2.985,3.094,2.874,3.208,2.972,2.39,2.479,2.836,1.936,2.635,2.543,2.351,2.127,1.921,1.741,1.58,1.42,1.253,1.09
Venezuela,4.028,3.923,3.645,3.294,3.445,3.394,2.751,2.613,2.251,1.993,1.815,1.663,1.491,1.311,1.139,0.979,0.827,0.68,0.538,0.432
Vietnam,1.872,2.261,2.485,2.373,2.237,2.112,2.291,2.052,1.93,1.506,1.33,1.145,1.011,0.911,0.808,0.654,0.495,0.348,0.213,0.09
Wallis et Futuna,2.146,1.875,1.485,-0.858,1.242,4.031,3.684,0.045,0.67,0.487,0.318,0.698,0.707,0.632,0.428,0.206,0.077,0.001,-0.064,-0.166
Western Africa,2.036,2.203,2.307,2.396,2.546,2.888,2.796,2.729,2.615,2.599,2.541,2.508,2.348,2.147,1.964,1.825,1.709,1.582,1.437,1.286
Western Asia,2.656,2.68,2.709,2.672,2.81,2.789,2.81,2.52,2.299,2.19,2.071,1.948,1.692,1.542,1.404,1.226,1.08,0.939,0.811,0.679
Western Europe,0.659,0.838,1.042,0.696,0.422,0.156,0.156,0.478,0.517,0.264,0.364,0.238,0.132,0.079,0.027,-0.025,-0.078,-0.131,-0.182,-0.216
Western Sahara,8.633,8.734,8.8,8.183,-0.503,13.96,4.005,3.686,3.196,3.933,6.684,3.719,3.295,2.894,1.383,1.109,0.882,0.726,0.615,0.5
WORLD,1.77,1.798,1.942,2.02,1.941,1.772,1.762,1.754,1.537,1.361,1.258,1.182,1.108,0.995,0.859,0.729,0.62,0.531,0.439,0.339
"Yemen, Rep.",1.842,1.969,2.094,1.945,2.086,3.337,3.803,3.891,4.632,3.162,2.905,2.86,2.741,2.571,2.311,2.054,1.838,1.651,1.464,1.261
Zambia,2.51,2.75,2.997,3.14,3.377,3.289,3.226,3.069,2.819,2.782,2.292,2.434,2.444,2.431,2.207,2.012,1.845,1.698,1.56,1.428
Zimbabwe,3.074,3.159,3.283,3.264,3.397,3.322,3.887,3.357,2.261,1.228,0.032,0.269,2.078,2.086,1.495,1.312,1.172,1.103,1.048,0.943
