Male contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Cameroon,,,,,,,,,,,,,,,,,8.899999619,,,,,9.5,,,,,,
Canada,0.3000000119,0.400000006,0.400000006,0.5,0.400000006,0.400000006,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.3000000119,0.200000003,0.200000003,0.200000003,0.3000000119,0.200000003,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015
Cape Verde,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,13.19999981,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,2,1.5,1.600000024,1.700000048,1.600000024,1.299999952,1.399999976,1.399999976,1.600000024,1.399999976,1.299999952,0.8999999762
Colombia,,,,,,,,,,,,,0.8000000119,0.6999999881,0.6000000238,0.400000006,0.400000006,0.8000000119,0.400000006,1,0.6000000238,5.099999905,4.199999809,4.300000191,3.799999952,3.400000095,3,3.200000048
Costa Rica,,,,,,,,6.300000191,4.900000095,4.900000095,4.699999809,4.099999905,3.5,3.299999952,3.299999952,3.200000048,2.900000095,2.599999905,3,2.400000095,2.200000048,2.5,,2.099999905,1.799999952,1.700000048,1.700000048,1.299999952
Croatia,,,,,,,,,,,,,,,,,4.099999905,4.099999905,2.900000095,2.799999952,2.200000048,2.400000095,2.299999952,1.799999952,1.299999952,1.100000024,1.100000024,1.100000024
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,0.5,0.6000000238,1.100000024,0.8999999762,1.100000024,1,1.200000048,1.100000024,0.8999999762
Czech Rep.,,,,,,,,,,,,,,0.200000003,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015,0.3000000119,0.3000000119,0.3000000119,0.200000003,0.200000003
Denmark,,,,0.1000000015,,,,,,,,,,,,0.3000000119,0.200000003,0.200000003,0.200000003,0.1000000015,0.200000003,0.200000003,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,0.3000000119
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,3,,,,,,0.8000000119,,1.299999952,,1.200000048,,,,,,
Dominican Rep.,,,,,,,,,,,,6.199999809,5.800000191,5.800000191,4.599999905,4.300000191,4.900000095,4,2.200000048,1.899999976,2,1.399999976,1.399999976,1.600000024,1.899999976,2.799999952,,
Ecuador,,,,,,,,,2.5,2.299999952,3.900000095,3.5,4,3.799999952,3.400000095,3.5,3.900000095,2.400000095,4,3,3.299999952,4.400000095,3,,3.700000048,3,4.400000095,
