Homicide 45-59 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,5.443076,6.662053,7.785681,8.11342,7.818678,,,,,,,8.022201,5.170176,4.83985,4.742112,5.113273,5.805698,5.771319,6.036163,6.987278,7.153704,6.642611,6.753528,6.952759,6.573006,4.818859,5.431446,5.720722,5.780512,5.254709,5.406463,5.997688,5.190571,5.867664,5.997273,7.053339,7.845924,8.362823,5.892612,5.32442,5.625233,4.734989,
Australia,1.077302,1.840609,1.829418,1.365627,1.833074,2.266227,1.962706,1.243163,2.414302,2.151595,2.219407,1.363381,2.840513,1.202368,1.509324,1.616929,1.878055,1.895328,2.171814,1.265491,1.543142,2.64807,2.180921,2.347709,2.55688,1.871211,2.755145,1.92602,1.965547,2.803102,1.825721,2.43337,2.249993,2.274516,1.928796,2.176244,2.675549,2.396745,1.607335,2.086607,2.086624,1.887524,2.052232,2.252098,1.700949,1.550863,1.694734,1.934452,1.69515,1.477957,1.430858,1.609769,1.413885,1.012472,0.934952,,0.5854342,,
Austria,,,,,,0.5132158,1.501098,0.9980419,0.6981907,0.9910564,1.281657,0.920021,1.037819,1.143116,1.01728,0.6934425,0.6911057,0.7424033,0.7428471,0.9522358,1.254273,1.506321,0.9712604,1.225976,1.305806,1.978706,1.249692,1.025133,1.129617,1.189628,1.287622,1.226054,2.280133,1.570558,2.813461,1.704715,1.582524,1.148857,0.8169509,1.125045,1.922368,1.102724,1.857131,1.898445,1.140053,1.10167,0.8663874,1.350126,1.006316,0.8034078,0.9125608,1.974795,1.271273,0.8514723,1.298284,0.6860179,0.5997815,0.6408926,0.9807067
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.079495,6.296063,,,4.696467,5.986829,4.872995,5.900094,4.915689,7.441864,6.180191,29.00727,21.73666,20.44967,7.846783,8.573225,5.110126,6.147863,5.36309,4.065624,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,4.13569,,,,,,,,,1.282852,0,0,2.059629,0.9531881,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.916104,7.049944,,,5.588607,4.747485,4.298648,6.83476,7.9212,8.928527,9.212877,12.46283,15.94596,15.14662,15.19349,,16.31932,18.08169,15.03636,17.16828,15.69513,17.09111,14.61096,,,,10.11807,
Belgium,,,,,0.9374058,0.8310224,0.6571892,0.8132694,0.7185908,0.826969,0.7443323,0.6310218,0.4487626,0.5466565,0.6860483,0.7108617,0.5568907,1.343439,1.098026,0.9321472,1.207744,1.154242,1.016275,1.737502,0.9124082,0.8628247,1.273319,1.292464,0.7777362,1.559667,1.56818,1.65633,2.74235,1.479378,2.03768,1.553316,2.178138,1.739301,1.705992,1.505731,2.243244,1.211784,2.098746,1.560602,1.844712,1.716791,2.240777,1.494895,2.207306,2.853858,,,,,2.224916,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1376008,0,0,0.1224103,0,0,0.1684843,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4086,16.2486,17.34809,15.61185,15.27823,17.51327,16.66707,18.20093,19.52383,19.34754,17.84305,18.09584,17.6073,20.13773,19.86074,19.8697,19.09222,19.15124,19.06624,19.99236,19.76274,19.68481,18.31041,18.10982,,,
Bulgaria,,,,,,,,,,,,,,,3.476346,2.22722,3.090993,2.584349,2.68365,3.282541,2.987161,3.015535,3.629786,3.002067,2.327098,2.660722,2.524035,3.012251,3.244724,2.674946,3.180453,4.604459,3.211081,3.568019,3.153226,2.716587,2.798665,2.216113,3.326854,2.733856,3.621288,3.895353,4.60035,4.926672,5.119228,6.575951,5.496239,5.256155,4.176957,3.886893,4.473853,3.648833,3.494875,3.054755,3.21073,3.054683,2.073086,2.791871,1.740278
