Arms imports (constant 1990 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,37000000,56000000,64000000,39000000,56000000,88000000,201000000,236000000,145000000,92000000,9000000,135000000,110000000,,,90000000,230000000,74000000,329000000,359000000,370000000,388000000,256000000,240000000,383000000,149000000,298000000,531000000,1022000000,2160000000,2012000000,1331000000,,,,,,,,,,,34000000,,,42000000,3000000,41000000,152000000,344000000,407000000,
Albania,59000000,76000000,49000000,11000000,7000000,189000000,82000000,181000000,288000000,312000000,265000000,349000000,150000000,111000000,142000000,57000000,5000000,7000000,5000000,,2000000,,,,,,,,,,,,,,,21000000,,,,,,,,2000000,,42000000,,5000000,13000000,25000000,13000000,
Algeria,,7000000,62000000,86000000,153000000,325000000,459000000,542000000,48000000,78000000,26000000,25000000,169000000,99000000,13000000,56000000,119000000,1042000000,1508000000,1961000000,1315000000,1218000000,1311000000,584000000,510000000,269000000,155000000,370000000,320000000,455000000,729000000,1004000000,18000000,17000000,176000000,271000000,80000000,35000000,103000000,409000000,415000000,532000000,234000000,193000000,236000000,155000000,304000000,471000000,1424000000,1121000000,791000000,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,1000000,257000000,149000000,102000000,144000000,108000000,168000000,252000000,391000000,563000000,460000000,507000000,751000000,1207000000,969000000,142000000,140000000,,,125000000,94000000,1000000,43000000,7000000,154000000,363000000,145000000,157000000,151000000,47000000,9000000,40000000,7000000,25000000,29000000,20000000,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,99000000,202000000,60000000,20000000,19000000,7000000,86000000,129000000,424000000,225000000,254000000,348000000,391000000,231000000,461000000,173000000,533000000,194000000,547000000,445000000,457000000,848000000,390000000,1287000000,709000000,472000000,225000000,218000000,68000000,12000000,170000000,2000000,28000000,14000000,209000000,43000000,38000000,112000000,172000000,267000000,208000000,6000000,16000000,12000000,165000000,3000000,9000000,24000000,23000000,16000000,17000000,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,304000000,46000000,96000000,,,2000000,,,,,120000000,,,1000000,,36000000,36000000,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,104000000,35000000,719000000,190000000,514000000,909000000,703000000,772000000,445000000,917000000,235000000,261000000,58000000,701000000,898000000,109000000,87000000,275000000,1036000000,196000000,406000000,414000000,143000000,675000000,661000000,526000000,829000000,609000000,763000000,707000000,347000000,208000000,368000000,458000000,269000000,149000000,587000000,35000000,528000000,650000000,399000000,1213000000,659000000,815000000,502000000,467000000,680000000,628000000,384000000,684000000,1677000000,
Austria,11000000,22000000,11000000,24000000,74000000,78000000,61000000,48000000,1000000,12000000,108000000,135000000,103000000,58000000,65000000,93000000,65000000,51000000,,16000000,191000000,88000000,107000000,145000000,13000000,28000000,19000000,7000000,115000000,84000000,5000000,6000000,5000000,9000000,38000000,23000000,10000000,178000000,212000000,48000000,25000000,15000000,70000000,43000000,55000000,22000000,2000000,305000000,220000000,330000000,5000000,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,49000000,25000000,,,,,,3000000,,92000000,,3000000,45000000,148000000,210000000,29000000,143000000,62000000,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,17000000,,,,2000000,3000000,,,,,,,,,54000000,,,,,,,,,1000000,,
Bahrain,,,,,,1000000,1000000,,,,,0,6000000,0,1000000,,,2000000,9000000,8000000,20000000,57000000,60000000,10000000,131000000,63000000,100000000,241000000,137000000,66000000,362000000,65000000,37000000,0,7000000,67000000,190000000,78000000,6000000,,299000000,31000000,58000000,6000000,10000000,63000000,63000000,26000000,20000000,,71000000,
Bangladesh,,,,,,,,,,,,8000000,2000000,78000000,44000000,34000000,66000000,69000000,38000000,1000000,63000000,67000000,114000000,168000000,86000000,59000000,5000000,,242000000,304000000,195000000,99000000,114000000,43000000,57000000,122000000,5000000,25000000,,188000000,207000000,191000000,38000000,9000000,34000000,9000000,214000000,73000000,13000000,,45000000,
Barbados,,,,,,,,,,,,,,,,,,,,,,9000000,,,1000000,,,,,,,,,,,,,,,,,,,,,,,13000000,13000000,13000000,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000000,41000000,,,,,,6000000,254000000,,,3000000,,
Belgium,141000000,88000000,62000000,706000000,750000000,558000000,92000000,31000000,212000000,223000000,528000000,509000000,517000000,579000000,85000000,134000000,225000000,202000000,387000000,797000000,586000000,521000000,436000000,579000000,567000000,283000000,95000000,102000000,418000000,215000000,319000000,133000000,48000000,76000000,49000000,16000000,4000000,57000000,67000000,73000000,39000000,35000000,62000000,27000000,18000000,0,21000000,170000000,200000000,90000000,30000000,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,0,,,,1000000,,,,,,,,,,,
Benin,,2000000,1000000,,2000000,,1000000,,,,0,2000000,,1000000,,,,,26000000,7000000,,,10000000,3000000,1000000,5000000,,1000000,0,0,,,,,,,,,,,,,7000000,,,,,2000000,,1000000,0,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Bolivia,6000000,3000000,2000000,4000000,4000000,1000000,1000000,14000000,17000000,1000000,2000000,3000000,10000000,10000000,20000000,33000000,16000000,1000000,10000000,32000000,57000000,22000000,6000000,,2000000,27000000,18000000,,56000000,66000000,,10000000,24000000,12000000,9000000,2000000,,,,9000000,19000000,,,5000000,1000000,1000000,8000000,2000000,3000000,5000000,1000000,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,6000000,,55000000,70000000,2000000,25000000,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,2000000,1000000,8000000,2000000,8000000,,,,4000000,,22000000,33000000,1000000,22000000,3000000,2000000,11000000,,10000000,31000000,71000000,2000000,,52000000,15000000,1000000,9000000,8000000,,,,,10000000,10000000,
Brazil,240000000,230000000,53000000,120000000,22000000,148000000,56000000,218000000,142000000,203000000,231000000,135000000,477000000,581000000,248000000,518000000,552000000,506000000,765000000,354000000,344000000,85000000,69000000,100000000,125000000,89000000,155000000,251000000,135000000,761000000,149000000,168000000,90000000,57000000,335000000,247000000,547000000,476000000,244000000,364000000,121000000,529000000,224000000,110000000,81000000,223000000,197000000,211000000,200000000,165000000,314000000,
Brunei,,,,,,5000000,1000000,18000000,1000000,,5000000,19000000,2000000,1000000,16000000,1000000,0,,46000000,65000000,,8000000,13000000,77000000,49000000,,13000000,,,,3000000,3000000,,,,,17000000,31000000,7000000,5000000,,3000000,0,0,0,1000000,2000000,,,40000000,40000000,
Bulgaria,475000000,525000000,494000000,515000000,330000000,382000000,219000000,330000000,251000000,533000000,705000000,399000000,479000000,308000000,302000000,385000000,399000000,526000000,905000000,360000000,629000000,975000000,562000000,491000000,683000000,596000000,967000000,430000000,239000000,399000000,744000000,338000000,44000000,1000000,1000000,1000000,122000000,,,7000000,,,,2000000,12000000,149000000,22000000,47000000,124000000,129000000,17000000,
Burkina Faso,,1000000,,,1000000,0,0,,0,1000000,1000000,1000000,,,,8000000,8000000,9000000,,,0,9000000,1000000,16000000,9000000,2000000,2000000,,12000000,,,3000000,,7000000,,,,,,0,,,,,,19000000,1000000,4000000,,2000000,,
Burundi,,,,,,,5000000,2000000,,3000000,,,,0,,,,,,,1000000,5000000,3000000,8000000,2000000,,,,,6000000,6000000,,,,,,,,,,,1000000,4000000,,,,,,,2000000,,
Cambodia,1000000,4000000,9000000,8000000,40000000,39000000,38000000,21000000,15000000,17000000,6000000,18000000,99000000,110000000,23000000,,,,42000000,,38000000,,,13000000,76000000,75000000,139000000,55000000,10000000,113000000,44000000,,,2000000,73000000,,33000000,21000000,,,,,,,,,12000000,60000000,,4000000,28000000,
Cameroon,,0,,2000000,0,2000000,2000000,3000000,3000000,,,8000000,1000000,15000000,,,32000000,73000000,,2000000,,26000000,117000000,6000000,130000000,17000000,11000000,5000000,1000000,4000000,12000000,,3000000,,,,4000000,6000000,9000000,4000000,,6000000,6000000,,,5000000,2000000,,1000000,,9000000,
Canada,173000000,1747000000,1036000000,904000000,665000000,520000000,273000000,243000000,354000000,525000000,705000000,442000000,394000000,65000000,187000000,216000000,28000000,28000000,175000000,227000000,433000000,446000000,236000000,616000000,615000000,885000000,886000000,788000000,738000000,65000000,144000000,665000000,338000000,191000000,448000000,365000000,380000000,315000000,106000000,193000000,570000000,547000000,438000000,156000000,356000000,116000000,107000000,432000000,428000000,93000000,373000000,
Cape Verde,,,,,,,,,,,,,,,,,2000000,,,14000000,,,26000000,,,,,,,,,,4000000,,,,,,9000000,,1000000,,,,,,,,,2000000,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,2000000,,,,1000000,2000000,,3000000,,,2000000,,0,,,,,0,,0,1000000,2000000,5000000,1000000,6000000,,,1000000,,,,1000000,,,,,,,,,,,,,,9000000,,0,,,
Chad,1000000,1000000,,,,0,,,,,,3000000,,3000000,9000000,10000000,9000000,3000000,,,10000000,,,39000000,9000000,1000000,21000000,15000000,9000000,57000000,,,,,3000000,1000000,,,7000000,,,15000000,,,,,9000000,18000000,79000000,35000000,17000000,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,315000000,45000000,14000000,122000000,23000000,53000000,79000000,139000000,59000000,17000000,60000000,177000000,51000000,324000000,344000000,92000000,446000000,45000000,98000000,107000000,122000000,115000000,347000000,127000000,456000000,9000000,181000000,163000000,131000000,140000000,144000000,112000000,190000000,100000000,112000000,452000000,193000000,127000000,87000000,191000000,179000000,42000000,63000000,174000000,56000000,460000000,1121000000,780000000,525000000,347000000,434000000,
China,1819000000,1757000000,173000000,191000000,138000000,101000000,231000000,175000000,182000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,75000000,86000000,12000000,7000000,2000000,15000000,12000000,71000000,110000000,17000000,62000000,83000000,126000000,215000000,245000000,1253000000,1188000000,258000000,657000000,1346000000,810000000,343000000,1772000000,1994000000,3324000000,2863000000,2233000000,3141000000,3536000000,2860000000,1693000000,1618000000,993000000,559000000,
Colombia,5000000,64000000,4000000,22000000,9000000,13000000,31000000,15000000,32000000,121000000,4000000,37000000,126000000,165000000,1000000,287000000,3000000,8000000,12000000,36000000,13000000,21000000,17000000,287000000,658000000,11000000,6000000,4000000,37000000,217000000,8000000,69000000,36000000,69000000,40000000,37000000,57000000,199000000,156000000,44000000,63000000,275000000,166000000,147000000,18000000,15000000,54000000,218000000,112000000,312000000,172000000,
Comoros,,,,,,,,,,,,,,,,,1000000,1000000,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,6000000,,,
