Flood killed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,150,0,0,0,51,0,120,0,0,0,0,0,0,0,0,0,0,0,0,1193,600,0,0,27,70,70,30,0,0,0,81,136,16,295,282,296,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0
Algeria,0,0,0,21,11,0,0,0,0,0,0,43,37,0,54,26,0,0,0,0,0,0,21,22,40,0,4,4,0,12,44,921,48,41,22,12,1,82,89
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,57,8,15,28,0,0,105,7
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,36,0,0,0,0,0,0,0,0,0,41,0,0,0,0,37,3,0,25,0,21,0,45,0,0,0,0,0,19,0,13,1,8,27,5,0,0,10,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
Australia,0,27,0,12,14,0,0,0,7,0,0,2,0,0,36,0,8,0,16,9,12,0,0,1,0,0,5,0,20,0,0,4,0,1,3,3,0,9,5
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,2,0,3,0,3,0,0,9,0,0,4,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,50,427,28700,0,168,13,17,0,655,0,0,245,1200,34,30,2280,2440,180,231,265,17,194,116,741,55,79,1050,196,43,9,10,252,761,55,0,1230,28
Barbados,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,3,0,0,0,20,11,0,0,3,0,0,0,0,0,0,0,10,15
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,200,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,31,0,0,10,40,0,0,0,0,250,0,0,29,25,0,0,0,0,4,0,0,0,0,56,0,0,30,41,76,74,0,0,25,115,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0
Brazil,172,239,0,20,205,118,0,62,26,300,67,97,0,143,263,101,28,107,655,137,24,20,107,0,0,110,15,90,13,7,48,85,17,255,35,47,20,69,200
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,12,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,52,6
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,9
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,506,0,59,0,0,7,347,56,29,0,0,16,5,2,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,24,3,30,0,0,0,2,0,8,9
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0,0,0,0,10,4,3,0,0,0,0,4,0,4,1,0,0
Canary Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0
Central African Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,1,0,1,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,39,0,0,0,2,0,0,0,0,0,100,0,0,0,0,52,15,0
Chile,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,23,127,0,21,0,0,0,109,0,28,0,22,0,0,16,4,19,0,3,5,18,0,9
China,0,0,0,0,0,0,0,0,0,0,6303,2315,447,100,31,1216,313,219,1243,2000,495,1861,540,1231,1564,1618,4091,1090,4250,1185,422,402,1246,662,450,578,430,1030,352
Colombia,407,51,0,9,0,0,47,0,0,62,40,150,90,0,0,0,13,21,120,16,10,0,0,63,37,69,12,2,0,41,113,0,65,56,115,180,150,218,89
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,39,0,0,0,0,2,0,50,40,1,0,0,1,32,15
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0
Costa Rica,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,9,2,0,6,0,0,9,0,0,10,1,2,5,0,19,7
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,6
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,23,0,4,0,0,46,12,0,3,0,0,0,2,0,0,0,0,0,2,0,0
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,6,0,0,0,18,0,0,1,6,0,0
Czechoslovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,0,0,145,0,0,0,0,0,0,0,0,0,51,0,0,0,0
Dominican Rep.,0,0,0,0,0,0,0,0,0,32,0,20,0,0,0,12,0,0,0,0,0,10,0,30,0,0,3,0,0,0,0,0,3,10,688,3,0,12,0
East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Ecuador,20,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,35,0,0,22,0,0,0,0,245,0,0,34,58,31,0,0,0,16,0,41
Egypt,0,0,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,600,7,12,4,0,0,0,0,18,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,33,10,0,0,2,0,0,8,0,0,0,7,2,0,1,0,0,48,0,2,30
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,9,0,0,45,0,0,0,0,2,4,27,40,326,0,48,69,5,22,119,0,211,951,17,45
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,26,3,0,6,0,0,18,0,0,0,23,10,0,0,0,3,4,13,0,4,0,0,36,5,3,23,10,0,3,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,7,0,0,27,0,0,1,0,1,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,145,0,0,0,52,0,12,4,0,0,0,0,56,0
Greece,0,0,0,0,0,0,0,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,3,0,1,11,0,0,0,0,1,2,0
