Forest land (ha),1990,2000,2005
Angola,"60,976,000","59,728,000","59,104,000"
Botswana,"13,718,000","12,535,000","11,943,000"
British Indian Ocean Territory,3000,3000,3000
Comoros,12000,8000,5000
Kenya,"3,708,000","3,582,000","3,522,000"
Lesotho,5000,7000,8000
Madagascar,"13,692,000","13,023,000","12,838,000"
Malawi,"3,896,000","3,567,000","3,402,000"
Mauritius,39000,38000,37000
Mayotte,6000,6000,5000
Mozambique,"20,012,000","19,512,000","19,262,000"
Namibia,"8,762,000","8,033,000","7,661,000"
Reunion,87000,87000,84000
Seychelles,40000,40000,40000
South Africa,"9,203,000","9,203,000","9,203,000"
Swaziland,472000,518000,541000
Uganda,"4,924,000","4,059,000","3,627,000"
Tanzania,"41,441,000","37,318,000","35,257,000"
Zambia,"49,124,000","44,676,000","42,452,000"
Zimbabwe,"22,234,000","19,105,000","17,540,000"
Algeria,"1,790,000","2,144,000","2,277,000"
Burkina Faso,"7,154,000","6,914,000","6,794,000"
Chad,"13,110,000","12,317,000","11,921,000"
Djibouti,6000,6000,6000
Egypt,44000,59000,67000
Eritrea,"1,621,000","1,576,000","1,554,000"
Ethiopia,"15,114,000","13,705,000","13,000,000"
Libya,217000,217000,217000
Mali,"14,072,000","13,072,000","12,572,000"
Mauritania,415000,317000,267000
Morocco,"4,289,000","4,328,000","4,364,000"
Niger,"1,945,000","1,328,000","1,266,000"
Somalia,"8,282,000","7,515,000","7,131,000"
Sudan,"76,381,000","70,491,000","67,546,000"
Tunisia,643000,959000,"1,056,000"
Western Sahara,"1,011,000","1,011,000","1,011,000"
Benin,"3,322,000","2,675,000","2,351,000"
Burundi,289000,198000,152000
Cameroon,"24,545,000","22,345,000","21,245,000"
Cape Verde,58000,82000,84000
Central African Rep.,"23,203,000","22,903,000","22,755,000"
"Congo, Rep.","22,726,000","22,556,000","22,471,000"
Cote d'Ivoire,"10,222,000","10,328,000","10,405,000"
"Congo, Dem. Rep.","140,531,000","135,207,000","133,610,000"
Equatorial Guinea,"1,860,000","1,708,000","1,632,000"
Gabon,"21,927,000","21,826,000","21,775,000"
Gambia,442000,461000,471000
Ghana,"7,448,000","6,094,000","5,517,000"
Guinea,"7,408,000","6,904,000","6,724,000"
Guinea-Bissau,"2,216,000","2,120,000","2,072,000"
Liberia,"4,058,000","3,455,000","3,154,000"
Nigeria,"17,234,000","13,137,000","11,089,000"
Rwanda,318000,344000,480000
Saint Helena,2000,2000,2000
Sao Tome and Principe,27000,27000,27000
Senegal,"9,348,000","8,898,000","8,673,000"
Sierra Leone,"3,044,000","2,851,000","2,754,000"
Togo,685000,486000,386000
China,"157,141,000","177,001,000","197,290,000"
"Korea, Dem. Rep.","8,201,000","6,821,000","6,187,000"
Japan,"24,950,000","24,876,000","24,868,000"
Mongolia,"11,492,000","10,665,000","10,252,000"
"Korea, Rep.","6,371,000","6,300,000","6,265,000"
Bangladesh,882000,884000,871000
Bhutan,"3,035,000","3,141,000","3,195,000"
Brunei,313000,288000,278000
Cambodia,"12,946,000","11,541,000","10,447,000"
India,"63,939,000","67,554,000","67,701,000"
Indonesia,"116,567,000","97,852,000","88,495,000"
Laos,"17,314,000","16,532,000","16,142,000"
Malaysia,"22,376,000","21,591,000","20,890,000"
Maldives,1000,1000,1000
Myanmar,"39,219,000","34,554,000","32,222,000"
Nepal,"4,817,000","3,900,000","3,636,000"
Pakistan,"2,527,000","2,116,000","1,902,000"
Philippines,"10,574,000","7,949,000","7,162,000"
