Water and sanitation aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,,,,,47.1526465,14.78501179,9.273362966,,2.083232009,1.519536903,15.57683649,4.261576164,3.768005621,9.743702442,10.56758966,1.582778467,4.584534466,3.659480999,3.31038953,5.251249329,4.35006847,2.14361963,3.352998864,2.405103668,9.229445119,8.258378911,6.709892553,5.186809399,3.015155511,7.924616776,5.291313856,6.587939698,3.891188777,4.133847475,3.437640618,3.436533092,3.181230471,3.443719181,3.410794913,0.5238863874,0.8973086718,
Austria,,,,,,,1.036653091,,0.09532888465,,0.738856167,0.6589048106,0.1908050154,,4.674039826,0.534570182,18.82304916,0.5295007564,1.124433124,5.935468336,0.2680179237,1.57006998,16.91293072,16.7111711,4.042958797,4.631601138,5.182281184,1.633244207,12.72272925,17.07091622,7.257563369,22.56832365,13.0611364,13.32787711,4.997821351,6.396711828,10.30589366,9.955000849,6.848193629,7.67050248,6.713181742,
Belgium,,,,,1.692551914,0.3263486757,0.8602853098,0.5850456621,2.41492865,2.689920189,1.724430853,0.9702057387,3.4252386,2.210314802,0.6958669719,1.779480768,11.72728756,4.131508048,2.601079483,2.750362638,2.225546769,3.876534675,1.731369151,1.287966996,0.9881990299,4.649251996,2.676390657,3.106555531,2.663017003,2.814795554,4.027509327,3.015800486,3.305785124,3.022848344,2.812763802,3.125046371,4.787804504,4.556302547,5.897876602,7.39922164,6.697001842,
Canada,,1.787111923,,,4.966638528,1.901941,8.263115511,14.42464395,30.57985607,8.111726071,2.31520892,1.491904336,5.822151778,0.7337981709,6.010520265,1.586192927,3.030960283,1.403659716,5.272571917,2.408217855,2.448668147,8.534124955,1.534294759,3.381818771,4.754272669,6.02372035,0.8975682496,1.995141058,2.165851641,4.344103121,1.518070271,2.979325525,4.249703823,5.34803795,3.431313496,3.531699278,6.238914509,5.578062196,2.62375203,1.197071979,1.024913011,
Denmark,,,,,,,,1.246627974,,2.276070965,7.946531323,5.455064946,9.476989602,11.44825278,,16.51678293,10.82098269,0.7136332496,20.4264931,12.90271234,10.8981318,4.681942544,12.52641916,33.49995284,1.077992703,11.93083108,20.19369089,3.865945056,4.447694171,17.8224223,11.77651388,19.44988017,25.68383697,6.192461066,4.629057076,5.239971927,8.439903492,19.49547481,7.39589604,19.49454099,3.346086368,
Finland,,,,,,,26.7194157,5.415986949,,,,,,,31.8294623,,11.63190517,5.63586638,,39.99694363,,10.72910663,14.35669999,3.587508815,14.2904054,11.67427661,11.50518707,12.41679193,11.48483792,16.18199137,9.905064771,6.62726889,8.812528053,9.846558925,5.157730599,9.013452915,6.082745261,2.018826937,8.974797788,11.17481097,8.080194411,
France,,,,,3.831617827,5.850888718,0.6247800666,0.3481340903,0.7872783752,0.2589842064,1.001783999,0.6473449493,0.3201274428,0.3047054514,6.184769306,0.6722541373,0.8749993746,1.742087817,1.675307302,3.065180212,1.693264635,1.537514585,3.734549902,1.570825256,4.957745323,2.033123793,2.793389118,6.076226583,5.507432018,8.035127557,4.726140026,3.63454272,5.359593526,5.657645865,4.427607893,8.395366361,5.654067605,4.765628054,3.109990731,5.045902095,7.459829268,
Germany,,,,,0.00956055849,2.068177635,2.816079941,5.367365601,6.13659877,5.991579374,4.886730064,2.241412809,1.960362713,5.117051852,4.049678003,4.854080344,4.519545731,5.500424212,8.320787728,10.81128886,6.28149768,5.154463118,5.004481175,5.385709766,8.055728757,8.776823447,6.618864205,10.8264864,10.5953449,7.300012677,11.35158606,12.41464558,7.778674754,15.01441889,14.12640163,7.922634848,10.26784667,9.318394481,8.369463283,8.755148176,9.937493308,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3006765222,0.1280956447,0.5264244426,0.7675683732,0.3930376193,0.820998382,0.6167273776,1.121121121,0.3554985722,0.7345956558,1.345334882,
Ireland,,,,,,,,,,,,,,,,,,,3.953279425,,8.520490854,1.295180723,3.683879093,7.857142857,4.45903906,6.625463535,,9.107515658,9.474033516,9.471365639,,5.660802887,5.878837678,9.382321619,5.855282081,6.474904608,7.505255383,6.459528089,5.489509502,3.992139607,4.282011794,
