Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,7.024793471,8.097166426,9.349593301,16.86391035,18.05555524,21.41280357,18.57142862,14.20982697,15.21035644,14.98422717,11.94410779,16.14079524,18.10584977,14.74359065,14.84536122,14.27230078,14.86956537,14.82317547,13.87205376,,,,,,,,,,,,,,,,,,,,,,,,61.59972726,90.84032045,77.5665085,71.26472696,67.70616024,59.00013812,47.65483333,59.91592157,53.56225718,
Albania,,,,,,,,,,,,,,,,,,,,,22.70948702,21.51496287,23.8775381,20.80901787,19.37734691,18.44986113,15.46750958,15.56251125,19.21801543,20.71837703,23.19633661,27.59180653,88.51224837,62.29254564,38.95032481,34.51204774,35.23078755,36.73902502,34.37350669,32.02886278,37.48980373,38.71036473,46.71660142,45.87424046,43.30650154,46.32612108,49.1511396,54.96472314,56.11927665,54.23568182,51.75273421,
Algeria,67.14363183,67.50377084,20.81864672,36.82551495,29.43976242,25.83307834,24.65357195,21.63176931,24.18725441,28.07075793,29.15266841,27.66377768,25.72686831,31.58976369,35.48977557,42.96559919,37.11867294,41.74031728,40.16873216,32.8657491,30.33846168,30.87774283,28.99807496,25.80231123,27.46636749,26.74218773,23.17195322,18.41210973,22.60371939,28.51405637,24.93702861,23.59976454,23.86948995,23.13893638,26.05371254,28.99622923,23.94469955,21.33760013,22.51609655,23.68391281,21.35423872,21.60164276,25.39997126,23.87427913,25.65212315,24.26990265,21.51668233,23.29305746,22.9086299,24.8207523,21.49667904,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,25.3370014,32.1296524,29.28887203,22.13502441,19.1918081,20.92845525,27.05317109,70.73005574,55.15637006,75.85019776,,68.29997094,67.78521597,73.14289242,92.69902234,62.82775771,74.94438156,62.19779164,63.06310136,53.71094976,49.43910604,36.06330802,43.51255039,51.22579473,46.23068857,43.34295173,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,52.62892659,58.04759784,75.45472797,86.67474258,95.57506779,107.1361363,76.47343203,85.00469945,92.73617694,105.7627377,103.4170264,90.28737993,90.76264925,86.9726851,90.67099467,93.29814012,90.71513232,57.27129755,95.60068721,98.5625289,82.4846721,79.01499464,81.20284091,62.11175257,61.28318092,57.63339221,61.70590967,63.16837493,65.64821544,69.37755803,70.05346892,67.09407114,60.35546473,53.82209227,
Argentina,7.604046961,5.994945302,9.383682868,7.890452014,5.563714062,4.150582962,4.989688039,4.997064147,5.403711416,6.398713316,4.735877406,6.607956035,6.837877359,5.709500791,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.483699779,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010822,8.132793113,9.313799859,10.60004851,10.07530566,11.0686849,12.77267049,12.93159841,11.53408994,11.51927098,10.2101731,12.80001371,14.20160649,18.16724816,19.18872022,19.2321682,20.33712598,20.65042544,16.00235093,18.40019957,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33273703,60.12046681,61.25600122,60.7541714,73.10079087,62.18693351,55.98955879,58.27447463,52.83943263,49.80215959,50.54328924,46.14880573,46.58686856,50.03500154,45.30238129,43.22970515,39.2502072,39.15081444,40.65575862,43.00440119,44.78095079,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.8584348,136.2470788,128.8808655,115.5156884,120.8967797,147.4493799,138.1108639,91.17746348,,,,,,,,,,,,,
