"Children out of school, primary, male",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Romania,,,,,,,,,,,,,,,,,,,,,,,,150535,93888,61310,54663,57024,32058,48967,44589,35588,16824,,4448,4478,24010,29760,34250,35033,54669,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,129508,257525,,,,,,,,,,,171121,156351,141410,127868,,
Rwanda,,,,130662,143778,160597,,162421,161631,,,,,,,,,,,,,,,,,,,,,,,174261,149010,109895,149050,144878,,73374,84392,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,209,203,,,,,,,,,,,,,,,,,,,123,,367,615,305,482,473
St. Lucia,,,,,,,,,,,,1612,1212,,,,,,,,394,452,,,,,,,,711,320,167,385,284,499,748,428,529,715,798,1013,1235
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,623,,279,,,,,,,,,,,,,,,,,,,35,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,809,1251,822,,,,,,,,,1015,1375
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,
Sao Tome and Principe,,,,,,,,,,,,,,271,167,,,,,,,,,,,,,,,1272,,,,,,,,769,436,,,
Saudi Arabia,,,,,,,,,,318665,,,,,,,,,,,,,,,,,,,,,,,,,,318633,,285768,241494,154275,,
Senegal,,,,,,,,,266956,264516,268059,268486,267025,264904,269971,275546,243341,,257202,,286640,,303495,,,,305029,284722,278834,295106,286307,285034,,259804,240784,198949,220665,220238,210447,228833,237706,237068
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,2832,5199,8034,8391
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,618,,,,,,,,,,,,,,160,122,126,46,,5,318,307,387,243,,,158,,,,,,
Sierra Leone,,,,,,,,,,,,,,115819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,2817,1999,1884,1098,1670,2652,1748,1568,1304,788,1281,1924,2193,1813,1532,1309,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8398,6856,6805,,,5275,
Somalia,,,,,,,264818,304011,354556,392049,420683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,741766,,,,,,,,,,,,,,,,,,,,,383890,,,231400,200620,,,215130,179946,240098,239789,235452,212169,217989,263531,282622,270657,316538,362018,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,111964,97154,83157,,,,27416,31519,33157,,,,,,,,,,,,,,,,,,,,1806,344,1514,1368,2044,3093,2552,1020,1134,1256,1614,4100,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,7420,24234,55674,54486,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416528,1449974,1384618,,,,,,,,,,
Suriname,,,,,,,,2365,1638,,,,,,,,,,682,,,,,,,,,,,,,2679,2714,2571,,2616,3162,4460,3397,2889,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,19653,20273,20027,19315,19771,19336,19450,19361,19978,20187,,18265,18760,20480,20580,20371,21875,22645,23623,25530,24710,25114,25128,27421,28533,28532,32026,,34195,35027,32619,32119,31747,31149,28126,26547,19436,17085,,18834,14539,
Sweden,,,,,,,,,,,,,13487,,,,,5236,4683,3493,1386,1009,,,,,,,,,973,,972,2496,10142,14860,15046,10420,3193,1103,883,
Switzerland,,,,,,,,78427,75685,,,65715,63266,62392,61826,59776,57006,53163,48100,42566,38649,37293,38040,41364,44624,26652,22454,,,1844,2825,3396,3489,3599,4066,6219,6484,6919,5198,3515,2615,
Syria,,46190,,6202,,,,,8252,17679,25806,34757,44313,47243,37301,29811,19158,,,,,,,,,,,,,,,,,,,,1437,2732,2514,2468,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478,214,251,3362,2914,2482,2032,2266,2063,1891,1756,
Tanzania,,,,,,,,,,,,549458,676665,738791,,925054,990450,1051011,1120021,1154577,1202205,1256910,1294142,1363576,1445783,1487340,1526127,1555323,1607985,1626251,1532433,1387759,887352,596338,454110,297245,106950,,60257,,,
Thailand,,,,803533,833386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176372,216941,263433,304452,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29696,,,26143,19142,13848,
Togo,,47904,50397,,,,,,24300,24166,25503,,35368,47828,67753,76219,93866,63480,65616,66683,66109,59440,,,73680,39430,6869,20640,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,1021,825,392,,900,240,,,,,,,,902,,302,220,,,,680,,,656,,,,,350,469,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,11335,11465,11053,9733,7946,5177,4206,6525,10663,13065,9143,7066,7465,6975,6338,7581,5431,5012,6620,10665,10619,11854,13904,,,15837,16645,,7345,5846,4986,6966,4625,4050,5956,,1589,3022,1571,1450,
Tunisia,,53261,,,,52900,,,61076,59758,50598,45209,36583,23567,11627,10882,8644,6462,9216,9381,16827,11384,7144,244,,,2391,13989,,20739,11968,6567,,,,,,,,,,
Turkey,,,,,336370,,,,,,,,,,,,,,,,,,,,257578,247000,,161996,,66213,3661,,,84417,61335,45156,18860,,,58575,15491,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,264,219,278,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,730768,,733238,749159,,,,626521,,,,,,,,,,,,,,,,,,,,,,,232584,357196,268899
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52525,113504,98474,83220,81423,78403,80870,82579,73454,67700
United Arab Emirates,,,,,,,,,7165,,11569,14647,13254,16668,17803,19521,21114,12129,9136,4850,1299,684,4000,10046,12761,11235,14296,18039,17766,23704,30747,34290,24917,12035,6928,4683,8740,,,,,
United Kingdom,,22096,33584,58346,77207,89396,97656,93661,96950,95653,63327,71022,97373,131722,135844,157824,119445,61223,25377,12613,19774,58034,89799,,,,,,905,1173,1127,,2190,3065,13524,42,10413,39412,2665,2558,4916,
United States,,,,,,,,,,,,,,,,,848482,643165,,,299135,308375,,555121,647234,454618,529259,,,390383,369444,422236,621929,634205,768649,666816,598083,399303,322346,497780,560859,
Uruguay,,,,,,,,,,,,,,,21189,,,,,,,13512,10058,9006,11574,12546,13729,,,,,,,,,3811,,,816,352,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63735,80241,83627,71525,62139
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,1461,,,,,,,,3072,,,,,,,,,237,256,,,,,308,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234357,190901,143145,88985,111193,106337,130176,118187,101030,,102843,91291,93740
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11963,14135,22084,24992,28608,32713,36072,34622,35084,30299,26586,23114,22975
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469757,,,,278511,245135,246330,,,359743,,289600,351746
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,51815,,,,63706,70592,82654,90650,93744,95637,98001,89508,83888,,85167,,110389,,,,,,177013,197637,,,242851,259627,269391,280779,253461,,133520,50935,67727,42777,,80137,108160,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207963,,,,,,,,,,,,,
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
