Female agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Denmark,,3.5,,3.900000095,3.299999952,3.400000095,2.799999952,3.200000048,3,2.799999952,2.799999952,3,2.700000048,2.599999905,2.599999905,2.299999952,2,1.600000024,1.600000024,1.5,1.799999952,1.600000024,1.600000024,1.5,1.5,1.600000024,1.5,1.5
Dominica,,,,,,,,,,12.69999981,,13.19999981,,,,,,13.69999981,,16.10000038,,8.300000191,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,3.299999952,2.200000048,,,2.599999905,,,1.700000048,1.899999976,2.799999952,,
Ecuador,,,,,,,,,,,,,1.899999976,2.400000095,,,1.899999976,1.899999976,,2.599999905,4.400000095,3.900000095,4.699999809,,4.900000095,4.300000191,4.300000191,
Egypt,9.5,10.10000038,9.199999809,41.29999924,46.59999847,,,,,63.20000076,52,38.90000153,52.40000153,46.5,47,42.5,,40.5,35.29999924,31.89999962,39.40000153,31.89999962,27.60000038,39,46.5,46.5,43.29999924,
El Salvador,10.19999981,,,,,12.10000038,0.6999999881,,3,3.799999952,,5,14.80000019,,8.300000191,7.300000191,7.900000095,6.699999809,6.300000191,4.699999809,3.799999952,4.099999905,2.700000048,3.799999952,3.400000095,4.800000191,4.800000191,
Equatorial Guinea,,,,89.90000153,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,14.89999962,15.19999981,14,13.19999981,11.5,10.30000019,7.800000191,7.199999809,6.400000095,6.5,5.900000095,4.599999905,3.900000095,4.199999809,3.799999952,3.599999905,3.5,3.200000048,3
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,4.599999905,75.5,5.5,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,8.300000191,,
Finland,11.69999981,10.89999962,10.5,10.30000019,9.899999619,9,8.300000191,7.699999809,7.199999809,6.699999809,6.699999809,6.599999905,6.300000191,6,6,5.699999809,5.300000191,4.900000095,4.5,4.199999809,3.900000095,3.799999952,3.700000048,3.299999952,3,2.900000095,2.799999952,2.700000048
France,7.300000191,7.099999905,6.800000191,5.099999905,5,5.900000095,5.599999905,5.400000095,5.099999905,4.800000191,4.5,4.199999809,3.900000095,3.700000048,,,,,,,,,,2.799999952,2.700000048,2.299999952,2.200000048,2.099999905
Gabon,,,,,,,,,,,,,,60.79999924,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,76.5,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,50.90000153,54.09999847,57.5,52.79999924,55.29999924,56.79999924,56.5,57.20000076,57.40000153,56.59999847
Germany,,,,,,,,,,,,4,3.700000048,3.400000095,3.099999905,2.900000095,2.700000048,2.5,2.400000095,2.299999952,2.099999905,2.099999905,2,1.899999976,1.799999952,1.700000048,1.600000024,1.600000024
East Germany,,,,,,,,,,,,5.5,4.099999905,3.5,3.400000095,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,58.70000076,,,,,,,50.29999924,,,,,,,,
Greece,,41.59999847,38.20000076,39.79999924,39.20000076,37.90000153,37.29999924,35.40000153,34.09999847,32.29999924,30.29999924,26.70000076,26.39999962,25.29999924,24.79999924,23.89999962,23.89999962,23.10000038,20.5,19.79999924,19.70000076,17.70000076,17.20000076,16.89999962,14.10000038,13.89999962,13.19999981,12.5
Grenada,,,,,,,,,14.80000019,,,,,,13.19999981,,11.89999962,,9.699999809,,,,,,,,,
Guatemala,,12.60000038,12.60000038,,,,,15.10000038,,,3.200000048,2.599999905,,,17.39999962,,,,17,,15.30000019,,18.10000038,,,,19.10000038,
Guinea,,,,,,,,,,,,,,,78.80000305,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,16.29999924,,,,,7.199999809,,,,,
Haiti,53.09999847,52,49.59999847,49.59999847,,,,,49.59999847,,49.59999847,,,,,,,,,37.29999924,,,,,,,,
Honduras,,,,,,0.3000000119,0.6999999881,0.5,,,5.800000191,,6.199999809,2,5.900000095,6.400000095,7.599999905,7.099999905,7.800000191,8.899999619,,,,,,13.10000038,,
"Hong Kong, China",1.200000048,1.5,1.299999952,1,1.100000024,1.5,1.399999976,1.399999976,1.299999952,1.100000024,0.6999999881,0.6000000238,0.400000006,0.400000006,0.400000006,0.400000006,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015,,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015
Hungary,19.20000076,17.39999962,18,18.10000038,18,17.29999924,16.39999962,15.80000019,15.5,15.10000038,15,12.69999981,,,5.5,4.699999809,4.5,4.400000095,4.099999905,3.900000095,3.599999905,3.5,3.700000048,2.700000048,2.599999905,2.799999952,2.700000048,2.400000095
Iceland,,,,,,,,,,,,4.800000191,3.200000048,3.200000048,3.099999905,4.5,4.5,3,5.800000191,4.199999809,4.099999905,2.700000048,4.099999905,2.700000048,2.700000048,2.599999905,2.599999905,2.5
Indonesia,54.20000076,,53.79999924,,,53.59999847,55.70000076,55.70000076,56.79999924,57,56.29999924,54.5,56.5,51.20000076,47.29999924,43.79999924,45,42,46,43.09999847,,44.5,45.40000153,47.29999924,44.59999847,45.20000076,44.59999847,
Iran,,,,,,,,,,,,,,,,,16.70000076,,,,,,,,,34.20000076,,33.09999847
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,32.59999847,,,
Ireland,,,,6.300000191,5.599999905,5.400000095,5.300000191,4.599999905,4.099999905,4.400000095,4.400000095,3.599999905,3.400000095,3.599999905,3.299999952,3.099999905,3.299999952,3,2.700000048,2.299999952,2.099999905,1.799999952,1.600000024,1.700000048,1.399999976,1.299999952,1.299999952,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.6999999881,
Israel,4.099999905,3.400000095,3.099999905,2.799999952,3,3,2.5,2.799999952,2.400000095,2.400000095,2.299999952,1.899999976,1.899999976,1.899999976,1.799999952,1.200000048,1.100000024,1,1.100000024,1.100000024,0.8999999762,0.6000000238,0.6999999881,0.8000000119,0.8000000119,0.8000000119,0.6000000238,0.6000000238
Italy,16,14.69999981,13.39999962,13.39999962,12.5,11.89999962,11.5,10.69999981,9.899999619,9.5,9.100000381,8.800000191,8.5,7.699999809,7.099999905,6.599999905,5.900000095,5.699999809,5.300000191,4.699999809,4.5,4.5,4.199999809,4,3.5,3.299999952,3.299999952,3.099999905
Jamaica,,,,,,,,,,,,,15.89999962,12,12.10000038,11.69999981,11.30000019,10.10000038,9.899999619,8.899999619,9.199999809,9.600000381,9.899999619,8.800000191,8.800000191,8.5,8.300000191,
Japan,13.19999981,12.39999962,12.10000038,11.30000019,10.80000019,10.60000038,10.10000038,9.899999619,9.399999619,8.899999619,8.5,7.800000191,7.300000191,6.699999809,6.5,6.5,6.199999809,6,5.900000095,5.699999809,5.5,5.199999809,4.900000095,4.900000095,4.699999809,4.5,4.300000191,4.300000191
Jordan,,,,3.400000095,,,1.799999952,3.900000095,,,,,,,,,,,,,3.599999905,2.700000048,2.5,2,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,17.60000038,,34.20000076,34.70000076,34,32,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,1.100000024,,,,,,,
"Korea, Rep.",39,39.20000076,35.90000153,32.70000076,30.20000076,27.79999924,26.29999924,24.29999924,22.89999962,21.89999962,20.29999924,18.5,16.70000076,16.10000038,15,14,13.19999981,12.69999981,14.30000019,13,12.19999981,11.30000019,10.69999981,10.10000038,9.199999809,8.899999619,8.600000381,8.300000191
Kuwait,,,,0,,,,,0.1000000015,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,47.40000153,48.70000076,49,53.20000076,54.79999924,54.79999924,48.70000076,43,38.70000076,37.40000153,35.40000153,
Laos,,,,,,,,,,,,,,,,89.30000305,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,13.30000019,18.70000076,16.29999924,14.30000019,12.19999981,11.60000038,11.30000019,9.899999619,9.899999619,8.100000381,7.900000095,7.300000191
Lesotho,,,,,,,,,,,,,,,,,8.100000381,45.09999847,,64.90000153,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,17.89999962,15.80000019,15.5,15.10000038,12.89999962,14.19999981,14.5,13.39999962,11.39999962,10.19999981,7.900000095
Luxembourg,,,,5,4.5,4.199999809,3.900000095,3.599999905,3.400000095,3.099999905,2.900000095,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,0.200000003,0.1000000015,,0.1000000015,0.1000000015,0,0.1000000015,0,0,0,0,0.1000000015,0.1000000015,0.200000003,0.1000000015,0.200000003,0.200000003,0.200000003,0.1000000015
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,79.30000305,,82.5,,
Malaysia,43.79999924,41.5,37.09999847,34.79999924,34.79999924,33.79999924,32.5,30.79999924,30.29999924,28.20000076,25.29999924,22.20000076,20.10000038,19,,16.89999962,17,14.19999981,15,13.39999962,14,12,11.60000038,11,10.5,10.19999981,10,10
Maldives,,,,,,,,,,,13.5,,,,,9,,,,,5.400000095,,,9,,,7.099999905,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,29.89999962,,,
Malta,,,,,,,,,,,,,,,,,,,,,0.200000003,0.5,0.400000006,0.400000006,0.6999999881,0.6999999881,0.200000003,0.400000006
Marshall Islands,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,
Martinique,,,,,,,,,,,4.599999905,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,12.69999981,,11.89999962,12.60000038,11.19999981,10.30000019,9.699999809,8.699999809,,10,8.300000191,7.900000095,8.199999809,8.899999619,8.100000381,7.599999905
Mexico,,,,,,,,,,,3.400000095,9.899999619,,10.39999962,,9.899999619,9.699999809,11.80000019,7.900000095,8.5,6.699999809,6,6.099999905,5.099999905,5.5,4.800000191,4.599999905,4.400000095
Mongolia,,,,,,,,,,,,,,36.90000153,43.5,45,45,48.20000076,48.70000076,48.29999924,46.5,46.5,42.40000153,39.79999924,37.59999847,36.79999924,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,6.900000095,,8.899999619,,
Montserrat,,,,,,,,,,,,3.700000048,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,3.099999905,2.900000095,2.799999952,2.200000048,34.20000076,8,8.300000191,4.400000095,4.800000191,6,,4.599999905,57.09999847,56.79999924,60.40000153,61.40000153,61.29999924,
Namibia,,,,,,,,,,,,52,,,,,,39.09999847,,,29.10000038,,,,25.20000076,,,
Nepal,,,,,,,,,,,,90.5,,,,,,,,85.19999695,,72.80000305,,,,,,
