High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
New Caledonia,,,,,,,,,,,,1.712565061,0.594358255,0.9823975509,0.6789711982,0.7525777069,2.218837519,0.5078856196,1.48014208,0.5611230558,0.5458648692,6.966341374,0.8493280925,
New Zealand,3.911692977,4.421998392,4.429282379,4.762226947,5.25105677,5.39774213,6.289666411,7.293276907,7.456100457,9.165930819,12.28068047,15.16199047,9.66482301,9.352565046,9.38056797,9.552768031,9.572334264,10.19057811,10.32368543,9.083276997,8.468855488,8.938252769,9.003039589,
Nicaragua,,,,,,6.464341882,3.608223991,0.9708455563,0.4414052349,0.6491639425,4.193357361,2.346565092,4.884716427,3.225622927,5.165139591,4.308267317,6.5607069,5.173072366,7.158967109,4.351675876,0.8732530868,5.349316181,4.813245445,
Niger,,,,,,,,9.365776607,19.75152615,8.822706032,4.574220816,15.50376281,5.629802105,3.601145614,2.948917768,3.453804463,3.593653596,11.16097065,11.93304367,12.70727052,7.113043239,14.47289711,6.56300467,
Nigeria,,,,,,,,,1.675898739,0.1116319057,0.01810001295,13.39214815,0.5906869078,0.3669953512,0.1423399571,1.730811082,,,7.787441826,0.9955046981,0.4085168899,2.527707198,1.089279096,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,
Norway,12.04418035,10.64300082,11.43579167,10.91668554,12.41331184,14.69706421,14.57735886,13.53546367,14.09728083,14.56197647,15.67879364,15.6828286,16.76368042,18.19218444,20.63671785,16.83238692,17.43591336,16.09433419,17.21786913,14.72974809,14.84988367,15.80276311,16.08052209,
Oman,3.560682756,14.1464107,14.74273213,12.22927354,4.457496655,6.755896926,6.271192259,4.49388184,5.46550721,8.503752246,8.542641332,9.643737507,3.117178443,3.100477771,2.167210501,5.742788325,0.6783415412,0.2753510276,0.3055314469,0.4559523454,0.7353223949,0.2950843395,0.5843417188,
Pakistan,,,0.07164949538,0.02456303783,0.03387510827,0.0709467724,,0.04114695141,0.03250752169,0.08787357074,0.114242418,0.3135610192,0.38790306,0.2971772013,0.6745050476,1.211536301,1.092766992,1.380307205,1.447455172,1.383159005,1.851171335,1.71466317,1.685223802,
Palau,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,2.766054171,2.60368694,3.01551063,1.895939876,1.363502237,1.228617232,2.180834095,1.902171567,1.353365007,2.316795817,0.983148005,1.34300539,2.558216647,1.234267169,1.374455676,0.8260456577,
Papua New Guinea,,,,,,,,,,,41.55957096,,19.02754639,46.2731429,16.95221016,40.16539188,60.85876433,,,,,,,
Paraguay,,0.1018058489,0.1954690967,0.8457679484,1.062582042,0.848481008,1.073186714,2.095599876,1.269983731,2.177168697,3.549347931,2.846742994,2.941195307,4.131189935,3.232094264,5.662420752,6.746385459,7.156387444,8.290712853,6.438259805,6.538403638,10.96788425,6.61176543,
Peru,,,,,1.347384059,1.433342203,2.487776779,2.410545715,5.824213116,4.548534851,4.04488344,4.492126108,4.376922513,4.286026374,2.605231222,2.638674463,2.893579862,3.232241416,2.717487193,2.50898344,2.747279926,3.464901876,6.587169433,
Philippines,,,,32.46273427,27.49116141,30.28622926,31.53844937,35.02837902,58.46382122,66.50707068,71.96562673,74.99461441,72.62686247,71.89985376,74.17845932,73.6373154,72.63332145,70.78543207,67.70991866,68.89979739,66.30959676,65.53302974,67.82277183,
Poland,,,,,3.484095522,2.774954279,2.4412825,2.575893456,2.915592583,2.618276027,2.948659243,2.649377481,3.360540496,3.171718425,2.878564028,3.073919768,3.337117594,3.789515527,3.740763356,3.03647127,4.316121219,6.101162791,6.744251188,
Portugal,3.968298033,4.475118854,4.123836186,3.664043828,3.530166136,2.641651132,3.626522074,5.126780941,4.09966488,4.058267568,3.934435942,4.797286694,6.229094425,7.801069756,7.204362889,8.500073088,8.683514546,8.879748639,9.276178086,8.353515182,8.144101238,3.768282693,3.390599625,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,0.00352051338,0.003449109271,0.0009742498482,0,0.004188347965,0.002420720227,,0,0.01121926002,0.0000736101623,0.009625575314,0.0001947495449,0.002467068833,0.02032035845,0.007111413214,0.01322244136,0.07534370946,0.0125045253,0.03347603922,,
Romania,,2.850821584,3.286326957,1.529790985,1.447692256,1.065516013,1.618733164,1.288684591,1.236937385,1.205673049,1.806127743,3.545433458,5.870192853,6.142515394,3.800736748,3.968177125,3.72474566,3.842222591,4.827485917,3.47980266,6.687402779,9.108757201,10.94677922,
Russia,,,,,,,,,9.664536747,9.34426991,11.97795556,12.33683903,16.06693012,14.03755579,19.15674223,18.97823199,12.92452891,8.437509735,7.777323192,6.878405918,6.474851,9.228727378,8.847875091,
Rwanda,,,,,,,,,0.5988808709,3.096848913,2.166975689,0.6019551464,,1.523141726,83.64025575,27.00413616,19.88992575,25.97019893,16.31650204,16.35578671,6.888253629,11.63873979,5.943527373,
Saint Kitts and Nevis,,,,,,5.328012403,6.193689452,0.299890025,0.7482988003,1.329786838,,0.1765713873,0.6404657245,0.2179665987,0.06596949152,0.7039218858,0.07572163187,0.681417719,0.3325224033,1.023764018,0.4517695825,,,
Saint Lucia,,,,1.301498496,3.700550807,3.199276614,6.804056246,4.911835971,7.288031058,3.61433537,5.18101248,5.064354158,5.524063066,5.199473692,7.803544891,8.409131768,7.319472917,8.50023285,11.23331646,14.82352765,16.87833064,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,0.01403623751,17.30704205,,0.02614936415,0,0,0,0.008551968262,0.004237642878,0.003062850295,0,0,0.05358796439,0.02743127579,0.2087839846,0.007072873057,0.7729910483,0.1558835598,
Samoa,,,,,,,,,,,,,,0.5081351333,0.1517254106,0.1458760207,0.08313448638,8.736799034,0.04973761537,0.07253161859,0.5771826493,0.3140322531,0.2012354356,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,1.07871149,,,7.681977423,1.277713167,0.2556735171,0.04497968291,15.56316536,14.02596355,
Saudi Arabia,,,,0.373211508,0.3515762034,0.1693334173,0.09636950796,0.1973371174,0.7495856741,,0.3575619944,0.9873041192,0.425608572,0.4699345735,0.3753882149,1.371354995,0.3602880071,0.6688970316,0.9385589859,0.6566455028,0.4611938383,0.2648311047,0.7328799777,
Senegal,,,,,,,,,1.462643925,1.711894139,5.766384269,12.2912144,7.286035565,4.46008587,4.260877633,4.902101765,5.816501409,8.270946192,5.847358532,4.472999093,5.261533311,11.8578439,1.189080061,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,1.04008222,0,0.02598052877,0,0,0,0,0,2.088532937,0.824633465,22.52520079,0,0,19.17658439,3.145023473,0,3.350804688,,,
Sierra Leone,,,,,,,,,,,,,27.64816666,,31.07932224,,,,,,,,,
Singapore,,36.4446585,39.89388625,40.54177075,44.79651772,47.50310685,50.65897587,54.14704475,55.71437159,57.01658868,59.06705934,60.89937853,62.79494579,60.94929712,60.62664036,56.54326429,56.87614852,56.89331123,58.07081684,45.21033431,49.38403528,48.14199882,49.90865546,
Slovak Republic,,,,,,,4.060628378,3.121289091,3.173378791,3.613901802,3.560630482,4.284248161,3.633414816,3.861987362,3.212524323,3.801989078,5.479068485,7.437556232,6.719764945,5.354229599,5.264358434,5.703950457,7.093999294,
Slovenia,,,,,3.33468792,3.433389887,,3.619225906,4.507087088,4.322728561,4.511733972,4.130942405,4.905464309,5.335968088,5.421669251,6.42197545,5.732413185,4.928860044,5.506512385,5.013001074,5.820976526,6.398702827,5.487112504,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,6.96800466,4.727845505,4.876683179,5.710909897,5.650817654,7.531410066,8.749016042,7.146985101,7.000875876,6.460410909,5.163790009,4.829067256,5.537991577,6.656221763,6.458640303,5.580762849,5.123385369,5.354949319,4.281208684,
Spain,6.803003036,6.906918538,6.717627934,7.809727511,7.445371449,8.309750461,8.401850844,7.271118933,7.604058764,7.008844654,6.957352483,7.865609384,7.986523656,7.765300974,7.216591247,7.489004231,7.25923021,7.261086496,6.382451285,5.107331614,5.305988783,6.231276919,6.357351118,
Sri Lanka,,,0.5976905295,0.6671199025,1.052442128,1.126729148,1.205114154,,,,,3.239078507,,2.171253302,0.5547727798,0.6847964345,1.5291583,2.307857667,1.494807338,2.084351839,1.862545361,0.9492913952,1.025951272,
Sudan,,,,,,,,,0.5000516029,0.00009537255919,0.08909306705,8.646578585,3.80071047,2.542212976,8.842130021,0.04182814753,0,0.5782688944,0.6057061093,,0.1024012473,29.36923205,,
Suriname,,,,,,,0.03830320266,0.02533626826,0.4264128634,0.2211388226,0.5851611141,0.2049587167,8.166360756,6.346498327,10.6887486,10.94234973,8.014453786,13.69873253,6.219043452,8.698275884,5.458335502,13.91971885,12.14138419,
Swaziland,,,,,,,,,,,,,0.4029157739,0.7861259186,0.4852272419,0.2989912713,0.1036825087,0.07649334969,0.1342382876,0.1156408681,,,,
Sweden,12.34321975,12.70716357,12.90405571,13.28609929,13.30789938,12.97110408,12.82813922,16.40568532,17.93867845,19.44474687,19.8214433,21.53758834,22.77450726,17.39462068,18.16863258,16.25806117,17.4062107,16.93751429,16.10376752,11.52834456,11.19786792,12.91340318,13.92673984,
Switzerland,16.05885347,15.77161652,15.57671706,15.54776129,15.92934241,15.60990652,15.77294951,17.14135343,17.7751268,18.01263543,19.29127989,21.83141639,21.8628207,22.73537103,23.5846118,24.10323574,23.7379528,23.59442295,23.34468661,22.75463576,23.88779584,25.53589791,24.84480607,
Syria,,,,,,,,,,,,,0.5316887763,0.4059775058,0.6142573658,0.7970670511,1.024002284,2.082085874,0.8048134074,1.270954274,1.806880372,,,
Tajikistan,,,,,,,,,,,,,41.7450495,,,,,,,,,,,
Tanzania,,,,,,,,,,0.1804489858,3.451970525,5.923475211,1.167549885,1.590820224,0.7412558265,1.409289501,0.8209671188,1.10500811,0.5635015401,1.501823093,1.53491819,3.042268112,3.478349147,
Thailand,,18.95029905,20.87117866,20.83935631,22.03817995,20.65333615,23.72077835,24.54088288,29.15229045,30.76462075,34.41864218,32.4002109,33.35912864,31.51139376,30.77735912,30.30813621,28.13184442,26.67177174,27.39161319,25.95792004,24.55437402,25.34038367,24.01660453,
Timor-Leste,,,,,,,,,,,,,,,,,0,0,,,,,,
Togo,1.810048811,,,0.5898152273,,,1.798708127,4.992867454,5.288019319,2.018664456,0.5920267361,0.6655424365,0.6016345033,0.623211735,0.6576074893,1.013873078,0.02653612503,0.09346774341,,0.05799781821,,,,
Tonga,,,,,,,,,,,,,0,0,,,,,,,0,0.1063061516,0.03876459479,
Trinidad and Tobago,,,,0.1464536783,0.2485414741,3.929662156,1.205589085,3.196702752,0.3102232826,0.2414357397,1.361824396,1.969888623,0.9133468634,3.22637727,1.993365968,0.2446909448,1.14871789,1.34706174,1.030194189,1.563353953,0.7485519093,0.2433160787,,
Tunisia,,,2.120813848,1.84867112,1.644372773,2.840837458,1.544222962,1.608997579,1.639408674,1.653497707,2.058180039,2.701016118,3.427068727,3.313573751,3.708762277,3.805322374,5.023151526,4.510720196,6.680848185,5.416796982,4.543789716,4.097911696,4.894227503,
Turkey,,1.74925391,1.213969632,0.9999723315,1.175220658,1.339299275,1.655497017,1.205811734,1.607365563,2.144679451,2.182560835,4.140513781,4.825745722,3.871274757,1.789857537,1.932463938,1.896813609,1.474042955,1.853989329,1.89332192,1.61597004,1.737729868,1.934102429,
Turkmenistan,,,,,,,,,,,0.001236742531,11.66246484,4.952147411,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,14.90313079,19.57142275,7.697651016,3.33062505,5.81817351,9.207311409,,,,,,,
Tuvalu,,,,,,,,,,,,,,,27.81594537,17.68591442,4.249648864,14.98036358,,,,,,
Uganda,,,,,,,10.99099863,2.107101317,0.2499296374,1.291929591,4.588324908,10.71195973,4.356932129,12.86702954,15.32202997,6.301190866,3.281546594,12.49819945,33.75624378,10.48941779,1.255539847,1.082315541,2.370904438,
Ukraine,,,,,,,,,3.89147584,4.370158875,5.100903469,4.378668466,5.227240865,4.658148685,4.861306033,6.91831518,6.296997836,3.724530925,3.397535409,3.653825526,3.287033721,5.550738184,4.336272191,
United Arab Emirates,,,,0.02647863784,0.1519921656,0.03164552067,,,,,,1.120983295,0.7084400584,1.965071945,,,,1.871488902,,1.070383568,3.202785439,,,
United Kingdom,24.7407919,25.20165188,23.60937136,24.65326681,23.59249267,25.96584934,25.70357248,27.03304541,26.68946941,27.09245437,28.68156255,29.91837398,32.33387054,34.080128,31.74343643,26.27912044,24.48684897,28.30563158,33.88030582,18.91885211,18.50070934,21.78619764,20.90032488,
United States,,32.16238957,32.52996733,32.40150439,32.56328763,31.4651345,30.99909101,30.30063758,30.75878968,31.72874829,33.21589023,34.25823054,33.78761058,32.5915242,31.75945204,30.82052135,30.27626713,29.90198855,30.05699929,27.2226646,25.92033217,21.48768979,19.93438596,
Uruguay,,,,,,2.712816275,1.920419839,2.625525981,2.655651499,2.188880244,2.106348543,2.429389729,2.222752496,2.196618704,3.10777577,2.643936781,2.922521375,2.715382664,3.40411451,3.415293648,4.593920396,5.799572513,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,19.83239821,12.70003497,,,4.944915293,,,,,,0.3556931627,,,,,,7.656903869,2.017356357,,,,
Venezuela,,,3.938725197,1.490857595,2.201436499,2.567247283,2.391194836,2.722699894,2.521642113,2.546908787,2.60344792,3.018177461,2.890965786,3.377608176,3.429491526,4.219513948,2.437642483,2.301986096,2.413791343,,3.471367674,4.177609884,5.052219641,
Vietnam,,,,,,,,,,0.1357596872,0.1020639877,0.1739176062,11.06894478,8.507502909,5.857787623,5.566738186,4.480012648,5.363191673,6.217878053,8.949339276,4.789839839,6.21247846,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,0.002640114315,0.01091365361,0.5214508643,0.2590334459,0.2391945605,0.5099990379,0.3823287013,0.2752845677,0.3744681445,,
Zambia,,,,,,2.480391632,,2.162540538,2.045810833,25.08973209,4.02342058,1.112690099,0.3161560434,0.1367706238,0.4006588954,0.5051366457,0.7564665129,1.090505634,1.868518011,2.945875772,2.543997413,1.499433953,0.9550271051,
Zimbabwe,,,1.488336446,0.8794768668,0.8941813983,0.6709658067,1.133008966,1.163429701,2.107843778,2.025544465,,1.945485714,1.684154847,0.5443588235,2.686228679,,0.9029137276,1.548765859,13.49128658,3.091865276,12.21130897,0.984378272,0.8434009236,
