Estimated new HIV infections (All ages),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,1100
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,7500,8500,9500,11000,12000,13000,15000,16000,17000,18000,19000,20000,21000,22000,23000,23000,24000,24000,24000,24000,24000,23000
Anguilla,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Argentina,4900,5400,5800,6300,6700,6700,6700,6900,7000,7100,7000,7300,7400,7500,7600,7700,7700,7600,7500,7500,,5600
Armenia,60,60,60,60,120,120,300,300,300,300,120,120,120,120,120,120,120,120,300,300,,350
Aruba,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,1100
Austria,,,,,,,,,,,,,,,,,,,,,,1200
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,750
Bahamas,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,350,350,350,350,350
Bahrain,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,60,160,160,160,160,160,160,350,350,350,350,350,350,750,750,750,750,750,750,750,1100,1300
Barbados,160,160,160,160,160,160,160,160,160,160,160,160,160,60,60,60,60,60,60,60,60,60
Belarus,60,60,60,60,60,60,160,350,350,750,1300,2100,2800,3000,2800,2400,2100,1900,1800,1800,1800,1900
Belgium,,,,,,,,,,,,,,,,,,,,,,1300
Belize,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Benin,4000,4600,5200,6000,6900,7500,7700,7300,6600,6000,5500,5300,5100,5000,5000,5100,4800,4800,4900,4900,4900,4900
