Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,769308,814923.0492,858521.6976,903913.8649,951225.9414,1000582.35,1058743.467,1119067.205,1182159.057,1248900.788,1319848.781,1409001.087,1502401.791,1598835.452,1696444.827,1793266.132,1905032.577,2021307.692,2142247.683,2268014.567,2398775.033,2493264.953,2590846.398,2691611.828,2795656.425,2903077.987,3006983.067,3113957.039,3224082.309,3337444.052,3454129.214,3617841.574,3788685.281,3966955.753,4152960.213,4347017.981,4531284.645,4722602.737,4921226.863,5127420.633,5341456.457,5564491.94,5795939.879,6036099.716,6285280.775,6543803.785,6812538.468,7091244.931,7380272.241,7679981.651,7990745.953,8316975.825
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,494443,511802.7798,529438.8515,547376.7486,565571.7525,583982.8866,602512.1668,621179.8476,639964.463,658853.1241,677839.1226,698932.2456,720206.5704,741681.0361,763385.4538,785350.0231,807989.8311,830959.1743,854262.3838,877898.1456,901884.306,927223.8176,952447.4072,978476.3884,1006612.901,1037541.134,1072365.093,1109953.566,1146633.101,1177286.056,1198292.867,1215445.212,1222544.242,1222811.511,1221363.568,1222234.199,1228759.918,1238090.318,1250366.135,1265194.519,1282223.413,1315689.881,1352278.419,1391143.427,1430917.6,1470488.072,1512254.655,1553490.852,1594350.744,1635261.637,1676545.474,1716842.33
Algeria,3293999,3515147.548,3739963.007,3973289.134,4220987.014,4488175.643,4649105.239,4826104.223,5017298.598,5219331.869,5429743.075,5619041.531,5815734.493,6020647.353,6235114.385,6460138.044,6774099.233,7102902.287,7447728.392,7810072.95,8190772.269,8637724.151,9105820.404,9591900.048,10091289.48,10600111.58,11101756.57,11609104.09,12122940.91,12645262.75,13177078.94,13708812.88,14248297.25,14789175.94,15322651.13,15842442.21,16395553.27,16935450.52,17469200.39,18007936.69,18560597.42,19198872.48,19854835.29,20529355.66,21222197.5,21932977.75,22625052.35,23335542.76,24061748.77,24799590.71,25545622.13,26216967.63
American Samoa,,13660.298,14165.79665,14758.92576,15396.41917,16044.8232,16693.10552,17348.66398,17995.51116,18618.68192,19206.38592,19752.01646,20262.6684,20741.97378,21194.3788,21631.67538,22046.64506,22452.40502,22899.49604,23457.294,24176.5758,25173.25335,26342.30332,27655.18208,29062.12574,30523.91786,32013.52933,33547.79034,35094.62733,36617.70926,38087.65296,39599.80589,41049.36358,42442.81307,43797.99636,45129.3232,46342.57057,47527.0405,48705.29842,49905.9469,51151.4075,52341.3273,53582.69114,54864.45779,56166.24632,57473.60246,58679.3099,59894.1993,61118.291,62357.16368,63615.5476,64816.71863
Andorra,,8723.92113,9700.34576,10748.38331,11865.86148,13052.75405,14216.8068,15439.61988,16726.99301,18088.32051,19528.9642,20928.72806,22405.83619,23937.05112,25481.98229,27019.32684,28366.22246,29677.14727,31036.72934,32571.55505,34365.64992,36355.83358,38617.6978,40983.36756,43206.6708,45118.68826,46254.21249,47018.99821,47669.34229,48577.18537,49982.36376,51972.20993,54469.42857,57079.18538,59243.05303,60597.73039,60927.10571,60461.99313,59685.43344,59280.95077,59718.5843,61062.2025,63212.31865,65802.20405,68301.1378,70328.9696,71726.37276,72684.36282,73335.14731,73897.3343,74525.01888,75207.39695
Angola,521205,548265.0462,579695.37,612086.6962,645261.5908,679109.1204,717833.3991,757496.3182,798459.2562,841261.9552,886401.6268,955010.0872,1027397.35,1103829.784,1184486.231,1269605.506,1372800.337,1481597.856,1597267.292,1721589.74,1855983.292,2015833.042,2188350.506,2371047.448,2559551.728,2750310.2,2955173.77,3161498.609,3373206.651,3597089.944,3838851.715,4102966.925,4388136.555,4690892.362,5004755.608,5324793.587,5602207.018,5882842.783,6173329.129,6483826.518,6822112.342,7190985.363,7589585.255,8012294.902,8449762.304,8894672.598,9326817.699,9764678.833,10210317.37,10667669.61,11139829.41,11602850.76
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,21699,21635.05094,21664.20011,21740.73805,21830.17738,21908.8884,22003.13458,22086.24754,22149.39295,22182.91962,22180.86753,22560.87424,22907.76266,23221.2892,23502.91715,23753.4414,23977.17252,24167.65597,24303.97901,24357.78345,24311.52904,24163.75805,23929.13298,23632.15562,23305.5962,22978.67894,22654.47978,22344.7233,22099.59616,21981.7624,22035.68052,22047.36282,22228.6168,22537.77186,22914.2133,23311.50962,23667.1139,24030.72023,24379.27914,24690.41393,24948.54312,25196.79453,25383.37406,25520.3971,25623.28448,25705.98828,25895.74826,26066.31981,26222.77094,26368.87224,26508.3222,26771.22655
Argentina,15224096,15545222.59,15912120.02,16282345.35,16654412.49,17027711.84,17389812.09,17753280.98,18124103.64,18510462.3,18918072.79,19329718.16,19763078,20211424.85,20664728.9,21115687.7,21552513.28,21986365.11,22421169.82,22863183.8,23316975.12,23796692.9,24287633.72,24788596.92,25297514.76,25812638.61,26320960.92,26834615.79,27352286.89,27872418.09,28393701.75,28896651.31,29398500.96,29899433.32,30400054.89,30900493.55,31387251.85,31872859.8,32353729.87,32825098.68,33283801.49,33712309.56,34128018.78,34535232.9,34940181.04,35347630.42,35736246.73,36127601.75,36522142.16,36919809.6,37320425.11,37705099.17
Armenia,957974,1008597.321,1061426.399,1115612.321,1170683.409,1226270.423,1281581.61,1337032.085,1392892.13,1449641.494,1507619.765,1564367.604,1622103.527,1680497.745,1739063.021,1797424.222,1847860.077,1897671.21,1946996.114,1996083.139,2045104.829,2084400.483,2122177.627,2159712.209,2198804.606,2240233.722,2280967.72,2323914.668,2362125.257,2386191.971,2389868.816,2358279.03,2307161.175,2244756.048,2182608.601,2129131.389,2086625.227,2053336.389,2027830.291,2007181.032,1989189.533,1979581.254,1973567.849,1970286.727,1968659.244,1967851.915,1969624.19,1971681.32,1974101.206,1977150.701,1980966.848,1987710.111
